PLAYER_NAME,FTM,FTA,FTM_clutch,FTA_clutch,FTM_non_clutch,FTA_non_clutch,FT_PCT_clutch,FT_PCT_non_clutch,differential
MarJon Beauchamp,13,19,,,,,,,
Marcus Sasser,15,18,0.0,0.0,15.0,18.0,,0.8333333333333334,
Marcus Smart,106,129,7.0,10.0,99.0,119.0,0.7,0.8319327731092437,-0.13193277310924378
Mark Sears,6,8,,,,,,,
Mark Williams,135,175,12.0,15.0,123.0,160.0,0.8,0.76875,0.03125
Markelle Fultz,0,0,,,,,,,
Marvin Bagley III,95,144,0.0,0.0,95.0,144.0,,0.6597222222222222,
Mason Plumlee,9,14,0.0,0.0,9.0,14.0,,0.6428571428571429,
Matas Buzelis,187,238,11.0,16.0,176.0,222.0,0.6875,0.7927927927927928,-0.1052927927927928
Matisse Thybulle,21,25,0.0,0.0,21.0,25.0,,0.84,
Max Christie,125,139,11.0,12.0,114.0,127.0,0.9166666666666666,0.8976377952755905,0.01902887139107612
Max Shulga,2,2,,,,,,,
Max Strus,7,9,0.0,0.0,7.0,9.0,,0.7777777777777778,
Maxi Kleber,14,26,0.0,0.0,14.0,26.0,,0.5384615384615384,
Maxime Raynaud,132,168,7.0,10.0,125.0,158.0,0.7,0.7911392405063291,-0.09113924050632916
Micah Peavy,15,21,0.0,0.0,15.0,21.0,,0.7142857142857143,
Micah Potter,85,101,5.0,6.0,80.0,95.0,0.8333333333333334,0.8421052631578947,-0.00877192982456132
Michael Porter Jr.,195,227,11.0,11.0,184.0,216.0,1.0,0.8518518518518519,0.14814814814814814
Mikal Bridges,81,98,2.0,2.0,79.0,96.0,1.0,0.8229166666666666,0.17708333333333337
Mike Conley,45,50,5.0,5.0,40.0,45.0,1.0,0.8888888888888888,0.11111111111111116
Miles Bridges,208,253,21.0,23.0,187.0,230.0,0.9130434782608695,0.8130434782608695,0.09999999999999998
Miles Kelly,1,1,,,,,,,
Miles McBride,37,47,6.0,6.0,31.0,41.0,1.0,0.7560975609756098,0.24390243902439024
Mitchell Robinson,42,103,0.0,4.0,42.0,99.0,0.0,0.42424242424242425,-0.42424242424242425
Mo Bamba,0,0,0.0,0.0,0.0,0.0,,,
Mohamed Diawara,18,24,0.0,0.0,18.0,24.0,,0.75,
Monte Morris,2,4,,,,,,,
Moritz Wagner,59,72,0.0,0.0,59.0,72.0,,0.8194444444444444,
Moses Moody,87,113,2.0,3.0,85.0,110.0,0.6666666666666666,0.7727272727272727,-0.10606060606060608
Mouhamadou Gueye,3,4,,,,,,,
Mouhamed Gueye,40,62,0.0,0.0,40.0,62.0,,0.6451612903225806,
Moussa Cisse,38,81,0.0,0.0,38.0,81.0,,0.4691358024691358,
