PLAY_TYPE,PLAYER_NAME,TEAM_ABBREVIATION,POSS,POSS_PCT,player_ppp,league_ppp,pts_saved_above_lg_avg
OffScreen,Maxime Raynaud,SAC,16,0.016,0.25,0.9780956191238248,11.649529905981197
OffScreen,Gui Santos,GSW,13,0.026,0.3076923076923077,0.9780956191238248,8.715243048609722
OffScreen,Jamal Cain,ORL,11,0.048,0.36363636363636365,0.9780956191238248,6.759051810362073
OffScreen,Brook Lopez,LAC,10,0.012,0.4,0.9780956191238248,5.780956191238248
OffScreen,Dennis Schröder,CLE,13,0.062,0.38461538461538464,0.9780956191238248,7.715243048609723
OffScreen,Jericho Sims,MIL,11,0.022,0.45454545454545453,0.9780956191238248,5.759051810362072
OffScreen,Karlo Matković,NOP,11,0.031,0.45454545454545453,0.9780956191238248,5.759051810362072
OffScreen,John Konchar,MEM,13,0.079,0.46153846153846156,0.9780956191238248,6.7152430486097225
OffScreen,Onyeka Okongwu,ATL,11,0.01,0.5454545454545454,0.9780956191238248,4.759051810362074
OffScreen,Josh Minott,BOS,11,0.047,0.5454545454545454,0.9780956191238248,4.759051810362074
OffScreen,Ayo Dosunmu,CHI,18,0.046,0.3888888888888889,0.9780956191238248,10.605721144228848
OffScreen,Devin Carter,SAC,14,0.051,0.5,0.9780956191238248,6.693338667733547
OffScreen,Adem Bona,PHI,12,0.019,0.5833333333333334,0.9780956191238248,4.737147429485898
OffScreen,Luke Kornet,SAS,10,0.012,0.7,0.9780956191238248,2.7809561912382486
OffScreen,Taelon Peter,IND,10,0.049,0.7,0.9780956191238248,2.7809561912382486
OffScreen,Craig Porter Jr.,CLE,17,0.038,0.47058823529411764,0.9780956191238248,8.627625525105023
OffScreen,Gabe Vincent,LAL,14,0.06,0.5714285714285714,0.9780956191238248,5.693338667733547
OffScreen,Danny Wolf,BKN,13,0.03,0.6153846153846154,0.9780956191238248,4.715243048609722
OffScreen,Jusuf Nurkić,UTA,12,0.027,0.6666666666666666,0.9780956191238248,3.737147429485898
OffScreen,Julian Strawther,DEN,12,0.041,0.6666666666666666,0.9780956191238248,3.737147429485898
OffScreen,Dorian Finney-Smith,HOU,11,0.047,0.7272727272727273,0.9780956191238248,2.759051810362073
OffScreen,Coby White,CHI,14,0.049,0.6428571428571429,0.9780956191238248,4.6933386677335465
OffScreen,Caleb Love,POR,13,0.044,0.6923076923076923,0.9780956191238248,3.7152430486097225
