personId,blocks_recovered_by_other,blocks_recovered_by_own,blocks,percent_blk_recovered_by_own,player_name
1642928,32.0,35.0,67.0,0.5223880597014925,Dylan Cardwell
1642933,2.0,2.0,4.0,0.5,Keshon Gilbert
1642939,0.0,1.0,1.0,1.0,Miles Kelly
1642942,8.0,6.0,14.0,0.42857142857142855,Jahmai Mashack
1642948,2.0,0.0,2.0,0.0,Ryan Nembhard
1642949,14.0,16.0,30.0,0.5333333333333333,Yanic Konan Niederhäuser
1642950,3.0,5.0,8.0,0.625,Lachlan Olbrich
1642954,2.0,7.0,9.0,0.7777777777777778,Will Richard
1642955,1.0,0.0,1.0,0.0,Kadary Richmond
1642959,0.0,3.0,3.0,1.0,Chris Youngblood
1642962,5.0,9.0,14.0,0.6428571428571429,Drake Powell
1642964,1.0,4.0,5.0,0.8,Brooks Barnhizer
1642967,1.0,3.0,4.0,0.75,John Poulakidas
1643007,4.0,0.0,4.0,0.0,Taelon Peter
1643016,5.0,0.0,5.0,0.0,Bez Mbeng
1643024,1.0,1.0,2.0,0.5,Chris Mañon
1643052,7.0,2.0,9.0,0.2222222222222222,Chaney Johnson
1643060,1.0,0.0,1.0,0.0,Hayden Gray
1643133,1.0,0.0,1.0,0.0,Lawson Lovering
1643158,3.0,1.0,4.0,0.25,Andersson Garcia
1643253,1.0,2.0,3.0,0.6666666666666666,Toby Okani
1643257,1.0,0.0,1.0,0.0,Jayson Kent
