player,pts_per_game,trb_per_game,ast_per_game,stl_per_game,blk_per_game,pts_as_percent_of_other_stats
Justin Champagnie,8.7,5.6,1.2,0.9,0.6,0.5117647058823529
Julian Champagnie,11.1,5.8,1.5,0.8,0.5,0.5634517766497462
Max Christie,12.3,3.2,2,0.6,0.4,0.664864864864865
Sidy Cissoko,5.1,2.2,1.5,0.7,0.3,0.520408163265306
Jaylen Clark,4,1.8,0.6,0.7,0.1,0.5555555555555556
Jordan Clarkson,8.6,1.8,1.3,0.4,0.1,0.7049180327868851
Nic Claxton,11.7,6.9,3.7,0.7,1.1,0.48547717842323646
Walter Clayton,7.8,2,4,0.6,0.3,0.5306122448979591
Nique Clifford,8.6,3.8,2.4,0.9,0.3,0.5375
Donovan Clingan,12.1,11.6,2.1,0.6,1.7,0.43060498220640564
Noah Clowney,12.3,4.1,1.6,0.8,0.7,0.6307692307692309
Isaiah Collier,11.7,2.5,7.2,1.1,0.3,0.513157894736842
John Collins,13.6,5.3,1,0.9,0.7,0.6325581395348838
Cedric Coward,13.6,5.9,2.8,0.6,0.4,0.5836909871244634
Cade Cunningham,23.9,5.5,9.9,1.4,0.8,0.5759036144578313
Dyson Daniels,11.9,6.8,5.9,2,0.4,0.44074074074074077
Tristan Da Silva,9.9,3.7,1.6,0.9,0.3,0.6036585365853658
DeMar DeRozan,18.4,2.9,4.1,1,0.3,0.6891385767790262
Moussa Diabaté,7.9,8.7,1.9,0.8,1,0.3891625615763547
Mohamed Diawara,3.6,1.4,0.8,0.2,0.1,0.5901639344262296
Gradey Dick,6,1.9,0.7,0.6,0.1,0.6451612903225807
Rob Dillingham,6.3,2,2.2,0.7,0.1,0.5575221238938054
Donte DiVincenzo,12.2,4.1,3.8,1.3,0.4,0.5596330275229359
Luka Dončić,33.5,7.7,8.3,1.6,0.5,0.6492248062015503
Luguentz Dort,8.3,3.6,1.2,0.9,0.4,0.576388888888889
Ayo Dosunmu,14.8,3.4,3.6,0.8,0.3,0.6462882096069869
Andre Drummond,6.4,8.4,1.3,0.6,0.8,0.36571428571428566
Kris Dunn,7.3,3.3,3.6,1.6,0.2,0.45625000000000004
Ryan Dunn,5.8,4.2,1.5,0.9,0.4,0.45312499999999994
Kevin Durant,26,5.5,4.8,0.8,0.9,0.6842105263157896
Jalen Duren,19.5,10.5,2,0.8,0.8,0.5803571428571429
Tari Eason,10.5,6.3,1.5,1.2,0.5,0.525
VJ Edgecombe,16,5.6,4.2,1.4,0.5,0.5776173285198556
Anthony Edwards,28.8,5,3.7,1.4,0.8,0.7254408060453401
Justin Edwards,6,1.5,1.3,0.8,0.2,0.6122448979591836
Keon Ellis,6.7,1.9,1,1.2,0.6,0.5877192982456141
Jeremiah Fears,14.3,3.7,3.4,1.2,0.4,0.6217391304347827
Kyle Filipowski,11.4,7.2,2.6,0.9,0.5,0.504424778761062
Cooper Flagg,21,6.7,4.5,1.2,0.9,0.6122448979591836
Simone Fontecchio,8.5,3,1.4,0.5,0.1,0.6296296296296297
De'Aaron Fox,18.6,3.8,6.2,1.2,0.3,0.6179401993355482
Luka Garza,8.1,4.1,1,0.4,0.4,0.5785714285714285
Shai Gilgeous-Alexander,31.1,4.3,6.6,1.4,0.8,0.7036199095022625
Collin Gillespie,12.7,4.1,4.6,1.2,0.2,0.5570175438596492
Rudy Gobert,10.9,11.5,1.7,0.8,1.6,0.41132075471698115
Hugo González,3.9,3.3,0.5,0.6,0.3,0.4534883720930233
Jordan Goodwin,8.7,4.9,2.2,1.5,0.2,0.4971428571428571
A.J. Green,10.4,2.7,1.9,0.5,0.1,0.6666666666666666
Draymond Green,8.4,5.5,5.5,0.9,0.6,0.40191387559808617
Javonte Green,6.9,2.8,0.7,1.2,0.3,0.5798319327731093
Josh Green,4.3,1.8,0.8,0.6,0.1,0.5657894736842106
Quentin Grimes,13.4,3.6,3.3,0.9,0.4,0.6203703703703705
Mouhamed Gueye,4.4,3.6,0.9,0.8,0.5,0.4313725490196078
Rui Hachimura,11.5,3.3,0.8,0.6,0.3,0.6969696969696968
Tim Hardaway Jr.,13.5,2.6,1.4,0.5,0.1,0.7458563535911602
James Harden,23.6,4.8,8,1.1,0.4,0.6226912928759893
Dylan Harper,11.8,3.4,3.9,0.8,0.3,0.5841584158415841
Tobias Harris,13.3,5.1,2.5,0.9,0.4,0.5990990990990992
Josh Hart,12,7.4,4.8,1.1,0.3,0.46875
Sam Hauser,9.2,3.8,1.5,0.5,0.3,0.6013071895424836
Jaxson Hayes,7.5,4.1,0.9,0.4,0.8,0.5474452554744526
Taylor Hendricks,7.4,3.7,0.9,0.8,0.5,0.556390977443609
Ron Holland,8.2,4,1.2,1.2,0.3,0.5503355704697986
Chet Holmgren,17.1,8.9,1.7,0.6,1.9,0.5662251655629139
Kevin Huerter,10,3.5,2.6,0.9,0.5,0.5714285714285714
Jay Huff,9.5,4,1.5,0.5,1.9,0.5459770114942529
Bones Hyland,8.5,1.8,2.6,0.6,0.2,0.6204379562043796
Oso Ighodaro,6.5,5.1,2.3,0.9,0.7,0.4193548387096775
Brandon Ingram,21.5,5.6,3.7,0.8,0.7,0.6656346749226005
LeBron James,20.9,6.1,7.2,1.2,0.6,0.5805555555555554
Sion James,5.4,3.5,2,0.6,0.2,0.4615384615384616
Jaime Jaquez Jr.,15.4,5,4.7,0.7,0.3,0.5900383141762453
Daniss Jenkins,9.3,2.3,3.9,0.9,0.2,0.5602409638554217
Isaiah Joe,11.1,2.5,1.3,0.7,0.2,0.7025316455696203
Jalen Johnson,22.5,10.3,7.9,1.2,0.4,0.5319148936170213
Keldon Johnson,13.2,5.4,1.4,0.6,0.1,0.6376811594202897
Tre Johnson,12.2,2.8,2,0.6,0.3,0.6815642458100557
Nikola Jokić,27.7,12.9,10.7,1.4,0.8,0.5177570093457945
Spencer Jones,5.5,3.3,0.8,0.8,0.5,0.5045871559633026
Tre Jones,14.1,3.1,5.4,1.2,0.2,0.5875
Tyus Jones,3,1.1,2.4,0.6,0,0.4225352112676057
Ryan Kalkbrenner,7.6,5.5,0.8,0.5,1.5,0.47798742138364775
Luke Kennard,8.4,2.3,2.2,0.7,0.1,0.613138686131387
Corey Kispert,9.2,2.3,1.6,0.3,0.2,0.676470588235294
Kon Knueppel,18.5,5.3,3.4,0.7,0.2,0.6583629893238435
Tyler Kolek,4.4,1.6,2.7,0.4,0.1,0.47826086956521746
Luke Kornet,6.5,6.1,1.9,0.5,1,0.40625
Vít Krejčí,8.5,2.3,1.5,0.7,0.3,0.6390977443609023
Kyle Kuzma,13,4.5,2.7,0.7,0.4,0.6103286384976526
Jock Landale,10.6,5.7,1.7,0.5,0.5,0.5578947368421052
Jake LaRavia,8.2,4,1.8,1.3,0.5,0.5189873417721518
Pelle Larsson,11.4,3.5,3.4,0.7,0.2,0.59375
Kawhi Leonard,27.9,6.4,3.6,1.9,0.4,0.6940298507462687
Caris LeVert,7.4,2,2.7,0.9,0.7,0.5401459854014599
Brook Lopez,8.5,3.6,1.3,0.6,1.2,0.5592105263157895
Sandro Mamukelashvili,11.2,4.9,1.9,0.8,0.5,0.5803108808290155
Terance Mann,7.2,3.2,3,0.7,0.2,0.5034965034965035
Naji Marshall,15.2,4.7,3.3,1.1,0.1,0.6229508196721311
Caleb Martin,3.9,2.5,1.4,0.7,0.3,0.4431818181818181
Karlo Matković,5.7,3.7,0.8,0.4,0.9,0.4956521739130434
Tyrese Maxey,28.3,4.1,6.6,1.9,0.8,0.6786570743405277
Jared McCain,8.3,2,1.3,0.5,0.1,0.680327868852459
CJ McCollum,18.7,3.3,3.9,0.8,0.5,0.6875
Jaden McDaniels,14.8,4.2,2.7,1.1,1,0.6218487394957983
Khris Middleton,10.2,3.7,2.8,0.7,0.1,0.5828571428571429
Brandon Miller,20.2,4.9,3.3,1,0.7,0.6710963455149501
Jordan Miller,10,3,2.3,0.8,0.2,0.6134969325153374
Yves Missi,5.7,5.8,1.3,0.3,1.5,0.39041095890410954
Davion Mitchell,9.3,2.7,6.5,1,0.2,0.4720812182741117
Donovan Mitchell,27.9,4.5,5.7,1.5,0.3,0.6992481203007519
Evan Mobley,18.2,9,3.6,0.7,1.7,0.5481927710843373
Malik Monk,12.5,1.9,3,0.6,0.4,0.6793478260869565
Moses Moody,12.1,3.3,1.6,1,0.6,0.6505376344086021
Trey Murphy III,21.5,5.7,3.8,1.5,0.4,0.6534954407294833
Jamal Murray,25.4,4.4,7.1,0.9,0.4,0.6649214659685865
Ryan Nembhard,6.6,2.2,5.3,0.4,0,0.45517241379310336
Josh Okogie,4.5,2.6,0.9,0.8,0.2,0.5
Onyeka Okongwu,15.2,7.6,3.1,1.1,1.1,0.5409252669039145
Isaac Okoro,9.3,2.7,1.6,0.7,0.5,0.6283783783783785
Royce O'Neale,9.8,4.8,2.7,1.1,0.4,0.5212765957446809
Gary Payton II,7.5,3.6,1.7,0.9,0.3,0.5357142857142857
Micah Peavy,4.3,1.9,1,0.7,0.1,0.5375000000000001
Noah Penda,3.8,3.2,1.2,0.5,0.3,0.4222222222222222
Brandin Podziemski,13.8,5.1,3.7,1.1,0.2,0.5774058577405858
Craig Porter Jr.,4.5,3.4,3.2,0.9,0.6,0.3571428571428571
Bobby Portis,13.7,6.4,1.6,0.6,0.2,0.6088888888888888
Quinten Post,7.7,4,1.4,0.4,0.5,0.55
Drake Powell,6.5,1.8,1.4,0.6,0.2,0.6190476190476191
Dwight Powell,3.3,4.1,1.1,0.5,0.3,0.3548387096774193
Norman Powell,21.7,3.5,2.5,1.1,0.2,0.7482758620689655
Payton Pritchard,17,3.9,5.2,0.7,0.1,0.6319702602230484
Derik Queen,11.7,7.1,3.7,1,0.9,0.47950819672131156
Neemias Queta,10.2,8.4,1.7,0.8,1.3,0.4553571428571428
Immanuel Quickley,16.4,4,5.9,1.3,0.1,0.592057761732852
Julius Randle,21.1,6.7,5,1.1,0.2,0.6187683284457478
Maxime Raynaud,12.5,7.5,1.4,0.5,0.5,0.5580357142857143
Paul Reed,7.8,4.5,1.2,0.9,0.9,0.5098039215686274
Naz Reid,13.6,6.2,2.2,1,1,0.5666666666666667
Will Richard,6.4,2.5,1.3,1.2,0.1,0.5565217391304348
Will Riley,10.3,2.9,2,0.7,0.1,0.64375
Zaccharie Risacher,9.6,3.8,1.1,0.9,0.5,0.6037735849056604
Duncan Robinson,12.2,2.7,2.1,0.6,0.3,0.6815642458100557
Mitchell Robinson,5.7,8.8,0.9,0.9,1.2,0.32571428571428573
Ryan Rollins,17.3,4.6,5.6,1.5,0.4,0.58843537414966
Rayan Rupert,5.2,2.9,1.1,0.9,0.1,0.5098039215686275
Kobe Sanders,7.3,2.3,1.6,0.7,0.1,0.6083333333333334
Gui Santos,9.2,3.9,2.3,0.9,0.3,0.5542168674698795
Baylor Scheierman,5.5,3.5,1.5,0.5,0.1,0.4954954954954955
Dennis Schröder,10.8,2.7,4.9,0.8,0.2,0.5567010309278352
Alperen Şengün,20.4,8.9,6.2,1.2,1.1,0.5396825396825395
Brice Sensabaugh,14.9,3.1,1.9,0.7,0.2,0.716346153846154
Collin Sexton,15.4,2.3,3.3,1.1,0.1,0.6936936936936936
Day'Ron Sharpe,8.7,6.7,2.3,1.1,0.4,0.453125
Jamal Shead,6.6,1.7,5.4,0.9,0.2,0.44594594594594594
Ben Sheppard,7.1,3,1.8,0.6,0.1,0.5634920634920635
Reed Sheppard,13.5,2.9,3.4,1.5,0.7,0.6136363636363638
Pascal Siakam,24,6.6,3.8,1.1,0.4,0.6685236768802229
Jericho Sims,5,5.5,1.6,0.3,0.3,0.39370078740157477
Marcus Smart,9.3,2.8,3,1.4,0.4,0.5502958579881657
Dru Smith,5.6,2.5,2.6,1.4,0.3,0.4516129032258064
Jabari Smith Jr.,15.8,6.9,1.9,0.7,0.9,0.6030534351145038
Cam Spencer,11.1,2.5,5.6,0.7,0.2,0.5522388059701493
Pat Spencer,7.2,2.4,3.5,0.7,0.1,0.5179856115107915
Isaiah Stewart,10,5,1.1,0.3,1.6,0.5555555555555555
Amen Thompson,18.3,7.8,5.3,1.5,0.6,0.5462686567164178
Ausar Thompson,9.9,5.7,3.1,2,0.9,0.4583333333333333
Klay Thompson,11.7,2.1,1.4,0.5,0.3,0.73125
Nae'Qwan Tomlin,5.8,2.9,0.8,0.6,0.5,0.5471698113207547
Karl-Anthony Towns,20.1,11.9,3,0.9,0.5,0.5521978021978022
Gary Trent Jr.,8.1,1,1.2,0.5,0,0.75
Myles Turner,11.9,5.3,1.5,0.7,1.6,0.5666666666666667
Jaylon Tyson,13.2,5.1,2.2,0.8,0.4,0.6082949308755762
Jonas Valančiūnas,8.7,5.1,1.2,0.2,0.6,0.5506329113924051
Jarred Vanderbilt,4.4,4.5,1.3,0.8,0.3,0.38938053097345127
Devin Vassell,13.9,4,2.5,0.9,0.4,0.6405529953917052
Nikola Vučević,15.1,8.4,3.3,0.6,0.6,0.5392857142857143
Dean Wade,5.8,4.2,1.5,0.7,0.4,0.4603174603174603
Jabari Walker,4.3,3,0.5,0.4,0.2,0.511904761904762
Jarace Walker,11.6,5.1,2.5,0.8,0.3,0.5714285714285714
Cason Wallace,8.6,3.1,2.6,1.9,0.4,0.5180722891566265
Jordan Walsh,5.4,4,0.8,0.7,0.5,0.4736842105263158
Ja'Kobe Walter,7.5,2.6,1.2,1,0.2,0.6000000000000001
Kel'el Ware,11.1,9,0.7,0.8,1.1,0.4889867841409691
Jaylen Wells,12.5,3.2,1.6,0.9,0.1,0.6830601092896175
Victor Wembanyama,25,11.5,3.1,1,3.1,0.5720823798627002
Russell Westbrook,15.2,5.4,6.7,1.3,0.2,0.5277777777777778
Derrick White,16.5,4.4,5.4,1.1,1.3,0.5749128919860628
Aaron Wiggins,9.4,3.1,1.7,0.9,0.4,0.6064516129032258
Andrew Wiggins,15.4,4.8,2.7,1.1,1,0.616
Brandon Williams,13,2.9,3.9,0.9,0.3,0.6190476190476191
Cody Williams,8.8,3,2,0.8,0.4,0.5866666666666667
Jaylin Williams,7.2,5.5,2.4,0.5,0.6,0.4444444444444445
Mark Williams,11.7,8,1,0.9,0.9,0.52
Patrick Williams,7,3,1.5,0.7,0.4,0.5555555555555556
Robert Williams,6.7,7,1,0.6,1.5,0.3988095238095239
Zion Williamson,21,5.7,3.2,1,0.5,0.6687898089171975
Guerschon Yabusele,5.6,3.5,0.9,0.4,0.2,0.5283018867924528
