player,pts_per_game,trb_per_game,ast_per_game,stl_per_game,blk_per_game,pts_as_percent_of_other_stats
Precious Achiuwa,10.1,6.7,1.4,0.9,0.7,0.5101010101010102
Bam Adebayo,20.1,10,3.2,1.2,0.7,0.5710227272727272
Ochai Agbaji,5.1,2.3,0.8,0.4,0.3,0.5730337078651685
Nickeil Alexander-Walker,20.8,3.4,3.7,1.3,0.5,0.7003367003367004
Jose Alvarado,7.4,2.5,3.4,1,0.1,0.513888888888889
OG Anunoby,16.7,5.2,2.2,1.6,0.7,0.6325757575757576
Deni Avdija,24.2,6.9,6.7,0.8,0.6,0.6173469387755102
Deandre Ayton,12.5,8,0.8,0.6,1,0.5458515283842794
Marvin Bagley III,10.5,6.1,1.4,0.5,0.7,0.546875
Ace Bailey,13.8,4.2,1.8,0.8,0.7,0.647887323943662
LaMelo Ball,20.1,4.8,7.1,1.2,0.2,0.6017964071856287
Paolo Banchero,22.2,8.4,5.2,0.7,0.6,0.5983827493261454
Desmond Bane,20.1,4.1,4.1,1,0.5,0.674496644295302
Dominick Barlow,7.7,4.8,1.2,0.9,0.7,0.5032679738562092
Harrison Barnes,9.9,2.8,1.9,0.6,0.2,0.6428571428571429
Scottie Barnes,18.1,7.5,5.9,1.4,1.5,0.5261627906976745
Jamison Battle,3.1,1.5,0.4,0.1,0,0.607843137254902
Nicolas Batum,4,2.5,0.9,0.6,0.3,0.48192771084337344
Saddiq Bey,17.7,5.6,2.5,0.9,0.1,0.6604477611940299
Goga Bitadze,5.9,5,1.3,0.6,1,0.427536231884058
Anthony Black,15,3.8,3.7,1.4,0.7,0.6097560975609757
Adem Bona,4.8,4.3,0.5,0.4,1.2,0.4285714285714286
Devin Booker,26.1,3.9,6,0.8,0.3,0.7035040431266848
Mikal Bridges,14.4,3.8,3.7,1.3,0.8,0.6
Miles Bridges,17.1,5.8,3.2,0.6,0.4,0.6309963099630996
Bruce Brown,7.9,3.9,2.1,1,0.2,0.5231788079470199
Jaylen Brown,28.7,6.9,5.1,1,0.4,0.681710213776722
Kobe Brown,5.8,3,1.3,0.4,0.2,0.5420560747663551
Jalen Brunson,26,3.3,6.8,0.8,0.1,0.7027027027027027
Carter Bryant,4.2,2.5,0.7,0.2,0.3,0.5316455696202531
Thomas Bryant,6.2,3.4,0.6,0.3,0.4,0.5688073394495413
Matas Buzelis,16.3,5.8,2.1,0.7,1.5,0.6174242424242424
Toumani Camara,13.4,5.1,2.5,1.1,0.4,0.5955555555555556
Clint Capela,3.8,4.6,0.7,0.5,0.8,0.3653846153846154
Bub Carrington,10.7,3.4,4.6,0.6,0.2,0.5487179487179487
Wendell Carter Jr.,11.8,7.4,2,0.8,0.6,0.5221238938053097
Stephon Castle,16.7,5.3,7.4,1.1,0.3,0.5422077922077921
