player,player_id,pos,team,g,gs,mp,pg_percent,sg_percent,sf_percent,pf_percent,c_percent,position,value,ht_ft,ht_in,wt,full_in_ht,position_2,ows,dws,ws,ws_48,obpm,dbpm,bpm,vorp,leader
Dalano Banton,bantoda01,PG,LAC,2,0,10,0,100,0,0,0,guard_percent,100,6,8,203,80,guard,0,0,0,0.227,7.3,5.2,12.5,0,FALSE
Dalano Banton,bantoda01,PG,LAC,2,0,10,0,100,0,0,0,wing_small_percent,100,6,8,203,80,wing,0,0,0,0.227,7.3,5.2,12.5,0,FALSE
Dominick Barlow,barlodo01,PF,PHI,71,59,1689,0,0,0,89,11,big_percent,100,6,9,215,81,big,2.2,1.8,3.9,0.112,-1.5,0.4,-1.1,0.4,FALSE
Harrison Barnes,barneha02,PF,SAS,77,52,1986,0,0,4,88,8,big_percent,96,6,7,225,79,big,2.7,2.1,4.8,0.117,-0.2,0.1,-0.1,1,FALSE
Scottie Barnes,barnesc01,PF,TOR,80,80,2681,0,0,2,67,31,big_percent,98,6,8,237,80,big,3.3,4.5,7.8,0.14,1.9,2.3,4.2,4.2,TRUE
Brooks Barnhizer,barnhbr01,SG,OKC,40,0,348,0,23,45,32,0,wing_big_percent,77,6,5,230,77,wing,-0.1,0.6,0.6,0.082,-4.1,1,-3.1,-0.1,FALSE
RJ Barrett,barrerj01,SF,TOR,57,57,1726,0,55,39,6,0,wing_small_percent,94,6,6,214,78,wing,2,2,4,0.111,1,-0.7,0.2,1,FALSE
Charles Bassey,bassech01,C,BOS,5,0,17,0,0,0,0,100,big_percent,100,6,10,230,82,big,0.1,0,0.1,0.349,7.1,3.3,10.3,0.1,FALSE
Charles Bassey,bassech01,C,GSW,5,0,100,0,0,0,3,97,big_percent,100,6,10,230,82,big,0.3,0.2,0.5,0.233,1.8,0.4,2.2,0.1,FALSE
Charles Bassey,bassech01,C,MEM,2,0,31,0,0,0,63,37,big_percent,100,6,10,230,82,big,0,0,0,0.067,-3.1,-1.4,-4.4,0,FALSE
Charles Bassey,bassech01,C,PHI,1,0,5,0,0,0,0,100,big_percent,100,6,10,230,82,big,0,0,0,0.193,2.8,4.2,7,0,FALSE
Jamison Battle,battlja01,SF,TOR,61,2,517,0,0,56,43,1,wing_big_percent,99,6,7,220,79,wing,0.4,0.5,0.9,0.086,-1.6,-1,-2.6,-0.1,FALSE
Nicolas Batum,batumni01,PF,LAC,74,6,1295,0,0,24,72,4,wing_big_percent,96,6,7,230,79,wing,0.6,1.2,1.8,0.066,-1.7,0.7,-1,0.3,FALSE
Bradley Beal,bealbr01,SG,LAC,6,6,121,0,81,19,0,0,wing_small_percent,100,6,4,207,76,wing,-0.2,0,-0.2,-0.07,-6.7,-3.9,-10.6,-0.3,FALSE
MarJon Beauchamp,beaucma01,SF,PHI,14,1,196,3,32,57,8,0,wing_small_percent,89,6,7,199,79,wing,0,0.2,0.2,0.06,-0.6,-1,-1.6,0,FALSE
Joan Beringer,berinjo01,PF,MIN,40,3,314,0,0,0,20,81,big_percent,101,6,11,230,83,big,1,0.5,1.5,0.222,0.2,0.2,0.4,0.2,FALSE
Saddiq Bey,beysa01,SF,NOP,72,64,2246,0,2,51,46,0,wing_big_percent,97,6,8,215,80,wing,4.5,1,5.4,0.116,2.3,-1.8,0.5,1.4,FALSE
Goga Bitadze,bitadgo01,C,ORL,64,3,972,0,0,0,0,100,big_percent,100,6,11,250,83,big,2.8,1.6,4.4,0.218,0.8,2,2.8,1.2,FALSE
