player,player_id,pos,team,g,gs,mp,pg_percent,sg_percent,sf_percent,pf_percent,c_percent,position,value,ht_ft,ht_in,wt,full_in_ht,position_2,ows,dws,ws,ws_48,obpm,dbpm,bpm,vorp,leader
DeMar DeRozan,derozde01,PF,SAC,77,77,2406,0,6,55,39,0,wing_big_percent,94,6,6,220,78,wing,5.2,0.4,5.6,0.112,0.9,-1,-0.1,1.1,TRUE
Moussa Diabaté,diabamo01,C,CHO,73,47,1899,0,0,0,1,99,big_percent,100,6,10,210,82,big,4.7,2.8,7.4,0.188,0.4,1.2,1.7,1.8,TRUE
Mohamed Diawara,diawamo01,SF,NYK,69,7,634,0,0,44,55,1,wing_big_percent,99,6,9,225,81,wing,0.2,0.7,0.9,0.072,-1.8,0.1,-1.7,0,FALSE
Gradey Dick,dickgr01,SG,TOR,76,1,1067,0,44,52,4,0,wing_small_percent,96,6,7,200,79,wing,0.2,1.3,1.4,0.064,-3.2,-0.4,-3.6,-0.4,FALSE
Hunter Dickinson,dickihu01,C,NOP,5,0,42,0,0,0,0,100,big_percent,100,7,1,255,85,big,-0.1,0,-0.1,-0.094,-8.4,-2.9,-11.4,-0.1,FALSE
Ousmane Dieng,diengou01,C,MIL,30,20,804,0,0,6,72,23,big_percent,95,6,9,185,81,big,-0.8,0.5,-0.3,-0.02,-3,-1.7,-4.6,-0.5,FALSE
Ousmane Dieng,diengou01,C,OKC,27,0,295,0,0,1,52,47,big_percent,99,6,9,185,81,big,0.2,0.4,0.6,0.098,-1.6,0.2,-1.4,0.1,FALSE
Rob Dillingham,dilliro01,PG,CHI,30,0,644,55,44,1,0,0,guard_percent,99,6,2,175,74,guard,-1.1,0.5,-0.6,-0.044,-5.5,-1.3,-6.8,-0.8,FALSE
Rob Dillingham,dilliro01,PG,MIN,35,0,326,86,14,0,0,0,guard_percent,100,6,2,175,74,guard,-1,0.4,-0.5,-0.079,-7.9,-0.3,-8.2,-0.5,FALSE
Donte DiVincenzo,divindo01,SG,MIN,82,82,2494,44,50,6,0,0,guard_percent,94,6,4,203,76,guard,2.3,2.9,5.2,0.1,0,0.7,0.8,1.7,TRUE
Luka Dončić,doncilu01,PG,LAL,64,64,2289,86,14,0,0,0,guard_percent,100,6,8,230,80,guard,6.6,2.9,9.5,0.199,8,1.3,9.3,6.6,TRUE
Luguentz Dort,dortlu01,SF,OKC,69,69,1849,0,1,41,56,1,wing_big_percent,97,6,4,220,76,wing,0,3,3,0.078,-2.8,0.8,-2,0,FALSE
Ayo Dosunmu,dosunay01,SG,CHI,45,10,1187,18,63,19,1,0,wing_small_percent,82,6,4,200,76,wing,2.4,0.6,3,0.12,1.6,-0.9,0.8,0.8,TRUE
Ayo Dosunmu,dosunay01,SG,MIN,24,9,694,48,51,1,0,0,guard_percent,99,6,4,200,76,guard,1.1,0.8,1.9,0.132,0.7,0.8,1.5,0.6,FALSE
Andre Drummond,drumman01,C,PHI,63,25,1231,0,0,0,1,99,big_percent,100,6,11,279,83,big,1.5,1.9,3.4,0.133,-0.4,-0.2,-0.6,0.4,FALSE
Kris Dunn,dunnkr01,PG,LAC,82,68,2230,85,16,0,0,0,guard_percent,101,6,3,205,75,guard,1.7,2.3,4,0.085,-2.3,1.5,-0.8,0.6,FALSE
Ryan Dunn,dunnry01,SF,PHO,70,16,1355,0,4,43,53,0,wing_big_percent,96,6,7,216,79,wing,0.7,1.9,2.6,0.093,-2.1,1.2,-0.9,0.4,FALSE
Kevin Durant,duranke01,SF,HOU,78,78,2840,0,32,61,8,0,wing_small_percent,93,6,11,240,83,wing,7.5,3.2,10.7,0.18,4.4,0.1,4.5,4.7,TRUE
Jalen Duren,durenja01,C,DET,70,70,1976,0,0,0,0,100,big_percent,100,6,10,250,82,big,7.2,3.8,11,0.266,4.4,0.5,5,3.5,TRUE
Tari Eason,easonta01,PF,HOU,60,34,1549,0,1,58,39,2,wing_big_percent,97,6,8,215,80,wing,0.6,2.3,2.9,0.091,-1.8,0.2,-1.6,0.2,FALSE
Zach Edey,edeyza01,C,MEM,11,11,284,0,0,0,0,100,big_percent,100,7,3,305,87,big,0.4,0.4,0.8,0.134,-0.6,1.1,0.5,0.2,FALSE
VJ Edgecombe,edgecvj01,SG,PHI,75,75,2623,28,72,0,0,0,guard_percent,100,6,4,180,76,guard,1.9,2.5,4.4,0.081,-0.4,-0.1,-0.5,1,FALSE
Anthony Edwards,edwaran01,SG,MIN,61,60,2137,1,64,34,1,0,wing_small_percent,98,6,4,225,76,wing,3.9,2.7,6.5,0.147,4.7,-0.1,4.5,3.5,TRUE
Justin Edwards,edwarju01,SF,PHI,64,12,977,0,5,83,13,0,wing_big_percent,96,6,7,203,79,wing,0.8,0.9,1.7,0.086,-1.8,0.6,-1.3,0.2,FALSE
Keon Ellis,elliske01,SG,CLE,29,6,720,1,66,29,3,0,wing_small_percent,95,6,4,175,76,wing,1,0.8,1.8,0.121,-0.7,1.7,1.1,0.6,FALSE
Keon Ellis,elliske01,SG,SAC,43,5,758,52,46,2,0,0,guard_percent,98,6,4,175,76,guard,0,0.4,0.4,0.025,-2.8,0.9,-1.9,0,FALSE
Joel Embiid,embiijo01,C,PHI,38,38,1201,0,0,0,0,100,big_percent,100,7,0,280,84,big,2.8,1.3,4.1,0.163,5.1,-0.2,4.9,2.1,TRUE
Tristan Enaruna,enarutr01,SF,CLE,9,0,85,7,27,40,27,0,wing_small_percent,67,6,7,220,79,wing,0.2,0.1,0.2,0.137,-0.5,-0.4,-1,0,FALSE
Noa Essengue,essenno01,PF,CHI,2,0,6,0,0,0,74,26,big_percent,100,6,8,200,80,big,-0.1,0,-0.1,-0.417,-20.7,-3,-23.7,0,FALSE
Tyson Etienne,etienty01,PG,BRK,24,2,380,100,0,0,0,0,guard_percent,100,6,0,200,72,guard,0.4,0.1,0.5,0.069,-0.8,-2,-2.8,-0.1,FALSE
Drew Eubanks,eubandr01,C,SAC,42,11,552,0,0,0,1,99,big_percent,100,6,10,245,82,big,0.3,0.3,0.6,0.053,-3,-0.7,-3.7,-0.2,FALSE
Tosan Evbuomwan,evbuoto01,SF,NYK,5,0,8,0,9,91,0,0,wing_small_percent,100,6,8,217,80,wing,0,0,0,-0.025,-8.5,-3,-11.5,0,FALSE
Jeremiah Fears,fearsje01,PG,NOP,82,49,2112,92,8,0,0,0,guard_percent,100,6,3,190,75,guard,-0.8,1.4,0.6,0.015,-1.4,-1.3,-2.7,-0.4,FALSE
Kyle Filipowski,filipky01,C,UTA,77,41,1801,0,0,0,16,84,big_percent,100,6,11,250,83,big,1.8,1.3,3.1,0.082,-0.6,-0.5,-1.1,0.4,FALSE
Dorian Finney-Smith,finnedo01,PF,HOU,37,1,620,0,2,51,47,0,wing_big_percent,98,6,7,220,79,wing,0,0.6,0.5,0.042,-4.3,-0.1,-4.3,-0.4,FALSE
Cooper Flagg,flaggco01,SF,DAL,70,70,2344,0,1,37,60,1,wing_big_percent,97,6,9,205,81,wing,1.3,2.5,3.8,0.078,1,0.4,1.4,2,TRUE
Rasheer Fleming,flemira01,PF,PHO,55,1,673,0,0,3,86,11,big_percent,97,6,9,240,81,big,0,0.8,0.8,0.055,-3,-0.7,-3.8,-0.3,FALSE
Trentyn Flowers,flowetr01,SF,CHI,2,0,6,0,0,100,0,0,wing_small_percent,100,NA,NA,NA,NA,wing,0,0,0,0.023,1.7,-2.7,-1,0,FALSE
Simone Fontecchio,fontesi01,SF,MIA,70,9,1173,0,0,24,73,3,wing_big_percent,97,6,7,209,79,wing,1.4,1.2,2.6,0.106,0.7,-0.2,0.5,0.7,FALSE
De'Aaron Fox,foxde01,PG,SAS,72,72,2231,99,1,0,0,0,guard_percent,100,6,3,185,75,guard,3.4,3,6.4,0.138,1.5,0.6,2.2,2.4,TRUE
Enrique Freeman,freemen01,PF,MIN,4,0,37,0,0,6,94,0,wing_big_percent,100,6,9,220,81,wing,0,0.1,0.1,0.162,-1.5,1.5,0,0,FALSE
Markelle Fultz,fultzma01,PG,TOR,5,0,36,100,0,0,0,0,guard_percent,100,NA,NA,NA,NA,guard,-0.2,0,-0.2,-0.209,-12.3,-4,-16.3,-0.1,FALSE
Johnny Furphy,furphjo01,SG,IND,35,21,643,0,49,46,5,0,wing_small_percent,95,6,8,200,80,wing,0,0.5,0.5,0.036,-3.9,0.2,-3.7,-0.3,FALSE
Daniel Gafford,gaffoda01,C,DAL,55,44,1195,0,0,0,0,100,big_percent,100,6,10,265,82,big,2.5,1.7,4.1,0.167,-0.5,1.2,0.7,0.8,TRUE
Andersson Garcia,garcian01,SF,UTA,5,2,169,0,2,41,40,17,wing_big_percent,81,NA,NA,NA,NA,wing,0,0.1,0.1,0.014,-5.2,-0.5,-5.7,-0.2,FALSE
Myron Gardner,gardnmy01,SF,MIA,45,7,411,0,25,49,26,0,wing_big_percent,75,6,5,220,77,wing,0.8,0.6,1.4,0.163,-1.1,1.9,0.9,0.3,FALSE
Darius Garland,garlada01,PG,CLE,26,26,792,86,14,0,0,0,guard_percent,100,6,1,192,73,guard,0.9,0.5,1.4,0.084,0.9,-2.5,-1.6,0.1,FALSE
Darius Garland,garlada01,PG,LAC,19,17,552,100,0,0,0,0,guard_percent,100,6,1,192,73,guard,0.8,0.4,1.2,0.104,4,-2.2,1.8,0.5,FALSE
Luka Garza,garzalu01,C,BOS,69,6,1118,0,0,0,4,96,big_percent,100,6,10,243,82,big,3.9,1.4,5.3,0.226,2.2,0.2,2.4,1.2,FALSE
Keyonte George,georgke01,PG,UTA,54,54,1786,100,0,0,0,0,guard_percent,100,6,4,185,76,guard,3.1,0.1,3.3,0.088,3,-2.1,0.9,1.3,TRUE
Kyshawn George,georgky01,SF,WAS,48,48,1391,0,1,47,49,3,wing_big_percent,96,6,8,200,80,wing,0.1,0.5,0.6,0.022,-0.5,-0.6,-1.2,0.3,FALSE
Paul George,georgpa01,PF,PHI,37,37,1135,0,0,45,55,0,wing_big_percent,100,6,8,220,80,wing,1.1,1.4,2.5,0.108,1,0.7,1.7,1.1,TRUE
Taj Gibson,gibsota01,C,MEM,10,1,97,0,0,0,0,100,big_percent,100,6,9,232,81,big,0.2,0.1,0.3,0.134,-1.4,-2.1,-3.5,0,FALSE
Josh Giddey,giddejo01,PG,CHI,54,51,1731,49,48,3,0,0,guard_percent,97,6,7,216,79,guard,1.6,1.7,3.2,0.09,2.3,0.4,2.7,2,TRUE
Keshon Gilbert,gilbeke01,SG,ATL,1,0,26,18,63,20,0,0,wing_small_percent,83,6,4,200,76,wing,0.1,0,0.1,0.15,-0.3,-0.6,-0.9,0,FALSE
Keshon Gilbert,gilbeke01,PG,WAS,3,0,48,0,94,6,0,0,wing_small_percent,100,6,4,200,76,wing,-0.1,0,-0.1,-0.089,-6.2,-0.4,-6.6,-0.1,FALSE
Shai Gilgeous-Alexander,gilgesh01,PG,OKC,68,68,2259,100,0,0,0,0,guard_percent,100,6,6,195,78,guard,11.1,4.1,15.2,0.323,8.7,3,11.7,7.8,TRUE
Anthony Gill,gillan01,PF,WAS,55,8,951,0,0,1,36,64,big_percent,100,6,7,230,79,big,1.6,0.1,1.7,0.087,-1.3,-1.3,-2.6,-0.2,FALSE
Collin Gillespie,gilleco01,PG,PHO,80,58,2282,88,12,0,0,0,guard_percent,100,6,1,195,73,guard,3.6,2.5,6.2,0.13,1.9,0.6,2.5,2.6,TRUE
Rudy Gobert,goberru01,C,MIN,76,76,2380,0,0,0,0,100,big_percent,100,7,1,258,85,big,4.8,4,8.7,0.176,0,0.9,1,1.8,FALSE
Vladislav Goldin,goldivl01,C,MIA,9,0,24,0,0,0,0,100,big_percent,100,7,0,250,84,big,0,0,0.1,0.121,-5,4.5,-0.5,0,FALSE
Hugo González,gonzahu01,SF,BOS,74,3,1084,2,21,67,11,0,wing_small_percent,88,6,6,200,78,wing,0.5,1.7,2.2,0.099,-3.1,1.6,-1.5,0.1,FALSE
Jordan Goodwin,goodwjo01,PG,PHO,70,10,1572,40,52,8,0,0,guard_percent,92,6,3,215,75,guard,1.5,2.4,3.9,0.118,0.3,1.5,1.8,1.5,FALSE
Aaron Gordon,gordoaa01,PF,DEN,36,33,1005,0,0,0,79,21,big_percent,100,6,8,235,80,big,2.4,0.7,3.2,0.153,2.9,-1.2,1.7,0.9,FALSE
Eric Gordon,gordoer01,SG,PHI,6,0,74,3,61,36,0,0,wing_small_percent,97,NA,NA,NA,NA,wing,0.1,0.1,0.2,0.116,2.1,0.3,2.4,0.1,FALSE
Jerami Grant,grantje01,PF,POR,57,38,1695,0,0,58,39,3,wing_big_percent,97,6,7,213,79,wing,2.6,1.4,4,0.114,0.9,-0.9,0,0.9,FALSE
Hayden Gray,grayha01,NA,UTA,1,0,25,100,0,0,0,0,guard_percent,100,6,4,190,76,guard,0,0,0,0.044,-4.3,-1.2,-5.5,0,FALSE
A.J. Green,greenaj01,SG,MIL,78,68,2270,17,61,22,0,0,wing_small_percent,83,6,4,190,76,wing,2,0.4,2.4,0.05,-1.5,-1.8,-3.3,-0.8,FALSE
Draymond Green,greendr01,PF,GSW,68,68,1869,0,0,6,52,43,big_percent,95,6,6,230,78,big,-0.4,2.1,1.7,0.044,-2.4,1,-1.4,0.3,FALSE
Javonte Green,greenja02,SG,DET,82,6,1446,8,60,31,2,0,wing_small_percent,91,6,5,205,77,wing,2,2.7,4.7,0.156,-0.3,2.4,2.1,1.5,FALSE
Jalen Green,greenja05,SG,PHO,32,27,828,9,63,27,1,0,wing_small_percent,90,6,4,186,76,wing,-0.6,1,0.3,0.019,-0.2,-0.9,-1.1,0.2,FALSE
Jeff Green,greenje02,PF,HOU,30,0,175,0,0,4,55,41,big_percent,96,6,8,235,80,big,0.1,0.1,0.2,0.054,-3.4,-2.2,-5.6,-0.2,FALSE
Josh Green,greenjo02,SG,CHO,58,0,908,20,66,12,1,0,guard_percent,86,6,6,200,78,guard,1,0.9,1.9,0.099,-1.7,1,-0.7,0.3,FALSE
Quentin Grimes,grimequ01,SG,PHI,75,19,2206,1,55,43,0,0,wing_small_percent,98,6,4,210,76,wing,1.9,1.7,3.6,0.078,-0.9,-0.6,-1.6,0.2,FALSE
Mouhamadou Gueye,gueyemo01,PF,CHI,2,0,45,0,0,0,46,54,big_percent,100,6,9,210,81,big,0,0,0.1,0.086,-2.2,-1.7,-3.9,0,FALSE
Mouhamed Gueye,gueyemo02,PF,ATL,77,8,1179,0,0,0,56,44,big_percent,100,6,11,210,83,big,0.9,1.8,2.7,0.11,-2.6,1.3,-1.3,0.2,FALSE
Rui Hachimura,hachiru01,PF,LAL,68,41,1927,0,0,1,89,10,big_percent,99,6,8,230,80,big,2.1,1.1,3.2,0.08,-0.8,-1.5,-2.2,-0.1,FALSE
PJ Hall,hallpj01,C,CHO,12,2,187,0,0,0,2,98,big_percent,100,6,8,245,80,big,0.2,0.3,0.5,0.121,-2.1,-0.8,-2.9,0,FALSE
PJ Hall,hallpj01,C,MEM,7,0,27,0,0,0,0,100,big_percent,100,6,8,245,80,big,0.1,0,0.1,0.151,1.7,0.1,1.8,0,FALSE
Tim Hardaway Jr.,hardati02,SG,DEN,80,6,2127,4,54,40,2,0,wing_small_percent,94,6,5,205,77,wing,3.5,1,4.4,0.1,1.3,-1.9,-0.7,0.7,TRUE
James Harden,hardeja01,PG,CLE,26,26,879,68,28,5,0,0,guard_percent,96,6,5,220,77,guard,2.1,0.8,2.9,0.158,4.4,-0.4,4,1.3,TRUE
James Harden,hardeja01,PG,LAC,44,44,1559,34,66,1,0,0,guard_percent,100,6,5,220,77,guard,3.5,1.3,4.8,0.148,4.8,-1,3.8,2.3,TRUE
Jaden Hardy,hardyja02,SG,DAL,34,4,428,22,65,13,0,0,guard_percent,87,6,3,198,75,guard,-0.1,0.2,0.1,0.012,-1.9,-1.9,-3.8,-0.2,FALSE
Jaden Hardy,hardyja02,SG,WAS,23,0,470,32,55,13,0,0,guard_percent,87,6,3,198,75,guard,-0.2,-0.1,-0.3,-0.03,-1.2,-4.5,-5.7,-0.4,FALSE
Elijah Harkless,harklej01,SG,UTA,26,9,545,48,52,1,0,0,guard_percent,100,6,3,195,75,guard,-0.1,0.2,0.1,0.005,-4.9,-0.7,-5.6,-0.5,FALSE
Dylan Harper,harpedy01,SG,SAS,69,4,1558,9,60,31,0,0,wing_small_percent,91,6,5,215,77,wing,2,2.2,4.2,0.13,0.3,1.1,1.4,1.3,FALSE
Ron Harper Jr.,harpero02,SF,BOS,29,3,318,0,17,59,24,0,wing_big_percent,83,6,5,233,77,wing,0.4,0.4,0.8,0.119,0.2,0.9,1.1,0.3,FALSE
Gary Harris,harriga01,SG,MIL,48,2,661,8,63,29,0,0,wing_small_percent,92,6,4,210,76,wing,0.4,0.3,0.7,0.054,-3.2,0.7,-2.5,-0.1,FALSE
Tobias Harris,harrito02,PF,DET,63,63,1746,0,0,0,99,1,big_percent,100,6,8,226,80,big,2.6,2.7,5.3,0.145,0.6,0.8,1.4,1.5,FALSE
Isaiah Hartenstein,harteis01,C,OKC,47,46,1137,0,0,0,0,100,big_percent,100,7,0,250,84,big,2.5,2.8,5.3,0.223,1,3.2,4.2,1.8,FALSE
Josh Hart,hartjo01,SF,NYK,66,52,1994,0,41,51,9,0,wing_small_percent,92,6,5,215,77,wing,3.1,3,6.1,0.147,1,2,3,2.5,FALSE
Sam Hauser,hausesa01,PF,BOS,78,49,1934,0,0,20,77,3,wing_big_percent,97,6,7,217,79,wing,2.9,2.1,5,0.124,0.6,0,0.6,1.3,FALSE
Jordan Hawkins,hawkijo01,SG,NOP,51,1,692,2,91,7,1,0,wing_small_percent,98,6,5,190,77,wing,-0.6,0.2,-0.4,-0.029,-3.2,-3,-6.2,-0.7,FALSE
Jaxson Hayes,hayesja02,C,LAL,66,9,1207,0,0,0,0,100,big_percent,100,7,0,220,84,big,3.8,1.2,5,0.199,0.8,0.4,1.2,1,TRUE
Killian Hayes,hayeski01,PG,SAC,23,3,406,85,15,0,0,0,guard_percent,100,6,4,195,76,guard,-0.5,0.2,-0.3,-0.031,-5.1,-0.9,-6,-0.4,FALSE
Nigel Hayes-Davis,hayesni01,SF,PHO,27,0,195,0,22,29,47,2,wing_big_percent,76,NA,NA,NA,NA,wing,-0.3,0.2,-0.1,-0.023,-6.4,-0.8,-7.3,-0.3,FALSE
Scoot Henderson,hendesc01,PG,POR,30,10,748,100,0,0,0,0,guard_percent,100,6,3,207,75,guard,0.3,0.7,1,0.064,-1.7,-0.5,-2.2,0,FALSE
Taylor Hendricks,hendrta01,PF,MEM,26,11,626,0,0,0,8,92,big_percent,100,6,9,215,81,big,0.1,0.7,0.8,0.061,-1.3,-0.2,-1.5,0.1,FALSE
Taylor Hendricks,hendrta01,PF,UTA,33,6,492,0,0,31,53,16,wing_big_percent,84,6,9,215,81,wing,0.3,0.1,0.4,0.034,-1.8,-1.7,-3.5,-0.2,FALSE
Chucky Hepburn,hepbuch01,PG,TOR,2,0,13,100,0,0,0,0,guard_percent,100,6,0,190,72,guard,-0.1,0,-0.1,-0.441,-20.7,-3.1,-23.8,-0.1,FALSE
Tyler Herro,herroty01,SG,MIA,33,28,1033,5,75,20,0,0,wing_small_percent,95,6,5,195,77,wing,1.4,1,2.4,0.112,2.4,-0.4,2,1.1,FALSE
Buddy Hield,hieldbu01,SG,ATL,7,0,51,1,71,28,0,0,wing_small_percent,99,6,4,220,76,wing,0,0.1,0,0.044,1,-2.1,-1.1,0,FALSE
Buddy Hield,hieldbu01,SG,GSW,44,3,768,0,23,65,12,0,wing_small_percent,88,6,4,220,76,wing,0.2,0.8,1,0.061,-1,0,-1,0.2,FALSE
Haywood Highsmith,highsha01,SF,PHO,7,0,91,0,6,52,43,0,wing_big_percent,95,6,5,220,77,wing,0.4,0.1,0.5,0.238,2.7,1.2,3.8,0.1,FALSE
Blake Hinson,hinsobl01,SF,UTA,14,3,285,0,0,3,69,28,big_percent,97,6,8,240,80,big,0.7,0,0.7,0.112,2.5,-3,-0.6,0.1,FALSE
Aaron Holiday,holidaa01,PG,HOU,57,1,781,100,0,0,0,0,guard_percent,100,6,0,185,72,guard,0.7,0.7,1.4,0.088,-2.2,-0.2,-2.4,-0.1,FALSE
Jrue Holiday,holidjr01,PG,POR,53,51,1560,75,25,0,0,0,guard_percent,100,6,4,220,76,guard,2.1,1.5,3.6,0.109,2.4,-0.5,1.9,1.6,TRUE
Ron Holland,hollaro01,SF,DET,78,5,1551,0,0,25,75,0,wing_big_percent,100,6,8,206,80,wing,-0.1,2.9,2.8,0.087,-3.3,1.4,-2,0,FALSE
DaRon Holmes,holmeda01,PF,DEN,25,6,210,0,0,0,29,71,big_percent,100,6,9,225,81,big,0.3,0.1,0.4,0.103,0.7,-1.2,-0.5,0.1,FALSE
Chet Holmgren,holmgch01,PF,OKC,69,69,1997,0,0,1,37,62,big_percent,99,7,1,208,85,big,4.4,4.7,9.1,0.219,2.4,1.9,4.2,3.1,TRUE
Al Horford,horfoal01,C,GSW,45,13,969,0,0,0,6,94,big_percent,100,6,8,240,80,big,0.8,1.3,2.1,0.105,0.3,1.3,1.6,0.9,TRUE
Caleb Houstan,houstca01,SF,ATL,18,0,75,0,8,73,19,0,wing_big_percent,92,NA,NA,NA,NA,wing,0.2,0.1,0.2,0.16,1.6,-1.2,0.3,0,FALSE
Jett Howard,howarje01,SF,ORL,55,0,695,0,22,42,33,3,wing_big_percent,75,6,8,215,80,wing,0.7,0.5,1.3,0.087,-0.8,-1.1,-1.8,0,FALSE
Kevin Huerter,huertke01,SF,CHI,44,11,1037,0,12,75,13,0,wing_big_percent,88,6,6,198,78,wing,0.5,0.8,1.3,0.06,-1.1,0.1,-1,0.3,FALSE
Kevin Huerter,huertke01,SG,DET,25,3,512,1,59,39,2,0,wing_small_percent,98,6,6,198,78,wing,0.4,0.9,1.2,0.114,-1.1,1.4,0.3,0.3,FALSE
Jay Huff,huffja01,C,IND,82,47,1719,0,0,0,0,100,big_percent,100,7,1,240,85,big,1.3,1.9,3.2,0.089,-0.9,1.3,0.4,1.1,FALSE
Ariel Hukporti,hukpoar01,C,NYK,54,5,498,0,0,0,7,93,big_percent,100,7,0,246,84,big,0.4,0.8,1.2,0.115,-3.7,1.4,-2.3,0,FALSE
De'Andre Hunter,huntede01,SF,CLE,43,23,1125,0,5,58,38,0,wing_big_percent,96,6,7,221,79,wing,0.3,1,1.3,0.056,-2.1,-1.3,-3.4,-0.4,FALSE
De'Andre Hunter,huntede01,SF,SAC,2,2,51,0,0,85,15,0,wing_big_percent,100,6,7,221,79,wing,-0.2,0,-0.2,-0.225,-11,-5.5,-16.5,-0.2,FALSE
CJ Huntley,huntlcj01,SF,PHO,4,0,40,0,0,69,31,0,wing_big_percent,100,6,9,190,81,wing,0.1,0,0.1,0.099,-3.9,-0.5,-4.4,0,FALSE
Bones Hyland,hylanbo01,PG,MIN,71,3,1177,92,8,0,0,0,guard_percent,100,6,2,169,74,guard,1.8,1.3,3.1,0.126,1.2,0.5,1.7,1.1,FALSE
Oso Ighodaro,ighodos01,PF,PHO,82,24,1808,0,0,0,3,97,big_percent,100,6,11,235,83,big,2.1,2.6,4.7,0.125,-2.2,2.3,0.1,0.9,FALSE
Joe Ingles,inglejo01,SF,MIN,27,2,153,0,5,53,42,0,wing_big_percent,95,6,8,220,80,wing,0.2,0.2,0.4,0.12,-1.2,1.4,0.2,0.1,FALSE
Brandon Ingram,ingrabr01,SF,TOR,77,77,2604,0,4,76,20,0,wing_big_percent,96,6,8,190,80,wing,1.5,3.1,4.6,0.084,1,-0.5,0.5,1.7,TRUE
Harrison Ingram,ingraha01,SF,SAS,7,0,26,0,48,44,8,0,wing_small_percent,92,6,5,230,77,wing,0.1,0,0.1,0.178,3.6,-1.4,2.3,0,FALSE
Jonathan Isaac,isaacjo01,PF,ORL,52,0,521,0,0,3,77,21,big_percent,98,6,10,230,82,big,0.1,0.8,0.9,0.085,-2.9,1.3,-1.6,0.1,FALSE
Jaden Ivey,iveyja01,SG,CHI,4,3,115,45,32,23,0,0,guard_percent,77,NA,NA,NA,NA,guard,0.1,0.1,0.3,0.11,-0.8,0.7,0,0.1,FALSE
Jaden Ivey,iveyja01,SG,DET,33,2,555,28,68,5,0,0,guard_percent,96,NA,NA,NA,NA,guard,0.4,0.7,1.1,0.093,-0.1,0.1,0.1,0.3,FALSE
Andre Jackson Jr.,jacksan01,SG,MIL,48,1,408,1,35,58,6,0,wing_small_percent,93,6,6,209,78,wing,-0.7,0.3,-0.4,-0.047,-5.7,-1.4,-7.1,-0.5,FALSE
GG Jackson II,jacksgg01,PF,MEM,55,28,1178,0,0,23,33,43,big_percent,76,6,9,210,81,big,0.4,0.9,1.3,0.052,0,-1.2,-1.2,0.2,FALSE
Isaiah Jackson,jacksis01,C,IND,38,14,638,0,0,0,8,92,big_percent,100,6,8,205,80,big,0.7,0.8,1.4,0.107,-3.1,0.4,-2.7,-0.1,FALSE
Isaiah Jackson,jacksis01,C,LAC,17,0,270,0,0,0,2,98,big_percent,100,6,8,205,80,big,0.8,0.4,1.2,0.213,0.7,1.8,2.6,0.3,FALSE
Jaren Jackson Jr.,jacksja02,C,MEM,45,45,1382,0,0,0,55,46,big_percent,101,6,10,242,82,big,0,1.3,1.3,0.046,-1.2,0.4,-0.8,0.4,FALSE
Jaren Jackson Jr.,jacksja02,C,UTA,3,3,72,0,0,0,74,26,big_percent,100,6,10,242,82,big,0.1,0.1,0.1,0.082,2.4,2.2,4.6,0.1,FALSE
Quenton Jackson,jacksqu01,PG,IND,49,19,897,85,15,0,0,0,guard_percent,100,6,4,173,76,guard,0.9,0.5,1.4,0.076,-1.1,-0.8,-1.8,0,FALSE
Trayce Jackson-Davis,jackstr02,C,GSW,36,1,411,0,0,0,0,100,big_percent,100,6,9,245,81,big,0.7,0.5,1.2,0.136,-1,0.6,-0.4,0.2,FALSE
Trayce Jackson-Davis,jackstr02,C,TOR,17,0,85,0,0,0,0,100,big_percent,100,6,9,245,81,big,0.1,0.2,0.3,0.148,0.1,-0.6,-0.5,0,FALSE
Kasparas Jakučionis,jakucka01,PG,MIA,53,12,945,85,15,0,0,0,guard_percent,100,6,5,200,77,guard,1.4,0.9,2.3,0.114,-1,0.6,-0.4,0.4,FALSE
Bronny James,jamesbr02,SG,LAL,42,1,375,59,41,0,0,0,guard_percent,100,6,2,210,74,guard,-0.2,0.3,0.1,0.018,-3.4,-0.9,-4.3,-0.2,FALSE
LeBron James,jamesle01,SF,LAL,60,60,1989,0,22,59,19,0,wing_small_percent,81,6,9,250,81,wing,3.4,2.1,5.4,0.131,3.3,0.2,3.5,2.8,TRUE
Sion James,jamessi01,SG,CHO,82,19,1843,10,64,25,2,0,wing_small_percent,89,6,5,220,77,wing,1.1,1.9,3.1,0.08,-3,1.1,-2,0,FALSE
Jaime Jaquez Jr.,jaqueja01,SF,MIA,75,1,2121,1,12,38,50,0,wing_big_percent,88,6,6,225,78,wing,2.2,2,4.2,0.094,0.3,-0.1,0.1,1.1,FALSE
DeJon Jarreau,jarrede01,SG,MEM,11,0,231,12,67,21,0,0,wing_small_percent,88,NA,NA,NA,NA,wing,-0.4,0.2,-0.2,-0.035,-4.9,-0.3,-5.2,-0.2,FALSE
DaQuan Jeffries,jeffrda01,SG,SAC,3,0,60,0,16,63,22,0,wing_big_percent,85,NA,NA,NA,NA,wing,0.2,0,0.2,0.165,0.9,-1.1,-0.2,0,FALSE
Trey Jemison,jemistr01,C,NYK,13,0,82,0,0,0,22,78,big_percent,100,6,10,270,82,big,-0.1,0.1,0,-0.018,-8.3,-0.3,-8.6,-0.1,FALSE
Daniss Jenkins,jenkida01,PG,DET,72,19,1455,92,8,0,0,0,guard_percent,100,6,4,165,76,guard,0.9,2,2.9,0.095,-0.8,0.1,-0.7,0.5,FALSE
