id,player,jump_balls_participated,wins,losses,win_percent,jump_balls_participated_percentile,win_percent_percentile,avg_percentiles
1626157,Karl-Anthony Towns,81,42,39,0.5185185185185185,0.9384615384615385,0.6102564102564103,0.7743589743589744
1626164,Devin Booker,15,6,9,0.4,0.6512820512820513,0.3282051282051282,0.4897435897435898
1626167,Myles Turner,82,23,59,0.2804878048780488,0.9435897435897436,0.20512820512820512,0.5743589743589743
1626172,Kevon Looney,9,1,8,0.1111111111111111,0.4717948717948718,0.035897435897435895,0.25384615384615383
1626181,Norman Powell,6,1,5,0.16666666666666666,0.16923076923076924,0.07179487179487179,0.12051282051282051
1626220,Royce O'Neale,5,3,2,0.6,0,0.7128205128205128,0.3564102564102564
1627734,Domantas Sabonis,19,7,12,0.3684210526315789,0.7333333333333333,0.2717948717948718,0.5025641025641026
1627742,Brandon Ingram,7,4,3,0.5714285714285714,0.26153846153846155,0.6564102564102564,0.458974358974359
1627750,Jamal Murray,6,5,1,0.8333333333333334,0.16923076923076924,0.958974358974359,0.5641025641025641
1627751,Jakob Poeltl,54,34,20,0.6296296296296297,0.8769230769230769,0.8102564102564103,0.8435897435897436
1627759,Jaylen Brown,25,17,8,0.68,0.7692307692307693,0.8717948717948718,0.8205128205128205
1627783,Pascal Siakam,9,3,6,0.3333333333333333,0.4717948717948718,0.22564102564102564,0.3487179487179487
1627824,Guerschon Yabusele,5,1,4,0.2,0,0.10256410256410256,0.05128205128205128
1627826,Ivica Zubac,57,24,33,0.42105263157894735,0.8974358974358975,0.37948717948717947,0.6384615384615384
1627936,Alex Caruso,6,1,5,0.16666666666666666,0.16923076923076924,0.07179487179487179,0.12051282051282051
1628368,De'Aaron Fox,7,3,4,0.42857142857142855,0.26153846153846155,0.38461538461538464,0.3230769230769231
1628374,Lauri Markkanen,15,7,8,0.4666666666666667,0.6512820512820513,0.49743589743589745,0.5743589743589743
1628378,Donovan Mitchell,11,1,10,0.09090909090909091,0.558974358974359,0.03076923076923077,0.2948717948717949
1628381,John Collins,8,5,3,0.625,0.358974358974359,0.7846153846153846,0.5717948717948718
1628384,OG Anunoby,8,5,3,0.625,0.358974358974359,0.7846153846153846,0.5717948717948718
1628386,Jarrett Allen,66,42,24,0.6363636363636364,0.9179487179487179,0.8205128205128205,0.8692307692307693
1628389,Bam Adebayo,63,42,21,0.6666666666666666,0.9076923076923077,0.841025641025641,0.8743589743589744
1628392,Isaiah Hartenstein,15,5,10,0.3333333333333333,0.6512820512820513,0.22564102564102564,0.43846153846153846
1628396,Tony Bradley,5,3,2,0.6,0,0.7128205128205128,0.3564102564102564
1628401,Derrick White,8,1,7,0.125,0.358974358974359,0.041025641025641026,0.2
