player1,player2,team,total_p1_to_p2,total_p2_to_p1,total2s_p1_to_p2,total2s_p2_to_p1,total3s_p1_to_p2,total3s_p2_to_p1,total,harmonic_mean,diff_between_sides
Collin Gillespie,Devin Booker,PHX,47,37,29,4,18,33,84,41.404761904761905,10
De'Aaron Fox,Victor Wembanyama,SAS,88,27,57,15,31,12,115,41.321739130434786,61
Derrick White,Neemias Queta,BOS,66,30,66,17,0,13,96,41.25,36
Paolo Banchero,Wendell Carter Jr.,ORL,58,32,44,16,14,16,90,41.24444444444445,26
LaMelo Ball,Moussa Diabaté,CHA,40,42,40,19,0,23,82,40.97560975609756,2
Nickeil Alexander-Walker,Onyeka Okongwu,ATL,40,42,22,17,18,25,82,40.97560975609756,2
Brandin Podziemski,Draymond Green,GSW,33,54,12,31,21,23,87,40.96551724137931,21
Jeremiah Fears,Trey Murphy III,NOP,48,35,29,19,19,16,83,40.48192771084337,13
Cooper Flagg,Max Christie,DAL,54,32,15,25,39,7,86,40.18604651162791,22
Nikola Jokić,Tim Hardaway Jr.,DEN,86,26,35,20,51,6,112,39.92857142857143,60
Jalen Suggs,Paolo Banchero,ORL,50,33,41,11,9,22,83,39.75903614457831,17
Devin Vassell,Stephon Castle,SAS,29,62,13,23,16,39,91,39.51648351648352,33
Cade Cunningham,Tobias Harris,DET,66,28,40,13,26,15,94,39.319148936170215,38
Donte DiVincenzo,Jaden McDaniels,MIN,61,29,47,3,14,26,90,39.31111111111111,32
Jake LaRavia,Luka Dončić,LAL,30,57,15,31,15,26,87,39.310344827586206,27
Josh Giddey,Nikola Vučević,CHI,80,26,49,17,31,9,106,39.24528301886792,54
Bam Adebayo,Davion Mitchell,MIA,25,91,11,52,14,39,116,39.224137931034484,66
Austin Reaves,Luka Dončić,LAL,36,43,14,19,22,24,79,39.18987341772152,7
Cade Cunningham,Duncan Robinson,DET,103,24,14,14,89,10,127,38.92913385826772,79
Nikola Jokić,Peyton Watson,DEN,76,26,56,18,20,8,102,38.745098039215684,50
Donovan Mitchell,Jaylon Tyson,CLE,51,31,29,12,22,19,82,38.5609756097561,20
Kawhi Leonard,Kris Dunn,LAC,29,55,13,37,16,18,84,37.976190476190474,26
Brandon Miller,Kon Knueppel,CHA,35,41,11,19,24,22,76,37.76315789473684,6
Jaden McDaniels,Naz Reid,MIN,35,40,18,23,17,17,75,37.333333333333336,5
Myles Turner,Ryan Rollins,MIL,25,69,7,31,18,38,94,36.702127659574465,44
Jrue Holiday,Toumani Camara,POR,62,26,28,12,34,14,88,36.63636363636363,36
Kyle Kuzma,Ryan Rollins,MIL,26,61,15,45,11,16,87,36.45977011494253,35
Jake LaRavia,LeBron James,LAL,26,58,19,39,7,19,84,35.904761904761905,32
