player1,player2,team,total_p1_to_p2,total_p2_to_p1,total2s_p1_to_p2,total2s_p2_to_p1,total3s_p1_to_p2,total3s_p2_to_p1,total,harmonic_mean,diff_between_sides
Trendon Watford,VJ Edgecombe,PHI,13,6,6,5,7,1,19,8.210526315789474,7
Keegan Murray,Russell Westbrook,SAC,5,22,2,17,3,5,27,8.148148148148149,17
Luka Dončić,Luke Kennard,LAL,21,5,11,4,10,1,26,8.076923076923077,16
Donovan Mitchell,Nae'Qwan Tomlin,CLE,21,5,16,3,5,2,26,8.076923076923077,16
GG Jackson,Javon Small,MEM,5,20,2,10,3,10,25,8,15
Jalen Brunson,Mohamed Diawara,NYK,20,5,7,3,13,2,25,8,15
Jaylen Brown,Jayson Tatum,BOS,6,12,3,8,3,4,18,8,6
Micah Potter,Quenton Jackson,IND,6,12,4,8,2,4,18,8,6
Caleb Love,Rayan Rupert,POR,6,12,2,2,4,10,18,8,6
Brandon Williams,Caleb Martin,DAL,12,6,6,5,6,1,18,8,6
Franz Wagner,Tristan da Silva,ORL,12,6,4,4,8,2,18,8,6
Dru Smith,Norman Powell,MIA,12,6,8,3,4,3,18,8,6
Moses Moody,Quinten Post,GSW,6,12,2,7,4,5,18,8,6
Cooper Flagg,Khris Middleton,DAL,8,8,3,7,5,1,16,8,0
Jamaree Bouyea,Jordan Goodwin,PHX,8,8,3,6,5,2,16,8,0
Jaxson Hayes,Luke Kennard,LAL,8,8,4,8,4,0,16,8,0
Brandon Miller,Josh Green,CHA,8,8,0,4,8,4,16,8,0
Gradey Dick,Ja'Kobe Walter,TOR,8,8,5,2,3,6,16,8,0
Daeqwon Plowden,Maxime Raynaud,SAC,8,8,7,2,1,6,16,8,0
Domantas Sabonis,Malik Monk,SAC,8,8,5,7,3,1,16,8,0
Jarace Walker,Obi Toppin,IND,8,8,6,6,2,2,16,8,0
Jimmy Butler III,Quinten Post,GSW,19,5,9,5,10,0,24,7.916666666666667,14
LaMelo Ball,Sion James,CHA,19,5,5,1,14,4,24,7.916666666666667,14
Adem Bona,Quentin Grimes,PHI,5,19,2,18,3,1,24,7.916666666666667,14
Collin Sexton,Moussa Diabaté,CHA,19,5,19,4,0,1,24,7.916666666666667,14
Danny Wolf,Drake Powell,BKN,7,9,5,7,2,2,16,7.875,2
Corey Kispert,Marvin Bagley III,WAS,9,7,7,5,2,2,16,7.875,2
Cam Thomas,Nolan Traore,BKN,9,7,0,1,9,6,16,7.875,2
Luka Garza,Sam Hauser,BOS,9,7,2,4,7,3,16,7.875,2
Ayo Dosunmu,Donte DiVincenzo,MIN,7,9,2,7,5,2,16,7.875,2
Gary Payton II,Quinten Post,GSW,9,7,5,7,4,0,16,7.875,2
Kevin Huerter,Patrick Williams,CHI,7,9,4,4,3,5,16,7.875,2
Jamaree Bouyea,Ryan Dunn,PHX,7,9,3,7,4,2,16,7.875,2
Jaylen Clark,Julius Randle,MIN,7,9,6,6,1,3,16,7.875,2
Cam Spencer,Vince Williams Jr.,MEM,9,7,1,1,8,6,16,7.875,2
Buddy Hield,Quinten Post,GSW,9,7,3,3,6,4,16,7.875,2
Guerschon Yabusele,Matas Buzelis,CHI,7,9,2,3,5,6,16,7.875,2
Dyson Daniels,Jock Landale,ATL,9,7,3,6,6,1,16,7.875,2
CJ McCollum,Corey Kispert,ATL,9,7,2,4,7,3,16,7.875,2
Harrison Barnes,Luke Kornet,SAS,7,9,7,3,0,6,16,7.875,2
Kasparas Jakučionis,Simone Fontecchio,MIA,9,7,1,1,8,6,16,7.875,2
Collin Sexton,Patrick Williams,CHI,7,9,0,2,7,7,16,7.875,2
Desmond Bane,Noah Penda,ORL,9,7,5,5,4,2,16,7.875,2
Matas Buzelis,Patrick Williams,CHI,7,9,3,5,4,4,16,7.875,2
Dominick Barlow,Paul George,PHI,7,9,1,9,6,0,16,7.875,2
Andrew Nembhard,T.J. McConnell,IND,9,7,6,4,3,3,16,7.875,2
Devin Carter,Nique Clifford,SAC,18,5,12,2,6,3,23,7.826086956521739,13
James Harden,Jaylon Tyson,CLE,18,5,7,0,11,5,23,7.826086956521739,13
Jalen Johnson,Trae Young,ATL,5,18,3,17,2,1,23,7.826086956521739,13
Dominick Barlow,Joel Embiid,PHI,5,18,3,17,2,1,23,7.826086956521739,13
Brandon Miller,Collin Sexton,CHA,6,11,4,7,2,4,17,7.764705882352941,5
Javon Small,Taylor Hendricks,MEM,11,6,6,1,5,5,17,7.764705882352941,5
John Collins,Jordan Miller,LAC,6,11,3,5,3,6,17,7.764705882352941,5
Mouhamed Gueye,Onyeka Okongwu,ATL,6,11,5,5,1,6,17,7.764705882352941,5
Brandin Podziemski,Buddy Hield,GSW,11,6,4,5,7,1,17,7.764705882352941,5
Desmond Bane,Jase Richardson,ORL,6,11,4,8,2,3,17,7.764705882352941,5
Jayson Tatum,Payton Pritchard,BOS,11,6,3,2,8,4,17,7.764705882352941,5
Anthony Edwards,Mike Conley,MIN,5,17,1,7,4,10,22,7.7272727272727275,12
Jose Alvarado,Karl-Anthony Towns,NYK,17,5,17,3,0,2,22,7.7272727272727275,12
Anthony Gill,Bub Carrington,WAS,5,17,1,15,4,2,22,7.7272727272727275,12
LeBron James,Luke Kennard,LAL,17,5,10,4,7,1,22,7.7272727272727275,12
Danny Wolf,Ziaire Williams,BKN,17,5,5,3,12,2,22,7.7272727272727275,12
DeMar DeRozan,Keegan Murray,SAC,17,5,7,4,10,1,22,7.7272727272727275,12
Collin Murray-Boyles,Ja'Kobe Walter,TOR,16,5,9,4,7,1,21,7.619047619047619,11
Ben Saraf,Danny Wolf,BKN,16,5,6,3,10,2,21,7.619047619047619,11
Aaron Holiday,Amen Thompson,HOU,5,16,3,1,2,15,21,7.619047619047619,11
Jared McCain,Jaylin Williams,OKC,5,16,1,6,4,10,21,7.619047619047619,11
Brice Sensabaugh,Kyle Anderson,UTA,5,15,5,10,0,5,20,7.5,10
Coby White,Isaac Okoro,CHI,15,5,12,2,3,3,20,7.5,10
Daeqwon Plowden,Nique Clifford,SAC,5,15,2,6,3,9,20,7.5,10
James Harden,Nicolas Batum,LAC,15,5,0,2,15,3,20,7.5,10
Jamir Watkins,Sharife Cooper,WAS,5,15,1,8,4,7,20,7.5,10
Cam Spencer,Taylor Hendricks,MEM,15,5,10,2,5,3,20,7.5,10
Jalen Pickett,Tim Hardaway Jr.,DEN,15,5,6,2,9,3,20,7.5,10
Corey Kispert,Jock Landale,ATL,6,10,5,5,1,5,16,7.5,4
Keaton Wallace,Zaccharie Risacher,ATL,10,6,7,1,3,5,16,7.5,4
Kyle Kuzma,Ousmane Dieng,MIL,6,10,3,6,3,4,16,7.5,4
Bryce McGowens,Saddiq Bey,NOP,10,6,4,4,6,2,16,7.5,4
Gary Payton II,Jimmy Butler III,GSW,6,10,5,10,1,0,16,7.5,4
Jordan Clarkson,OG Anunoby,NYK,10,6,5,1,5,5,16,7.5,4
Jalen Smith,Patrick Williams,CHI,6,10,1,8,5,2,16,7.5,4
Robert Williams III,Scoot Henderson,POR,6,10,4,8,2,2,16,7.5,4
Isaiah Collier,Kyle Anderson,UTA,10,6,8,5,2,1,16,7.5,4
CJ McCollum,Marvin Bagley III,WAS,6,10,5,4,1,6,16,7.5,4
Isaiah Collier,Walter Clayton Jr.,UTA,10,6,3,4,7,2,16,7.5,4
Keaton Wallace,Luke Kennard,ATL,10,6,2,0,8,6,16,7.5,4
Kasparas Jakučionis,Pelle Larsson,MIA,10,6,9,2,1,4,16,7.5,4
Aaron Gordon,Cameron Johnson,DEN,10,6,5,1,5,5,16,7.5,4
DeMar DeRozan,Devin Carter,SAC,7,8,3,7,4,1,15,7.466666666666667,1
Donovan Clingan,Kris Murray,POR,7,8,7,3,0,5,15,7.466666666666667,1
Dean Wade,Lonzo Ball,CLE,8,7,1,2,7,5,15,7.466666666666667,1
Bruce Brown,Spencer Jones,DEN,8,7,3,6,5,1,15,7.466666666666667,1
Anthony Gill,Jaden Hardy,WAS,7,8,0,7,7,1,15,7.466666666666667,1
Kristaps Porziņģis,Zaccharie Risacher,ATL,8,7,4,6,4,1,15,7.466666666666667,1
Brook Lopez,John Collins,LAC,8,7,5,3,3,4,15,7.466666666666667,1
Jay Huff,Kobe Brown,IND,7,8,2,6,5,2,15,7.466666666666667,1
Ben Saraf,Drake Powell,BKN,8,7,3,6,5,1,15,7.466666666666667,1
Jonathan Kuminga,Nickeil Alexander-Walker,ATL,8,7,2,3,6,4,15,7.466666666666667,1
Gary Payton II,Moses Moody,GSW,7,8,1,4,6,4,15,7.466666666666667,1
Gui Santos,Stephen Curry,GSW,8,7,4,3,4,4,15,7.466666666666667,1
Justin Champagnie,Tre Johnson,WAS,7,8,1,5,6,3,15,7.466666666666667,1
Jarace Walker,Taelon Peter,IND,7,8,3,3,4,5,15,7.466666666666667,1
Austin Reaves,Rui Hachimura,LAL,47,4,27,2,20,2,51,7.372549019607843,43
Aaron Gordon,Peyton Watson,DEN,14,5,9,1,5,4,19,7.368421052631579,9
Kyshawn George,Tristan Vukcevic,WAS,14,5,11,2,3,3,19,7.368421052631579,9
Ausar Thompson,Isaiah Stewart,DET,14,5,7,5,7,0,19,7.368421052631579,9
Jamison Battle,Scottie Barnes,TOR,5,14,4,8,1,6,19,7.368421052631579,9
Darius Garland,Sam Merrill,CLE,14,5,2,3,12,2,19,7.368421052631579,9
Desmond Bane,Jett Howard,ORL,14,5,5,3,9,2,19,7.368421052631579,9
Anthony Black,Goga Bitadze,ORL,14,5,14,5,0,0,19,7.368421052631579,9
Justin Champagnie,Kyshawn George,WAS,5,14,0,9,5,5,19,7.368421052631579,9
Adem Bona,VJ Edgecombe,PHI,5,14,3,14,2,0,19,7.368421052631579,9
Anthony Gill,Sharife Cooper,WAS,5,14,4,13,1,1,19,7.368421052631579,9
Isaiah Joe,Jalen Williams,OKC,5,14,5,1,0,13,19,7.368421052631579,9
Keaton Wallace,Onyeka Okongwu,ATL,13,5,7,2,6,3,18,7.222222222222222,8
De'Andre Hunter,Lonzo Ball,CLE,5,13,0,7,5,6,18,7.222222222222222,8
Ausar Thompson,Paul Reed,DET,13,5,11,4,2,1,18,7.222222222222222,8
Keyonte George,Walter Clayton Jr.,UTA,6,9,1,6,5,3,15,7.2,3
Coby White,Kon Knueppel,CHA,6,9,1,2,5,7,15,7.2,3
Dejounte Murray,Herbert Jones,NOP,9,6,1,3,8,3,15,7.2,3
Day'Ron Sharpe,Noah Clowney,BKN,9,6,6,6,3,0,15,7.2,3
Brandon Miller,Grant Williams,CHA,9,6,2,1,7,5,15,7.2,3
Jake LaRavia,Luke Kennard,LAL,6,9,4,3,2,6,15,7.2,3
Josh Green,Kon Knueppel,CHA,6,9,4,3,2,6,15,7.2,3
Javonte Green,Ronald Holland II,DET,9,6,8,4,1,2,15,7.2,3
Baylor Scheierman,Neemias Queta,BOS,6,9,6,4,0,5,15,7.2,3
Jase Richardson,Noah Penda,ORL,6,9,2,4,4,5,15,7.2,3
Jaylin Williams,Luguentz Dort,OKC,9,6,4,2,5,4,15,7.2,3
Amen Thompson,Dorian Finney-Smith,HOU,9,6,2,5,7,1,15,7.2,3
Bub Carrington,Khris Middleton,WAS,9,6,3,0,6,6,15,7.2,3
James Harden,Sam Merrill,CLE,31,4,9,1,22,3,35,7.085714285714285,27
Isaiah Hartenstein,Isaiah Joe,OKC,30,4,14,4,16,0,34,7.0588235294117645,26
Jerami Grant,Kris Murray,POR,5,12,2,8,3,4,17,7.0588235294117645,7
Josh Green,LaMelo Ball,CHA,5,12,1,3,4,9,17,7.0588235294117645,7
Bilal Coulibaly,Will Riley,WAS,12,5,4,2,8,3,17,7.0588235294117645,7
Draymond Green,Kristaps Porziņģis,GSW,12,5,7,2,5,3,17,7.0588235294117645,7
Noah Clowney,Tyrese Martin,BKN,5,12,1,3,4,9,17,7.0588235294117645,7
Aaron Gordon,Tim Hardaway Jr.,DEN,12,5,3,3,9,2,17,7.0588235294117645,7
Jaren Jackson Jr.,Jaylen Wells,MEM,5,12,2,4,3,8,17,7.0588235294117645,7
Bennedict Mathurin,T.J. McConnell,IND,5,12,5,7,0,5,17,7.0588235294117645,7
Matas Buzelis,Rob Dillingham,CHI,5,12,2,6,3,6,17,7.0588235294117645,7
P.J. Washington,Ryan Nembhard,DAL,4,29,3,19,1,10,33,7.03030303030303,25
Cam Spencer,Olivier-Maxence Prosper,MEM,28,4,22,3,6,1,32,7,24
Brook Lopez,James Harden,LAC,4,28,2,8,2,20,32,7,24
Nikola Vučević,Patrick Williams,CHI,7,7,3,7,4,0,14,7,0
Anthony Gill,Bilal Coulibaly,WAS,7,7,6,7,1,0,14,7,0
Brandon Ingram,Gradey Dick,TOR,7,7,3,5,4,2,14,7,0
De'Anthony Melton,Will Richard,GSW,7,7,4,2,3,5,14,7,0
De'Andre Hunter,Jarrett Allen,CLE,7,7,7,5,0,2,14,7,0
Andre Drummond,Dominick Barlow,PHI,7,7,7,3,0,4,14,7,0
De'Anthony Melton,Moses Moody,GSW,7,7,3,5,4,2,14,7,0
Jordan Clarkson,Mitchell Robinson,NYK,7,7,7,6,0,1,14,7,0
Aaron Wiggins,Jalen Williams,OKC,7,7,7,4,0,3,14,7,0
Jeremiah Fears,Micah Peavy,NOP,7,7,5,5,2,2,14,7,0
Micah Potter,T.J. McConnell,IND,4,27,4,7,0,20,31,6.967741935483871,23
Ja Morant,Jaren Jackson Jr.,MEM,26,4,19,2,7,2,30,6.933333333333334,22
Cade Cunningham,Paul Reed,DET,25,4,24,2,1,2,29,6.896551724137931,21
Dyson Daniels,Kristaps Porziņģis,ATL,11,5,8,5,3,0,16,6.875,6
Hugo González,Payton Pritchard,BOS,5,11,2,5,3,6,16,6.875,6
Josh Giddey,Rob Dillingham,CHI,11,5,6,3,5,2,16,6.875,6
Jose Alvarado,Yves Missi,NOP,11,5,11,1,0,4,16,6.875,6
Darius Garland,Isaiah Jackson,LAC,11,5,11,3,0,2,16,6.875,6
Kobe Brown,Micah Potter,IND,11,5,5,3,6,2,16,6.875,6
Danny Wolf,Michael Porter Jr.,BKN,11,5,8,3,3,2,16,6.875,6
Obi Toppin,T.J. McConnell,IND,5,11,4,6,1,5,16,6.875,6
Jaylen Clark,Naz Reid,MIN,5,11,2,6,3,5,16,6.875,6
Gui Santos,Quinten Post,GSW,11,5,7,4,4,1,16,6.875,6
Jake LaRavia,Jarred Vanderbilt,LAL,5,11,4,6,1,5,16,6.875,6
Aaron Wiggins,Shai Gilgeous-Alexander,OKC,4,24,2,11,2,13,28,6.857142857142857,20
Alex Caruso,Isaiah Hartenstein,OKC,6,8,6,2,0,6,14,6.857142857142857,2
Evan Mobley,Tyrese Proctor,CLE,6,8,1,5,5,3,14,6.857142857142857,2
Brandin Podziemski,Kristaps Porziņģis,GSW,6,8,2,3,4,5,14,6.857142857142857,2
Brice Sensabaugh,Jusuf Nurkić,UTA,6,8,5,4,1,4,14,6.857142857142857,2
Gary Trent Jr.,Pete Nance,MIL,6,8,1,4,5,4,14,6.857142857142857,2
Bennedict Mathurin,Brook Lopez,LAC,8,6,5,5,3,1,14,6.857142857142857,2
Herbert Jones,Yves Missi,NOP,6,8,6,1,0,7,14,6.857142857142857,2
Khris Middleton,Naji Marshall,DAL,6,8,6,5,0,3,14,6.857142857142857,2
Danny Wolf,Noah Clowney,BKN,8,6,4,3,4,3,14,6.857142857142857,2
Dennis Schröder,James Harden,CLE,6,8,1,6,5,2,14,6.857142857142857,2
Donovan Mitchell,Tyrese Proctor,CLE,8,6,2,1,6,5,14,6.857142857142857,2
Isaac Okoro,Patrick Williams,CHI,6,8,0,3,6,5,14,6.857142857142857,2
Amen Thompson,Steven Adams,HOU,6,8,6,6,0,2,14,6.857142857142857,2
Cameron Johnson,Peyton Watson,DEN,8,6,4,1,4,5,14,6.857142857142857,2
Ja Morant,Jaylen Wells,MEM,23,4,12,3,11,1,27,6.814814814814815,19
Caris LeVert,Javonte Green,DET,22,4,9,1,13,3,26,6.769230769230769,18
Jakob Poeltl,Jamal Shead,TOR,4,22,1,22,3,0,26,6.769230769230769,18
Kel'el Ware,Norman Powell,MIA,4,21,2,18,2,3,25,6.72,17
Michael Porter Jr.,Nolan Traore,BKN,4,21,3,10,1,11,25,6.72,17
Isaiah Collier,Svi Mykhailiuk,UTA,20,4,8,3,12,1,24,6.666666666666667,16
Jrue Holiday,Sidy Cissoko,POR,10,5,5,2,5,3,15,6.666666666666667,5
Desmond Bane,Jonathan Isaac,ORL,10,5,7,3,3,2,15,6.666666666666667,5
Dominick Barlow,Justin Edwards,PHI,5,10,3,8,2,2,15,6.666666666666667,5
Jose Alvarado,Josh Hart,NYK,5,10,3,3,2,7,15,6.666666666666667,5
Aaron Wiggins,Isaiah Joe,OKC,5,10,1,4,4,6,15,6.666666666666667,5
Cam Spencer,Jahmai Mashack,MEM,10,5,7,2,3,3,15,6.666666666666667,5
Darius Garland,Kris Dunn,LAC,10,5,2,1,8,4,15,6.666666666666667,5
De'Anthony Melton,Pat Spencer,GSW,5,10,2,4,3,6,15,6.666666666666667,5
Micah Peavy,Trey Murphy III,NOP,10,5,4,3,6,2,15,6.666666666666667,5
Julian Reese,Will Riley,WAS,5,10,5,10,0,0,15,6.666666666666667,5
Jett Howard,Paolo Banchero,ORL,5,10,5,4,0,6,15,6.666666666666667,5
Coby White,Grant Williams,CHA,10,5,0,3,10,2,15,6.666666666666667,5
Kel'el Ware,Tyler Herro,MIA,5,10,3,8,2,2,15,6.666666666666667,5
Derik Queen,Jordan Poole,NOP,10,5,4,5,6,0,15,6.666666666666667,5
Ajay Mitchell,Luguentz Dort,OKC,10,5,4,3,6,2,15,6.666666666666667,5
Jalen Johnson,Mouhamed Gueye,ATL,19,4,15,4,4,0,23,6.608695652173913,15
Lauri Markkanen,Walter Clayton Jr.,UTA,4,19,0,9,4,10,23,6.608695652173913,15
Collin Sexton,Josh Giddey,CHI,4,18,3,6,1,12,22,6.545454545454546,14
Marcus Smart,Rui Hachimura,LAL,18,4,10,1,8,3,22,6.545454545454546,14
Donovan Mitchell,Lonzo Ball,CLE,4,18,1,7,3,11,22,6.545454545454546,14
Jock Landale,Santi Aldama,MEM,4,17,2,12,2,5,21,6.476190476190476,13
Coby White,Tre Jones,CHI,4,17,3,6,1,11,21,6.476190476190476,13
Kenrich Williams,Shai Gilgeous-Alexander,OKC,4,17,4,10,0,7,21,6.476190476190476,13
Jerami Grant,Scoot Henderson,POR,4,17,0,7,4,10,21,6.476190476190476,13
Derik Queen,Yves Missi,NOP,7,6,7,5,0,1,13,6.461538461538462,1
Brandon Ingram,Ochai Agbaji,TOR,7,6,4,3,3,3,13,6.461538461538462,1
Anthony Davis,Max Christie,DAL,7,6,3,5,4,1,13,6.461538461538462,1
Kris Murray,Scoot Henderson,POR,6,7,2,4,4,3,13,6.461538461538462,1
Buddy Hield,Stephen Curry,GSW,7,6,1,3,6,3,13,6.461538461538462,1
Ben Sheppard,Obi Toppin,IND,6,7,3,4,3,3,13,6.461538461538462,1
Jordan Hawkins,Micah Peavy,NOP,7,6,4,1,3,5,13,6.461538461538462,1
Brandin Podziemski,Jonathan Kuminga,GSW,7,6,5,4,2,2,13,6.461538461538462,1
Jalen Duren,Javonte Green,DET,6,7,3,7,3,0,13,6.461538461538462,1
Gary Payton II,Kristaps Porziņģis,GSW,6,7,3,7,3,0,13,6.461538461538462,1
Nikola Jović,Pelle Larsson,MIA,6,7,4,6,2,1,13,6.461538461538462,1
Cam Christie,Kobe Brown,LAC,7,6,4,5,3,1,13,6.461538461538462,1
Dillon Brooks,Oso Ighodaro,PHX,6,7,6,4,0,3,13,6.461538461538462,1
Duncan Robinson,Isaiah Stewart,DET,7,6,5,2,2,4,13,6.461538461538462,1
Kris Murray,Toumani Camara,POR,7,6,3,5,4,1,13,6.461538461538462,1
Kobe Brown,Quenton Jackson,IND,7,6,3,4,4,2,13,6.461538461538462,1
Herbert Jones,Jordan Poole,NOP,6,7,3,6,3,1,13,6.461538461538462,1
Brook Lopez,Nicolas Batum,LAC,6,7,0,5,6,2,13,6.461538461538462,1
Collin Sexton,Rob Dillingham,CHI,6,7,4,2,2,5,13,6.461538461538462,1
Isaiah Stewart,Jalen Duren,DET,5,9,5,4,0,5,14,6.428571428571429,4
Jaden Ivey,Ronald Holland II,DET,9,5,7,1,2,4,14,6.428571428571429,4
Chet Holmgren,Jaylin Williams,OKC,5,9,3,8,2,1,14,6.428571428571429,4
Kel'el Ware,Simone Fontecchio,MIA,5,9,0,7,5,2,14,6.428571428571429,4
Noah Penda,Paolo Banchero,ORL,5,9,5,4,0,5,14,6.428571428571429,4
Ben Sheppard,Bennedict Mathurin,IND,9,5,5,1,4,4,14,6.428571428571429,4
Dwight Powell,Naji Marshall,DAL,5,9,4,9,1,0,14,6.428571428571429,4
Myron Gardner,Simone Fontecchio,MIA,9,5,3,1,6,4,14,6.428571428571429,4
Dwight Powell,Ryan Nembhard,DAL,5,9,3,9,2,0,14,6.428571428571429,4
Nic Claxton,Tyrese Martin,BKN,5,9,5,9,0,0,14,6.428571428571429,4
Jonas Valančiūnas,Julian Strawther,DEN,9,5,7,5,2,0,14,6.428571428571429,4
Robert Williams III,Sidy Cissoko,POR,5,9,3,8,2,1,14,6.428571428571429,4
Jordan Poole,Jose Alvarado,NOP,5,9,3,4,2,5,14,6.428571428571429,4
Cam Christie,Jordan Miller,LAC,5,9,3,8,2,1,14,6.428571428571429,4
Coby White,Sion James,CHA,5,9,1,4,4,5,14,6.428571428571429,4
Brandin Podziemski,Trayce Jackson-Davis,GSW,5,9,5,4,0,5,14,6.428571428571429,4
Al Horford,Draymond Green,GSW,5,9,1,4,4,5,14,6.428571428571429,4
Mouhamed Gueye,Zaccharie Risacher,ATL,9,5,4,4,5,1,14,6.428571428571429,4
Cade Cunningham,Marcus Sasser,DET,9,5,1,2,8,3,14,6.428571428571429,4
Gui Santos,Kristaps Porziņģis,GSW,9,5,4,2,5,3,14,6.428571428571429,4
Ace Bailey,Svi Mykhailiuk,UTA,9,5,1,1,8,4,14,6.428571428571429,4
Bennedict Mathurin,Kawhi Leonard,LAC,9,5,6,4,3,1,14,6.428571428571429,4
Daniel Gafford,Naji Marshall,DAL,4,16,3,16,1,0,20,6.4,12
Isaiah Collier,Taylor Hendricks,UTA,16,4,10,2,6,2,20,6.4,12
Brice Sensabaugh,Walter Clayton Jr.,UTA,4,16,2,9,2,7,20,6.4,12
Kyshawn George,Marvin Bagley III,WAS,16,4,16,3,0,1,20,6.4,12
Andrew Nembhard,Isaiah Jackson,IND,15,4,15,3,0,1,19,6.315789473684211,11
Moses Moody,Pat Spencer,GSW,4,15,0,4,4,11,19,6.315789473684211,11
Vince Williams Jr.,Zach Edey,MEM,15,4,15,2,0,2,19,6.315789473684211,11
Daniss Jenkins,Kevin Huerter,DET,15,4,7,3,8,1,19,6.315789473684211,11
Jordan Clarkson,Tyler Kolek,NYK,4,15,0,10,4,5,19,6.315789473684211,11
Darius Garland,Dean Wade,CLE,14,4,6,1,8,3,18,6.222222222222222,10
Ace Bailey,Elijah Harkless,UTA,4,14,3,8,1,6,18,6.222222222222222,10
Caleb Martin,Klay Thompson,DAL,14,4,4,4,10,0,18,6.222222222222222,10
Caleb Martin,Naji Marshall,DAL,14,4,10,3,4,1,18,6.222222222222222,10
Jordan Poole,Karlo Matković,NOP,14,4,8,0,6,4,18,6.222222222222222,10
Nickeil Alexander-Walker,Trae Young,ATL,4,14,1,7,3,7,18,6.222222222222222,10
Pete Nance,Ryan Rollins,MIL,4,14,3,5,1,9,18,6.222222222222222,10
Drake Powell,Nolan Traore,BKN,4,14,0,2,4,12,18,6.222222222222222,10
Jarace Walker,Kam Jones,IND,4,14,2,6,2,8,18,6.222222222222222,10
Austin Reaves,Jarred Vanderbilt,LAL,5,8,2,6,3,2,13,6.153846153846154,3
Kobe Sanders,Nicolas Batum,LAC,8,5,1,2,7,3,13,6.153846153846154,3
Bruce Brown,Jalen Pickett,DEN,5,8,3,7,2,1,13,6.153846153846154,3
Anthony Black,Jase Richardson,ORL,8,5,2,4,6,1,13,6.153846153846154,3
Pascal Siakam,Tony Bradley,IND,8,5,8,3,0,2,13,6.153846153846154,3
Dru Smith,Pelle Larsson,MIA,8,5,6,1,2,4,13,6.153846153846154,3
Kris Murray,Shaedon Sharpe,POR,5,8,3,4,2,4,13,6.153846153846154,3
Javon Small,Walter Clayton Jr.,MEM,5,8,2,4,3,4,13,6.153846153846154,3
Javonte Green,Paul Reed,DET,5,8,4,5,1,3,13,6.153846153846154,3
Coby White,Miles Bridges,CHA,8,5,6,2,2,3,13,6.153846153846154,3
Al Horford,Will Richard,GSW,8,5,5,3,3,2,13,6.153846153846154,3
Jalen Duren,Kevin Huerter,DET,5,8,3,8,2,0,13,6.153846153846154,3
Bruce Brown,Peyton Watson,DEN,8,5,4,1,4,4,13,6.153846153846154,3
Isaiah Stewart,Jaden Ivey,DET,5,8,4,7,1,1,13,6.153846153846154,3
Jaren Jackson Jr.,Jock Landale,MEM,5,8,2,5,3,3,13,6.153846153846154,3
LeBron James,Maxi Kleber,LAL,8,5,8,4,0,1,13,6.153846153846154,3
Jaylen Brown,Josh Minott,BOS,13,4,9,1,4,3,17,6.117647058823529,9
Egor Dëmin,Nolan Traore,BKN,4,13,1,2,3,11,17,6.117647058823529,9
Al Horford,Gui Santos,GSW,13,4,8,2,5,2,17,6.117647058823529,9
CJ McCollum,Mouhamed Gueye,ATL,13,4,4,1,9,3,17,6.117647058823529,9
CJ McCollum,Jock Landale,ATL,13,4,8,2,5,2,17,6.117647058823529,9
Bones Hyland,Kyle Anderson,MIN,4,13,4,2,0,11,17,6.117647058823529,9
Cam Spencer,Ja Morant,MEM,4,13,1,1,3,12,17,6.117647058823529,9
Donovan Mitchell,Keon Ellis,CLE,13,4,4,2,9,2,17,6.117647058823529,9
Chet Holmgren,Isaiah Joe,OKC,13,4,6,3,7,1,17,6.117647058823529,9
Dennis Schröder,Jaylon Tyson,CLE,12,4,5,1,7,3,16,6,8
Jimmy Butler III,Will Richard,GSW,12,4,4,3,8,1,16,6,8
Grayson Allen,Ryan Dunn,PHX,12,4,8,1,4,3,16,6,8
Branden Carlson,Shai Gilgeous-Alexander,OKC,4,12,4,8,0,4,16,6,8
Sharife Cooper,Will Riley,WAS,12,4,4,0,8,4,16,6,8
Isaiah Joe,Kenrich Williams,OKC,4,12,2,2,2,10,16,6,8
Jaden Hardy,Jamir Watkins,WAS,4,12,1,3,3,9,16,6,8
Bennedict Mathurin,Kobe Sanders,LAC,6,6,2,5,4,1,12,6,0
Bruce Brown,Cameron Johnson,DEN,6,6,5,3,1,3,12,6,0
Aaron Holiday,Kevin Durant,HOU,6,6,2,2,4,4,12,6,0
Cody Williams,Elijah Harkless,UTA,6,6,3,5,3,1,12,6,0
AJ Johnson,Will Riley,WAS,6,6,4,2,2,4,12,6,0
Isaiah Jackson,Pascal Siakam,IND,6,6,5,6,1,0,12,6,0
De'Anthony Melton,Jimmy Butler III,GSW,6,6,4,2,2,4,12,6,0
Jaylen Wells,Olivier-Maxence Prosper,MEM,6,6,4,1,2,5,12,6,0
Drake Powell,Tyrese Martin,BKN,6,6,1,4,5,2,12,6,0
Lonzo Ball,Thomas Bryant,CLE,11,4,5,1,6,3,15,5.866666666666666,7
Anfernee Simons,Neemias Queta,BOS,11,4,11,3,0,1,15,5.866666666666666,7
Keon Ellis,Russell Westbrook,SAC,4,11,2,3,2,8,15,5.866666666666666,7
Draymond Green,Jonathan Kuminga,GSW,11,4,8,2,3,2,15,5.866666666666666,7
Ausar Thompson,Ronald Holland II,DET,11,4,6,4,5,0,15,5.866666666666666,7
Bennedict Mathurin,Kris Dunn,LAC,4,11,2,10,2,1,15,5.866666666666666,7
