seas_id,season,player_id,player,pos,tm,g,mp,pg_percent,sg_percent,sf_percent,pf_percent,c_percent,position,value,ht_ft,ht_in,wt,full_in_ht,position_2
30050,2022,4526,Josh Jackson,SF,SAC,7,30,0,23,57,19,0,wing_small_percent,80,6,8,207,80,wing
30051,2022,4644,Josh Okogie,SG,MIN,46,473,3,41,53,3,0,wing_small_percent,94,6,4,213,76,wing
30053,2022,4336,Josh Richardson,SG,BOS,44,1087,1,82,16,0,0,wing_small_percent,98,6,5,200,77,wing
30054,2022,4336,Josh Richardson,SG,SAS,15,367,1,67,30,2,0,wing_small_percent,97,6,5,200,77,wing
30055,2022,4968,Joshua Primo,SG,SAS,44,804,1,38,56,5,0,wing_small_percent,94,6,6,190,78,wing
30056,2022,3891,Jrue Holiday,PG,MIL,62,2070,94,6,0,0,0,guard_percent,100,6,3,205,75,guard
30057,2022,4969,JT Thor,PF,CHO,29,246,0,2,16,47,35,big_percent,82,6,10,205,82,big
30059,2022,4419,Juan Hernangómez,PF,BOS,18,96,0,0,12,84,5,wing_big_percent,96,NA,NA,NA,NA,wing
30060,2022,4419,Juan Hernangómez,PF,SAS,5,51,0,0,0,64,37,big_percent,101,NA,NA,NA,NA,big
30061,2022,4419,Juan Hernangómez,PF,UTA,13,220,0,0,7,71,22,big_percent,93,NA,NA,NA,NA,big
30062,2022,4739,Juan Toscano-Anderson,SF,GSW,70,948,0,5,60,34,2,wing_big_percent,94,6,6,209,78,wing
30063,2022,4266,Julius Randle,PF,NYK,72,2544,0,0,1,92,7,big_percent,99,6,8,250,80,big
30065,2022,4337,Justin Anderson,SF,CLE,3,47,0,6,75,19,0,wing_big_percent,94,6,6,230,78,wing
30066,2022,4337,Justin Anderson,SF,IND,10,233,0,0,8,71,21,big_percent,92,6,6,230,78,big
30067,2022,4970,Justin Champagnie,SF,TOR,35,274,19,59,23,0,0,wing_small_percent,82,6,6,200,78,wing
30069,2022,4102,Justin Holiday,SF,IND,49,1416,0,10,77,12,1,wing_big_percent,89,6,6,180,78,wing
30070,2022,4102,Justin Holiday,SG,SAC,20,534,0,63,32,5,0,wing_small_percent,95,6,6,180,78,wing
30072,2022,4528,Justin Jackson,SF,BOS,1,2,0,0,0,100,0,wing_big_percent,100,NA,NA,NA,NA,wing
30072,2022,4528,Justin Jackson,SF,BOS,1,2,0,0,0,100,0,big_percent,100,NA,NA,NA,NA,big
30073,2022,4528,Justin Jackson,SF,PHO,6,35,0,46,24,30,0,wing_small_percent,70,NA,NA,NA,NA,wing
30075,2022,4741,Justin Robinson,PG,MIL,17,198,100,0,0,0,0,guard_percent,100,NA,NA,NA,NA,guard
30076,2022,4741,Justin Robinson,PG,SAC,3,15,100,0,0,0,0,guard_percent,100,NA,NA,NA,NA,guard
30077,2022,4741,Justin Robinson,PG,DET,5,91,55,45,0,0,0,guard_percent,100,NA,NA,NA,NA,guard
30079,2022,4338,Justise Winslow,SF,LAC,37,479,0,0,8,72,20,big_percent,92,6,6,222,78,big
30080,2022,4338,Justise Winslow,SF,POR,11,295,0,0,24,76,0,wing_big_percent,100,6,6,222,78,wing
30081,2022,4267,Jusuf Nurkić,C,POR,56,1579,0,0,0,0,100,big_percent,100,6,11,290,83,big
30082,2022,4743,Juwan Morgan,PF,TOR,1,27,0,0,47,53,0,wing_big_percent,100,6,7,232,79,wing
30083,2022,4971,Kai Jones,C,CHO,19,58,0,0,10,50,40,big_percent,90,6,11,218,83,big
30084,2022,4339,Karl-Anthony Towns,C,MIN,70,2342,0,0,0,0,100,big_percent,100,6,11,248,83,big
30085,2022,4972,Keifer Sykes,PG,IND,31,566,100,0,0,0,0,guard_percent,100,6,0,180,72,guard
30086,2022,4646,Keita Bates-Diop,SF,SAS,53,842,0,0,19,78,3,wing_big_percent,97,6,8,229,80,wing
30088,2022,4744,Kelan Martin,SF,IND,27,444,0,3,68,28,1,wing_big_percent,96,NA,NA,NA,NA,wing
30089,2022,4744,Kelan Martin,SF,BOS,3,6,0,51,49,0,0,wing_small_percent,100,NA,NA,NA,NA,wing
30090,2022,4745,Keldon Johnson,SF,SAS,70,2227,0,2,43,54,1,wing_big_percent,97,6,5,220,77,wing
30091,2022,4853,Keljin Blevins,SF,POR,25,251,0,25,49,26,0,wing_big_percent,75,6,4,200,76,wing
30092,2022,4177,Kelly Olynyk,C,DET,38,723,0,0,0,0,100,big_percent,100,6,11,240,83,big
30093,2022,4341,Kelly Oubre Jr.,SF,CHO,71,1898,1,33,60,6,0,wing_small_percent,93,6,7,203,79,wing
30094,2022,4034,Kemba Walker,PG,NYK,37,948,100,0,0,0,0,guard_percent,100,6,0,184,72,guard
30095,2022,4647,Kenrich Williams,SF,OKC,49,1072,0,3,62,34,1,wing_big_percent,96,6,6,210,78,wing
30096,2022,4104,Kent Bazemore,SF,LAL,38,531,0,18,66,16,0,wing_small_percent,84,6,4,195,76,wing
30097,2022,4178,Kentavious Caldwell-Pope,SG,WAS,73,2212,7,44,49,0,0,wing_small_percent,93,6,5,204,77,wing
30098,2022,4854,Kenyon Martin Jr.,SF,HOU,74,1548,0,0,11,80,9,wing_big_percent,91,6,6,215,78,wing
30100,2022,4973,Keon Johnson,SG,LAC,15,135,45,55,1,0,0,guard_percent,100,6,5,186,77,guard
30101,2022,4973,Keon Johnson,SG,POR,16,379,10,61,29,0,0,wing_small_percent,90,6,5,186,77,wing
30102,2022,4974,Kessler Edwards,SF,BRK,43,863,0,2,38,58,2,wing_big_percent,96,6,8,215,80,wing
30103,2022,3770,Kevin Durant,PF,BRK,50,1844,0,0,1,70,29,big_percent,99,6,10,240,82,big
30104,2022,4648,Kevin Huerter,SG,ATL,69,2039,0,89,10,0,0,wing_small_percent,99,6,7,190,79,wing
30106,2022,4649,Kevin Knox,SF,NYK,13,111,0,0,26,72,1,wing_big_percent,98,6,7,215,79,wing
30107,2022,4649,Kevin Knox,SF,ATL,15,108,0,25,31,44,0,wing_big_percent,75,6,7,215,79,wing
30108,2022,3830,Kevin Love,PF,CLE,69,1556,0,0,23,70,7,wing_big_percent,93,6,8,251,80,wing
30109,2022,4975,Kevin Pangos,PG,CLE,24,166,93,7,0,0,0,guard_percent,100,NA,NA,NA,NA,guard
30110,2022,4748,Kevin Porter Jr.,PG,HOU,56,1712,93,7,0,0,0,guard_percent,100,6,4,203,76,guard
30111,2022,4342,Kevon Looney,C,GSW,77,1663,0,0,0,1,99,big_percent,100,6,9,222,81,big
30112,2022,4531,Khem Birch,C,TOR,49,891,0,0,0,0,100,big_percent,100,6,9,233,81,big
30113,2022,4107,Khris Middleton,SF,MIL,62,2009,0,11,57,31,2,wing_big_percent,88,6,7,222,79,wing
30114,2022,4855,Killian Hayes,PG,DET,61,1517,67,32,1,0,0,guard_percent,99,6,5,195,77,guard
30115,2022,4856,Killian Tillie,C,MEM,36,461,0,0,0,28,73,big_percent,101,6,9,220,81,big
30116,2022,4857,Kira Lewis Jr.,PG,NOP,24,341,92,8,0,0,0,guard_percent,100,6,1,170,73,guard
30117,2022,4036,Klay Thompson,SG,GSW,29,837,1,46,49,4,0,wing_small_percent,95,6,6,215,78,wing
30118,2022,4421,Kris Dunn,PG,POR,10,236,65,35,0,0,0,guard_percent,100,6,3,205,75,guard
30120,2022,4343,Kristaps Porziņģis,PF,DAL,34,1002,0,0,0,39,61,big_percent,100,7,3,240,87,big
30121,2022,4343,Kristaps Porziņģis,PF,WAS,13,364,0,0,0,0,100,big_percent,100,7,3,240,87,big
30122,2022,4271,Kyle Anderson,PF,MEM,64,1369,0,0,9,63,28,big_percent,91,6,9,230,81,big
30123,2022,4751,Kyle Guy,SG,MIA,19,186,50,50,0,0,0,guard_percent,100,NA,NA,NA,NA,guard
30124,2022,4534,Kyle Kuzma,PF,WAS,66,2204,0,0,3,85,12,big_percent,97,6,9,221,81,big
30125,2022,3685,Kyle Lowry,PG,MIA,60,2040,100,0,0,0,0,guard_percent,100,6,0,196,72,guard
30126,2022,4037,Kyrie Irving,PG,BRK,24,885,47,53,0,0,0,guard_percent,100,6,2,195,74,guard
30127,2022,4752,KZ Okpala,PF,MIA,21,244,0,0,1,56,43,big_percent,99,NA,NA,NA,NA,big
30128,2022,4858,Lamar Stevens,PF,CLE,58,907,0,23,59,18,0,wing_small_percent,82,6,6,230,78,wing
30129,2022,3686,LaMarcus Aldridge,C,BRK,45,1027,0,0,0,0,100,big_percent,100,6,11,250,83,big
30130,2022,4859,LaMelo Ball,PG,CHO,70,2267,94,6,0,0,0,guard_percent,100,6,7,180,79,guard
30132,2022,3954,Lance Stephenson,SF,ATL,6,70,0,28,48,24,0,wing_small_percent,76,6,6,230,78,wing
30133,2022,3954,Lance Stephenson,SG,IND,35,667,9,29,37,26,0,wing_small_percent,66,6,6,230,78,wing
30134,2022,4652,Landry Shamet,SG,PHO,63,1297,3,83,14,0,0,wing_small_percent,97,6,4,190,76,wing
30136,2022,4272,Langston Galloway,SG,BRK,4,58,4,57,38,0,0,wing_small_percent,95,NA,NA,NA,NA,wing
30137,2022,4272,Langston Galloway,SG,MIL,3,49,100,0,0,0,0,guard_percent,100,NA,NA,NA,NA,guard
30139,2022,4345,Larry Nance Jr.,PF,POR,37,858,0,0,0,48,52,big_percent,100,6,7,245,79,big
30140,2022,4345,Larry Nance Jr.,PF,NOP,3,58,0,0,0,94,6,big_percent,100,6,7,245,79,big
30141,2022,4535,Lauri Markkanen,PF,CLE,56,1734,0,0,0,59,41,big_percent,100,7,0,240,84,big
30142,2022,4976,Leandro Bolmaro,SF,MIN,34,223,0,28,56,16,0,wing_small_percent,84,6,6,200,78,wing
30143,2022,3463,LeBron James,SF,LAL,55,2045,0,0,28,67,5,wing_big_percent,95,6,9,250,81,wing
30144,2022,4977,Lindell Wigginton,PG,MIL,16,126,87,13,0,0,0,guard_percent,100,6,2,189,74,guard
30145,2022,4978,Lindy Waters III,SG,OKC,21,389,4,43,49,4,0,wing_small_percent,92,6,6,215,78,wing
30146,2022,4653,Lonnie Walker,SG,SAS,66,1519,3,61,35,1,0,wing_small_percent,96,6,4,204,76,wing
30147,2022,4537,Lonzo Ball,PG,CHI,35,1212,82,18,0,0,0,guard_percent,100,6,6,190,78,guard
30148,2022,3619,Lou Williams,PG,ATL,54,776,84,16,0,0,0,guard_percent,100,6,1,175,73,guard
30149,2022,4753,Louis King,SF,SAC,10,104,0,8,56,35,1,wing_big_percent,91,NA,NA,NA,NA,wing
30150,2022,4754,Luguentz Dort,SF,OKC,51,1665,1,16,65,19,0,wing_big_percent,84,6,3,215,75,wing
30151,2022,4654,Luka Dončić,PG,DAL,60,2133,27,66,8,0,0,guard_percent,93,6,7,230,79,guard
30152,2022,4979,Luka Garza,C,DET,31,358,0,0,0,1,99,big_percent,100,6,11,235,83,big
30153,2022,4538,Luke Kennard,SG,LAC,66,1815,19,76,5,0,0,guard_percent,95,6,5,206,77,guard
30155,2022,4539,Luke Kornet,C,CLE,2,15,0,0,0,13,87,big_percent,100,7,2,250,86,big
30156,2022,4539,Luke Kornet,C,MIL,1,3,0,0,0,0,100,big_percent,100,7,2,250,86,big
30157,2022,4539,Luke Kornet,C,BOS,8,41,0,0,0,0,100,big_percent,100,7,2,250,86,big
30158,2022,4980,M.J. Walker,SG,PHO,2,8,0,65,35,0,0,wing_small_percent,100,NA,NA,NA,NA,wing
30159,2022,4981,Mac McClung,PG,CHI,1,3,0,100,0,0,0,guard_percent,100,NA,NA,NA,NA,guard
30159,2022,4981,Mac McClung,PG,CHI,1,3,0,100,0,0,0,wing_small_percent,100,NA,NA,NA,NA,wing
30160,2022,4860,Malachi Flynn,PG,TOR,40,479,100,0,0,0,0,guard_percent,100,6,1,175,73,guard
30161,2022,4424,Malcolm Brogdon,PG,IND,36,1206,60,38,3,0,0,guard_percent,98,6,5,229,77,guard
30163,2022,4982,Malcolm Hill,SG,ATL,3,46,0,24,65,11,0,wing_small_percent,89,6,6,220,78,wing
