seas_id,season,player_id,player,birth_year,pos,age,experience,lg,tm,g,mp,per,ts_percent,x3p_ar,f_tr,orb_percent,drb_percent,trb_percent,ast_percent,stl_percent,blk_percent,tov_percent,usg_percent,ows,dws,ws,ws_48,obpm,dbpm,bpm,vorp
31893,2025,5214,Alex Reese,NA,PF,25,1,NBA,PHI,14,214,13.6,0.635,0.774,0.226,4.1,21,12.2,2.7,2.3,4.6,9.3,13.1,0.2,0.2,0.5,0.105,-1.1,-0.3,-1.4,0
31894,2025,5215,Alex Sarr,NA,C,19,1,NBA,WAS,67,1814,12.9,0.482,0.412,0.199,7.1,17.9,12.5,13.9,1.2,5,11.2,23.5,-1.6,1.3,-0.3,-0.007,-2.2,-1,-3.3,-0.6
31895,2025,5028,Alondes Williams,NA,SG,25,3,NBA,DET,1,4,53.4,1.25,0.5,0,0,0,0,65,0,0,0,21.1,0,0,0,0.565,37.9,6.2,44.1,0
31896,2025,4904,Alperen Şengün,NA,C,22,4,NBA,HOU,76,2395,21.4,0.545,0.079,0.374,11.4,23.8,17.5,24.1,1.7,2.3,12.7,26.2,4.1,4.2,8.3,0.166,2.6,1.8,4.4,3.9
31897,2025,5113,Amen Thompson,NA,SF,22,2,NBA,HOU,69,2225,18.7,0.602,0.131,0.354,9,18.2,13.5,16.9,2.1,3.6,14.6,17.5,4.1,3.9,8,0.172,1.4,2.6,4.1,3.4
31898,2025,4690,Amir Coffey,NA,SG,27,6,NBA,LAC,72,1748,11.2,0.614,0.484,0.253,2.1,8.2,5.2,6.1,1.1,0.4,7.4,15.3,2.4,1.7,4,0.111,-1.5,-0.2,-1.7,0.1
31899,2025,4064,Andre Drummond,NA,C,31,13,NBA,PHI,40,751,16,0.535,0.085,0.385,15.8,31.6,23.4,6.8,2.6,2.4,16.7,19.1,0.2,1,1.2,0.078,-2.4,-0.8,-3.2,-0.2
31900,2025,5114,Andre Jackson Jr.,NA,SG,23,2,NBA,MIL,67,980,8.6,0.554,0.386,0.122,7.5,12.5,10.1,10.9,1.7,1.3,21.8,11.9,0.1,1,1.2,0.059,-3.6,0.2,-3.4,-0.3
31901,2025,5029,Andrew Nembhard,NA,SG,25,3,NBA,IND,65,1881,11.7,0.545,0.325,0.252,2,10.7,6.4,22.5,2,0.5,15.8,16.3,1.1,1.7,2.8,0.071,-2.6,0.3,-2.3,-0.1
31902,2025,4223,Andrew Wiggins,NA,SF,29,11,NBA,TOT,60,1842,16.4,0.566,0.415,0.306,5.1,10.8,7.9,13.5,1.6,2.6,9.4,24.5,1.9,2.1,4,0.104,1.2,-0.3,0.9,1.4
31903,2025,4223,Andrew Wiggins,NA,SF,29,11,NBA,GSW,43,1296,16.4,0.566,0.422,0.304,5.3,11.2,8.2,12.2,1.5,2.4,7.7,23.5,1.7,1.5,3.2,0.119,1.4,-0.4,1,1
31904,2025,4223,Andrew Wiggins,NA,SF,29,11,NBA,MIA,17,546,16.4,0.566,0.398,0.311,4.7,9.8,7.3,16.5,1.8,3,13.1,26.7,0.2,0.6,0.8,0.069,0.8,-0.1,0.7,0.4
31905,2025,4586,Anfernee Simons,NA,SG,25,7,NBA,POR,70,2292,14.9,0.557,0.527,0.172,1.2,8,4.5,23.3,1.3,0.2,10.6,24.6,2.9,1.2,4.2,0.087,1.5,-1.5,-0.1,1.1
31906,2025,5116,Anthony Black,NA,PG,21,2,NBA,ORL,78,1887,11.6,0.521,0.315,0.318,3,11.4,7,19.4,2.3,2.4,16.4,19.6,-0.6,3,2.4,0.061,-3.1,1.2,-1.9,0
31907,2025,4066,Anthony Davis,NA,PF,31,13,NBA,TOT,51,1706,26.3,0.588,0.136,0.405,9.1,29.1,19.4,18.3,1.7,6,9.5,30.4,3.7,3,6.7,0.188,3.9,1.5,5.4,3.2
31908,2025,4066,Anthony Davis,NA,C,31,13,NBA,LAL,42,1440,27.1,0.601,0.124,0.423,9.6,28.9,19.5,17.1,1.8,5.9,9.4,30.2,3.6,2.6,6.2,0.207,4.5,1.5,6,2.9
31909,2025,4066,Anthony Davis,NA,PF,31,13,NBA,DAL,9,266,21.7,0.52,0.197,0.316,6.3,30.5,18.6,24.7,0.9,6.4,10.4,31.2,0.1,0.4,0.5,0.088,1.2,1.3,2.5,0.3
31910,2025,4808,Anthony Edwards,NA,SG,23,5,NBA,MIN,79,2871,20.1,0.595,0.503,0.308,2.4,14.8,8.7,20.9,1.6,1.7,12,31.4,4.6,3.8,8.4,0.14,4.4,0,4.3,4.6
31911,2025,4809,Anthony Gill,NA,PF,32,5,NBA,WAS,51,397,10.2,0.586,0.352,0.568,4.7,12.6,8.6,5.7,1.1,0.5,8.3,12.7,0.4,0.1,0.5,0.058,-3,-1.5,-4.5,-0.3
31912,2025,5216,Anton Watson,NA,SF,24,1,NBA,NYK,9,22,5.9,0.444,0.111,0,5.3,10.3,7.8,12.8,2.3,0,18.2,21.7,-0.1,0,0,-0.07,-8.3,-1.8,-10.1,0
31913,2025,5217,Antonio Reeves,NA,SG,24,1,NBA,NOP,44,660,11.7,0.579,0.52,0.141,2.9,7.6,5.1,8.8,1.5,0.6,10.2,18.8,0.4,0,0.4,0.029,-1.2,-2,-3.2,-0.2
31914,2025,5218,Ariel Hukporti,NA,C,22,1,NBA,NYK,25,217,7.6,0.654,0,0.419,7.5,19.4,13.5,6.4,0.2,6.4,36.4,11.6,-0.2,0.3,0.1,0.02,-6.5,0.9,-5.6,-0.2
31915,2025,5219,Armel Traoré,NA,SF,22,1,NBA,LAL,9,67,3.5,0.317,0.368,0.368,3.5,21.2,12.6,2,2.9,2.8,12,16.4,-0.2,0.1,-0.1,-0.092,-9.5,-0.4,-9.8,-0.1
31916,2025,5117,Ausar Thompson,NA,SF,22,2,NBA,DET,59,1328,17.2,0.568,0.107,0.309,9.3,15.9,12.6,14.4,3.5,2.9,13.3,19.1,1.5,2.4,3.8,0.138,-0.8,2.5,1.7,1.2
31917,2025,4906,Austin Reaves,NA,SG,26,4,NBA,LAL,73,2550,18.1,0.616,0.512,0.353,2.8,11.5,7.3,24.9,1.6,0.8,12.9,23.7,5.6,2.1,7.6,0.144,2.4,-0.5,1.9,2.6
31918,2025,4907,Ayo Dosunmu,NA,SG,25,4,NBA,CHI,46,1394,12.8,0.585,0.421,0.176,2,10,6.1,20.2,1.4,1.1,12.5,16.6,1.6,1,2.5,0.087,-1.4,-0.2,-1.6,0.1
31919,2025,4472,Bam Adebayo,NA,C,27,8,NBA,MIA,78,2674,18.9,0.561,0.199,0.295,7.7,23.1,15.5,20,1.8,1.9,11.4,23.5,3.5,4,7.5,0.135,1,1,2,2.7
31920,2025,5220,Baylor Scheierman,NA,SG,24,1,NBA,BOS,31,384,10.3,0.49,0.745,0.109,5.4,13,9.2,11.3,2.2,0.5,9.4,14.5,0.2,0.5,0.7,0.089,-2.5,0.8,-1.7,0
31921,2025,5118,Ben Sheppard,NA,SG,23,2,NBA,IND,63,1228,9.2,0.555,0.693,0.094,4,12,8,8.6,1.5,1,6.9,11.3,1,1,2.1,0.081,-2.2,0.2,-2,0
31922,2025,4474,Ben Simmons,NA,PG,28,7,NBA,TOT,51,1120,12.4,0.539,0,0.148,4.6,20.3,12.2,37,1.7,2,30,13.2,0.5,1.3,1.8,0.078,-2.3,1.8,-0.5,0.4
31923,2025,4474,Ben Simmons,NA,PG,28,7,NBA,BRK,33,825,12.6,0.562,0,0.153,3.9,20.5,11.8,41.6,1.6,1.9,32.7,14.3,0.3,0.9,1.1,0.065,-2.4,1.4,-1,0.2
31924,2025,4474,Ben Simmons,NA,PG,28,7,NBA,LAC,18,295,11.9,0.464,0,0.132,6.6,19.7,13.2,24.3,2,2.4,20,10.4,0.2,0.5,0.7,0.116,-1.9,2.7,0.9,0.2
31925,2025,5030,Bennedict Mathurin,NA,SF,22,3,NBA,IND,72,2149,13.6,0.579,0.338,0.389,4.6,15.2,9.9,8.8,1.1,1,11.9,22.8,1.3,1.8,3,0.068,-1.3,-1.5,-2.9,-0.5
31926,2025,5119,Bilal Coulibaly,NA,SF,20,2,NBA,WAS,59,1948,10.8,0.515,0.359,0.296,4.8,10.9,7.8,14.9,1.9,1.9,15.1,17.9,-0.6,0.9,0.3,0.008,-3,-0.7,-3.7,-0.8
31927,2025,3984,Bismack Biyombo,NA,C,32,14,NBA,SAS,28,528,12.2,0.576,0,0.219,8.7,23.4,16,7.9,1.5,3.9,17.8,12.3,0.2,0.6,0.8,0.071,-3.6,0,-3.6,-0.2
