PLAYER_ID,PLAYER_NAME,PLAYER_LAST_TEAM_ID,PLAYER_LAST_TEAM_ABBREVIATION,AGE,GP,G,FGA_FREQUENCY,FGM,FGA,FG_PCT,EFG_PCT,FGA_FREQUENCY_percentile,FGA_percentile,EFG_PCT_percentile,sum_percentiles
201935,James Harden,1610612746,LAC,35,79,73,0.154,68,199,0.342,0.42,0.9325842696629213,1,0.5224719101123596,2.455056179775281
1630162,Anthony Edwards,1610612750,MIN,23,79,68,0.096,48,155,0.31,0.377,0.5468164794007491,0.99812734082397,0.3838951310861423,1.9288389513108615
1628369,Jayson Tatum,1610612738,BOS,27,70,64,0.109,51,152,0.336,0.398,0.6853932584269663,0.9962546816479401,0.4419475655430712,2.1235955056179776
1628389,Bam Adebayo,1610612748,MIA,27,77,61,0.13,57,143,0.399,0.448,0.8220973782771536,0.9943820224719101,0.5955056179775281,2.411985018726592
1630224,Jalen Green,1610612745,HOU,23,81,60,0.096,37,137,0.27,0.336,0.5468164794007491,0.9925093632958801,0.26217228464419473,1.801498127340824
2544,LeBron James,1610612747,LAL,40,69,58,0.109,61,136,0.449,0.504,0.6853932584269663,0.9887640449438202,0.797752808988764,2.4719101123595504
1630532,Franz Wagner,1610612753,ORL,23,59,55,0.119,41,136,0.301,0.349,0.7528089887640449,0.9887640449438202,0.29213483146067415,2.033707865168539
203999,Nikola Jokić,1610612743,DEN,30,70,56,0.099,52,135,0.385,0.43,0.5861423220973783,0.9868913857677902,0.548689138576779,2.1217228464419473
1629639,Tyler Herro,1610612748,MIA,25,76,64,0.099,56,134,0.418,0.5,0.5861423220973783,0.9850187265917603,0.7322097378277154,2.303370786516854
1628404,Josh Hart,1610612752,NYK,30,76,54,0.174,56,133,0.421,0.481,0.9625468164794008,0.9812734082397003,0.704119850187266,2.647940074906367
1628983,Shai Gilgeous-Alexander,1610612760,OKC,26,75,63,0.082,48,133,0.361,0.421,0.3838951310861423,0.9812734082397003,0.5262172284644194,1.8913857677902621
1629014,Anfernee Simons,1610612757,POR,25,70,56,0.116,38,131,0.29,0.324,0.7322097378277154,0.9794007490636704,0.2209737827715356,1.9325842696629214
201942,DeMar DeRozan,1610612758,SAC,35,76,62,0.1,36,129,0.279,0.333,0.602996254681648,0.9775280898876404,0.2397003745318352,1.8202247191011234
1628973,Jalen Brunson,1610612752,NYK,28,64,55,0.107,54,126,0.429,0.488,0.6685393258426966,0.9756554307116105,0.7209737827715356,2.365168539325843
1628969,Mikal Bridges,1610612752,NYK,28,81,61,0.107,49,125,0.392,0.452,0.6685393258426966,0.9719101123595506,0.6067415730337079,2.247191011235955
1630595,Cade Cunningham,1610612765,DET,23,69,58,0.087,40,125,0.32,0.348,0.43820224719101125,0.9719101123595506,0.2902621722846442,1.700374531835206
1630202,Payton Pritchard,1610612738,BOS,27,78,59,0.145,43,122,0.352,0.426,0.9082397003745318,0.9700374531835206,0.5374531835205992,2.4157303370786516
1627832,Fred VanVleet,1610612745,HOU,31,60,48,0.158,38,120,0.317,0.396,0.9419475655430711,0.9662921348314607,0.4288389513108614,2.337078651685393
1629027,Trae Young,1610612737,ATL,26,75,55,0.089,31,120,0.258,0.3,0.45880149812734083,0.9662921348314607,0.1704119850187266,1.5955056179775282
1630578,Alperen Sengun,1610612745,HOU,22,75,55,0.105,49,119,0.412,0.416,0.653558052434457,0.9644194756554307,0.5,2.1179775280898876
1626164,Devin Booker,1610612756,PHX,28,75,59,0.083,47,118,0.398,0.436,0.40074906367041196,0.9606741573033708,0.5692883895131086,1.9307116104868913
1641718,Keyonte George,1610612762,UTA,21,66,53,0.13,43,118,0.364,0.449,0.8220973782771536,0.9606741573033708,0.5973782771535581,2.380149812734082
1630178,Tyrese Maxey,1610612755,PHI,24,52,44,0.105,37,115,0.322,0.343,0.653558052434457,0.9588014981273408,0.27715355805243447,1.8895131086142323
1629632,Coby White,1610612741,CHI,25,73,58,0.101,46,112,0.411,0.487,0.6273408239700374,0.9569288389513109,0.7191011235955056,2.303370786516854
1630567,Scottie Barnes,1610612761,TOR,23,64,49,0.106,36,111,0.324,0.342,0.6647940074906367,0.9531835205992509,0.27340823970037453,1.8913857677902621
203471,Dennis Schröder,1610612765,DET,31,73,54,0.137,31,111,0.279,0.329,0.8707865168539326,0.9531835205992509,0.2340823970037453,2.0580524344569286
1630553,Keon Johnson,1610612751,BKN,23,78,58,0.142,39,110,0.355,0.423,0.8913857677902621,0.949438202247191,0.5299625468164794,2.3707865168539324
1630559,Austin Reaves,1610612747,LAL,26,72,57,0.107,32,110,0.291,0.364,0.6685393258426966,0.949438202247191,0.33146067415730335,1.949438202247191
1628384,OG Anunoby,1610612752,NYK,27,73,53,0.104,44,105,0.419,0.467,0.6441947565543071,0.947565543071161,0.6647940074906367,2.256554307116105
1627750,Jamal Murray,1610612743,DEN,28,67,49,0.093,35,103,0.34,0.388,0.5149812734082397,0.9456928838951311,0.41198501872659177,1.8726591760299627
1630169,Tyrese Haliburton,1610612754,IND,25,73,57,0.1,36,101,0.356,0.421,0.602996254681648,0.9419475655430711,0.5262172284644194,2.0711610486891385
1628378,Donovan Mitchell,1610612739,CLE,28,71,51,0.077,32,101,0.317,0.396,0.32771535580524347,0.9419475655430711,0.4288389513108614,1.698501872659176
