PLAYER_NAME,MIN,CHARGES_DRAWN,CONTESTED_SHOTS_2PT,CONTESTED_SHOTS_3PT,DEFLECTIONS,DEF_BOXOUTS,DEF_LOOSE_BALLS_RECOVERED,sum
AJ Green,23,0.8352941176470589,0.4852941176470588,0.45,0.09705882352941177,0.6617647058823529,0.65,3.179411764705882
Aaron Gordon,28.4,0,0.48823529411764705,0.020588235294117647,0.026470588235294117,0.2411764705882353,0.1676470588235294,0.9441176470588235
Aaron Holiday,13.6,0.7,0.42058823529411765,0.5852941176470589,0.5058823529411764,0.6029411764705882,0.07058823529411765,2.8852941176470592
Aaron Nesmith,24.9,0.9470588235294117,0.7323529411764705,0.8470588235294118,0.2235294117647059,0.2,0.3411764705882353,3.2911764705882356
Aaron Wiggins,22.9,0.49117647058823527,0.6441176470588236,0.8764705882352941,0.65,0.5176470588235295,0.5970588235294118,3.776470588235294
Adem Bona,17,0,0.9264705882352942,0.7676470588235295,0.45294117647058824,0.7235294117647059,0.18235294117647058,3.0529411764705885
Al Horford,27.6,0,0.788235294117647,0.9676470588235294,0.18823529411764706,0.8441176470588235,0.047058823529411764,2.8352941176470585
Alec Burks,17.8,0,0.26176470588235295,0.5323529411764706,0.38235294117647056,0.35294117647058826,0.16176470588235295,1.6911764705882355
Alex Caruso,19.6,0.9647058823529412,0.4147058823529412,0.8176470588235294,0.9970588235294118,0.4647058823529412,0.8823529411764706,4.541176470588235
Alex Len,9.4,0,0.9794117647058823,0.9647058823529412,0.3235294117647059,0.9941176470588236,0.8647058823529412,4.1264705882352946
Alex Sarr,27.1,0,0.9411764705882353,0.7558823529411764,0.32941176470588235,0.7735294117647059,0.4588235294117647,3.2588235294117647
Alperen Sengun,31.9,0.8264705882352941,0.8735294117647059,0.7235294117647059,0.6823529411764706,0.95,0.08235294117647059,4.138235294117647
Amen Thompson,32.3,0.6647058823529411,0.6470588235294118,0.07352941176470588,0.8176470588235294,0.13529411764705881,0.7941176470588235,3.1323529411764706
Amir Coffey,24.4,0.7294117647058823,0.19411764705882353,0.1264705882352941,0.18529411764705883,0.4,0.27058823529411763,1.9058823529411764
Andre Jackson Jr.,16.2,0,0.3735294117647059,0.058823529411764705,0.6411764705882353,0.25882352941176473,0.39705882352941174,1.7294117647058824
Andrew Nembhard,28.9,0.8411764705882353,0.3588235294117647,0.17941176470588235,0.55,0.21470588235294116,0.5558823529411765,2.7
Andrew Wiggins,30.7,0,0.6617647058823529,0.9588235294117647,0.21176470588235294,0.5794117647058824,0.35,2.761764705882353
Anfernee Simons,32.7,0.6588235294117647,0.1264705882352941,0.17352941176470588,0.058823529411764705,0.1264705882352941,0.5882352941176471,1.7323529411764707
Anthony Black,24.2,0.6676470588235294,0.638235294117647,0.45294117647058824,0.8823529411764706,0.3176470588235294,0.6676470588235294,3.6264705882352932
Anthony Davis,33.4,0.65,0.8352941176470589,0.9323529411764706,0.48823529411764705,0.8294117647058824,0.7647058823529411,4.5
Anthony Edwards,36.3,0,0.18823529411764706,0.061764705882352944,0.4323529411764706,0.014705882352941176,0.3352941176470588,1.0323529411764705
Anthony Gill,9.7,0,0.6470588235294118,0.9705882352941176,0.20588235294117646,0.9558823529411765,0.5823529411764706,3.361764705882353
Antonio Reeves,18.9,0,0.04411764705882353,0.48823529411764705,0.22941176470588234,0.24411764705882352,0.27941176470588236,1.2852941176470587
Ausar Thompson,22.5,0.5911764705882353,0.5147058823529411,0.7941176470588235,0.9911764705882353,0.10882352941176471,0.9764705882352941,3.976470588235294
Austin Reaves,34.9,0.9735294117647059,0.4088235294117647,0.38823529411764707,0.3,0.35,0.49117647058823527,2.911764705882353
Ayo Dosunmu,30.3,0,0.4676470588235294,0.35,0.24411764705882352,0.07352941176470588,0.8117647058823529,1.9470588235294117
Bam Adebayo,34.3,0,0.7411764705882353,0.19117647058823528,0.8205882352941176,0.9882352941176471,0.5058823529411764,3.2470588235294118
Ben Sheppard,19.4,0,0.47352941176470587,0.25882352941176473,0.4294117647058823,0.23823529411764705,0.8470588235294118,2.2470588235294118
Ben Simmons,22.1,0.8764705882352941,0.37058823529411766,0.5058823529411764,0.8647058823529412,0.5558823529411765,0.09705882352941177,3.270588235294118
Bennedict Mathurin,29.9,0,0.16176470588235295,0.3588235294117647,0.11470588235294117,0.47352941176470587,0.6588235294117647,1.7676470588235293
Bilal Coulibaly,33,0.5294117647058824,0.4117647058823529,0.4117647058823529,0.711764705882353,0.11176470588235295,0.7970588235294118,2.973529411764706
Blake Wesley,13.7,0,0.10588235294117647,0.2235294117647059,0.9058823529411765,0.008823529411764706,0.3382352941176471,1.5823529411764707
Bobby Portis,25.4,0,0.7941176470588235,0.9352941176470588,0.4764705882352941,0.7941176470588235,0.23823529411764705,3.238235294117647
Bogdan Bogdanović,25,0,0.4264705882352941,0.8264705882352941,0.6323529411764706,0.17058823529411765,0.5911764705882353,2.6470588235294117
Bradley Beal,32.1,0.7529411764705882,0.36470588235294116,0.7,0.6882352941176471,0.1,0.4764705882352941,3.0823529411764707
Brandin Podziemski,27.2,0.9882352941176471,0.20588235294117646,0.14705882352941177,0.6764705882352942,0.5058823529411764,0.9294117647058824,3.4529411764705884
Brandon Boston,24.1,0.5735294117647058,0.17352941176470588,0.23529411764705882,0.7941176470588235,0.03823529411764706,0.55,2.364705882352941
Brandon Clarke,18.9,0.8147058823529412,0.8088235294117647,0.8676470588235294,0.7617647058823529,0.9117647058823529,0.888235294117647,5.052941176470588
Brice Sensabaugh,20.4,0.5,0.21764705882352942,0.4588235294117647,0.3558823529411765,0.2852941176470588,0.7617647058823529,2.5794117647058825
Brook Lopez,31.8,0,0.9970588235294118,0.6441176470588236,0.15588235294117647,0.9441176470588235,0.020588235294117647,2.761764705882353
Bruce Brown,22.5,0,0.13529411764705881,0.3029411764705882,0.6617647058823529,0.40588235294117647,0.4235294117647059,1.9294117647058824
Bub Carrington,30,0.5411764705882353,0.2647058823529412,0.3382352941176471,0.1411764705882353,0.21764705882352942,0.43823529411764706,1.9411764705882353
Buddy Hield,22.7,0,0.5882352941176471,0.5705882352941176,0.6852941176470588,0.1323529411764706,0.4147058823529412,2.3911764705882352
CJ McCollum,32.7,0.6588235294117647,0.20294117647058824,0.46176470588235297,0.1676470588235294,0.2323529411764706,0.7294117647058823,2.4529411764705884
Cade Cunningham,35,0.5852941176470589,0.55,0.6647058823529411,0.4470588235294118,0.55,0.5764705882352941,3.3735294117647054
Caleb Houstan,15,0,0.5764705882352941,0.09117647058823529,0.2,0.6058823529411764,0.08529411764705883,1.5588235294117647
Caleb Martin,27.5,0.8558823529411764,0.39705882352941174,0.3,0.6205882352941177,0.42058823529411765,0.8264705882352941,3.420588235294118
Cam Whitmore,18,0,0.25,0.06470588235294118,0.611764705882353,0.15588235294117647,0.9058823529411765,1.988235294117647
Cameron Johnson,31.6,0.7264705882352941,0.3176470588235294,0.5235294117647059,0.3382352941176471,0.4294117647058823,0.42058823529411765,2.755882352941176
Cameron Payne,15.5,0.9852941176470589,0.22058823529411764,0.08823529411764706,0.9147058823529411,0.5411764705882353,0.5852941176470589,3.335294117647059
Caris LeVert,24.9,0,0.47058823529411764,0.5441176470588235,0.8529411764705882,0.37058823529411766,0.6794117647058824,2.9176470588235297
Cason Wallace,27.6,0,0.3205882352941177,0.9411764705882353,0.9735294117647059,0.4441176470588235,0.9588235294117647,3.6382352941176475
Chris Boucher,17.2,0.8705882352941177,0.4647058823529412,0.7088235294117647,0.28823529411764703,0.5205882352941177,0.22941176470588234,3.0823529411764707
Chris Paul,28,0,0.008823529411764706,0.05588235294117647,0.7970588235294118,0.08235294117647059,0.9852941176470589,1.9294117647058826
Christian Braun,33.9,0.7029411764705882,0.4588235294117647,0.4852941176470588,0.3088235294117647,0.07647058823529412,0.5529411764705883,2.5852941176470585
Clint Capela,21.4,0.961764705882353,0.861764705882353,0.6617647058823529,0.22647058823529412,0.9029411764705882,0.2911764705882353,3.9058823529411764
Coby White,33.2,0.6529411764705882,0.3029411764705882,0.31470588235294117,0.06470588235294118,0.047058823529411764,0.5735294117647058,1.9558823529411764
Cody Martin,22.5,0.9088235294117647,0.38823529411764707,0.32941176470588235,0.8558823529411764,0.7147058823529412,0.9970588235294118,4.194117647058824
Cody Williams,21.3,0,0.5911764705882353,0.6764705882352942,0.17647058823529413,0.18235294117647058,0.023529411764705882,1.65
Cole Anthony,19.6,0.8088235294117647,0.45588235294117646,0.22058823529411764,0.7147058823529412,0.27647058823529413,0.8352941176470589,3.311764705882353
Collin Sexton,27.9,0,0.029411764705882353,0.008823529411764706,0.38529411764705884,0.14705882352941177,0.4676470588235294,1.0382352941176471
Corey Kispert,26.4,0,0.3558823529411765,0.3352941176470588,0.05588235294117647,0.3764705882352941,0.20294117647058824,1.326470588235294
Cory Joseph,13.5,0.7058823529411765,0.5147058823529411,0.6264705882352941,0.6058823529411764,0.3558823529411765,0.8441176470588235,3.6529411764705886
Craig Porter Jr.,11.7,0,0.5852941176470589,0.7147058823529412,0.8294117647058824,0.07941176470588235,0.1411764705882353,2.35
D'Angelo Russell,25.5,0.5558823529411765,0.18529411764705883,0.3264705882352941,0.7823529411764706,0.2529411764705882,0.10294117647058823,2.2058823529411766
DaQuan Jeffries,23.4,0,0.5235294117647059,0.8823529411764706,0.37058823529411766,0.638235294117647,0.21176470588235294,2.626470588235294
Dalano Banton,17.5,0.6411764705882353,0.611764705882353,0.4647058823529412,0.7205882352941176,0.36764705882352944,0.2852941176470588,3.0911764705882354
Dalen Terry,14,0.55,0.6735294117647059,0.7441176470588236,0.8970588235294118,0.5029411764705882,0.38235294117647056,3.75
