,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,AGE,G,MIN,CONTESTED_SHOTS,CONTESTED_SHOTS_2PT,CONTESTED_SHOTS_3PT,DEFLECTIONS,CHARGES_DRAWN,SCREEN_ASSISTS,SCREEN_AST_PTS,OFF_LOOSE_BALLS_RECOVERED,DEF_LOOSE_BALLS_RECOVERED,LOOSE_BALLS_RECOVERED,PCT_LOOSE_BALLS_RECOVERED_OFF,PCT_LOOSE_BALLS_RECOVERED_DEF,OFF_BOXOUTS,DEF_BOXOUTS,BOX_OUTS,BOX_OUT_PLAYER_TEAM_REBS,BOX_OUT_PLAYER_REBS,PCT_BOX_OUTS_OFF,PCT_BOX_OUTS_DEF,PCT_BOX_OUTS_TEAM_REB,PCT_BOX_OUTS_REB,TeamID,TeamName,WINS,LOSSES,TeamGP,G_PERCENT,CHARGES_DRAWN_pct_rank,CONTESTED_SHOTS_pct_rank,DEFLECTIONS_pct_rank,DEF_BOXOUTS_pct_rank,DEF_LOOSE_BALLS_RECOVERED_pct_rank,sum
17,1630578,Alperen Sengun,1610612745,HOU,22.0,6,28.2,7.5,6.5,1.0,2.5,0.17,4.5,11.83,0.5,0.17,0.67,0.75,0.25,0.83,2.83,3.67,3.5,2.33,0.227,0.773,0.955,0.636,1610612745,Rockets,3,3,6,1.0,0.8559077809798271,0.8876080691642652,0.7997118155619597,0.9855907780979827,0.4654178674351585,3.994236311239193
18,1641708,Amen Thompson,1610612745,HOU,21.0,6,22.7,3.67,3.17,0.5,1.83,0.0,0.83,2.17,0.33,0.5,0.83,0.4,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1610612745,Rockets,3,3,6,1.0,0.4048991354466859,0.6340057636887608,0.7319884726224783,0.1585014409221902,0.9077809798270894,2.8371757925072045
19,1629599,Amir Coffey,1610612746,LAC,27.0,6,21.1,2.5,1.17,1.33,0.83,0.0,0.67,1.5,0.0,0.17,0.17,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1610612746,Clippers,2,4,6,1.0,0.4048991354466859,0.4092219020172911,0.2737752161383285,0.1585014409221902,0.547550432276657,1.7939481268011526
20,203083,Andre Drummond,1610612755,PHI,31.0,5,28.4,7.4,4.6,2.8,2.4,0.0,3.0,6.8,0.0,0.2,0.2,0.0,1.0,0.8,1.2,2.0,2.0,1.4,0.4,0.6,1.0,0.7,1610612755,76ers,1,4,5,1.0,0.4048991354466859,0.8818443804034583,0.7579250720461095,0.8847262247838616,0.5072046109510087,3.436599423631124
21,1641748,Andre Jackson Jr.,1610612749,MIL,22.0,6,12.0,1.33,1.0,0.33,1.33,0.0,0.5,1.17,0.33,0.17,0.5,0.667,0.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1610612749,Bucks,1,6,7,0.8571428571428571,0.4048991354466859,0.37752161383285304,0.8789625360230547,0.1585014409221902,0.7723342939481268,2.5922190201729105
22,1629614,Andrew Nembhard,1610612754,IND,24.0,5,25.3,2.0,1.4,0.6,1.4,0.4,0.0,0.0,0.2,0.0,0.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1610612754,Pacers,2,4,6,0.8333333333333334,0.9596541786743515,0.14985590778097982,0.45821325648414984,0.1585014409221902,0.18011527377521613,1.9063400576368874
23,203952,Andrew Wiggins,1610612744,GSW,29.0,5,25.0,4.8,2.4,2.4,1.2,0.0,0.0,0.0,0.4,0.2,0.6,0.667,0.333,0.2,0.2,0.6,0.4,0.2,0.333,0.333,1.0,0.5,1610612744,Warriors,6,1,7,0.7142857142857143,0.4048991354466859,0.723342939481268,0.3688760806916426,0.4322766570605187,0.5417867435158501,2.4711815561959654
24,1629014,Anfernee Simons,1610612757,POR,25.0,7,34.1,3.14,1.14,2.0,1.14,0.0,0.0,0.0,0.14,0.29,0.43,0.333,0.667,0.0,0.14,0.14,0.14,0.0,0.0,1.0,1.0,0.0,1610612757,Trail Blazers,2,5,7,1.0,0.4048991354466859,0.2564841498559078,0.1988472622478386,0.3256484149855908,0.5619596541786743,1.7478386167146973
25,1641710,Anthony Black,1610612753,ORL,20.0,7,25.2,4.29,2.14,2.14,1.29,0.0,0.0,0.0,0.14,0.29,0.43,0.333,0.667,0.0,0.29,0.29,0.29,0.14,0.0,1.0,1.0,0.5,1610612753,Magic,3,4,7,1.0,0.4048991354466859,0.6657060518731989,0.40057636887608067,0.5331412103746398,0.6743515850144092,2.6786743515850144
26,203076,Anthony Davis,1610612747,LAL,31.0,7,36.3,8.43,5.0,3.43,3.0,0.0,3.43,7.86,0.57,0.29,0.86,0.667,0.333,0.29,1.0,1.29,1.29,1.0,0.222,0.778,1.0,0.778,1610612747,Lakers,4,3,7,1.0,0.4048991354466859,0.8270893371757925,0.7377521613832853,0.7780979827089337,0.5389048991354467,3.286743515850144
27,1630162,Anthony Edwards,1610612750,MIN,23.0,6,38.4,3.67,1.67,2.0,1.83,0.0,0.17,0.33,0.0,0.17,0.17,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1610612750,Timberwolves,3,3,6,1.0,0.4048991354466859,0.2824207492795389,0.3631123919308357,0.1585014409221902,0.37752161383285304,1.5864553314121037
28,1630264,Anthony Gill,1610612764,WAS,32.0,4,2.3,0.5,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1610612764,Wizards,2,4,6,0.6666666666666666,0.4048991354466859,0.8069164265129684,0.023054755043227664,0.1585014409221902,0.18011527377521613,1.5734870317002883
30,1630574,Ariel Hukporti,1610612752,NYK,22.0,4,7.2,2.75,2.5,0.25,1.0,0.0,2.0,4.0,0.5,0.25,0.75,0.667,0.333,0.0,0.75,0.75,0.75,0.25,0.0,1.0,1.0,0.333,1610612752,Knicks,3,2,5,0.8,0.4048991354466859,0.9769452449567724,0.9582132564841499,0.9884726224783862,0.9769452449567724,4.305475504322766
31,1630559,Austin Reaves,1610612747,LAL,26.0,7,35.1,5.0,2.86,2.14,2.29,0.29,1.0,2.43,0.29,0.14,0.43,0.667,0.333,0.0,0.14,0.14,0.14,0.0,0.0,1.0,1.0,0.0,1610612747,Lakers,4,3,7,1.0,0.8904899135446686,0.5302593659942363,0.5878962536023055,0.31988472622478387,0.3631123919308357,2.69164265129683
32,1630245,Ayo Dosunmu,1610612741,CHI,24.0,6,26.7,3.33,2.33,1.0,0.33,0.0,0.0,0.0,0.17,1.0,1.17,0.143,0.857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1610612741,Bulls,3,3,6,1.0,0.4048991354466859,0.43804034582132567,0.05187319884726225,0.1585014409221902,0.9827089337175793,2.0360230547550433
33,1628389,Bam Adebayo,1610612748,MIA,27.0,5,31.4,5.4,4.4,1.0,2.8,0.0,2.6,6.8,0.4,0.4,0.8,0.5,0.5,0.4,2.2,2.6,2.6,0.6,0.154,0.846,1.0,0.231,1610612748,Heat,3,2,5,1.0,0.4048991354466859,0.6714697406340058,0.8040345821325648,0.9711815561959655,0.7146974063400576,3.5662824207492796
35,1641767,Ben Sheppard,1610612754,IND,23.0,6,18.2,1.67,0.83,0.83,0.33,0.0,0.0,0.0,0.17,0.33,0.5,0.333,0.667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1610612754,Pacers,2,4,6,1.0,0.4048991354466859,0.25360230547550433,0.08645533141210375,0.1585014409221902,0.8587896253602305,1.7622478386167146
36,1627732,Ben Simmons,1610612751,BKN,28.0,6,24.4,3.67,2.5,1.17,2.33,0.17,2.5,5.67,0.67,0.0,0.67,1.0,0.0,0.0,1.0,1.0,1.0,0.17,0.0,1.0,1.0,0.167,1610612751,Nets,3,4,7,0.8571428571428571,0.8731988472622478,0.5734870317002881,0.8213256484149856,0.8760806916426513,0.18011527377521613,3.3242074927953893
37,1631097,Bennedict Mathurin,1610612754,IND,22.0,6,26.8,2.33,0.67,1.67,1.0,0.17,0.0,0.0,0.33,0.17,0.5,0.667,0.333,0.0,0.67,0.67,0.67,0.33,0.0,1.0,1.0,0.5,1610612754,Pacers,2,4,6,1.0,0.8645533141210374,0.21613832853025935,0.23919308357348704,0.7579250720461095,0.48703170028818443,2.5648414985590775
38,1641731,Bilal Coulibaly,1610612764,WAS,20.0,6,34.8,4.5,2.83,1.67,2.17,0.0,0.33,0.5,0.5,0.33,0.83,0.6,0.4,0.0,0.17,0.17,0.17,0.17,0.0,1.0,1.0,1.0,1610612764,Wizards,2,4,6,1.0,0.4048991354466859,0.46829971181556196,0.5389048991354467,0.3515850144092219,0.6051873198847262,2.3688760806916425
39,1631104,Blake Wesley,1610612759,SAS,21.0,6,7.8,0.83,0.17,0.67,0.17,0.0,0.17,0.33,0.17,0.0,0.17,1.0,0.0,0.0,0.17,0.17,0.17,0.0,0.0,1.0,1.0,0.0,1610612759,Spurs,3,3,6,1.0,0.4048991354466859,0.3400576368876081,0.10662824207492795,0.7175792507204611,0.18011527377521613,1.7492795389048992
40,1626171,Bobby Portis,1610612749,MIL,29.0,7,26.3,6.71,3.86,2.86,1.71,0.0,1.0,2.57,0.0,0.29,0.29,0.0,1.0,0.29,0.43,0.71,0.71,0.57,0.4,0.6,1.0,0.8,1610612749,Bucks,1,6,7,1.0,0.4048991354466859,0.8645533141210374,0.5850144092219021,0.6109510086455331,0.6484149855907781,3.1138328530259365
43,203078,Bradley Beal,1610612756,PHX,31.0,4,35.8,7.25,3.5,3.75,2.75,0.0,0.75,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1610612756,Suns,5,1,6,0.6666666666666666,0.4048991354466859,0.7636887608069164,0.7031700288184438,0.1585014409221902,0.18011527377521613,2.2103746397694524
44,1641764,Brandin Podziemski,1610612744,GSW,21.0,7,28.1,1.86,0.71,1.14,2.43,0.57,1.0,2.14,0.29,0.29,0.57,0.5,0.5,0.0,0.29,0.29,0.29,0.14,0.0,1.0,1.0,0.5,1610612744,Warriors,6,1,7,1.0,0.9827089337175793,0.09221902017291066,0.7723342939481268,0.5043227665706052,0.6311239193083573,2.9827089337175794
45,1630527,Brandon Boston Jr.,1610612740,NOP,22.0,4,16.5,1.5,0.5,1.0,1.5,0.0,0.25,0.75,0.25,0.0,0.25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1610612740,Pelicans,3,4,7,0.5714285714285714,0.4048991354466859,0.2478386167146974,0.8141210374639769,0.1585014409221902,0.18011527377521613,1.8054755043227666
46,1629634,Brandon Clarke,1610612763,MEM,28.0,8,14.0,2.0,1.25,0.75,0.88,0.0,0.38,0.88,0.0,0.13,0.13,0.0,1.0,0.13,0.25,0.38,0.38,0.25,0.333,0.667,1.0,0.667,1610612763,Grizzlies,4,3,7,1.1428571428571428,0.4048991354466859,0.5331412103746398,0.5446685878962536,0.6397694524495677,0.6023054755043228,2.72478386167147
47,1627742,Brandon Ingram,1610612740,NOP,27.0,7,32.4,3.57,2.14,1.43,1.14,0.0,0.29,0.57,0.14,0.14,0.29,0.5,0.5,0.0,0.29,0.29,0.29,0.14,0.0,1.0,1.0,0.5,1610612740,Pelicans,3,4,7,1.0,0.4048991354466859,0.3746397694524496,0.20461095100864554,0.45821325648414984,0.3746397694524496,1.8170028818443806
50,1641729,Brice Sensabaugh,1610612762,UTA,21.0,6,14.8,0.67,0.67,0.0,1.0,0.0,0.17,0.5,0.33,0.17,0.5,0.667,0.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1610612762,Jazz,0,6,6,1.0,0.4048991354466859,0.03170028818443804,0.6095100864553314,0.1585014409221902,0.6714697406340058,1.8760806916426511
52,201572,Brook Lopez,1610612749,MIL,36.0,7,31.4,12.71,11.14,1.57,1.14,0.0,2.71,6.71,0.0,0.43,0.43,0.0,1.0,0.43,1.43,2.14,1.86,1.29,0.2,0.667,1.0,0.692,1610612749,Bucks,1,6,7,1.0,0.4048991354466859,0.9913544668587896,0.22478386167146974,0.9193083573487032,0.7521613832853026,3.292507204610951
53,1628981,Bruno Fernando,1610612761,TOR,26.0,4,9.6,2.25,1.75,0.5,0.75,0.0,1.0,2.25,0.0,0.0,0.0,0.0,0.0,0.5,0.5,1.0,1.0,0.25,0.5,0.5,1.0,0.25,1610612761,Raptors,2,5,7,0.5714285714285714,0.4048991354466859,0.829971181556196,0.7161383285302594,0.9365994236311239,0.18011527377521613,3.0677233429394812
54,1627741,Buddy Hield,1610612744,GSW,31.0,7,25.7,3.71,2.71,1.0,2.14,0.0,0.43,0.57,0.29,0.29,0.57,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1610612744,Warriors,6,1,7,1.0,0.4048991354466859,0.5417867435158501,0.7435158501440923,0.1585014409221902,0.6657060518731989,2.5144092219020173
55,203468,CJ McCollum,1610612740,NOP,33.0,4,34.2,5.25,2.5,2.75,2.5,0.0,0.25,0.5,0.25,0.5,0.75,0.333,0.667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1610612740,Pelicans,3,4,7,0.5714285714285714,0.4048991354466859,0.5878962536023055,0.6858789625360231,0.1585014409221902,0.7809798270893372,2.618155619596542
56,1630595,Cade Cunningham,1610612765,DET,23.0,8,35.8,4.75,2.88,1.88,2.5,0.0,0.5,1.25,0.38,0.38,0.75,0.5,0.5,0.0,0.38,0.38,0.25,0.13,0.0,1.0,0.667,0.333,1610612765,Pistons,3,5,8,1.0,0.4048991354466859,0.4783861671469741,0.6397694524495677,0.5072046109510087,0.6368876080691642,2.6671469740634004
