tm,position_2,rotation,pos_vorp_wo_leader,conference
ATL,big,"Onyeka Okongwu, Larry Nance Jr., Clint Capela, Mouhamed Gueye, David Roddy, Dominick Barlow, Jacob Toppin, Georges Niang",0.8,East
ATL,guard,"Trae Young, Vit Krejci, Keaton Wallace, Kobe Bufkin",0.7000000000000001,East
ATL,wing,"Dyson Daniels, Jalen Johnson, Caris LeVert, De'Andre Hunter, Garrison Mathews, Terance Mann, Daeqwon Plowden, Bogdan Bogdanović, Zaccharie Risacher",1.1,East
BOS,big,"Kristaps Porziņģis, Luke Kornet, Al Horford, Neemias Queta, Miles Norris, Xavier Tillman Sr.",3,East
BOS,guard,"Derrick White, Payton Pritchard, Jrue Holiday, Jaden Springer, JD Davison",4.5,East
BOS,wing,"Jayson Tatum, Jaylen Brown, Sam Hauser, Drew Peterson, Jaden Springer, Baylor Scheierman, Miles Norris, Torrey Craig, Jordan Walsh",2.2,East
BRK,big,"Nic Claxton, Day'Ron Sharpe, Drew Timme, Trendon Watford, Noah Clowney",-0.4,East
BRK,guard,"D'Angelo Russell, Dennis Schröder, Ben Simmons, Killian Hayes, Tyson Etienne, Reece Beekman, Keon Johnson",-0.5999999999999999,East
BRK,wing,"Cameron Johnson, Cam Thomas, Dorian Finney-Smith, Shake Milton, Jaylen Martin, Cui Yongxi, Dariq Whitehead, Maxwell Lewis, Ziaire Williams, Tosan Evbuomwan, Tyrese Martin, Jalen Wilson",-0.8999999999999998,East
CHI,big,"Nikola Vučević, Jalen Smith, Zach Collins, Adama Sanogo, E.J. Liddell, Patrick Williams",0.3,East
CHI,guard,"Josh Giddey, Coby White, Tre Jones, Lonzo Ball, Chris Duarte, Jahmir Young, Jevon Carter",1.7999999999999998,East
CHI,wing,"Zach LaVine, Ayo Dosunmu, Kevin Huerter, Torrey Craig, Emanuel Miller, Talen Horton-Tucker, Matas Buzelis, Julian Phillips, Dalen Terry",-0.8,East
CHO,big,"Mark Williams, Jusuf Nurkić, Grant Williams, Moussa Diabaté, Nick Richards, Taj Gibson, Tidjane Salaün",-0.8,East
CHO,guard,"LaMelo Ball, Seth Curry, Malachi Flynn, Tre Mann, Isaiah Wong, Elfrid Payton, Damion Baugh, KJ Simpson, Vasilije Micić, Nick Smith Jr.",-3.5999999999999996,East
CHO,wing,"Miles Bridges, Brandon Miller, Josh Okogie, Cody Martin, Grant Williams, Jared Rhoden, Jaylen Sims, Marcus Garrett, Wendell Moore Jr., Damion Baugh, DaQuan Jeffries, Josh Green",-1.5999999999999999,East
CLE,big,"Evan Mobley, Jarrett Allen, Chuma Okeke, JT Thor, Nae'Qwan Tomlin, Tristan Thompson",3.3,East
CLE,guard,"Donovan Mitchell, Darius Garland, Sam Merrill, Craig Porter Jr.",4.2,East
CLE,wing,"Ty Jerome, Max Strus, Caris LeVert, Dean Wade, De'Andre Hunter, Isaac Okoro, Georges Niang, Emoni Bates, Javonte Green, Jaylon Tyson, Luke Travers",3.2999999999999994,East
