PLAYER1_NAME,game_winning_3,game_winning_2,game_winning_ft,game_winning_points
AJ Green,6,0,0,18
AJ Johnson,1,0,0,3
Aaron Gordon,0,4,1,9
Aaron Holiday,1,0,0,3
Aaron Nesmith,1,3,2,11
Aaron Wiggins,3,1,3,14
Ajay Mitchell,2,2,1,11
Al Horford,2,0,0,6
Alec Burks,1,1,0,5
Alex Caruso,1,2,0,7
Alex Sarr,1,1,0,5
Alperen Sengun,1,4,4,15
Amen Thompson,0,3,2,8
Amir Coffey,1,0,0,3
Andre Jackson Jr.,0,1,0,2
Andrew Nembhard,0,6,1,13
Andrew Wiggins,2,0,0,6
Anfernee Simons,1,4,4,15
Anthony Black,1,2,1,8
Anthony Davis,1,4,3,14
Anthony Edwards,6,4,2,28
Ausar Thompson,0,2,0,4
Austin Reaves,4,5,1,23
Ayo Dosunmu,1,2,0,7
Bam Adebayo,2,5,0,16
Bennedict Mathurin,1,2,4,11
Bobby Portis,1,1,1,6
Bogdan Bogdanović,0,2,0,4
Bradley Beal,2,1,1,9
Brandin Podziemski,3,2,0,13
Brandon Boston,1,0,0,3
Brandon Clarke,0,5,0,10
Brandon Ingram,0,1,0,2
Brandon Miller,0,2,0,4
Brice Sensabaugh,1,0,0,3
Brook Lopez,1,2,3,10
Bub Carrington,0,2,0,4
Buddy Hield,1,0,3,6
CJ McCollum,2,0,0,6
Cade Cunningham,1,5,1,14
Caleb Houstan,1,0,0,3
Caleb Martin,0,0,1,1
Cam Spencer,0,0,1,1
Cam Thomas,2,0,1,7
Cam Whitmore,0,1,0,2
Cameron Johnson,1,2,1,8
Cameron Payne,1,1,0,5
Caris LeVert,3,4,2,19
Cason Wallace,2,1,0,8
Chet Holmgren,0,2,0,4
Chris Paul,3,2,1,14
Christian Braun,0,4,4,12
Clint Capela,0,0,1,1
Coby White,0,7,4,18
Cole Anthony,2,2,2,12
Collin Gillespie,1,0,0,3
Collin Sexton,0,0,1,1
Corey Kispert,1,0,0,3
Cory Joseph,1,0,0,3
D'Angelo Russell,2,2,0,10
DaQuan Jeffries,1,0,0,3
Dalano Banton,1,2,0,7
Dalen Terry,1,0,0,3
Damian Lillard,0,1,3,5
Daniel Gafford,0,3,0,6
Daniel Theis,0,1,0,2
Danté Exum,0,0,1,1
Darius Garland,4,7,3,29
Davion Mitchell,2,0,0,6
De'Aaron Fox,2,4,2,16
De'Andre Hunter,4,0,1,13
DeAndre Jordan,0,2,0,4
DeMar DeRozan,2,7,1,21
Dean Wade,1,0,0,3
Deandre Ayton,0,2,1,5
Dejounte Murray,0,1,1,3
Deni Avdija,0,1,0,2
Dennis Schröder,3,6,0,21
Derrick Jones Jr.,2,1,0,8
Derrick White,9,4,4,39
Desmond Bane,5,2,3,22
Devin Booker,3,4,1,18
Devin Carter,1,0,0,3
