player,jump_balls_participated,wins,losses,win_percent,jump_balls_participated_percentile,win_percent_percentile,avg_percentiles
Trayce Jackson-Davis,40,11,29,0.275,0.7806451612903226,0.12903225806451613,0.45483870967741935
Trey Murphy III,6,1,5,0.16666666666666666,0.14838709677419354,0.04516129032258064,0.0967741935483871
Tristan Thompson,5,1,4,0.2,0,0.07096774193548387,0.035483870967741936
Tristan da Silva,6,3,3,0.5,0.14838709677419354,0.45806451612903226,0.3032258064516129
Victor Wembanyama,62,51,11,0.8225806451612904,0.8838709677419355,0.9806451612903225,0.932258064516129
Walker Kessler,76,45,31,0.5921052631578947,0.9161290322580645,0.6838709677419355,0.8
Wendell Carter Jr.,56,35,21,0.625,0.8709677419354839,0.7806451612903226,0.8258064516129032
Yves Missi,78,27,51,0.34615384615384615,0.9290322580645162,0.23870967741935484,0.5838709677419355
Zaccharie Risacher,6,2,4,0.3333333333333333,0.14838709677419354,0.2,0.17419354838709677
Zach Collins,18,7,11,0.3888888888888889,0.6580645161290323,0.2903225806451613,0.4741935483870968
Zach Edey,67,44,23,0.6567164179104478,0.9032258064516129,0.8064516129032258,0.8548387096774193
Ziaire Williams,7,2,5,0.2857142857142857,0.25806451612903225,0.14193548387096774,0.2
NA,22,11,11,0.5,0.6903225806451613,0.45806451612903226,0.5741935483870968
