player,pts_per_game,trb_per_game,ast_per_game,stl_per_game,blk_per_game,pts_as_percent_of_other_stats
Jaime Jaquez Jr.,8.6,4.4,2.5,0.9,0.2,0.5180722891566265
Jake LaRavia,6.9,3.9,2.4,0.9,0.3,0.47916666666666663
Jalen Brunson,26,2.9,7.3,0.9,0.1,0.6989247311827957
Jalen Duren,11.8,10.3,2.7,0.7,1.1,0.44360902255639095
Jalen Green,21,4.6,3.4,0.9,0.3,0.695364238410596
Jalen Smith,8.2,5.6,1,0.3,0.7,0.5189873417721519
Jalen Williams,21.6,5.3,5.1,1.6,0.7,0.629737609329446
Jalen Wilson,9.5,3.4,1.8,0.5,0.1,0.6209150326797386
Jamal Murray,21.4,3.9,6,1.4,0.5,0.6445783132530121
Jamal Shead,7.1,1.5,4.2,0.8,0.1,0.5182481751824817
James Harden,22.8,5.8,8.7,1.5,0.7,0.5772151898734177
Jamison Battle,7.1,2.7,0.9,0.3,0.2,0.6339285714285713
Jarace Walker,6.1,3.1,1.5,0.7,0.3,0.5213675213675214
Jared Butler,9,1.8,3.7,0.7,0.2,0.5844155844155845
Jaren Jackson Jr.,22.2,5.6,2,1.2,1.5,0.683076923076923
Jarrett Allen,13.5,9.7,1.9,0.9,0.9,0.5018587360594796
Javonte Green,5.1,3.2,0.8,1,0.5,0.481132075471698
Jay Huff,6.9,2,0.6,0.3,0.9,0.6448598130841121
Jaylen Brown,22.2,5.8,4.5,1.2,0.3,0.6529411764705882
Jaylen Wells,10.4,3.4,1.7,0.6,0.1,0.6419753086419753
Jayson Tatum,26.8,8.7,6,1.1,0.5,0.6218097447795824
Jeremiah Robinson-Earl,6.3,4.8,1.3,0.6,0.1,0.48091603053435117
Jett Howard,4.5,1.2,0.7,0.2,0.2,0.6617647058823529
Johnny Juzang,8.9,2.9,1.1,0.6,0.1,0.6544117647058824
Jonas Valančiūnas,10.4,7.7,2,0.5,0.6,0.490566037735849
Jonathan Isaac,5.4,4.4,0.6,0.9,1.1,0.43548387096774194
Jonathan Mogbo,6.2,4.9,2.3,0.9,0.5,0.41891891891891886
Jordan Poole,20.5,3,4.5,1.3,0.4,0.6902356902356902
Josh Giddey,14.6,8.1,7.2,1.2,0.6,0.4605678233438486
Josh Green,7.4,2.5,1.6,1.1,0.2,0.5781250000000001
Josh Hart,13.6,9.6,5.9,1.5,0.4,0.43870967741935485
Jrue Holiday,11.1,4.3,3.9,1.1,0.4,0.5336538461538463
Julian Champagnie,9.9,3.9,1.4,0.7,0.4,0.6073619631901841
Julian Phillips,4.6,2.1,0.5,0.5,0.3,0.5750000000000001
Julian Strawther,9,2.2,1.3,0.6,0.2,0.6766917293233083
Julius Randle,18.7,7.1,4.7,0.7,0.2,0.5955414012738854
Justin Champagnie,8.8,5.7,1,1,0.6,0.5146198830409356
Karl-Anthony Towns,24.4,12.8,3.1,1,0.7,0.5809523809523808
Keegan Murray,12.4,6.7,1.4,0.8,0.9,0.5585585585585586
Kel'el Ware,9.3,7.4,0.9,0.6,1.1,0.4818652849740932
Keldon Johnson,12.7,4.8,1.6,0.6,0.3,0.6349999999999999
Kelly Oubre Jr.,15.1,6.1,1.8,1.5,0.5,0.604
Kenrich Williams,6.3,3.5,1.4,0.6,0.1,0.5294117647058824
Kentavious Caldwell-Pope,8.7,2.2,1.8,1.3,0.4,0.6041666666666666
Keon Ellis,8.3,2.7,1.5,1.5,0.8,0.5608108108108109
Keon Johnson,10.6,3.8,2.2,1,0.4,0.588888888888889
Kevin Durant,26.6,6,4.2,0.8,1.2,0.6855670103092784
Kevin Huerter,9.9,3,2.3,1,0.3,0.6
Kevin Porter Jr.,10.3,3.7,3.4,1.1,0.2,0.5508021390374332
Kevon Looney,4.5,6.1,1.6,0.6,0.5,0.33834586466165417
Keyonte George,16.8,3.8,5.6,0.7,0.1,0.6222222222222221
Klay Thompson,14,3.4,2,0.7,0.4,0.6829268292682928
Kris Dunn,6.4,3.4,2.8,1.7,0.4,0.43537414965986393
Kris Murray,4.2,2.6,1,0.5,0.2,0.49411764705882355
Kyle Anderson,5.9,3.4,2.4,0.7,0.5,0.45736434108527135
Kyle Filipowski,9.6,6.1,1.9,0.7,0.3,0.5161290322580645
Kyle Kuzma,14.8,5.7,2.3,0.6,0.3,0.6244725738396624
Kyshawn George,8.7,4.2,2.5,1,0.7,0.5087719298245614
LeBron James,24.4,7.8,8.2,1,0.6,0.580952380952381
Luguentz Dort,10.1,4.1,1.6,1.1,0.5,0.5804597701149425
Luke Kennard,8.9,2.8,3.3,0.8,0.1,0.559748427672956
Luke Kornet,6,5.3,1.6,0.5,1,0.41666666666666663
Malik Beasley,16.3,2.6,1.7,0.9,0.1,0.7546296296296297
Malik Monk,17.2,3.8,5.6,0.9,0.6,0.6120996441281138
Mason Plumlee,4.5,6.1,1.8,0.4,0.6,0.33582089552238803
Matas Buzelis,8.6,3.5,1,0.4,0.9,0.5972222222222222
Max Christie,9.6,3.3,1.9,0.8,0.4,0.6
Michael Porter Jr.,18.2,7,2.1,0.6,0.5,0.6408450704225351
Mikal Bridges,17.6,3.2,3.7,0.9,0.5,0.6795366795366796
Mike Conley,8.2,2.6,4.5,1.1,0.2,0.49397590361445787
Miles Bridges,20.3,7.5,3.9,0.7,0.7,0.6132930513595166
Miles McBride,9.5,2.5,2.9,1,0.3,0.5864197530864198
Moses Moody,9.8,2.6,1.3,0.8,0.4,0.6577181208053691
Moussa Diabaté,5.7,6.2,0.8,0.6,0.6,0.41007194244604317
Myles Turner,15.6,6.5,1.5,0.8,2,0.5909090909090908
Naji Marshall,13.2,4.8,3,1,0.2,0.5945945945945946
Naz Reid,14.2,6,2.3,0.7,0.9,0.5892116182572614
Neemias Queta,5,3.8,0.7,0.3,0.7,0.47619047619047616
Nic Claxton,10.3,7.4,2.2,0.9,1.4,0.463963963963964
Nick Smith Jr.,9.9,2.1,2.4,0.3,0.1,0.6689189189189189
Nickeil Alexander-Walker,9.4,3.2,2.7,0.6,0.4,0.5766871165644172
Nicolas Batum,4,2.8,1.1,0.7,0.5,0.43956043956043955
Nikola Jokić,29.6,12.7,10.2,1.8,0.6,0.5391621129326047
Nikola Vučević,18.5,10.1,3.5,0.8,0.7,0.550595238095238
Norman Powell,21.8,3.2,2.1,1.2,0.2,0.7649122807017544
OG Anunoby,18,4.8,2.2,1.5,0.9,0.6569343065693432
Obi Toppin,10.5,4,1.6,0.6,0.4,0.6140350877192982
Ochai Agbaji,10.4,3.8,1.5,0.9,0.5,0.608187134502924
Onyeka Okongwu,13.4,8.9,2.3,0.9,0.9,0.5075757575757576
Oso Ighodaro,4.2,3.6,1.2,0.5,0.5,0.42000000000000004
Pascal Siakam,20.2,6.9,3.4,0.9,0.5,0.6332288401253918
Patrick Williams,9,3.8,2,0.8,0.5,0.5590062111801242
Payton Pritchard,14.3,3.8,3.5,0.9,0.2,0.6299559471365639
Peyton Watson,8.1,3.4,1.4,0.7,1.4,0.5399999999999999
Quentin Grimes,14.6,4.3,3,1,0.3,0.6293103448275862
RJ Barrett,21.1,6.3,5.4,0.8,0.3,0.6224188790560473
Ricky Council IV,7.3,2.9,1.3,0.4,0.2,0.6033057851239669
Ron Holland,6.4,2.7,1,0.6,0.2,0.5871559633027523
Royce O'Neale,9.1,4.7,2.2,0.9,0.5,0.5229885057471264
Rudy Gobert,12,10.9,1.8,0.8,1.4,0.446096654275093
Rui Hachimura,13.1,5,1.4,0.8,0.4,0.6328502415458938
Russell Westbrook,13.3,4.9,6.1,1.4,0.5,0.5076335877862596
Ryan Dunn,6.9,3.6,0.8,0.6,0.5,0.5564516129032259
Sam Hauser,8.5,3.2,0.9,0.6,0.2,0.6343283582089553
Sam Merrill,7.2,2.2,1.5,0.7,0.2,0.6101694915254238
Sandro Mamukelashvili,6.3,3.1,0.8,0.4,0.3,0.5779816513761467
Santi Aldama,12.5,6.4,2.9,0.8,0.4,0.5434782608695653
Scoot Henderson,12.7,3,5.1,1,0.2,0.5772727272727274
Scottie Barnes,19.3,7.7,5.8,1.4,1,0.5482954545454546
Scotty Pippen Jr.,9.9,3.3,4.4,1.3,0.4,0.5129533678756477
Seth Curry,6.5,1.7,0.9,0.4,0.1,0.6770833333333334
Shaedon Sharpe,18.5,4.5,2.8,0.9,0.2,0.6877323420074349
Shai Gilgeous-Alexander,32.7,5,6.4,1.7,1,0.6987179487179487
Simone Fontecchio,5.9,2.9,0.9,0.4,0.2,0.5728155339805825
Spencer Dinwiddie,11,2.6,4.4,0.9,0.2,0.5759162303664922
Stephen Curry,24.5,4.4,6,1.1,0.4,0.6730769230769231
Stephon Castle,14.7,3.7,4.1,0.9,0.3,0.620253164556962
Steven Adams,3.9,5.6,1.1,0.4,0.5,0.3391304347826087
T.J. McConnell,9.1,2.4,4.4,1.1,0.3,0.5260115606936415
Talen Horton-Tucker,6.5,1.7,1.4,0.4,0.2,0.6372549019607844
Taurean Prince,8.2,3.6,1.9,1,0.2,0.5503355704697986
Terance Mann,7.7,3,1.8,0.7,0.2,0.5746268656716419
Terry Rozier,10.6,3.7,2.6,0.6,0.2,0.5988700564971751
Thomas Bryant,6.5,3.8,0.8,0.4,0.6,0.5371900826446281
Tidjane Salaün,5.9,4.7,1.2,0.5,0.2,0.47200000000000003
Tim Hardaway Jr.,11,2.4,1.6,0.5,0.1,0.7051282051282052
Tobias Harris,13.7,5.9,2.2,1,0.8,0.5805084745762711
Toumani Camara,11.3,5.8,2.2,1.5,0.6,0.5280373831775701
Trae Young,24.2,3.1,11.6,1.2,0.2,0.6004962779156326
Trayce Jackson-Davis,6.6,5,1.7,0.4,0.6,0.46153846153846156
Trey Lyles,6.5,4.6,1.2,0.6,0.3,0.49242424242424243
Tristan Da Silva,7.2,3.3,1.5,0.4,0.2,0.5714285714285715
Ty Jerome,12.5,2.5,3.4,1.1,0,0.6410256410256411
Tyler Herro,23.9,5.2,5.5,0.9,0.2,0.669467787114846
Tyrese Haliburton,18.6,3.5,9.2,1.4,0.7,0.5568862275449101
Tyrese Martin,8.7,3.7,2,0.6,0.2,0.5723684210526316
Tyus Jones,10.2,2.4,5.3,0.9,0.1,0.5396825396825397
Walker Kessler,11.1,12.2,1.7,0.6,2.4,0.39642857142857146
Wendell Carter Jr.,9.1,7.2,2,0.8,0.6,0.4619289340101522
Yves Missi,9.1,8.2,1.4,0.5,1.3,0.4439024390243903
Zaccharie Risacher,12.6,3.6,1.2,0.7,0.5,0.6774193548387097
Zach Collins,6.4,4.5,1.7,0.5,0.5,0.4705882352941177
Zach Edey,9.2,8.3,1,0.5,1.3,0.4532019704433497
Zach LaVine,23.3,4.3,4.2,0.8,0.2,0.7103658536585366
Ziaire Williams,10,4.6,1.3,1,0.4,0.5780346820809249
