player,pos,age,experience,ts_percent,usg_percent,vorp,ts_rank,usg_rank,vorp_rank,empty_stats
Vasilije Micić,PG,31,2,0.462,19.9,-1,0.9833333333333333,0.5166666666666667,0.9666666666666667,2.466666666666667
Victor Wembanyama,C,21,2,0.594,30.4,3.3,0.6065573770491803,1,0.09836065573770492,1.7049180327868854
Vit Krejci,PG,24,4,0.661,12.9,0.8,0,0.03333333333333333,0.4166666666666667,0.45
Walker Kessler,C,23,3,0.66,13.7,1.7,0.18032786885245902,0.19672131147540983,0.29508196721311475,0.6721311475409836
Wendell Carter Jr.,C,25,7,0.544,16,0.3,0.9016393442622951,0.39344262295081966,0.7049180327868853,2
Yves Missi,C,20,1,0.572,14.3,-0.5,0.7540983606557377,0.26229508196721313,0.9836065573770492,2
Zaccharie Risacher,SF,19,1,0.558,20.9,-0.7,0.6379310344827587,0.7413793103448276,0.9310344827586207,2.310344827586207
Zach Collins,PF,27,7,0.605,17.1,0.5,0.26153846153846155,0.49230769230769234,0.5692307692307692,1.323076923076923
Zach Edey,C,22,1,0.624,16.4,0.7,0.36065573770491804,0.4262295081967213,0.4918032786885246,1.278688524590164
Zach LaVine,SF,29,11,0.639,25.3,1.8,0.017241379310344827,0.9310344827586207,0.08620689655172414,1.0344827586206897
Zeke Nnaji,PF,24,5,0.574,12.2,0.1,0.5230769230769231,0.07692307692307693,0.7230769230769231,1.3230769230769233
Ziaire Williams,SF,23,4,0.55,18.2,-0.1,0.7758620689655172,0.5172413793103449,0.6724137931034483,1.9655172413793105
