player,tm,experience,age,salary,vorp,vorp_per_million,percent_of_cap
Trae Young,ATL,7,26,43031940,1.7,0.03950553937377678,0.30608544114718184
Clint Capela,ATL,11,30,22265280,0.3,0.013473892984952357,0.15837254957748884
Caris LeVert,ATL,9,30,16615384,0.4,0.02407407496570648,0.11818493754801264
Onyeka Okongwu,ATL,5,24,14000000,1.7,0.12142857142857144,0.09958175662218681
Zaccharie Risacher,ATL,1,19,12569040,-0.7,-0.05569239973776836,0.08940336301818079
Terance Mann,ATL,6,28,11423077,0.1,0.008754208695257856,0.08125214812074999
Larry Nance Jr.,ATL,10,32,11205000,0.4,0.035698348951361,0.07970097021082881
Georges Niang,ATL,9,31,8500000,-0.2,-0.023529411764705885,0.06046035223489914
Dyson Daniels,ATL,3,21,6059520,2.3,0.37956801858893113,0.04310126042051953
Jalen Johnson,ATL,4,23,4510905,1.2,0.2660220066705018,0.03208598884684326
Kobe Bufkin,ATL,2,21,4299000,-0.1,-0.023261223540358224,0.030578712265627223
Garrison Mathews,ATL,6,28,2230253,0.1,0.044837962329834335,0.015863750817993
Vit Krejci,ATL,4,24,2162606,0.8,0.36992406383779575,0.01538257888297721
Mouhamed Gueye,ATL,2,22,1891857,0.2,0.10571623542371332,0.013456745952712892
David Roddy,ATL,3,23,2847240,0.1,0.03512173192284458,0.020252368623211083
Jaylen Brown,BOS,9,28,49205800,1.1,0.022355088221307245,0.35
Jayson Tatum,BOS,8,26,34848340,4.8,0.13773970295285226,0.24787563661194412
Jrue Holiday,BOS,16,34,30000000,1.3,0.043333333333333335,0.2133894784761146
Kristaps Porziņģis,BOS,9,29,29268293,2.1,0.07174999922270835,0.20818485930520386
Derrick White,BOS,8,30,20071429,3.6,0.17935942677524355,0.14276772555267875
Al Horford,BOS,18,38,9500000,1.3,0.1368421052631579,0.06757333485076962
Payton Pritchard,BOS,5,27,6696429,3.2,0.47786663608320196,0.04763158306541099
Baylor Scheierman,BOS,1,24,2494320,0,0,0.01774205479841807
Xavier Tillman Sr.,BOS,5,26,2237691,-0.4,-0.1787556905756872,0.015916657182689847
Neemias Queta,BOS,4,25,2162606,0.3,0.1387215239391734,0.01538257888297721
Sam Hauser,BOS,4,27,2092344,1.1,0.5257261712223229,0.014882806498420918
Luke Kornet,BOS,8,29,2087519,1.8,0.8622676009176443,0.014848486357299342
Jordan Walsh,BOS,2,20,1891857,-0.2,-0.10571623542371332,0.013456745952712892
Torrey Craig,BOS,8,34,779820,0,0,0.005546846103508123
Nic Claxton,BRK,6,25,27556817,1.1,0.03991752748512283,0.1960111602697243
Cameron Johnson,BRK,6,28,22500000,2.3,0.10222222222222221,0.16004210885708595
D'Angelo Russell,BRK,10,28,18692307,0.5,0.026748972184118314,0.1329580547415142
Ziaire Williams,BRK,4,23,6133005,-0.1,-0.016305220687085693,0.04362395794804678
Cam Thomas,BRK,4,23,4041249,0.5,0.12372412588286444,0.02874533388340399
Day'Ron Sharpe,BRK,4,23,3989122,0.7,0.17547721027333832,0.028374555438586507
Noah Clowney,BRK,2,20,3244080,-0.5,-0.15412690192596978,0.023075084644493128
Dariq Whitehead,BRK,2,20,3114240,-0.1,-0.03211056309083436,0.022151534981648506
Trendon Watford,BRK,4,24,2726603,-0.3,-0.11002701896829131,0.019394279739380318
