seas_id,season,player_id,player,birth_year,pos,age,experience,lg,tm,g,mp,pg_percent,sg_percent,sf_percent,pf_percent,c_percent,on_court_plus_minus_per_100_poss,net_plus_minus_per_100_poss,bad_pass_turnover,lost_ball_turnover,shooting_foul_committed,offensive_foul_committed,shooting_foul_drawn,offensive_foul_drawn,points_generated_by_assists,and1,fga_blocked
31174,2024,4307,Bobby Portis,NA,PF,28,9,NBA,MIL,19,456,NA,NA,3,81,16,5.4,4.7,2,6,22,6,16,0,59,5,6
31175,2024,4475,Bogdan Bogdanović,NA,SG,31,7,NBA,ATL,18,479,NA,87,13,NA,NA,5.5,9.6,16,6,25,1,12,2,107,5,7
31176,2024,4692,Bol Bol,NA,PF,24,5,NBA,PHO,3,7,NA,NA,63,37,NA,-53.3,-56.9,2,0,0,0,0,0,0,0,0
31177,2024,4908,Bones Hyland,NA,PG,23,3,NBA,LAC,12,201,100,NA,NA,NA,NA,4.9,2.1,9,3,7,3,4,0,56,0,5
31178,2024,4072,Bradley Beal,NA,SG,30,12,NBA,PHO,3,86,NA,82,18,NA,NA,-10,-14.5,5,1,6,0,8,0,27,0,4
31179,2024,5117,Brandin Podziemski,NA,SG,20,1,NBA,GSW,13,226,NA,82,18,NA,NA,10.2,12.7,6,6,10,0,8,5,71,4,2
31180,2024,4379,Brandon Ingram,NA,SF,26,8,NBA,NOP,16,542,2,47,44,7,NA,0.5,-0.8,14,14,11,7,32,1,198,10,11
31181,2024,5118,Brandon Miller,NA,SF,21,1,NBA,CHO,15,461,NA,NA,64,36,NA,-6.8,4.9,10,3,28,3,15,9,72,4,8
31182,2024,4911,Braxton Key,NA,SF,26,3,NBA,DEN,6,15,NA,NA,37,56,7,-26,-30.8,0,0,2,0,1,0,11,0,0
31183,2024,5119,Brice Sensabaugh,NA,SF,20,1,NBA,UTA,1,2,NA,100,NA,NA,NA,25,32,0,0,0,0,0,0,0,0,0
31184,2024,3801,Brook Lopez,NA,C,35,16,NBA,MIL,19,562,NA,NA,NA,NA,100,1.5,-4.2,5,5,27,6,15,1,56,7,4
31185,2024,4594,Bruce Brown,NA,SG,27,6,NBA,IND,17,536,NA,89,11,NA,NA,4.3,7.6,6,6,24,1,15,1,118,5,10
31186,2024,4695,Bruno Fernando,NA,C,25,5,NBA,ATL,5,16,NA,NA,NA,NA,100,-25.6,-27.3,2,1,1,1,1,0,0,1,3
31187,2024,5032,Bryce McGowens,NA,SG,21,2,NBA,CHO,12,189,NA,46,52,2,NA,-13.8,-6.4,3,0,11,2,5,1,26,0,0
31188,2024,4382,Buddy Hield,NA,SF,31,8,NBA,IND,17,422,NA,31,68,2,NA,1.7,0.1,15,7,20,1,3,0,114,1,8
31189,2024,4154,CJ McCollum,NA,PG,32,11,NBA,NOP,7,234,93,7,NA,NA,NA,-0.6,-2,3,4,12,0,13,0,93,3,7
31190,2024,4912,Cade Cunningham,NA,PG,22,3,NBA,DET,19,664,32,60,8,NA,NA,-10.3,-6.8,49,25,26,6,34,2,314,9,31
31191,2024,5034,Caleb Houstan,NA,SF,21,2,NBA,ORL,11,79,2,32,52,15,NA,5.5,-0.7,1,1,4,0,1,0,13,1,0
31192,2024,4696,Caleb Martin,NA,SF,28,5,NBA,MIA,9,194,9,78,14,NA,NA,4.9,4.1,6,3,8,0,5,3,33,1,9
31193,2024,4697,Cam Reddish,NA,SF,24,5,NBA,LAL,16,379,NA,53,45,3,NA,-0.1,2.5,3,6,11,0,11,2,42,1,7
31194,2024,4913,Cam Thomas,NA,SG,22,3,NBA,BRK,9,284,4,55,36,5,NA,-3.3,-7,1,6,8,0,25,3,47,5,16
31195,2024,5120,Cam Whitmore,NA,SF,19,1,NBA,HOU,4,29,NA,NA,11,72,17,-30.3,-36,1,1,0,0,1,1,2,0,0
31196,2024,4698,Cameron Johnson,NA,PF,27,5,NBA,BRK,11,320,NA,1,10,70,19,5.7,6.8,14,2,6,1,9,1,84,0,7
31197,2024,4311,Cameron Payne,NA,PG,29,9,NBA,MIL,19,325,83,17,NA,NA,NA,2,-1.6,8,2,15,0,3,2,107,0,3
31198,2024,4383,Caris LeVert,NA,SG,29,8,NBA,CLE,16,486,9,75,16,NA,NA,1.5,3.4,10,7,13,2,25,7,129,4,14
31199,2024,5121,Cason Wallace,NA,SG,20,1,NBA,OKC,18,396,27,30,40,3,NA,11.6,5.2,4,3,16,1,6,2,62,1,1
31200,2024,4479,Cedi Osman,NA,SF,28,7,NBA,SAS,18,342,NA,1,26,74,NA,-19.4,-12.4,8,3,15,0,5,7,55,2,3
31201,2024,4917,Charles Bassey,NA,C,23,3,NBA,SAS,18,186,NA,NA,NA,7,93,-13.2,-1.7,10,2,17,1,3,0,45,2,1
31202,2024,5122,Chet Holmgren,NA,C,21,1,NBA,OKC,18,540,NA,NA,NA,NA,100,9.8,3,10,16,33,4,34,3,113,9,11
31203,2024,4597,Chimezie Metu,NA,C,26,6,NBA,PHO,10,74,NA,NA,NA,44,56,-6.5,-10.4,1,0,7,1,2,1,6,0,1
31204,2024,4481,Chris Boucher,NA,PF,31,7,NBA,TOR,17,249,NA,NA,11,59,31,3.6,5.6,1,2,21,2,18,2,12,3,6
31205,2024,4919,Chris Duarte,NA,SF,26,3,NBA,SAC,17,257,NA,20,80,NA,NA,-1.8,-1.4,7,1,22,2,7,5,37,2,3
31206,2024,5123,Chris Livingston,NA,SF,20,1,NBA,MIL,2,9,NA,28,NA,40,32,27.8,25,0,0,0,0,0,0,2,0,0
31207,2024,3585,Chris Paul,NA,PG,38,19,NBA,GSW,18,483,100,NA,NA,NA,NA,5.6,10.5,12,5,10,0,8,2,328,3,4
31208,2024,5036,Christian Braun,NA,SG,22,2,NBA,DEN,19,398,3,43,52,3,NA,1.5,-4.7,5,6,21,2,18,2,87,4,15
31209,2024,4313,Christian Wood,NA,PF,28,8,NBA,LAL,20,414,NA,NA,56,42,2,1.7,5.7,6,8,23,8,18,2,34,5,5
31210,2024,4817,Chuma Okeke,NA,SF,25,4,NBA,ORL,8,32,4,60,36,NA,NA,-23.2,-30.6,0,1,0,0,0,0,8,0,0
31211,2024,4230,Clint Capela,NA,C,29,10,NBA,ATL,18,435,NA,NA,NA,NA,100,-1.1,-4.6,5,2,19,4,22,5,41,4,15
31212,2024,4703,Coby White,NA,PG,23,5,NBA,CHI,20,656,88,12,NA,NA,NA,-5.4,2.5,18,8,28,3,19,22,199,4,9
31213,2024,4155,Cody Zeller,NA,C,31,11,NBA,NOP,15,142,NA,NA,NA,NA,100,11.6,12.7,2,1,8,3,5,3,40,1,6
31214,2024,5124,Colby Jones,NA,SG,21,1,NBA,SAC,9,70,2,77,21,NA,NA,-6.6,-6.2,2,1,5,0,2,0,5,1,1
31215,2024,4819,Cole Anthony,NA,PG,23,4,NBA,ORL,18,467,100,NA,NA,NA,NA,4.8,-2.8,21,11,27,2,32,3,163,7,11
31216,2024,5038,Cole Swider,NA,SF,24,2,NBA,MIA,3,29,NA,NA,72,29,NA,3.5,1.9,1,0,1,0,0,0,6,0,0
31217,2024,5125,Colin Castleton,NA,C,23,1,NBA,LAL,3,23,NA,NA,NA,NA,100,-35.1,-34.2,0,0,3,0,1,0,4,0,0
31218,2024,5126,Collin Gillespie,NA,PG,24,1,NBA,DEN,10,81,100,NA,NA,NA,NA,-2.1,-6.9,3,0,4,0,1,0,18,1,1
31219,2024,4599,Collin Sexton,NA,SG,25,6,NBA,UTA,19,383,9,86,5,NA,NA,-3.7,5.5,11,15,13,2,26,6,152,6,22
31220,2024,4920,Corey Kispert,NA,SF,24,3,NBA,WAS,17,389,NA,5,81,14,NA,-9.4,-1.9,7,4,17,2,19,1,63,6,8
31221,2024,3992,Cory Joseph,NA,PG,32,13,NBA,GSW,9,93,83,17,NA,NA,NA,5,4.9,3,0,5,0,1,1,47,0,2
31222,2024,5127,Craig Porter Jr.,NA,PG,23,1,NBA,CLE,12,174,70,30,NA,NA,NA,-10.7,-13,9,2,9,1,10,0,77,2,3
31223,2024,4317,D'Angelo Russell,NA,PG,27,9,NBA,LAL,20,622,100,NA,NA,NA,NA,2,10.4,25,8,18,2,19,7,300,6,9
31224,2024,5128,D'Moi Hodge,NA,SG,25,1,NBA,LAL,6,33,100,NA,NA,NA,NA,-59.7,-60.1,1,0,2,0,1,0,4,0,0
31225,2024,4706,DaQuan Jeffries,NA,SG,26,4,NBA,NYK,7,19,NA,NA,66,34,NA,-0.7,-5.8,1,0,1,0,0,0,3,0,0
31226,2024,4922,Daishen Nix,NA,PG,21,3,NBA,MIN,5,20,79,22,NA,NA,NA,36.3,29.8,0,0,0,0,0,0,0,0,1
31227,2024,4923,Dalano Banton,NA,PG,24,3,NBA,BOS,8,70,32,56,12,NA,NA,-8,-19.2,1,0,6,1,2,0,7,1,1
31228,2024,5039,Dalen Terry,NA,SG,21,2,NBA,CHI,6,23,NA,55,45,NA,NA,-10.4,-4.4,1,0,1,0,1,0,10,0,1
31229,2024,4387,Damian Jones,NA,C,28,8,NBA,CLE,10,51,NA,NA,NA,NA,100,-31.1,-32.7,1,0,1,2,1,0,8,0,2
31230,2024,4077,Damian Lillard,NA,PG,33,12,NBA,MIL,17,592,100,NA,NA,NA,NA,2.5,-1.6,33,8,8,1,52,5,280,12,22
31231,2024,4705,Daniel Gafford,NA,C,25,5,NBA,WAS,16,400,NA,NA,NA,NA,100,-8.9,-1.1,7,6,36,4,17,2,52,5,9
31232,2024,4487,Daniel Theis,NA,C,31,7,NBA,TOT,9,141,NA,NA,NA,6,94,0.6,-3.1,1,0,15,3,4,1,26,0,8
31233,2024,4487,Daniel Theis,NA,C,31,7,NBA,IND,1,8,NA,NA,NA,100,NA,-5.8,-7.6,0,0,0,0,0,1,0,0,1
31234,2024,4487,Daniel Theis,NA,C,31,7,NBA,LAC,8,133,NA,NA,NA,NA,100,1,-2.8,1,0,15,3,4,0,26,0,7
31235,2024,3807,Danilo Gallinari,NA,PF,35,14,NBA,WAS,16,246,NA,NA,NA,1,99,-6.3,2.9,3,3,13,0,11,1,59,3,3
31236,2024,3867,Danny Green,NA,SG,36,15,NBA,PHI,2,18,NA,50,50,NA,NA,-3,-10.5,0,0,1,0,0,0,2,0,0
31237,2024,4233,Dante Exum,NA,PG,28,7,NBA,DAL,16,170,100,NA,NA,NA,NA,9.9,11.4,1,1,8,1,7,4,58,3,6
31238,2024,4389,Danuel House Jr.,NA,SF,30,8,NBA,PHI,10,127,NA,11,77,11,NA,6.9,-0.5,6,3,8,0,6,0,18,2,1
31239,2024,4390,Dario Šarić,NA,C,29,7,NBA,GSW,19,413,NA,NA,NA,NA,100,4.4,6.9,4,7,31,3,15,3,108,4,10
31240,2024,5129,Dariq Whitehead,NA,SF,19,1,NBA,BRK,1,3,NA,100,NA,NA,NA,-120,-121.7,0,0,0,0,1,0,0,0,0
31241,2024,4708,Darius Garland,NA,PG,24,5,NBA,CLE,14,467,100,NA,NA,NA,NA,2.6,5.5,37,14,9,4,28,2,191,3,13
31242,2024,5041,David Roddy,NA,PF,22,2,NBA,MEM,17,397,NA,NA,55,45,NA,-6.8,1.9,5,8,16,2,9,2,42,3,8
31243,2024,4926,Davion Mitchell,NA,PG,25,3,NBA,SAC,14,237,97,3,NA,NA,NA,-11.8,-15.2,8,3,11,0,4,5,92,1,2
31244,2024,4927,Day'Ron Sharpe,NA,C,22,3,NBA,BRK,18,275,NA,NA,NA,NA,100,8.9,10.9,7,2,19,8,21,0,34,6,11
31245,2024,4489,De'Aaron Fox,NA,PG,26,7,NBA,SAC,12,435,100,NA,NA,NA,NA,1.6,5.3,12,9,13,3,47,4,171,18,11
31246,2024,4709,De'Andre Hunter,NA,SF,26,5,NBA,ATL,18,539,NA,NA,48,52,NA,-2.3,-9,5,12,28,6,29,11,59,9,7
31247,2024,4602,De'Anthony Melton,NA,SG,25,6,NBA,PHI,18,538,4,91,5,NA,NA,4,-8.7,9,8,17,1,18,1,153,5,11
31248,2024,3810,DeAndre Jordan,NA,C,35,16,NBA,DEN,4,64,NA,NA,NA,NA,100,-1.6,-6.3,1,0,3,2,8,0,16,2,2
31249,2024,3872,DeMar DeRozan,NA,SF,34,15,NBA,CHI,18,633,NA,4,72,24,NA,-12.3,-17.7,12,5,23,2,58,6,204,15,18
31250,2024,4710,Dean Wade,NA,PF,27,5,NBA,CLE,13,264,NA,NA,23,72,5,2.2,3.2,1,2,17,0,2,1,26,0,0
31251,2024,4603,Deandre Ayton,NA,C,25,6,NBA,POR,17,539,NA,NA,NA,NA,100,-10.3,-8.6,8,15,31,6,10,2,69,1,10
31252,2024,4394,Dejounte Murray,NA,SG,27,7,NBA,ATL,18,615,37,63,NA,NA,NA,0.1,-3.9,30,11,9,1,23,0,225,3,16
31253,2024,4320,Delon Wright,NA,PG,31,9,NBA,WAS,8,141,87,14,NA,NA,NA,3.5,14.1,2,2,3,0,6,3,85,2,2
31254,2024,4823,Deni Avdija,NA,SF,23,4,NBA,WAS,18,485,NA,NA,51,46,2,-9.4,-2.4,14,8,22,3,20,3,152,8,9
31255,2024,4157,Dennis Schröder,NA,PG,30,11,NBA,TOR,19,595,100,NA,NA,NA,NA,0.5,2.8,21,8,13,2,20,6,303,4,18
31256,2024,4490,Dennis Smith Jr.,NA,PG,26,7,NBA,BRK,11,187,100,NA,NA,NA,NA,-0.8,-2.8,8,1,11,2,4,0,84,0,0
31257,2024,5130,Dereck Lively II,NA,C,19,1,NBA,DAL,15,365,NA,NA,NA,NA,100,5.9,9.1,7,2,33,5,12,0,52,4,4
31258,2024,5042,Dereon Seabron,NA,SG,23,2,NBA,NOP,5,52,NA,75,20,5,NA,23.1,23.6,0,0,2,0,3,1,9,0,1
31259,2024,4397,Derrick Jones Jr.,NA,SF,26,8,NBA,DAL,17,381,NA,NA,56,44,NA,1.8,1.8,4,11,13,0,12,8,43,4,2
31260,2024,3812,Derrick Rose,NA,PG,35,15,NBA,MEM,9,169,100,NA,NA,NA,NA,-3.4,5.6,9,2,5,0,7,3,68,1,8
31261,2024,4492,Derrick White,NA,SG,29,7,NBA,BOS,15,483,16,83,2,NA,NA,15,12.1,15,4,17,6,20,6,183,3,4
31262,2024,4824,Desmond Bane,NA,SG,25,4,NBA,MEM,17,582,12,62,26,NA,NA,-8.7,-3,19,13,23,11,23,4,216,3,28
31263,2024,4321,Devin Booker,NA,SG,27,9,NBA,PHO,10,339,NA,32,64,4,NA,10,11.3,16,9,17,3,29,3,213,6,13
31264,2024,4826,Devin Vassell,NA,SG,23,4,NBA,SAS,13,367,NA,80,20,NA,NA,-8,6.7,8,5,5,2,19,3,89,6,4
31265,2024,4607,Devonte' Graham,NA,PG,28,6,NBA,SAS,3,36,96,4,NA,NA,NA,5.4,18,2,0,2,0,3,0,25,1,0
31266,2024,4494,Dillon Brooks,NA,SF,28,7,NBA,HOU,16,488,NA,9,79,13,NA,4.8,1,16,8,37,2,22,9,72,6,6
31267,2024,4400,Domantas Sabonis,NA,C,27,8,NBA,SAC,17,595,NA,NA,NA,NA,100,-3.5,-9.2,20,13,32,12,51,1,311,14,16
31268,2024,5043,Dominick Barlow,NA,PF,20,2,NBA,SAS,6,32,NA,NA,10,70,20,-16.1,-4.4,0,0,2,0,2,0,0,0,1
31269,2024,4495,Donovan Mitchell,NA,SG,27,7,NBA,CLE,14,499,55,46,NA,NA,NA,6.9,15.7,20,14,10,0,36,0,182,8,12
31270,2024,4608,Donte DiVincenzo,NA,SG,27,6,NBA,NYK,18,366,NA,70,31,NA,NA,3.3,-3.2,11,3,11,3,6,8,77,0,5
31271,2024,4401,Dorian Finney-Smith,NA,PF,30,8,NBA,BRK,18,566,NA,2,30,30,38,-5.1,-18.3,7,4,21,3,2,1,63,1,6
31272,2024,4237,Doug McDermott,NA,SF,32,10,NBA,SAS,17,283,NA,15,65,21,NA,-15.5,-5.3,6,2,9,3,3,0,78,0,2
31273,2024,4085,Draymond Green,NA,PF,33,12,NBA,GSW,11,262,NA,NA,NA,85,15,-4.9,-7.7,13,3,11,5,8,8,144,2,4
31274,2024,4610,Drew Eubanks,NA,C,26,6,NBA,PHO,17,307,NA,NA,NA,NA,100,0.8,-3.5,6,4,19,7,11,0,66,2,10
31275,2024,5045,Dru Smith,NA,SG,26,2,NBA,MIA,9,131,72,28,NA,NA,NA,-14.1,-18.4,5,0,6,0,1,3,33,0,1
31276,2024,4611,Duncan Robinson,NA,SF,29,6,NBA,MIA,17,501,NA,26,41,33,NA,2.3,1.4,7,3,22,2,8,2,105,0,9
31277,2024,5131,Duop Reath,NA,C,27,1,NBA,POR,10,139,NA,NA,NA,NA,100,10.1,20.3,1,3,12,3,2,0,25,0,3
31278,2024,4239,Dwight Powell,NA,C,32,10,NBA,DAL,16,238,NA,NA,NA,2,98,-7.1,-11.3,1,3,20,1,15,1,57,4,4
31279,2024,4829,Dylan Windler,NA,SF,27,4,NBA,NYK,3,7,NA,NA,NA,100,NA,59.5,54.9,0,0,1,0,0,0,3,0,0
31280,2024,5046,Dyson Daniels,NA,PG,20,2,NBA,NOP,19,521,69,29,3,NA,NA,0.5,-0.7,14,10,18,2,11,2,159,2,7
31281,2024,4392,Dāvis Bertāns,NA,PF,31,8,NBA,OKC,5,46,NA,NA,22,51,28,20.1,12.1,0,0,3,0,3,1,11,0,0
31282,2024,5132,E.J. Liddell,NA,PF,23,1,NBA,NOP,3,9,NA,NA,NA,86,14,-30.8,-32,1,0,1,0,0,0,0,0,0
31283,2024,5133,Emoni Bates,NA,SF,20,1,NBA,CLE,7,52,NA,7,90,3,NA,-54.2,-57.3,1,0,2,0,1,0,6,0,0
31284,2024,3815,Eric Gordon,NA,SG,35,16,NBA,PHO,17,535,25,71,4,NA,NA,4.2,2.8,15,3,12,2,6,1,119,2,18
31285,2024,4930,Eugene Omoruyi,NA,SF,26,3,NBA,WAS,11,75,NA,NA,2,98,NA,13.1,23.4,3,2,4,1,8,3,18,0,2
31286,2024,4086,Evan Fournier,NA,SG,31,12,NBA,NYK,1,16,NA,NA,100,NA,NA,22.1,17.3,0,0,1,0,0,0,2,0,0
31287,2024,4931,Evan Mobley,NA,PF,22,3,NBA,CLE,19,632,NA,NA,NA,43,57,2.3,7.8,11,13,33,6,32,2,135,8,17
31288,2024,5134,Filip Petrušev,NA,C,23,1,NBA,TOT,3,10,NA,NA,NA,17,83,26.2,24.8,0,0,0,0,1,0,0,0,0
31289,2024,5134,Filip Petrušev,NA,C,23,1,NBA,PHI,1,3,NA,NA,NA,57,43,50,42.9,0,0,0,0,0,0,0,0,0
31290,2024,5134,Filip Petrušev,NA,C,23,1,NBA,SAC,2,7,NA,NA,NA,NA,100,16,17,0,0,0,0,1,0,0,0,0
31291,2024,4933,Franz Wagner,NA,SF,22,3,NBA,ORL,18,589,NA,NA,86,14,NA,4.8,-4.1,11,15,11,5,33,10,136,11,24
31292,2024,4403,Fred VanVleet,NA,PG,29,8,NBA,HOU,15,564,81,19,NA,NA,NA,7.2,9.9,15,4,9,3,16,7,320,5,9
31293,2024,4501,Furkan Korkmaz,NA,SG,26,7,NBA,PHI,13,88,6,47,44,4,NA,16.4,10.2,3,2,4,0,3,1,15,3,1
31294,2024,4717,Gabe Vincent,NA,PG,27,5,NBA,LAL,4,113,37,63,NA,NA,NA,2,4.1,2,0,4,0,1,2,27,0,1
31295,2024,3877,Garrett Temple,NA,SG,37,14,NBA,TOR,5,16,23,77,NA,NA,NA,26.7,27.6,0,0,0,0,1,0,6,0,0
31296,2024,4718,Garrison Mathews,NA,SG,27,5,NBA,ATL,6,40,NA,88,12,NA,NA,-7.5,-9.1,0,0,2,0,0,1,3,0,1
31297,2024,4245,Gary Harris,NA,SG,29,10,NBA,ORL,13,270,9,89,2,NA,NA,16.3,14.7,4,1,9,0,2,0,59,0,1
31298,2024,4404,Gary Payton II,NA,SG,31,8,NBA,GSW,14,242,1,78,21,NA,NA,4.7,5.5,2,2,14,3,3,1,30,1,5
31299,2024,4618,Gary Trent Jr.,NA,SG,25,6,NBA,TOR,16,416,7,89,4,NA,NA,3.2,6.7,6,1,8,2,12,1,45,5,8
31300,2024,4405,Georges Niang,NA,PF,30,8,NBA,CLE,19,424,NA,NA,26,73,2,-4.2,-7.5,7,2,26,0,5,2,56,1,2
31301,2024,4164,Giannis Antetokounmpo,NA,PF,29,11,NBA,MIL,18,616,NA,NA,NA,57,43,3.8,2.3,20,17,19,15,88,3,221,22,20
31302,2024,4719,Goga Bitadze,NA,C,24,5,NBA,ORL,16,320,NA,NA,NA,NA,100,11.9,9.2,3,1,16,4,16,0,65,3,7
