PLAYER1_NAME,clutch_fts_attempted,clutch_fts_missed,clutch_ft_percent,non_clutch_fts_attempted,non_clutch_fts_missed,non_clutch_ft_percent,differential
Aaron Gordon,21,4,0.8095238095238095,248,88,0.6451612903225806,0.1643625192012289
Aaron Nesmith,16,3,0.8125,121,27,0.7768595041322314,0.03564049586776863
Alex Caruso,13,3,0.7692307692307692,83,20,0.7590361445783133,0.010194624652455908
Alperen Sengun,46,16,0.6521739130434783,306,92,0.6993464052287581,-0.04717249218527986
Anfernee Simons,24,1,0.9583333333333334,154,14,0.9090909090909091,0.04924242424242431
Anthony Davis,40,6,0.85,476,89,0.8130252100840336,0.036974789915966366
Anthony Edwards,27,8,0.7037037037037037,479,75,0.8434237995824635,-0.13972009587875978
Austin Reaves,29,4,0.8620689655172413,243,36,0.8518518518518519,0.010217113665389466
Bam Adebayo,19,3,0.8421052631578947,368,92,0.75,0.09210526315789469
Brandon Ingram,14,2,0.8571428571428572,293,59,0.7986348122866894,0.058508044856167785
Brook Lopez,13,3,0.7692307692307692,121,21,0.8264462809917356,-0.0572155117609664
Cade Cunningham,21,0,1,253,36,0.8577075098814229,0.14229249011857714
Cam Thomas,25,2,0.92,309,46,0.8511326860841424,0.06886731391585765
Caris LeVert,12,2,0.8333333333333334,189,45,0.7619047619047619,0.07142857142857151
Chet Holmgren,20,6,0.7,255,51,0.8,-0.10000000000000009
Coby White,28,4,0.8571428571428572,232,38,0.8362068965517242,0.020935960591133007
Collin Sexton,17,1,0.9411764705882353,353,51,0.8555240793201133,0.08565239126812196
D'Angelo Russell,18,0,1,174,33,0.8103448275862069,0.18965517241379315
Damian Lillard,50,3,0.94,464,38,0.9181034482758621,0.021896551724137847
Darius Garland,20,3,0.85,155,26,0.832258064516129,0.01774193548387093
De'Aaron Fox,31,10,0.6774193548387097,392,101,0.7423469387755102,-0.06492758393680043
DeMar DeRozan,83,10,0.8795180722891567,529,80,0.8487712665406427,0.03074680574851396
Dejounte Murray,25,10,0.6,237,44,0.8143459915611815,-0.2143459915611815
Dennis Schroder,25,2,0.92,188,33,0.824468085106383,0.09553191489361701
Derrick White,11,0,1,141,15,0.8936170212765957,0.1063829787234043
Devin Booker,28,3,0.8928571428571429,429,49,0.8857808857808858,0.007076257076257142
Devin Vassell,21,7,0.6666666666666667,180,33,0.8166666666666667,-0.1499999999999999
Domantas Sabonis,19,5,0.736842105263158,396,118,0.702020202020202,0.034821903242955976
Donovan Mitchell,26,3,0.8846153846153846,292,40,0.863013698630137,0.021601685985247587
Evan Mobley,11,6,0.4545454545454546,160,42,0.7375,-0.28295454545454546
Franz Wagner,17,2,0.8823529411764706,302,46,0.847682119205298,0.03467082197117255
Fred VanVleet,19,3,0.8421052631578947,210,29,0.861904761904762,-0.01979949874686726
Giannis Antetokounmpo,50,14,0.72,732,254,0.6530054644808743,0.06699453551912571
Grant Williams,11,2,0.8181818181818181,129,32,0.751937984496124,0.06624383368569409
