seas_id,season,player_id,player,pos,tm,g,mp,pg_percent,sg_percent,sf_percent,pf_percent,c_percent,position,value,ht_ft,ht_in,wt,full_in_ht,position_2,ows,dws,ws,ws_48,obpm,dbpm,bpm,vorp,leader
31136,2024,5025,A.J. Green,SG,MIL,56,614,20,65,15,0,0,guard_percent,85,6,4,200,76,guard,0.7,0.3,1.1,0.084,-0.4,-1.7,-2.1,0,FALSE
31137,2024,5026,A.J. Lawson,SG,DAL,42,311,6,41,51,3,0,wing_small_percent,92,6,6,179,78,wing,0,0.3,0.2,0.036,-3.1,-1.5,-4.6,-0.2,FALSE
31138,2024,5027,AJ Griffin,SF,ATL,20,171,0,5,58,36,1,wing_big_percent,94,6,6,222,78,wing,-0.4,0,-0.4,-0.12,-6,-3.5,-9.6,-0.3,FALSE
31139,2024,4219,Aaron Gordon,PF,DEN,73,2297,0,0,0,90,10,big_percent,100,6,8,235,80,big,4.5,2.6,7.1,0.148,1.2,0.1,1.3,1.9,FALSE
31140,2024,4582,Aaron Holiday,PG,HOU,78,1269,100,0,0,0,0,guard_percent,100,6,0,185,72,guard,1.3,1.2,2.5,0.094,-1.8,0.3,-1.5,0.2,FALSE
31141,2024,4805,Aaron Nesmith,SF,IND,72,1995,0,12,75,13,0,wing_big_percent,88,6,5,215,77,wing,2.8,1.3,4.1,0.098,-0.3,-0.2,-0.5,0.8,FALSE
31142,2024,4900,Aaron Wiggins,SG,OKC,78,1228,13,49,28,10,0,wing_small_percent,77,6,6,200,78,wing,2.1,1.6,3.7,0.144,0.4,0.4,0.7,0.8,FALSE
31143,2024,5109,Adam Flagler,SG,OKC,2,14,100,0,0,0,0,guard_percent,100,6,3,185,75,guard,0,0,0,-0.159,-6.7,-3.9,-10.6,0,FALSE
31144,2024,5110,Adama Sanogo,PF,CHI,9,66,0,0,0,0,100,big_percent,100,6,9,245,81,big,0.1,0.1,0.2,0.133,-0.4,-6.3,-6.7,-0.1,FALSE
31145,2024,4688,Admiral Schofield,PF,ORL,23,84,0,0,0,52,48,big_percent,100,6,5,241,77,big,-0.1,0.1,0,0.006,-4.1,-0.8,-4.9,-0.1,FALSE
31146,2024,3734,Al Horford,C,BOS,65,1740,0,0,0,51,49,big_percent,100,6,9,240,81,big,3.5,2.7,6.2,0.172,1.7,2,3.6,2.5,FALSE
31148,2024,3982,Alec Burks,SG,DET,43,901,0,53,44,3,0,wing_small_percent,97,6,6,214,78,wing,1.3,0.4,1.7,0.092,1.3,-1.7,-0.4,0.4,TRUE
31149,2024,3982,Alec Burks,SG,NYK,23,311,0,80,20,0,0,wing_small_percent,100,6,6,214,78,wing,-0.6,0.3,-0.4,-0.055,-4.9,-3,-7.8,-0.5,FALSE
31151,2024,4806,Aleksej Pokusevski,PF,OKC,10,60,0,0,0,57,43,big_percent,100,7,0,190,84,big,-0.1,0.1,-0.1,-0.063,-7.7,-2.2,-9.9,-0.1,FALSE
31152,2024,4806,Aleksej Pokusevski,PF,CHO,18,345,0,0,0,39,61,big_percent,100,7,0,190,84,big,0.2,0.3,0.5,0.07,-0.8,0.3,-0.5,0.1,FALSE
31153,2024,4465,Alex Caruso,SG,CHI,71,2040,17,78,5,0,0,guard_percent,95,6,5,186,77,guard,2.3,2.6,4.9,0.115,0.2,2.3,2.5,2.3,TRUE
31155,2024,5111,Alex Fudge,SF,LAL,4,14,0,0,0,100,0,big_percent,100,6,8,200,80,big,-0.1,0,-0.1,-0.222,-9.9,-8.3,-18.1,-0.1,FALSE
31155,2024,5111,Alex Fudge,SF,LAL,4,14,0,0,0,100,0,wing_big_percent,100,6,8,200,80,wing,-0.1,0,-0.1,-0.222,-9.9,-8.3,-18.1,-0.1,FALSE
31156,2024,5111,Alex Fudge,SF,DAL,2,26,0,0,58,42,0,wing_big_percent,100,6,8,200,80,wing,0,0,0.1,0.108,-0.4,2.1,1.7,0,FALSE
31157,2024,4142,Alex Len,C,SAC,48,444,0,0,0,0,100,big_percent,100,7,0,250,84,big,0.6,0.7,1.3,0.138,-2.7,2.9,0.2,0.2,FALSE
31158,2024,5028,Alondes Williams,SG,MIA,7,16,61,39,0,0,0,guard_percent,100,6,4,210,76,guard,-0.1,0,-0.1,-0.357,-17.8,-5.4,-23.2,-0.1,FALSE
31159,2024,4904,Alperen Sengun,C,HOU,63,2046,0,0,0,0,100,big_percent,100,6,11,235,83,big,3.8,3.1,6.9,0.163,3.1,1.7,4.9,3.5,TRUE
31160,2024,5112,Amari Bailey,PG,CHO,10,65,73,27,0,0,0,guard_percent,100,6,5,185,77,guard,-0.1,0,-0.1,-0.044,-5.2,-3.1,-8.3,-0.1,FALSE
31161,2024,5113,Amen Thompson,SF,HOU,62,1388,0,22,46,31,0,wing_big_percent,77,6,7,209,79,wing,1.9,2.4,4.3,0.149,-0.1,1.9,1.8,1.3,TRUE
31162,2024,4690,Amir Coffey,SF,LAC,70,1460,0,6,69,25,1,wing_big_percent,94,6,7,210,79,wing,1.6,1,2.6,0.084,-1.9,-0.3,-2.2,-0.1,FALSE
31163,2024,4064,Andre Drummond,C,CHI,79,1351,0,0,0,0,100,big_percent,100,6,11,279,83,big,2.3,2.6,4.9,0.175,0.8,-0.7,0.1,0.7,FALSE
31164,2024,5114,Andre Jackson Jr.,SG,MIL,57,572,10,59,30,1,0,wing_small_percent,89,6,6,210,78,wing,0.5,0.5,1,0.081,-3.6,0,-3.6,-0.2,FALSE
31165,2024,5115,Andrew Funk,SG,CHI,5,13,47,50,3,0,0,guard_percent,97,6,5,200,77,guard,-0.1,0,-0.1,-0.252,-12.4,-2,-14.4,0,FALSE
31166,2024,5029,Andrew Nembhard,PG,IND,68,1697,31,68,0,0,0,guard_percent,99,6,5,193,77,guard,1.3,0.7,2,0.057,-1.6,-0.5,-2.2,-0.1,FALSE
31167,2024,4223,Andrew Wiggins,SF,GSW,71,1920,0,0,66,34,0,wing_big_percent,100,6,7,197,79,wing,1.2,1.6,2.8,0.07,-1.4,-1.2,-2.5,-0.3,FALSE
31168,2024,4586,Anfernee Simons,SG,POR,46,1582,24,69,7,0,0,guard_percent,93,6,3,181,75,guard,1.7,0.5,2.2,0.068,2.7,-2.5,0.2,0.8,FALSE
31169,2024,5116,Anthony Black,PG,ORL,69,1164,68,30,2,0,0,guard_percent,98,6,7,198,79,guard,0.1,1.5,1.6,0.067,-3.8,0.8,-3,-0.3,FALSE
31170,2024,4066,Anthony Davis,C,LAL,76,2700,0,0,0,3,97,big_percent,100,6,10,253,82,big,7.2,4.7,11.8,0.21,3.5,1.7,5.1,4.9,FALSE
31171,2024,4808,Anthony Edwards,SG,MIN,79,2770,3,73,24,0,0,wing_small_percent,97,6,4,225,76,wing,2.9,4.7,7.5,0.13,2.7,0.5,3.3,3.7,TRUE
31172,2024,4809,Anthony Gill,PF,WAS,50,466,0,0,2,29,70,big_percent,99,6,7,230,79,big,0.1,0.2,0.4,0.038,-2.6,-1.5,-4.1,-0.3,FALSE
31173,2024,4811,Armoni Brooks,PG,BRK,10,104,72,28,0,0,0,guard_percent,100,NA,NA,NA,NA,guard,-0.1,0.1,0,-0.018,-2.2,-3.7,-5.8,-0.1,FALSE
31174,2024,4812,Ashton Hagans,PG,POR,19,316,100,0,0,0,0,guard_percent,100,6,3,190,75,guard,-0.2,0.3,0,0.006,-4.4,0.9,-3.5,-0.1,FALSE
31175,2024,5117,Ausar Thompson,SF,DET,63,1583,0,2,70,28,0,wing_big_percent,98,6,7,215,79,wing,0.1,1.7,1.8,0.053,-2.8,0.6,-2.2,-0.1,FALSE
31176,2024,4906,Austin Reaves,SG,LAL,82,2629,34,60,7,0,0,guard_percent,94,6,5,206,77,guard,3.9,2,5.9,0.108,0.9,-0.4,0.4,1.6,FALSE
31177,2024,4907,Ayo Dosunmu,SG,CHI,76,2212,9,56,35,1,0,wing_small_percent,91,6,5,200,77,wing,2.6,1.5,4.1,0.089,-0.6,-0.2,-0.8,0.7,FALSE
31178,2024,4472,Bam Adebayo,C,MIA,71,2416,0,0,0,0,100,big_percent,100,6,9,255,81,big,2.9,4.3,7.2,0.144,0.8,1.7,2.4,2.7,TRUE
31179,2024,5118,Ben Sheppard,SG,IND,57,814,10,68,23,0,0,wing_small_percent,91,6,6,190,78,wing,0.3,0.4,0.8,0.046,-3.3,-0.1,-3.4,-0.3,FALSE
31180,2024,4474,Ben Simmons,PG,BRK,15,359,61,38,1,0,0,guard_percent,99,6,10,240,82,guard,0.5,0.5,1,0.133,-0.5,2.9,2.4,0.4,TRUE
31181,2024,5030,Bennedict Mathurin,SF,IND,59,1538,0,4,70,26,0,wing_big_percent,96,6,6,210,78,wing,0.8,0.7,1.4,0.045,-1.2,-2.3,-3.4,-0.6,FALSE
31182,2024,5119,Bilal Coulibaly,SF,WAS,63,1715,1,48,50,1,0,wing_small_percent,98,6,6,195,78,wing,-0.5,0.9,0.4,0.013,-3.6,-0.5,-4.2,-0.9,FALSE
31184,2024,3984,Bismack Biyombo,C,MEM,30,718,0,0,0,60,40,big_percent,100,6,8,255,80,big,0.1,0.9,1,0.066,-4.8,1.6,-3.2,-0.2,FALSE
31185,2024,3984,Bismack Biyombo,C,OKC,10,73,0,0,0,45,55,big_percent,100,6,8,255,80,big,0,0.1,0.1,0.066,-5.4,0.2,-5.2,-0.1,FALSE
31186,2024,5031,Blake Wesley,SG,SAS,61,876,37,57,6,0,0,guard_percent,94,6,5,185,77,guard,0.3,0.6,0.9,0.05,-4,0.1,-4,-0.4,FALSE
31187,2024,4306,Boban Marjanović,C,HOU,14,71,0,0,0,0,100,big_percent,100,7,4,290,88,big,0.1,0.1,0.2,0.128,0.2,-0.5,-0.3,0,FALSE
31188,2024,4307,Bobby Portis,PF,MIL,82,2008,0,0,2,83,16,big_percent,99,6,10,250,82,big,2.1,2.6,4.7,0.112,0,-0.8,-0.8,0.6,FALSE
31189,2024,4475,Bogdan Bogdanović,SG,ATL,79,2401,0,51,47,2,0,wing_small_percent,98,6,5,220,77,wing,2.8,1.2,3.9,0.079,0.9,-0.7,0.2,1.4,TRUE
31191,2024,4224,Bojan Bogdanović,PF,DET,28,921,0,0,40,59,1,wing_big_percent,99,6,7,226,79,wing,0.5,0.3,0.8,0.042,0.3,-2.5,-2.1,0,FALSE
31192,2024,4224,Bojan Bogdanović,SF,NYK,29,557,0,1,28,70,0,wing_big_percent,98,6,7,226,79,wing,-0.2,0.4,0.2,0.021,-2.4,-2.5,-4.9,-0.4,FALSE
31193,2024,4692,Bol Bol,PF,PHO,43,469,0,0,1,79,20,big_percent,99,7,3,220,87,big,1,0.7,1.6,0.168,1.4,0.8,2.1,0.5,FALSE
