tm,position_2,rotation,pos_vorp_wo_leader,conference
MIA,big,"Bam Adebayo, Kevin Love, Orlando Robinson, Nikola Jović, Thomas Bryant",0.9,East
MIA,guard,"Tyler Herro, Kyle Lowry, Dru Smith, Josh Richardson, R.J. Hampton, Terry Rozier",0.10000000000000003,East
MIA,wing,"Jimmy Butler, Duncan Robinson, Haywood Highsmith, Cole Swider, Jamal Cain, Caleb Martin, Jaime Jaquez Jr.",0.1,East
MIL,big,"Giannis Antetokounmpo, Brook Lopez, Bobby Portis, Marques Bolden, Robin Lopez",1.3,East
MIL,guard,"Damian Lillard, Malik Beasley, Cameron Payne, Lindell Wigginton, TyTy Washington Jr.",0.4,East
MIL,wing,"Khris Middleton, Pat Connaughton, Jae Crowder, A.J. Green, Chris Livingston, Andre Jackson Jr., Thanasis Antetokounmpo, MarJon Beauchamp",-0.1,East
MIN,big,"Karl-Anthony Towns, Rudy Gobert, Naz Reid, Josh Minott, Leonard Miller, Luka Garza",2.2,West
MIN,guard,"Mike Conley, Nickeil Alexander-Walker, Jordan McLaughlin, Daishen Nix, Shake Milton",0.7,West
MIN,wing,"Anthony Edwards, Kyle Anderson, Troy Brown Jr., Jaden McDaniels, Wendell Moore Jr.",0.8999999999999999,West
NOP,big,"Zion Williamson, Jonas Valančiūnas, Larry Nance Jr., Jeremiah Robinson-Earl, Cody Zeller, Kaiser Gates",1.9999999999999998,West
NOP,guard,"CJ McCollum, Dyson Daniels, Jose Alvarado, Kira Lewis Jr.",0.6000000000000001,West
NOP,wing,"Brandon Ingram, Herbert Jones, Trey Murphy III, Naji Marshall, Dereon Seabron, E.J. Liddell, Jordan Hawkins, Matt Ryan, Kaiser Gates",1.3000000000000003,West
NYK,big,"Julius Randle, Isaiah Hartenstein, Mitchell Robinson, Dmytro Skapintsev, Dylan Windler, Jacob Toppin, Jericho Sims, Precious Achiuwa, Taj Gibson",1.6,East
NYK,guard,"Jalen Brunson, Immanuel Quickley, Miles McBride, Malachi Flynn",1.1,East
NYK,wing,"Donte DiVincenzo, Josh Hart, OG Anunoby, Quentin Grimes, Charlie Brown Jr., DaQuan Jeffries, Dylan Windler, Jacob Toppin, RJ Barrett, Evan Fournier, Ryan Arcidiacono",1.1,East
OKC,big,"Chet Holmgren, Jaylin Williams, Kenrich Williams, Dāvis Bertāns, Olivier Sarr, Aleksej Pokusevski, Ousmane Dieng",0.4,West
OKC,guard,"Shai Gilgeous-Alexander, Isaiah Joe, Tre Mann, Vasilije Micić",0.5999999999999999,West
OKC,wing,"Jalen Williams, Josh Giddey, Aaron Wiggins, Cason Wallace, Luguentz Dort, Lindy Waters III, Keyontae Johnson",1.5,West
ORL,big,"Paolo Banchero, Goga Bitadze, Moritz Wagner, Wendell Carter Jr., Admiral Schofield",2.2,East
ORL,guard,"Cole Anthony, Jalen Suggs, Markelle Fultz, Gary Harris, Anthony Black",0.8,East
ORL,wing,"Franz Wagner, Jonathan Isaac, Joe Ingles, Chuma Okeke, Jett Howard, Kevon Harris, Trevelin Queen, Caleb Houstan",0.6,East
PHI,big,"Joel Embiid, Nicolas Batum, Paul Reed, Mo Bamba, Filip Petrušev, Kenneth Lofton Jr.",1.1,East
PHI,guard,"Tyrese Maxey, De'Anthony Melton, Patrick Beverley, Javonte Smart, Terquavion Smith, Jaden Springer",0.6,East
