PLAYER_ID,PLAYER_NAME,PLAYER_LAST_TEAM_ID,PLAYER_LAST_TEAM_ABBREVIATION,AGE,GP,G,FGA_FREQUENCY,FGM,FGA,FG_PCT,EFG_PCT,FGA_percentile,FGA_FREQ_percentile,EFG_percentile,sum_percentiles
203999,Nikola Jokic,1610612743,DEN,29.0,76,67,0.131,78,179,0.436,0.475,1.0,0.8721804511278195,0.7142857142857143,2.5864661654135337
1628973,Jalen Brunson,1610612752,NYK,27.0,76,65,0.096,64,154,0.416,0.461,0.9981167608286252,0.5676691729323309,0.650375939849624,2.21616187361058
1628369,Jayson Tatum,1610612738,BOS,26.0,73,61,0.099,51,138,0.37,0.431,0.9943502824858758,0.6090225563909775,0.49624060150375937,2.0996134403806126
1630162,Anthony Edwards,1610612750,MIN,22.0,78,59,0.089,51,138,0.37,0.417,0.9943502824858758,0.462406015037594,0.42105263157894735,1.8778089291024171
1628368,De'Aaron Fox,1610612758,SAC,26.0,73,67,0.089,50,136,0.368,0.43,0.9905838041431262,0.462406015037594,0.4924812030075188,1.945471022188239
1631094,Paolo Banchero,1610612753,ORL,21.0,79,57,0.098,46,136,0.338,0.368,0.9905838041431262,0.6052631578947368,0.22556390977443608,1.821410871812299
202695,Kawhi Leonard,1610612746,LAC,32.0,67,58,0.116,59,132,0.447,0.519,0.9868173258003766,0.8045112781954887,0.8721804511278195,2.6635090551236846
1628404,Josh Hart,1610612752,NYK,29.0,80,62,0.197,44,132,0.333,0.383,0.9868173258003766,1.0,0.2932330827067669,2.280050408507144
201942,DeMar DeRozan,1610612741,CHI,34.0,77,60,0.099,44,129,0.341,0.388,0.9849340866290018,0.6090225563909775,0.3157894736842105,1.90974611670419
1630178,Tyrese Maxey,1610612755,PHI,23.0,69,57,0.088,39,123,0.317,0.358,0.9830508474576272,0.4548872180451128,0.19548872180451127,1.6334267873072514
1630560,Cam Thomas,1610612751,BKN,22.0,63,56,0.108,38,122,0.311,0.365,0.9811676082862524,0.7218045112781954,0.20676691729323307,1.909739036857681
1627832,Fred VanVleet,1610612745,HOU,30.0,73,55,0.118,32,120,0.267,0.329,0.9792843691148776,0.8195488721804511,0.10150375939849623,1.900337000693825
1630532,Franz Wagner,1610612753,ORL,22.0,71,55,0.11,51,118,0.432,0.496,0.975517890772128,0.7518796992481203,0.7819548872180451,2.509352477238293
1629012,Collin Sexton,1610612762,UTA,25.0,77,60,0.116,48,118,0.407,0.453,0.975517890772128,0.8045112781954887,0.5977443609022557,2.3777735298698723
201142,Kevin Durant,1610612756,PHX,35.0,73,47,0.083,51,116,0.44,0.478,0.967984934086629,0.37593984962406013,0.7255639097744361,2.069488693485125
1628970,Miles Bridges,1610612766,CHA,26.0,68,57,0.097,42,116,0.362,0.44,0.967984934086629,0.5864661654135338,0.5488721804511278,2.1033232799512906
1629632,Coby White,1610612741,CHI,24.0,77,57,0.099,39,116,0.336,0.431,0.967984934086629,0.6090225563909775,0.49624060150375937,2.073248091981366
1628398,Kyle Kuzma,1610612764,WAS,28.0,70,52,0.089,36,116,0.31,0.379,0.967984934086629,0.462406015037594,0.2744360902255639,1.7048270393497869
202331,Paul George,1610612746,LAC,33.0,73,60,0.093,47,113,0.416,0.522,0.9642184557438794,0.5225563909774437,0.8834586466165414,2.3702334933378646
1630224,Jalen Green,1610612745,HOU,22.0,81,58,0.086,38,113,0.336,0.42,0.9642184557438794,0.41353383458646614,0.4323308270676692,1.8100831173980148
202710,Jimmy Butler,1610612748,MIA,34.0,59,50,0.143,44,112,0.393,0.442,0.9585687382297552,0.9172932330827067,0.5639097744360902,2.439771745748552
203954,Joel Embiid,1610612755,PHI,30.0,39,38,0.132,35,112,0.313,0.335,0.9585687382297552,0.8796992481203008,0.11278195488721804,1.951049941237274
1626164,Devin Booker,1610612756,PHX,27.0,66,46,0.089,31,112,0.277,0.308,0.9585687382297552,0.462406015037594,0.06766917293233082,1.48864392619968
1629029,Luka Doncic,1610612742,DAL,25.0,69,54,0.068,44,111,0.396,0.486,0.9566854990583804,0.18796992481203006,0.7481203007518797,1.8927757246222903
2544,LeBron James,1610612747,LAL,39.0,69,52,0.091,44,110,0.4,0.432,0.9529190207156308,0.49624060150375937,0.5037593984962406,1.9529190207156306
203471,Dennis Schroder,1610612751,BKN,30.0,79,54,0.12,33,110,0.3,0.355,0.9529190207156308,0.8308270676691729,0.17293233082706766,1.9566784192118714
203944,Julius Randle,1610612752,NYK,29.0,46,40,0.131,43,108,0.398,0.449,0.9491525423728814,0.8721804511278195,0.575187969924812,2.396520963425513
1628378,Donovan Mitchell,1610612739,CLE,27.0,55,50,0.099,40,108,0.37,0.444,0.9491525423728814,0.6090225563909775,0.5676691729323309,2.12584427169619
1629636,Darius Garland,1610612739,CLE,24.0,57,47,0.127,44,107,0.411,0.509,0.9472693032015066,0.8533834586466166,0.8195488721804511,2.6202016340285743
1628389,Bam Adebayo,1610612748,MIA,26.0,69,53,0.107,37,106,0.349,0.358,0.943502824858757,0.706766917293233,0.19548872180451127,1.8457584639565012
1630175,Cole Anthony,1610612753,ORL,23.0,80,59,0.141,36,106,0.34,0.387,0.943502824858757,0.9097744360902256,0.31203007518796994,2.165307336136953
1628991,Jaren Jackson Jr.,1610612763,MEM,24.0,66,53,0.09,38,105,0.362,0.395,0.9397363465160076,0.4849624060150376,0.34210526315789475,1.76680401568894
1627747,Caris LeVert,1610612739,CLE,29.0,68,56,0.128,37,105,0.352,0.429,0.9397363465160076,0.8609022556390977,0.48120300751879697,2.2818416096739025
