season,player,tm,g,mp,net_plus_minus_per_100_poss,g_percent,tm_avg_weight_npm,avg_wo_leader,npm_diff,avg_wo_trailer
2024,Bogdan Bogdanović,ATL,45,1280,8.7,0.9574468085106383,1.5968361384322092,0.7169232066565446,0.8799129317756645,NA
2024,Derrick White,BOS,44,1412,8.4,0.9166666666666666,0.624787149412751,-0.46460048297615014,1.0893876323889011,NA
2024,Day'Ron Sharpe,BRK,37,592,12.8,0.7872340425531915,-0.2327461929581165,-1.0468318825078622,0.8140856895497457,NA
2024,Alex Caruso,CHI,42,1110,6.1,0.8571428571428571,-1.072777264779516,-1.8481978512900616,0.7754205865105457,NA
2024,Coby White,CHI,49,1764,6.1,1,-1.072777264779516,-1.8481978512900616,0.7754205865105457,NA
2024,Gordon Hayward,CHO,25,798,5.8,0.5434782608695652,-0.3454717975791667,-1.2387564261699833,0.8932846285908166,NA
2024,Donovan Mitchell,CLE,36,1283,11.9,0.8,1.9548152058500938,0.4762453246466063,1.4785698812034875,NA
2024,Dante Exum,DAL,32,631,12.2,0.6666666666666666,1.4116422238179394,0.5626477230665191,0.8489945007514202,NA
2024,Nikola Jokić,DEN,47,1584,18,0.9591836734693877,5.043963366532049,3.006058922975047,2.037904443557002,NA
2024,Isaiah Stewart,DET,35,1070,8.8,0.7446808510638298,-0.34086581284459666,-1.4205225467615163,1.0796567339169196,NA
2024,Brandin Podziemski,GSW,38,946,10.1,0.8636363636363636,-0.8974036027434785,-2.102587397484334,1.2051837947408557,NA
2024,Fred VanVleet,HOU,45,1670,9.7,0.9574468085106383,-0.2953711667929095,-2.050592732388405,1.7552215655954955,NA
2024,Tyrese Haliburton,IND,35,1158,8.3,0.7291666666666666,0.2759728297605741,-0.833815337903455,1.109788167664029,NA
2024,Kawhi Leonard,LAC,42,1445,14.7,0.9130434782608695,4.579108877482396,2.8636051136394323,1.7155037638429635,NA
2024,Rui Hachimura,LAL,35,799,8,0.7142857142857143,1.570157383867605,0.960344476935342,0.6098129069322631,NA
2024,Vince Williams Jr.,MEM,36,894,9.8,0.7659574468085106,-1.3392949179925533,-2.6528991978879186,1.3136042798953653,NA
2024,Kevin Love,MIA,37,664,7.6,0.7708333333333334,-0.09520369872674635,-0.6036150410537532,0.5084113423270068,NA
2024,Giannis Antetokounmpo,MIL,46,1618,12.3,0.9583333333333334,3.0021042524960087,1.4368746172968674,1.5652296351991413,NA
2024,Rudy Gobert,MIN,47,1554,10.1,0.9791666666666666,1.8473964655377535,0.5959972718797432,1.2513991936580102,NA
2024,Jose Alvarado,NOP,30,480,8.4,0.625,-0.7228423892175484,-1.357482452268991,0.6346400630514426,NA
2024,Josh Hart,NYK,47,1349,6.9,0.9791666666666666,-0.45318413026863585,-1.492474268378349,1.039290138109713,NA
2024,Shai Gilgeous-Alexander,OKC,47,1615,11.2,0.9791666666666666,1.985243798104414,0.46063764731446866,1.5246061507899453,NA
2024,Jonathan Isaac,ORL,30,423,16.4,0.625,-0.5571316930217841,-1.5311952051689333,0.9740635121471491,NA
2024,Tyrese Maxey,PHI,42,1573,11.3,0.9130434782608695,2.095626121056359,0.682220045506768,1.413406075549591,NA
2024,Jusuf Nurkić,PHO,45,1234,13.4,0.9375,1.3106597578176304,0.10026972238361764,1.210390035434013,NA
2024,Malcolm Brogdon,POR,38,1085,9.5,0.7916666666666666,0.3270361211248974,-0.696073810711482,1.0231099318363794,NA
2024,Trey Lyles,SAC,32,643,9.7,0.6956521739130435,0.18721051102488054,-0.6271639218789331,0.8143744329038136,NA
2024,Tre Jones,SAS,43,1106,13.2,0.8958333333333334,-0.3254779050215035,-1.8557081290329036,1.5302302240114,NA
2024,Chris Boucher,TOR,44,618,7.2,0.9361702127659575,1.3335745371247978,0.9803346439921282,0.35323989313266957,NA
2024,Kris Dunn,UTA,41,717,11.8,0.8367346938775511,-0.1836507047324474,-1.0001954863801328,0.8165447816476854,NA
2024,Delon Wright,WAS,26,406,6.2,0.5531914893617021,-3.3951127808066244,-4.032747593089158,0.6376348122825335,NA
2024,Garrison Mathews,ATL,33,417,-5,0.7021276595744681,1.5968361384322092,NA,-0.4974141098299556,2.0942502482621648
2024,Luke Kornet,BOS,33,499,-8.2,0.6875,0.624787149412751,NA,-0.4778262911386564,1.1026134405514074
2024,Cam Thomas,BRK,38,1100,-9.6,0.8085106382978723,-0.2327461929581165,NA,-0.9040435404655991,0.6712973475074826
2024,Torrey Craig,CHI,27,572,-8.5,0.5510204081632653,-1.072777264779516,NA,-0.9884902191131596,-0.08428704566635632
2024,Nick Smith Jr.,CHO,31,468,-9.6,0.6739130434782609,-0.3454717975791667,NA,-0.43333006339123575,0.08785826581206907
2024,Caris LeVert,CLE,35,995,-6.6,0.7777777777777778,1.9548152058500938,NA,-1.4346690990826416,3.3894843049327354
2024,Georges Niang,CLE,45,996,-6.6,1,1.9548152058500938,NA,-1.4346690990826416,3.3894843049327354
2024,Grant Williams,DAL,44,1169,-9.8,0.9166666666666666,1.4116422238179394,NA,-0.5985640855369345,2.010206309354874
2024,Julian Strawther,DEN,33,458,-16.9,0.673469387755102,5.043963366532049,NA,-1.3668544737530874,6.410817840285136
2024,James Wiseman,DET,29,424,-7.3,0.6170212765957447,-0.34086581284459666,NA,-0.5280895488421746,0.18722373599757802
2024,Andrew Wiggins,GSW,40,1088,-12,0.9090909090909091,-0.8974036027434785,NA,-0.9892384545483455,0.09183485180486692
2024,Jalen Green,HOU,47,1450,-8.9,1,-0.2953711667929095,NA,-1.6540854203394078,1.3587142535464982
