player,tm,experience,age,salary,vorp,vorp_per_million,percent_of_cap
Isaac Okoro,CLE,4,23,8920795,0.3,0.03362928976621478,0.07214261453236828
Evan Mobley,CLE,3,22,8882640,0.6,0.06754748588257545,0.07183405442561967
Georges Niang,CLE,8,30,8800000,0,0,0.07116574339897296
Dean Wade,CLE,5,27,5709877,0.4,0.07005404844973019,0.04617586834337471
Damian Jones,CLE,8,28,2586665,0,0,0.020918402005580043
Ty Jerome,CLE,5,26,2439025,0,0,0.019724434919736362
Tristan Thompson,CLE,12,32,2019706,0.1,0.049512156719839426,0.0163333953337916
Sam Merrill,CLE,4,27,1997238,0.5,0.2503457274496079,0.016151696251667947
Luka Dončić,DAL,6,24,40064220,4.5,0.11231967076858104,0.324
Kyrie Irving,DAL,13,31,37037037,1.6,0.0432000000432,0.2995191217500303
Tim Hardaway Jr.,DAL,11,31,17897728,0,0,0.14473921798552425
Grant Williams,DAL,5,25,12405000,-0.4,-0.03224506247480855,0.10031943714366584
Richaun Holmes,DAL,9,30,12046020,-0.1,-0.008301497091985568,0.09741636003396546
Maxi Kleber,DAL,7,32,11000000,-0.2,-0.01818181818181818,0.08895717924871618
Dereck Lively II,DAL,1,19,4775640,0.3,0.0628188054375958,0.03862067850066718
Josh Green,DAL,4,23,4765339,-0.4,-0.08393946369817551,0.038537374145808906
Seth Curry,DAL,10,33,4000000,-0.2,-0.05,0.03234806518135134
Dwight Powell,DAL,10,32,4000000,0.4,0.1,0.03234806518135134
Dante Exum,DAL,7,28,3000000,0.4,0.13333333333333333,0.024261048886013506
Olivier-Maxence Prosper,DAL,1,21,2733720,-0.1,-0.03658019109491828,0.022107638186890946
Derrick Jones Jr.,DAL,8,26,2019706,0.2,0.09902431343967885,0.0163333953337916
Markieff Morris,DAL,13,34,2019706,-0.2,-0.09902431343967885,0.0163333953337916
Jaden Hardy,DAL,2,21,1719864,-0.4,-0.23257652930696845,0.01390856819376491
Nikola Jokić,DEN,9,28,47607350,6.5,0.13653353946396932,0.3850014152278517
Jamal Murray,DEN,7,26,33833400,1.7,0.05024620641141594,0.2736112571266831
Michael Porter Jr.,DEN,5,25,33386850,0.6,0.017971147322972968,0.27
Aaron Gordon,DEN,10,28,22266182,0.9,0.040420041478148344,0.180066976668958
Kentavious Caldwell-Pope,DEN,11,30,14704938,0,0,0.11891907322793255
Reggie Jackson,DEN,13,33,5000000,0,0,0.04043508147668918
Zeke Nnaji,DEN,4,23,4306281,-0.3,-0.06966568136171328,0.034824964619303705
Christian Braun,DEN,2,22,2949120,-0.2,-0.06781684027777778,0.023849581496906715
Julian Strawther,DEN,1,21,2431080,-0.3,-0.12340194481465029,0.019660183575269906
Peyton Watson,DEN,2,21,2303520,0.1,0.04341182190734181,0.01862860377663661
DeAndre Jordan,DEN,16,35,2019706,0,0,0.0163333953337916
Justin Holiday,DEN,11,34,2019706,0.1,0.049512156719839426,0.0163333953337916
Jalen Pickett,DEN,1,24,1708143,0,0,0.013813780275767256
Hunter Tyson,DEN,1,23,1119563,-0.1,-0.08932056525626518,0.009053924224657313
Bojan Bogdanović,DET,10,34,20000000,-0.1,-0.005,0.16174032590675672
Joe Harris,DET,10,32,19928571,-0.1,-0.00501792125486569,0.161162678419797
James Wiseman,DET,3,22,12119440,-0.2,-0.01650241265272983,0.09801010877036917
Cade Cunningham,DET,3,22,11055360,0.1,0.009045386129443094,0.0894048764708261
Alec Burks,DET,13,32,10489600,0.3,0.028599755948749236,0.08482956613157576
Monte Morris,DET,7,28,9800926,0,0,0.07926024827140027
Ausar Thompson,DET,1,21,7977480,-0.2,-0.0250705736648666,0.06451401075573167
Jaden Ivey,DET,2,21,7614480,-0.1,-0.013132873157457895,0.06157842384052404
Killian Hayes,DET,4,22,7413955,-0.2,-0.026976155102101378,0.05995677489790142
Danilo Gallinari,DET,14,35,6802950,0.2,0.029399010723289164,0.055015567506368525
Isaiah Stewart,DET,4,22,5266713,-0.2,-0.037974349466166096,0.04259199385386762
Jalen Duren,DET,2,20,4330680,0.4,0.0923642476470208,0.035022279729893656
Mike Muscala,DET,11,32,3500000,0.1,0.02857142857142857,0.028304557033682422
Marcus Sasser,DET,1,23,2624040,0.2,0.07621835033002547,0.021220654239618292
Kevin Knox,DET,6,24,1845593,-0.3,-0.1625493811474144,0.014925340665561442
Stephen Curry,GSW,15,35,51915615,2.4,0.04622886582389518,0.4198424244874853
Klay Thompson,GSW,11,33,43219440,0.2,0.004627547233374611,0.3495163155553758
Chris Paul,GSW,19,38,30800000,0.7,0.022727272727272724,0.2490801018964053
Andrew Wiggins,GSW,10,28,24330357,-0.7,-0.0287706423707634,0.19675999353038695
Draymond Green,GSW,12,33,22321429,0.7,0.03135999939788801,0.18051376005822653
Gary Payton II,GSW,8,31,8715000,0.1,0.011474469305794608,0.07047834701386924
Kevon Looney,GSW,9,27,7500000,0.7,0.09333333333333332,0.060652622215033765
Jonathan Kuminga,GSW,3,21,6012840,0.3,0.049893228491029194,0.048625935061259146
Moses Moody,GSW,3,21,3918480,0.4,0.10208039852187584,0.0316888116129554
Brandin Podziemski,GSW,1,20,3352440,0.3,0.08948706017109925,0.027111236909142373
Cory Joseph,GSW,13,32,2019706,-0.3,-0.14853647015951826,0.0163333953337916
Dario Šarić,GSW,7,29,2019706,1,0.4951215671983942,0.0163333953337916
Trayce Jackson-Davis,GSW,1,23,1119563,0.4,0.3572822610250607,0.009053924224657313
Gui Santos,GSW,1,21,1029483,0,0,0.00832544579677328
Fred VanVleet,HOU,8,29,40806300,2.2,0.05391324378833661,0.3300012130524443
Dillon Brooks,HOU,7,28,22627671,-0.3,-0.013258103319603682,0.18299034410254336
Jalen Green,HOU,3,21,9891480,0.4,0.040438842316822154,0.07999255994500828
Jeff Green,HOU,16,37,9600000,-0.1,-0.010416666666666668,0.07763535643524322
Jabari Smith Jr.,HOU,2,20,9326520,0.6,0.0643326771400265,0.07542371921879422
Amen Thompson,HOU,1,21,8809320,0.3,0.03405484191742381,0.0712411143908455
Jock Landale,HOU,3,28,8000000,-0.1,-0.0125,0.06469613036270268
Jae'Sean Tate,HOU,4,28,6500000,0,0,0.052565605919695925
Alperen Şengün,HOU,3,21,3536280,2.7,0.7635142013641454,0.02859795398487728
Tari Eason,HOU,2,22,3527160,0.4,0.11340568616110412,0.0285242003962638
Cam Whitmore,HOU,1,19,3218160,0.3,0.09322097098963382,0.02602531236100441
Reggie Bullock,HOU,11,32,2019706,0,0,0.0163333953337916
Aaron Holiday,HOU,6,27,2019706,0,0,0.0163333953337916
Boban Marjanović,HOU,9,35,2019706,0,0,0.0163333953337916
Pascal Siakam,IND,8,29,37893408,0.4,0.010555925716684022,0.3064446079818851
Myles Turner,IND,9,27,20975000,0.7,0.033373063170440996,0.1696251667947111
Buddy Hield,IND,8,31,19279841,0.7,0.03630735336458428,0.1559163883385225
T.J. McConnell,IND,9,31,8700000,0.6,0.0689655172413793,0.07035704176943916
Bennedict Mathurin,IND,2,21,6916080,-0.5,-0.07229528866062856,0.055930451659860096
Obi Toppin,IND,4,25,6803012,0.6,0.0881962283764897,0.055016068901378834
Jarace Walker,IND,1,20,6059520,0.1,0.01650295732995353,0.04900343698192552
Tyrese Haliburton,IND,4,23,5808435,3.2,0.5509229250219724,0.046972908495410616
Aaron Nesmith,IND,4,24,5634257,0.8,0.14198855323780935,0.045564328171121264
Jalen Smith,IND,4,23,5043773,0.6,0.1189585653438408,0.040789074440985
Isaiah Jackson,IND,3,22,2696280,0.4,0.14835254498790929,0.0218048602967935
Ben Sheppard,IND,1,22,2537160,-0.2,-0.07882829620520583,0.020518054263879343
Andrew Nembhard,IND,2,24,2131905,-0.2,-0.09381281060835263,0.017240750475112206
Daniel Theis,IND,7,31,6928876,0,0,0.05603393312037524
Paul George,LAC,14,33,45640084,1.8,0.039439015931697234,0.3690921030285876
Kawhi Leonard,LAC,12,32,45640084,3.1,0.06792274966014523,0.3690921030285876
James Harden,LAC,15,34,35640000,2.6,0.07295173961840629,0.2882212607658404
Norman Powell,LAC,9,30,18000000,0.5,0.027777777777777776,0.14556629331608104
P.J. Tucker,LAC,13,38,11014500,0,0,0.08907444098499859
Ivica Zubac,LAC,8,26,10933333,0.7,0.0640243921958656,0.0884180421333549
Terance Mann,LAC,5,27,10576923,-0.1,-0.009454545523305786,0.08553574865553354
Mason Plumlee,LAC,11,33,5000000,0.2,0.04,0.04043508147668918
Russell Westbrook,LAC,16,35,3835738,1,0.2607060231955363,0.031019675710646556
Amir Coffey,LAC,5,26,3666667,0,0,0.029652395778577492
Kobe Brown,LAC,1,24,2413320,-0.2,-0.08287338604080687,0.019516558165864704
Bones Hyland,LAC,3,23,2306400,-0.3,-0.1300728407908429,0.018651894383567184
Brandon Boston Jr.,LAC,3,22,1836096,-0.1,-0.05446338317822162,0.014848538271804618
Joshua Primo,LAC,3,21,1764341,0,0,0.014268254417532652
Daniel Theis,LAC,7,31,1741126,0.2,0.11486819449023218,0.014080514334236384
LeBron James,LAL,21,39,47607350,3.1,0.0651159957443546,0.3850014152278517
Anthony Davis,LAL,12,30,40600080,2.9,0.0714284306828952,0.32833350855201976
D'Angelo Russell,LAL,9,27,17307693,1,0.057777775466666764,0.13996759532570457
Rui Hachimura,LAL,5,25,15740741,0,0,0.12729562896769236
Austin Reaves,LAL,3,25,12015150,0.7,0.05825978036062804,0.09716671384092838
Gabe Vincent,LAL,5,27,10500000,-0.1,-0.009523809523809525,0.08491367110104726
Jarred Vanderbilt,LAL,6,24,4698000,0,0,0.03799280255549715
Taurean Prince,LAL,8,29,4516000,-0.4,-0.08857395925597875,0.036520965589745664
Jalen Hood-Schifino,LAL,1,20,3695040,-0.3,-0.08118991945959989,0.029881848691925113
Christian Wood,LAL,8,28,2709849,-0.2,-0.07380485038096218,0.021914593020904937
Jaxson Hayes,LAL,5,23,2165000,-0.3,-0.13856812933025403,0.017508390279406413
Cam Reddish,LAL,5,24,2165000,-0.2,-0.09237875288683603,0.017508390279406413
Max Christie,LAL,2,20,1719864,-0.5,-0.2907206616337106,0.01390856819376491
Maxwell Lewis,LAL,1,21,1119563,-0.2,-0.17864113051253036,0.009053924224657313
Ja Morant,MEM,5,24,34005250,0.4,0.011762889553818896,0.27500101087703693
Jaren Jackson Jr.,MEM,6,24,27102202,0.8,0.029517896737689436,0.21917594921353767
Marcus Smart,MEM,10,29,18833713,-0.1,-0.00530962747494347,0.15230854393271603
Luke Kennard,MEM,7,27,14763636,0.3,0.02032019754483245,0.1193937649104363
Ziaire Williams,MEM,3,22,4810200,-0.6,-0.12473493825620555,0.038900165783834054
Desmond Bane,MEM,4,25,3845083,1.8,0.46813033684838534,0.031095248877926487
Jake LaRavia,MEM,2,22,3199920,-0.2,-0.06250156253906348,0.025877805183777445
Derrick Rose,MEM,15,35,3196448,-0.1,-0.03128472604591096,0.02584972706320003
David Roddy,MEM,2,22,2718240,-0.7,-0.25751957148743304,0.021982451174639116
John Konchar,MEM,5,27,2400000,0.3,0.125,0.019408839108810805
Santi Aldama,MEM,3,23,2194200,0.4,0.1822987877130617,0.017744531155230277
Xavier Tillman Sr.,MEM,4,25,1930681,0.1,0.051795195581248274,0.015613448708099147
Bismack Biyombo,MEM,13,31,5000000,-0.2,-0.04,0.04043508147668918
Kenneth Lofton Jr.,MEM,2,21,1719864,-0.1,-0.058144132326742114,0.01390856819376491
Jimmy Butler,MIA,13,34,45183960,1.6,0.03541079622060572,0.36540342080789295
Bam Adebayo,MIA,7,26,32600060,1.2,0.03680974820291742,0.26363721644899113
Tyler Herro,MIA,5,24,27000000,0.6,0.02222222222222222,0.21834943997412154
Terry Rozier,MIA,9,29,23205221,-0.1,-0.004309375032454981,0.18766100036391573
Duncan Robinson,MIA,6,29,18154000,0.2,0.011016855789357719,0.14681169382556306
Caleb Martin,MIA,5,28,6802950,-0.1,-0.014699505361644582,0.055015567506368525
