,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,AGE,G,MIN,CONTESTED_SHOTS,CONTESTED_SHOTS_2PT,CONTESTED_SHOTS_3PT,DEFLECTIONS,CHARGES_DRAWN,SCREEN_ASSISTS,SCREEN_AST_PTS,OFF_LOOSE_BALLS_RECOVERED,DEF_LOOSE_BALLS_RECOVERED,LOOSE_BALLS_RECOVERED,PCT_LOOSE_BALLS_RECOVERED_OFF,PCT_LOOSE_BALLS_RECOVERED_DEF,OFF_BOXOUTS,DEF_BOXOUTS,BOX_OUTS,BOX_OUT_PLAYER_TEAM_REBS,BOX_OUT_PLAYER_REBS,PCT_BOX_OUTS_OFF,PCT_BOX_OUTS_DEF,PCT_BOX_OUTS_TEAM_REB,PCT_BOX_OUTS_REB,TeamID,TeamName,WINS,LOSSES,TeamGP,G_PERCENT,CHARGES_DRAWN_pct_rank,CONTESTED_SHOTS_2PT_pct_rank,CONTESTED_SHOTS_3PT_pct_rank,DEFLECTIONS_pct_rank,DEF_BOXOUTS_pct_rank,DEF_LOOSE_BALLS_RECOVERED_pct_rank,sum
20,1629599,Amir Coffey,1610612746,LAC,26.0,62,19.6,2.68,1.47,1.21,0.84,0.02,0.37,0.82,0.08,0.13,0.21,0.385,0.615,0.03,0.31,0.34,0.34,0.11,0.095,0.905,1.0,0.333,1610612746,Clippers,47,27,74,0.8378378378378378,0.564327485380117,0.4064327485380117,0.39766081871345027,0.23391812865497075,0.4722222222222222,0.11695906432748537,2.1915204678362574
21,203083,Andre Drummond,1610612741,CHI,30.0,75,17.0,4.59,2.85,1.73,1.53,0.03,2.07,4.32,0.2,0.2,0.4,0.5,0.5,1.17,0.59,1.76,1.71,1.52,0.667,0.333,0.977,0.87,1610612741,Bulls,36,39,75,1.0,0.6973684210526315,0.7982456140350878,0.9385964912280702,0.9298245614035088,0.7690058479532164,0.6198830409356725,4.752923976608186
22,1641748,Andre Jackson Jr.,1610612749,MIL,22.0,50,10.3,1.38,0.78,0.6,0.66,0.02,0.32,0.82,0.28,0.16,0.44,0.636,0.364,0.12,0.34,0.46,0.42,0.08,0.261,0.739,0.913,0.174,1610612749,Bucks,47,27,74,0.6756756756756757,0.7222222222222222,0.41228070175438597,0.3304093567251462,0.6286549707602339,0.7543859649122807,0.847953216374269,3.6959064327485383
24,1629614,Andrew Nembhard,1610612754,IND,24.0,61,24.7,3.15,2.26,0.89,1.59,0.07,0.15,0.41,0.31,0.33,0.64,0.487,0.513,0.02,0.25,0.26,0.26,0.07,0.063,0.938,1.0,0.25,1610612754,Pacers,42,33,75,0.8133333333333334,0.7763157894736842,0.5467836257309941,0.03216374269005848,0.6403508771929824,0.24561403508771928,0.7485380116959064,2.9897660818713447
25,203952,Andrew Wiggins,1610612744,GSW,29.0,65,27.0,5.31,2.66,2.65,1.22,0.0,0.77,2.15,0.38,0.2,0.58,0.658,0.342,0.12,0.57,0.69,0.68,0.26,0.178,0.822,0.978,0.378,1610612744,Warriors,40,34,74,0.8783783783783784,0.19883040935672514,0.6023391812865497,0.9122807017543859,0.2807017543859649,0.6374269005847953,0.1695906432748538,2.8011695906432745
26,1629014,Anfernee Simons,1610612757,POR,24.0,46,34.4,3.41,1.67,1.74,0.93,0.02,0.33,0.74,0.35,0.39,0.74,0.471,0.529,0.0,0.09,0.09,0.09,0.04,0.0,1.0,1.0,0.5,1610612757,Trail Blazers,19,55,74,0.6216216216216216,0.4619883040935672,0.13742690058479531,0.18128654970760233,0.04093567251461988,0.011695906432748537,0.5730994152046783,1.4064327485380117
27,1641710,Anthony Black,1610612753,ORL,20.0,65,17.4,3.17,1.69,1.48,1.17,0.03,0.25,0.52,0.22,0.22,0.43,0.5,0.5,0.08,0.15,0.23,0.22,0.05,0.333,0.667,0.933,0.2,1610612753,Magic,43,31,74,0.8783783783783784,0.685672514619883,0.5964912280701754,0.8157894736842105,0.6988304093567251,0.195906432748538,0.6900584795321637,3.6827485380116958
28,203076,Anthony Davis,1610612747,LAL,31.0,70,35.9,11.26,7.89,3.37,2.6,0.01,4.11,9.21,0.66,0.36,1.01,0.648,0.352,0.64,1.89,2.53,2.49,1.71,0.254,0.746,0.983,0.678,1610612747,Lakers,42,33,75,0.9333333333333333,0.39766081871345027,0.8830409356725146,0.8859649122807017,0.7690058479532164,0.8771929824561403,0.4415204678362573,4.254385964912281
29,1630162,Anthony Edwards,1610612750,MIN,22.0,71,35.2,3.13,1.82,1.31,1.99,0.0,0.2,0.46,0.44,0.54,0.97,0.449,0.551,0.04,0.2,0.24,0.21,0.15,0.176,0.824,0.882,0.647,1610612750,Timberwolves,51,23,74,0.9594594594594594,0.19883040935672514,0.15789473684210525,0.049707602339181284,0.5029239766081871,0.08187134502923976,0.827485380116959,1.8187134502923976
30,1630264,Anthony Gill,1610612764,WAS,31.0,44,7.0,1.64,0.91,0.73,0.25,0.0,0.91,2.11,0.07,0.07,0.14,0.5,0.5,0.07,0.41,0.48,0.39,0.09,0.143,0.857,0.895,0.211,1610612764,Wizards,14,61,75,0.5866666666666667,0.19883040935672514,0.7222222222222222,0.9473684210526315,0.11695906432748537,0.9239766081871345,0.4342105263157895,3.343567251461988
33,1641709,Ausar Thompson,1610612765,DET,21.0,63,25.1,4.79,2.75,2.05,2.06,0.03,0.44,1.02,0.52,0.32,0.84,0.623,0.377,0.11,0.27,0.38,0.38,0.27,0.292,0.708,1.0,0.708,1610612765,Pistons,13,61,74,0.8513513513513513,0.6023391812865497,0.6549707602339181,0.7690058479532164,0.8567251461988304,0.26608187134502925,0.6929824561403509,3.8421052631578947
34,1630559,Austin Reaves,1610612747,LAL,25.0,75,32.2,5.16,2.97,2.19,1.31,0.11,0.29,0.63,0.4,0.49,0.89,0.448,0.552,0.03,0.6,0.63,0.61,0.17,0.043,0.957,0.979,0.277,1610612747,Lakers,42,33,75,1.0,0.827485380116959,0.5555555555555556,0.5350877192982456,0.1871345029239766,0.5906432748538012,0.8245614035087719,3.5204678362573096
35,1630245,Ayo Dosunmu,1610612741,CHI,24.0,73,28.8,4.9,2.75,2.15,1.32,0.0,0.14,0.29,0.29,0.48,0.77,0.375,0.625,0.01,0.23,0.25,0.25,0.08,0.056,0.944,1.0,0.333,1610612741,Bulls,36,39,75,0.9733333333333334,0.19883040935672514,0.5847953216374269,0.6608187134502924,0.30116959064327486,0.15497076023391812,0.8976608187134503,2.7982456140350873
36,1628389,Bam Adebayo,1610612748,MIA,26.0,63,34.3,6.71,4.54,2.17,2.14,0.03,3.44,8.06,0.44,0.35,0.79,0.56,0.44,0.32,2.67,2.98,2.76,1.43,0.106,0.894,0.983,0.508,1610612748,Heat,41,33,74,0.8513513513513513,0.5350877192982456,0.7397660818713451,0.4239766081871345,0.5964912280701754,0.9912280701754386,0.4619883040935672,3.7485380116959064
37,1641767,Ben Sheppard,1610612754,IND,22.0,50,13.3,2.04,1.26,0.78,0.78,0.0,0.1,0.26,0.12,0.12,0.24,0.5,0.5,0.0,0.2,0.2,0.2,0.12,0.0,1.0,1.0,0.6,1610612754,Pacers,42,33,75,0.6666666666666666,0.19883040935672514,0.5701754385964912,0.34210526315789475,0.543859649122807,0.43859649122807015,0.30409356725146197,2.39766081871345
39,1631097,Bennedict Mathurin,1610612754,IND,21.0,59,26.1,3.08,1.81,1.27,0.9,0.0,0.29,0.61,0.31,0.25,0.56,0.545,0.455,0.05,0.42,0.47,0.47,0.15,0.107,0.893,1.0,0.321,1610612754,Pacers,42,33,75,0.7866666666666666,0.19883040935672514,0.3391812865497076,0.14912280701754385,0.11403508771929824,0.49707602339181284,0.3684210526315789,1.6666666666666667
40,1641731,Bilal Coulibaly,1610612764,WAS,19.0,63,27.2,3.94,2.52,1.41,1.76,0.03,0.48,1.06,0.21,0.41,0.62,0.333,0.667,0.03,0.25,0.29,0.29,0.17,0.111,0.889,1.0,0.611,1610612764,Wizards,14,61,75,0.84,0.5760233918128655,0.5584795321637427,0.2046783625730994,0.6461988304093568,0.21929824561403508,0.8157894736842105,3.02046783625731
41,202687,Bismack Biyombo,1610612760,OKC,31.0,37,20.5,6.05,4.86,1.19,0.65,0.0,2.68,6.08,0.3,0.14,0.43,0.688,0.313,0.41,1.05,1.46,1.43,0.76,0.278,0.722,1.0,0.528,1610612760,Thunder,52,22,74,0.5,0.19883040935672514,0.9122807017543859,0.3216374269005848,0.07309941520467836,0.8654970760233918,0.13157894736842105,2.502923976608187
42,1631104,Blake Wesley,1610612759,SAS,21.0,54,13.5,1.52,0.67,0.85,0.89,0.02,0.11,0.26,0.09,0.13,0.22,0.417,0.583,0.0,0.11,0.11,0.11,0.0,0.0,1.0,1.0,0.0,1610612759,Spurs,18,57,75,0.72,0.6578947368421053,0.14327485380116958,0.41812865497076024,0.6871345029239766,0.17543859649122806,0.37719298245614036,2.4590643274853803
44,1626171,Bobby Portis,1610612749,MIL,29.0,74,24.2,4.89,3.24,1.65,1.58,0.0,1.41,3.22,0.2,0.32,0.53,0.385,0.615,0.57,0.65,1.22,1.16,0.91,0.467,0.533,0.956,0.744,1610612749,Bucks,47,27,74,1.0,0.19883040935672514,0.7456140350877193,0.5380116959064327,0.6695906432748538,0.716374269005848,0.7426900584795322,3.6111111111111107
45,203992,Bogdan Bogdanovic,1610612737,ATL,31.0,71,30.2,6.42,2.87,3.55,2.31,0.0,0.59,1.49,0.23,0.28,0.51,0.444,0.556,0.03,0.59,0.62,0.59,0.2,0.045,0.955,0.977,0.326,1610612737,Hawks,34,40,74,0.9594594594594594,0.19883040935672514,0.5760233918128655,0.9970760233918129,0.8157894736842105,0.6052631578947368,0.33771929824561403,3.530701754385965
46,202711,Bojan Bogdanovic,1610612752,NYK,34.0,49,27.3,3.27,1.67,1.59,0.82,0.0,0.33,0.71,0.31,0.24,0.55,0.556,0.444,0.0,0.47,0.47,0.41,0.1,0.0,1.0,0.952,0.238,1610612752,Knicks,44,30,74,0.6621621621621622,0.19883040935672514,0.24561403508771928,0.32748538011695905,0.049707602339181284,0.543859649122807,0.28654970760233917,1.6520467836257309
49,203078,Bradley Beal,1610612756,PHX,30.0,45,33.0,4.04,1.8,2.24,1.93,0.13,0.33,0.73,0.36,0.24,0.6,0.593,0.407,0.02,0.16,0.18,0.16,0.09,0.125,0.875,1.0,0.571,1610612756,Suns,43,31,74,0.6081081081081081,0.8596491228070176,0.1783625730994152,0.5292397660818714,0.5409356725146199,0.05847953216374269,0.15935672514619884,2.326023391812866
50,1641764,Brandin Podziemski,1610612744,GSW,21.0,66,26.7,3.21,1.68,1.53,1.73,0.53,0.83,2.12,0.27,0.44,0.71,0.383,0.617,0.06,0.52,0.58,0.55,0.15,0.105,0.895,0.947,0.263,1610612744,Warriors,40,34,74,0.8918918918918919,0.9970760233918129,0.26900584795321636,0.30994152046783624,0.6491228070175439,0.6023391812865497,0.8918128654970761,3.7192982456140355
53,1627742,Brandon Ingram,1610612740,NOP,26.0,63,33.0,5.3,2.62,2.68,1.57,0.02,0.46,1.13,0.32,0.3,0.62,0.513,0.487,0.02,0.27,0.29,0.29,0.13,0.056,0.944,1.0,0.444,1610612740,Pelicans,45,29,74,0.8513513513513513,0.47514619883040937,0.4473684210526316,0.7602339181286549,0.34502923976608185,0.1783625730994152,0.31140350877192985,2.517543859649123
54,1641706,Brandon Miller,1610612766,CHA,21.0,67,32.2,5.6,3.03,2.57,1.72,0.15,0.54,1.25,0.28,0.3,0.58,0.487,0.513,0.01,0.4,0.42,0.42,0.19,0.036,0.964,1.0,0.464,1610612766,Hornets,18,56,74,0.9054054054054054,0.8976608187134503,0.5672514619883041,0.7339181286549707,0.4649122807017544,0.34502923976608185,0.34210526315789475,3.350877192982456
58,201572,Brook Lopez,1610612749,MIL,36.0,71,30.8,16.11,14.42,1.69,1.42,0.0,3.27,7.58,0.23,0.3,0.52,0.432,0.568,0.34,1.49,1.83,1.79,0.9,0.185,0.815,0.977,0.492,1610612749,Bucks,47,27,74,0.9594594594594594,0.19883040935672514,1.0,0.23976608187134502,0.3055555555555556,0.847953216374269,0.40058479532163743,2.992690058479532
59,1628971,Bruce Brown,1610612761,TOR,27.0,62,28.2,4.18,2.05,2.13,1.81,0.0,0.32,0.66,0.27,0.19,0.47,0.586,0.414,0.06,0.27,0.34,0.32,0.23,0.19,0.81,1.0,0.7,1610612761,Raptors,23,51,74,0.8378378378378378,0.19883040935672514,0.37719298245614036,0.6783625730994152,0.6374269005847953,0.22807017543859648,0.12573099415204678,2.245614035087719
60,1628981,Bruno Fernando,1610612737,ATL,25.0,37,14.0,3.03,2.27,0.76,0.73,0.0,1.89,4.38,0.22,0.16,0.38,0.571,0.429,0.35,0.92,1.27,1.22,0.84,0.277,0.723,0.957,0.66,1610612737,Hawks,34,40,74,0.5,0.19883040935672514,0.7953216374269005,0.23391812865497075,0.4269005847953216,0.9532163742690059,0.5760233918128655,3.184210526315789
61,1631121,Bryce McGowens,1610612766,CHA,21.0,53,15.1,2.02,0.91,1.11,0.47,0.02,0.19,0.49,0.15,0.15,0.3,0.5,0.5,0.0,0.25,0.25,0.23,0.08,0.0,1.0,0.923,0.308,1610612766,Hornets,18,56,74,0.7162162162162162,0.6242690058479532,0.23684210526315788,0.6257309941520468,0.06725146198830409,0.5146198830409356,0.4269005847953216,2.4956140350877196
63,1627741,Buddy Hield,1610612755,PHI,31.0,77,26.2,4.74,3.1,1.64,1.68,0.0,0.51,1.08,0.26,0.32,0.58,0.444,0.556,0.01,0.22,0.23,0.23,0.09,0.056,0.944,1.0,0.389,1610612755,76ers,40,35,75,1.0266666666666666,0.19883040935672514,0.6900584795321637,0.4064327485380117,0.6345029239766082,0.18421052631578946,0.6578947368421053,2.7719298245614037
64,203468,CJ McCollum,1610612740,NOP,32.0,58,31.9,5.02,2.45,2.57,1.55,0.02,0.29,0.6,0.52,0.4,0.91,0.566,0.434,0.0,0.43,0.43,0.4,0.22,0.0,1.0,0.92,0.52,1610612740,Pelicans,45,29,74,0.7837837837837838,0.4853801169590643,0.4269005847953216,0.7485380116959064,0.3713450292397661,0.3684210526315789,0.6842105263157895,3.0847953216374266
65,1630595,Cade Cunningham,1610612765,DET,22.0,61,33.4,5.52,3.0,2.52,1.59,0.02,0.18,0.38,0.34,0.25,0.59,0.583,0.417,0.02,0.48,0.49,0.48,0.13,0.033,0.967,0.967,0.267,1610612765,Pistons,13,61,74,0.8243243243243243,0.47076023391812866,0.5321637426900585,0.6754385964912281,0.3508771929824561,0.4152046783625731,0.18128654970760233,2.6257309941520464
66,1631216,Caleb Houstan,1610612753,ORL,21.0,56,14.1,1.82,1.05,0.77,0.52,0.0,0.23,0.52,0.16,0.18,0.34,0.474,0.526,0.09,0.45,0.54,0.52,0.2,0.167,0.833,0.967,0.367,1610612753,Magic,43,31,74,0.7567567567567568,0.19883040935672514,0.39473684210526316,0.23684210526315788,0.13742690058479531,0.7426900584795322,0.695906432748538,2.4064327485380117
67,1628997,Caleb Martin,1610612748,MIA,28.0,56,27.1,3.45,1.82,1.63,1.27,0.13,0.41,1.02,0.2,0.25,0.45,0.44,0.56,0.02,0.43,0.45,0.43,0.13,0.04,0.96,1.0,0.292,1610612748,Heat,41,33,74,0.7567567567567568,0.9035087719298246,0.3128654970760234,0.36257309941520466,0.32748538011695905,0.4853801169590643,0.3304093567251462,2.7222222222222223
68,1629629,Cam Reddish,1610612747,LAL,24.0,46,20.9,2.78,1.54,1.24,1.83,0.02,0.07,0.17,0.3,0.43,0.74,0.412,0.588,0.0,0.33,0.33,0.33,0.17,0.0,1.0,1.0,0.533,1610612747,Lakers,42,33,75,0.6133333333333333,0.5497076023391813,0.3888888888888889,0.3567251461988304,0.9093567251461988,0.4678362573099415,0.9736842105263158,3.646198830409357
69,1630560,Cam Thomas,1610612751,BKN,22.0,59,31.0,3.88,1.78,2.1,1.02,0.0,0.24,0.56,0.22,0.25,0.47,0.464,0.536,0.0,0.34,0.34,0.32,0.05,0.0,1.0,0.95,0.15,1610612751,Nets,29,46,75,0.7866666666666666,0.19883040935672514,0.2134502923976608,0.5263157894736842,0.0935672514619883,0.2719298245614035,0.21637426900584794,1.5204678362573099
70,1641715,Cam Whitmore,1610612745,HOU,19.0,39,18.0,1.69,1.0,0.69,1.56,0.0,0.0,0.0,0.15,0.15,0.31,0.5,0.5,0.03,0.26,0.28,0.26,0.08,0.091,0.909,0.909,0.273,1610612745,Rockets,38,36,74,0.527027027027027,0.19883040935672514,0.19298245614035087,0.05555555555555555,0.8976608187134503,0.4239766081871345,0.24707602339181287,2.0160818713450293
71,1629661,Cameron Johnson,1610612751,BKN,28.0,56,27.7,3.77,1.91,1.86,1.59,0.04,0.34,0.77,0.21,0.32,0.54,0.4,0.6,0.09,0.64,0.73,0.7,0.2,0.122,0.878,0.951,0.268,1610612751,Nets,29,46,75,0.7466666666666667,0.6461988304093568,0.3333333333333333,0.5,0.5233918128654971,0.672514619883041,0.5964912280701754,3.2719298245614037
72,1626166,Cameron Payne,1610612755,PHI,29.0,71,16.4,1.55,0.65,0.9,1.31,0.08,0.06,0.14,0.11,0.14,0.25,0.444,0.556,0.01,0.08,0.1,0.08,0.03,0.143,0.857,0.857,0.286,1610612755,76ers,40,35,75,0.9466666666666667,0.9064327485380117,0.07602339181286549,0.24269005847953215,0.8391812865497076,0.06140350877192982,0.26608187134502925,2.391812865497076
73,1627747,Caris LeVert,1610612739,CLE,29.0,62,28.7,3.9,2.06,1.84,2.15,0.0,0.24,0.6,0.24,0.31,0.55,0.441,0.559,0.0,0.32,0.32,0.29,0.16,0.0,1.0,0.9,0.5,1610612739,Cavaliers,45,30,75,0.8266666666666667,0.19883040935672514,0.3654970760233918,0.45614035087719296,0.7923976608187134,0.2777777777777778,0.5146198830409356,2.6052631578947367
74,1641717,Cason Wallace,1610612760,OKC,20.0,74,20.6,3.73,1.68,2.05,1.86,0.0,0.53,1.2,0.12,0.28,0.41,0.3,0.7,0.01,0.2,0.22,0.2,0.07,0.063,0.938,0.938,0.313,1610612760,Thunder,52,22,74,1.0,0.19883040935672514,0.4766081871345029,0.9239766081871345,0.9327485380116959,0.2309941520467836,0.7573099415204678,3.5204678362573096
75,1626224,Cedi Osman,1610612759,SAS,28.0,71,17.6,2.59,1.52,1.07,0.93,0.06,0.23,0.49,0.18,0.23,0.41,0.448,0.552,0.04,0.35,0.39,0.35,0.11,0.107,0.893,0.893,0.286,1610612759,Spurs,18,57,75,0.9466666666666667,0.8245614035087719,0.5029239766081871,0.3830409356725146,0.4444444444444444,0.6198830409356725,0.7280701754385965,3.502923976608187
78,1631096,Chet Holmgren,1610612760,OKC,21.0,74,29.9,11.88,9.76,2.12,1.14,0.04,2.19,4.59,0.23,0.26,0.49,0.472,0.528,0.18,1.88,2.05,1.96,0.99,0.086,0.914,0.98,0.493,1610612760,Thunder,52,22,74,1.0,0.631578947368421,0.9941520467836257,0.5760233918128655,0.14912280701754385,0.9473684210526315,0.27485380116959063,3.5730994152046778
79,1629002,Chimezie Metu,1610612765,DET,27.0,43,14.0,2.93,1.84,1.09,1.16,0.02,0.53,1.12,0.05,0.02,0.07,0.667,0.333,0.07,0.4,0.47,0.44,0.16,0.15,0.85,0.95,0.35,1610612765,Pistons,13,61,74,0.581081081081081,0.6432748538011696,0.7309941520467836,0.7046783625730995,0.8625730994152047,0.7222222222222222,0.005847953216374269,3.669590643274854
80,1628449,Chris Boucher,1610612761,TOR,31.0,50,14.1,3.04,1.74,1.3,0.68,0.08,0.4,0.88,0.2,0.22,0.42,0.476,0.524,0.32,0.26,0.58,0.58,0.36,0.552,0.448,1.0,0.621,1610612761,Raptors,23,51,74,0.6756756756756757,0.9239766081871345,0.7046783625730995,0.8830409356725146,0.35964912280701755,0.5818713450292398,0.8538011695906432,4.30701754385965
81,1630537,Chris Duarte,1610612758,SAC,26.0,54,12.8,2.7,1.41,1.3,0.65,0.0,0.15,0.33,0.22,0.17,0.39,0.571,0.429,0.02,0.24,0.26,0.24,0.02,0.071,0.929,1.0,0.077,1610612758,Kings,43,31,74,0.7297297297297297,0.19883040935672514,0.6608187134502924,0.935672514619883,0.4152046783625731,0.5935672514619883,0.7456140350877193,3.549707602339181
83,101108,Chris Paul,1610612744,GSW,38.0,50,26.3,2.06,0.6,1.46,1.86,0.04,0.64,1.64,0.24,0.5,0.74,0.324,0.676,0.0,0.32,0.32,0.32,0.16,0.0,1.0,1.0,0.5,1610612744,Warriors,40,34,74,0.6756756756756757,0.6637426900584795,0.017543859649122806,0.2631578947368421,0.7426900584795322,0.32748538011695905,0.956140350877193,2.9707602339181287
84,1631128,Christian Braun,1610612743,DEN,22.0,75,19.6,3.28,2.09,1.19,0.71,0.04,0.21,0.49,0.24,0.27,0.51,0.474,0.526,0.09,0.31,0.4,0.4,0.21,0.233,0.767,1.0,0.533,1610612743,Nuggets,52,23,75,1.0,0.7251461988304093,0.6432748538011696,0.37719298245614036,0.1286549707602339,0.4722222222222222,0.7602339181286549,3.1067251461988303
85,1626174,Christian Wood,1610612747,LAL,28.0,50,17.4,5.02,3.18,1.84,0.36,0.0,0.8,1.82,0.1,0.16,0.26,0.385,0.615,0.08,0.64,0.72,0.72,0.44,0.111,0.889,1.0,0.611,1610612747,Lakers,42,33,75,0.6666666666666666,0.19883040935672514,0.8157894736842105,0.9532163742690059,0.017543859649122806,0.7807017543859649,0.32456140350877194,3.090643274853801
86,1629643,Chuma Okeke,1610612753,ORL,25.0,43,9.8,1.93,0.88,1.05,0.4,0.0,0.09,0.21,0.16,0.07,0.23,0.7,0.3,0.02,0.3,0.33,0.33,0.09,0.071,0.929,1.0,0.286,1610612753,Magic,43,31,74,0.581081081081081,0.19883040935672514,0.5292397660818714,0.9707602339181286,0.19298245614035087,0.7339181286549707,0.14912280701754385,2.7748538011695905
87,203991,Clint Capela,1610612737,ATL,29.0,66,25.5,8.77,7.15,1.62,1.12,0.2,3.26,7.41,0.5,0.23,0.73,0.688,0.313,0.8,1.68,2.48,2.44,1.77,0.323,0.677,0.988,0.718,1610612737,Hawks,34,40,74,0.8918918918918919,0.9473684210526315,0.9619883040935673,0.4327485380116959,0.2543859649122807,0.956140350877193,0.30116959064327486,3.8538011695906436
88,1629632,Coby White,1610612741,CHI,24.0,72,36.7,6.29,2.75,3.54,1.13,0.14,0.4,0.83,0.39,0.57,0.96,0.406,0.594,0.0,0.26,0.26,0.26,0.13,0.0,1.0,1.0,0.474,1610612741,Bulls,36,39,75,0.96,0.847953216374269,0.40350877192982454,0.9005847953216374,0.06432748538011696,0.12280701754385964,0.8450292397660819,3.1842105263157894
90,203469,Cody Zeller,1610612740,NOP,31.0,40,7.6,2.23,1.73,0.5,0.48,0.13,1.48,3.43,0.08,0.13,0.2,0.375,0.625,0.08,0.68,0.75,0.75,0.33,0.1,0.9,1.0,0.433,1610612740,Pelicans,45,29,74,0.5405405405405406,0.9912280701754386,0.8918128654970761,0.4853801169590643,0.6111111111111112,0.9970760233918129,0.9035087719298246,4.880116959064328
92,1630175,Cole Anthony,1610612753,ORL,23.0,73,22.9,2.73,1.47,1.26,1.59,0.01,0.16,0.38,0.32,0.37,0.68,0.46,0.54,0.03,0.1,0.12,0.12,0.04,0.222,0.778,1.0,0.333,1610612753,Magic,43,31,74,0.9864864864864865,0.4502923976608187,0.27485380116959063,0.24561403508771928,0.7222222222222222,0.03508771929824561,0.868421052631579,2.5964912280701755
96,1629012,Collin Sexton,1610612762,UTA,25.0,75,26.6,2.21,0.96,1.25,1.6,0.01,0.59,1.47,0.48,0.33,0.81,0.59,0.41,0.01,0.05,0.07,0.07,0.01,0.2,0.8,1.0,0.2,1610612762,Jazz,29,46,75,1.0,0.43567251461988304,0.05555555555555555,0.11695906432748537,0.5730994152046783,0.008771929824561403,0.6783625730994152,1.8684210526315788
97,1630557,Corey Kispert,1610612764,WAS,25.0,73,24.7,4.33,2.62,1.71,0.78,0.03,0.27,0.62,0.15,0.15,0.3,0.5,0.5,0.0,0.42,0.42,0.4,0.04,0.0,1.0,0.935,0.097,1610612764,Wizards,14,61,75,0.9733333333333334,0.6052631578947368,0.6374269005847953,0.5614035087719298,0.07017543859649122,0.5380116959064327,0.07894736842105263,2.491228070175439
99,1641854,Craig Porter Jr.,1610612739,CLE,24.0,48,13.3,2.23,1.02,1.21,0.79,0.0,0.04,0.1,0.23,0.1,0.33,0.688,0.313,0.0,0.1,0.1,0.1,0.02,0.0,1.0,1.0,0.2,1610612739,Cavaliers,45,30,75,0.64,0.19883040935672514,0.4239766081871345,0.8771929824561403,0.5614035087719298,0.14619883040935672,0.18859649122807018,2.396198830409357
100,1626156,D'Angelo Russell,1610612747,LAL,28.0,69,32.4,2.81,1.23,1.58,2.25,0.03,0.43,1.01,0.22,0.36,0.58,0.375,0.625,0.0,0.45,0.45,0.45,0.14,0.0,1.0,1.0,0.323,1610612747,Lakers,42,33,75,0.92,0.5380116959064327,0.06432748538011696,0.15497076023391812,0.7251461988304093,0.40350877192982454,0.5467836257309941,2.4327485380116958
106,1630625,Dalano Banton,1610612757,POR,24.0,47,17.0,2.4,1.23,1.17,1.17,0.02,0.04,0.11,0.17,0.21,0.38,0.444,0.556,0.04,0.23,0.28,0.26,0.15,0.154,0.846,0.923,0.538,1610612757,Trail Blazers,19,55,74,0.6351351351351351,0.5994152046783626,0.3713450292397661,0.5526315789473685,0.7105263157894737,0.3742690058479532,0.672514619883041,3.2807017543859653
107,1631207,Dalen Terry,1610612741,CHI,21.0,52,10.7,1.81,0.85,0.96,0.87,0.04,0.12,0.25,0.17,0.13,0.31,0.563,0.438,0.04,0.19,0.23,0.23,0.17,0.167,0.833,1.0,0.75,1610612741,Bulls,36,39,75,0.6933333333333334,0.8421052631578947,0.4502923976608187,0.8596491228070176,0.8508771929824561,0.5584795321637427,0.6491228070175439,4.2105263157894735
109,203081,Damian Lillard,1610612749,MIL,33.0,68,35.3,2.74,0.96,1.78,2.51,0.06,0.12,0.26,0.34,0.37,0.71,0.479,0.521,0.0,0.15,0.15,0.15,0.07,0.0,1.0,1.0,0.5,1610612749,Bucks,47,27,74,0.918918918918919,0.6783625730994152,0.023391812865497075,0.1783625730994152,0.7602339181286549,0.03216374269005848,0.49415204678362573,2.1666666666666665
110,1629655,Daniel Gafford,1610612742,DAL,25.0,67,24.7,8.84,7.28,1.55,1.58,0.07,3.91,8.67,0.28,0.36,0.64,0.442,0.558,0.63,1.7,2.33,2.21,1.13,0.269,0.731,0.961,0.494,1610612742,Mavericks,45,29,74,0.9054054054054054,0.7763157894736842,0.9736842105263158,0.4152046783625731,0.6228070175438597,0.9678362573099415,0.7953216374269005,4.5511695906432745
111,1628464,Daniel Theis,1610612746,LAC,31.0,55,16.6,5.27,3.62,1.65,1.11,0.0,2.05,4.76,0.15,0.16,0.31,0.471,0.529,0.53,0.95,1.47,1.44,0.82,0.358,0.642,0.975,0.556,1610612746,Clippers,47,27,74,0.7432432432432432,0.19883040935672514,0.8771929824561403,0.9210526315789473,0.695906432748538,0.9093567251461988,0.38011695906432746,3.9824561403508776
112,201568,Danilo Gallinari,1610612749,MIL,35.0,45,13.1,2.38,1.8,0.58,0.62,0.02,1.36,3.24,0.11,0.11,0.22,0.5,0.5,0.07,0.62,0.69,0.64,0.38,0.097,0.903,0.967,0.567,1610612749,Bucks,47,27,74,0.6081081081081081,0.6666666666666666,0.7543859649122807,0.0935672514619883,0.34210526315789475,0.8391812865497076,0.2543859649122807,2.9502923976608186
114,203957,Dante Exum,1610612742,DAL,28.0,48,19.3,2.21,1.35,0.85,0.98,0.06,0.69,1.6,0.23,0.23,0.46,0.5,0.5,0.0,0.13,0.13,0.13,0.02,0.0,1.0,1.0,0.167,1610612742,Mavericks,45,29,74,0.6486486486486487,0.8099415204678363,0.34502923976608185,0.08771929824561403,0.41228070175438597,0.1111111111111111,0.6228070175438597,2.388888888888889
