,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,AGE,G,MIN,CONTESTED_SHOTS,CONTESTED_SHOTS_2PT,CONTESTED_SHOTS_3PT,DEFLECTIONS,CHARGES_DRAWN,SCREEN_ASSISTS,SCREEN_AST_PTS,OFF_LOOSE_BALLS_RECOVERED,DEF_LOOSE_BALLS_RECOVERED,LOOSE_BALLS_RECOVERED,PCT_LOOSE_BALLS_RECOVERED_OFF,PCT_LOOSE_BALLS_RECOVERED_DEF,OFF_BOXOUTS,DEF_BOXOUTS,BOX_OUTS,BOX_OUT_PLAYER_TEAM_REBS,BOX_OUT_PLAYER_REBS,PCT_BOX_OUTS_OFF,PCT_BOX_OUTS_DEF,PCT_BOX_OUTS_TEAM_REB,PCT_BOX_OUTS_REB,TeamID,TeamName,WINS,LOSSES,TeamGP,G_PERCENT,CHARGES_DRAWN_pct_rank,CONTESTED_SHOTS_2PT_pct_rank,CONTESTED_SHOTS_3PT_pct_rank,DEFLECTIONS_pct_rank,DEF_BOXOUTS_pct_rank,DEF_LOOSE_BALLS_RECOVERED_pct_rank,sum
496,1628983,Shai Gilgeous-Alexander,1610612760,OKC,25.0,71,34.4,6.11,2.77,3.34,3.56,0.0,0.51,1.14,0.34,0.61,0.94,0.358,0.642,0.03,0.31,0.34,0.34,0.15,0.083,0.917,1.0,0.458,1610612760,Thunder,52,22,74,0.9594594594594594,0.19883040935672514,0.45614035087719296,0.9064327485380117,0.9619883040935673,0.2134502923976608,0.9210526315789473,3.657894736842105
497,1629003,Shake Milton,1610612752,NYK,27.0,47,12.4,1.6,0.77,0.83,0.51,0.04,0.09,0.23,0.17,0.11,0.28,0.615,0.385,0.0,0.13,0.13,0.13,0.02,0.0,1.0,1.0,0.167,1610612752,Knicks,44,30,74,0.6351351351351351,0.8157894736842105,0.260233918128655,0.49415204678362573,0.20175438596491227,0.2573099415204678,0.2953216374269006,2.324561403508772
500,1631323,Simone Fontecchio,1610612765,DET,28.0,66,24.9,3.91,2.62,1.29,1.12,0.02,0.32,0.68,0.27,0.27,0.55,0.5,0.5,0.08,0.45,0.53,0.52,0.23,0.143,0.857,0.971,0.429,1610612765,Pistons,13,61,74,0.8918918918918919,0.5190058479532164,0.6345029239766082,0.20175438596491227,0.27485380116959063,0.5672514619883041,0.5233918128654971,2.7207602339181287
502,203915,Spencer Dinwiddie,1610612747,LAL,30.0,69,28.9,3.97,2.23,1.74,1.12,0.0,0.29,0.68,0.16,0.14,0.3,0.524,0.476,0.01,0.26,0.28,0.28,0.09,0.053,0.947,1.0,0.316,1610612747,Lakers,42,33,75,0.92,0.19883040935672514,0.4298245614035088,0.3654970760233918,0.16666666666666666,0.21052631578947367,0.049707602339181284,1.4210526315789476
504,201939,Stephen Curry,1610612744,GSW,36.0,68,32.7,3.99,1.5,2.49,1.62,0.1,1.04,2.4,0.38,0.4,0.78,0.491,0.509,0.03,0.31,0.34,0.32,0.09,0.087,0.913,0.957,0.261,1610612744,Warriors,40,34,74,0.918918918918919,0.8055555555555556,0.1111111111111111,0.6871345029239766,0.39766081871345027,0.22514619883040934,0.6608187134502924,2.8874269005847957
506,204456,T.J. McConnell,1610612754,IND,32.0,64,18.0,1.27,0.64,0.63,1.89,0.11,0.02,0.03,0.22,0.53,0.75,0.292,0.708,0.0,0.11,0.11,0.11,0.03,0.0,1.0,1.0,0.286,1610612754,Pacers,42,33,75,0.8533333333333334,0.935672514619883,0.049707602339181284,0.029239766081871343,0.9678362573099415,0.09064327485380116,1.0,3.073099415204678
509,1629659,Talen Horton-Tucker,1610612762,UTA,23.0,46,19.1,2.63,1.13,1.5,1.67,0.0,0.15,0.3,0.24,0.24,0.48,0.5,0.5,0.07,0.13,0.2,0.17,0.07,0.333,0.667,0.889,0.333,1610612762,Jazz,29,46,75,0.6133333333333333,0.19883040935672514,0.2309941520467836,0.7222222222222222,0.9064327485380117,0.11695906432748537,0.6871345029239766,2.8625730994152043
511,1627752,Taurean Prince,1610612747,LAL,30.0,71,27.6,3.93,2.24,1.69,1.63,0.14,0.25,0.59,0.11,0.45,0.56,0.2,0.8,0.06,0.61,0.66,0.59,0.27,0.085,0.915,0.913,0.413,1610612747,Lakers,42,33,75,0.9466666666666667,0.9093567251461988,0.4649122807017544,0.3888888888888889,0.5584795321637427,0.652046783625731,0.8801169590643275,3.853801169590643
514,1629611,Terance Mann,1610612746,LAC,27.0,67,25.3,2.58,1.66,0.93,0.96,0.01,0.7,1.63,0.16,0.18,0.34,0.478,0.522,0.07,0.3,0.37,0.37,0.16,0.2,0.8,1.0,0.44,1610612746,Clippers,47,27,74,0.9054054054054054,0.43859649122807015,0.29239766081871343,0.04093567251461988,0.14327485380116958,0.31871345029239767,0.14619883040935672,1.3801169590643274
516,1626179,Terry Rozier,1610612748,MIA,30.0,57,33.8,3.81,1.32,2.49,1.51,0.05,0.33,0.72,0.42,0.47,0.89,0.471,0.529,0.0,0.23,0.23,0.23,0.07,0.0,1.0,1.0,0.308,1610612748,Heat,41,33,74,0.7702702702702703,0.6549707602339181,0.07309941520467836,0.6286549707602339,0.2719298245614035,0.11403508771929824,0.7660818713450293,2.508771929824561
521,1628418,Thomas Bryant,1610612748,MIA,26.0,37,11.3,3.08,2.7,0.38,0.38,0.0,1.3,3.08,0.08,0.03,0.11,0.75,0.25,0.14,0.92,1.05,1.0,0.76,0.128,0.872,0.974,0.737,1610612748,Heat,41,33,74,0.5,0.19883040935672514,0.9210526315789473,0.014619883040935672,0.10526315789473684,0.9941520467836257,0.014619883040935672,2.248538011695906
522,203501,Tim Hardaway Jr.,1610612742,DAL,32.0,71,27.5,3.41,1.58,1.83,0.9,0.3,0.68,1.51,0.24,0.28,0.52,0.459,0.541,0.03,0.28,0.31,0.31,0.15,0.091,0.909,1.0,0.5,1610612742,Mavericks,45,29,74,0.9594594594594594,0.9649122807017544,0.21637426900584794,0.49122807017543857,0.08771929824561403,0.24853801169590642,0.4590643274853801,2.467836257309942
523,202699,Tobias Harris,1610612755,PHI,31.0,66,33.9,4.5,2.27,2.23,1.58,0.0,0.52,1.15,0.38,0.36,0.74,0.51,0.49,0.2,1.2,1.39,1.3,0.59,0.141,0.859,0.977,0.443,1610612755,76ers,40,35,75,0.88,0.19883040935672514,0.30701754385964913,0.4824561403508772,0.3216374269005848,0.7748538011695907,0.5029239766081871,2.587719298245614
524,1628470,Torrey Craig,1610612741,CHI,33.0,46,20.3,4.11,1.93,2.17,1.3,0.02,0.41,0.89,0.24,0.37,0.61,0.393,0.607,0.04,0.33,0.37,0.37,0.24,0.118,0.882,1.0,0.647,1610612741,Bulls,36,39,75,0.6133333333333333,0.5555555555555556,0.5789473684210527,0.9678362573099415,0.6257309941520468,0.5029239766081871,0.935672514619883,4.166666666666667
526,1641739,Toumani Camara,1610612757,POR,23.0,70,24.8,4.37,2.7,1.67,2.01,0.19,0.54,1.29,0.33,0.3,0.63,0.523,0.477,0.33,0.63,0.96,0.89,0.44,0.343,0.657,0.925,0.463,1610612757,Trail Blazers,19,55,74,0.9459459459459459,0.9444444444444444,0.652046783625731,0.5087719298245614,0.8450292397660819,0.7017543859649122,0.6388888888888888,4.29093567251462
527,1629027,Trae Young,1610612737,ATL,25.0,51,36.5,2.49,0.69,1.8,2.43,0.22,0.2,0.47,0.33,0.35,0.69,0.486,0.514,0.0,0.04,0.04,0.04,0.02,0.0,1.0,1.0,0.5,1610612737,Hawks,34,40,74,0.6891891891891891,0.9327485380116959,0.008771929824561403,0.16666666666666666,0.6900584795321637,0.0029239766081871343,0.3713450292397661,2.172514619883041
528,1631218,Trayce Jackson-Davis,1610612744,GSW,24.0,60,15.7,5.73,4.3,1.43,0.65,0.0,2.53,5.78,0.13,0.17,0.3,0.444,0.556,0.3,0.9,1.2,1.1,0.62,0.25,0.75,0.93,0.521,1610612744,Warriors,40,34,74,0.8108108108108109,0.19883040935672514,0.9532163742690059,0.8801169590643275,0.21637426900584794,0.9152046783625731,0.5175438596491229,3.6812865497076026
529,1630200,Tre Jones,1610612759,SAS,24.0,70,27.2,2.59,1.6,0.99,2.1,0.11,0.34,0.9,0.31,0.46,0.77,0.407,0.593,0.0,0.11,0.11,0.11,0.04,0.0,1.0,1.0,0.375,1610612759,Spurs,18,57,75,0.9333333333333333,0.8742690058479532,0.22514619883040934,0.03508771929824561,0.8216374269005848,0.02631578947368421,0.9005847953216374,2.8830409356725144
531,1630570,Trendon Watford,1610612751,BKN,23.0,56,12.0,2.13,0.95,1.18,0.68,0.0,0.36,0.79,0.21,0.34,0.55,0.387,0.613,0.02,0.2,0.21,0.2,0.07,0.083,0.917,0.917,0.333,1610612751,Nets,29,46,75,0.7466666666666667,0.19883040935672514,0.4444444444444444,0.9181286549707602,0.5058479532163743,0.5175438596491229,0.9970760233918129,3.58187134502924
535,1626168,Trey Lyles,1610612758,SAC,28.0,50,19.7,3.6,2.02,1.58,0.76,0.14,0.56,1.28,0.16,0.22,0.38,0.421,0.579,0.12,0.9,1.02,0.98,0.52,0.118,0.882,0.961,0.51,1610612758,Kings,43,31,74,0.6756756756756757,0.9415204678362573,0.6228070175438597,0.7397660818713451,0.15497076023391812,0.8245614035087719,0.5511695906432749,3.834795321637427
536,1630530,Trey Murphy III,1610612740,NOP,23.0,49,28.4,4.14,2.06,2.08,1.61,0.02,0.31,0.69,0.2,0.33,0.53,0.385,0.615,0.0,0.39,0.39,0.39,0.16,0.0,1.0,1.0,0.421,1610612740,Pelicans,45,29,74,0.6621621621621622,0.49415204678362573,0.3742690058479532,0.6169590643274854,0.5087719298245614,0.39766081871345027,0.6023391812865497,2.9941520467836256
537,202684,Tristan Thompson,1610612739,CLE,33.0,45,11.8,3.47,2.31,1.16,0.62,0.0,1.93,4.51,0.18,0.13,0.31,0.571,0.429,0.78,0.87,1.64,1.58,0.96,0.473,0.527,0.986,0.597,1610612739,Cavaliers,45,30,75,0.6,0.19883040935672514,0.8391812865497076,0.9152046783625731,0.43567251461988304,0.9824561403508771,0.5350877192982456,3.9064327485380117
539,1628972,Troy Brown Jr.,1610612765,DET,24.0,51,12.4,1.9,1.08,0.82,0.65,0.0,0.06,0.16,0.12,0.16,0.27,0.429,0.571,0.02,0.1,0.12,0.12,0.08,0.167,0.833,1.0,0.667,1610612765,Pistons,13,61,74,0.6891891891891891,0.19883040935672514,0.5058479532163743,0.48830409356725146,0.4327485380116959,0.1652046783625731,0.7119883040935673,2.502923976608187
543,1630169,Tyrese Haliburton,1610612754,IND,24.0,62,32.2,3.37,1.58,1.79,2.24,0.0,0.27,0.58,0.31,0.47,0.77,0.396,0.604,0.0,0.15,0.15,0.15,0.1,0.0,1.0,1.0,0.667,1610612754,Pacers,42,33,75,0.8266666666666667,0.19883040935672514,0.14035087719298245,0.26608187134502925,0.7309941520467836,0.049707602339181284,0.7982456140350878,2.1842105263157894
544,1630178,Tyrese Maxey,1610612755,PHI,23.0,65,37.5,3.18,1.52,1.66,1.62,0.05,0.18,0.4,0.29,0.68,0.97,0.302,0.698,0.0,0.57,0.57,0.54,0.12,0.0,1.0,0.972,0.222,1610612755,76ers,40,35,75,0.8666666666666667,0.6286549707602339,0.08187134502923976,0.09064327485380116,0.24269005847953215,0.4444444444444444,0.9327485380116959,2.4210526315789473
545,1626145,Tyus Jones,1610612764,WAS,27.0,66,29.3,1.77,0.65,1.12,1.92,0.0,0.29,0.64,0.18,0.35,0.53,0.343,0.657,0.0,0.11,0.11,0.09,0.06,0.0,1.0,0.857,0.571,1610612764,Wizards,14,61,75,0.88,0.19883040935672514,0.014619883040935672,0.05263157894736842,0.6754385964912281,0.023391812865497075,0.6257309941520468,1.590643274853801
548,203995,Vasilije Micic,1610612766,CHA,30.0,53,18.8,0.83,0.26,0.57,1.13,0.04,0.3,0.64,0.15,0.26,0.42,0.364,0.636,0.0,0.09,0.09,0.09,0.0,0.0,1.0,1.0,0.0,1610612766,Hornets,18,56,74,0.7162162162162162,0.7426900584795322,0.0029239766081871343,0.005847953216374269,0.5701754385964912,0.05555555555555555,0.7631578947368421,2.1403508771929824
549,1641705,Victor Wembanyama,1610612759,SAS,20.0,66,29.2,8.77,6.85,1.92,2.89,0.14,1.91,4.24,0.24,0.3,0.55,0.444,0.556,0.27,0.58,0.85,0.82,0.5,0.321,0.679,1.0,0.611,1610612759,Spurs,18,57,75,0.88,0.9005847953216374,0.9005847953216374,0.47953216374269003,0.9444444444444444,0.6169590643274854,0.47076023391812866,4.312865497076023
550,1631246,Vince Williams Jr.,1610612763,MEM,23.0,52,27.6,3.31,1.85,1.46,2.33,0.08,0.17,0.4,0.37,0.31,0.67,0.543,0.457,0.08,0.38,0.46,0.44,0.17,0.167,0.833,0.958,0.375,1610612763,Grizzlies,24,50,74,0.7027027027027027,0.7850877192982456,0.30994152046783624,0.21637426900584794,0.8742690058479532,0.40058479532163743,0.5614035087719298,3.14766081871345
552,1631117,Walker Kessler,1610612762,UTA,22.0,63,23.6,10.56,8.7,1.86,0.76,0.02,2.32,5.44,0.19,0.06,0.25,0.75,0.25,0.54,1.11,1.65,1.6,1.05,0.327,0.673,0.981,0.641,1610612762,Jazz,29,46,75,0.84,0.5292397660818714,0.9970760233918129,0.7251461988304093,0.07602339181286549,0.8362573099415205,0.011695906432748537,3.175438596491228
553,1628976,Wendell Carter Jr.,1610612753,ORL,24.0,47,25.9,6.87,5.3,1.57,1.0,0.02,2.66,5.81,0.13,0.34,0.47,0.273,0.727,0.77,1.77,2.53,2.45,1.32,0.303,0.697,0.983,0.53,1610612753,Magic,43,31,74,0.6351351351351351,0.5087719298245614,0.8567251461988304,0.3742690058479532,0.16374269005847952,0.9649122807017544,0.7339181286549707,3.60233918128655
558,1630214,Xavier Tillman,1610612738,BOS,25.0,47,18.9,6.15,4.57,1.57,1.64,0.0,1.43,3.36,0.49,0.34,0.83,0.59,0.41,0.19,0.7,0.89,0.89,0.47,0.214,0.786,1.0,0.524,1610612738,Celtics,58,16,74,0.6351351351351351,0.19883040935672514,0.9298245614035088,0.7982456140350878,0.9005847953216374,0.783625730994152,0.9269005847953217,4.538011695906433
560,1628380,Zach Collins,1610612759,SAS,26.0,62,22.3,8.89,7.18,1.71,1.03,0.03,2.97,6.5,0.18,0.18,0.35,0.5,0.5,0.42,1.37,1.79,1.73,0.92,0.234,0.766,0.973,0.518,1610612759,Spurs,18,57,75,0.8266666666666667,0.6345029239766082,0.9912280701754386,0.6988304093567251,0.30994152046783624,0.9415204678362573,0.21929824561403508,3.7953216374269005
563,1630192,Zeke Nnaji,1610612743,DEN,23.0,53,9.8,3.7,2.64,1.06,0.6,0.0,1.34,3.15,0.06,0.08,0.13,0.429,0.571,0.21,0.43,0.64,0.62,0.32,0.324,0.676,1.0,0.515,1610612743,Nuggets,52,23,75,0.7066666666666667,0.19883040935672514,0.9502923976608187,0.9736842105263158,0.5877192982456141,0.8187134502923976,0.22807017543859648,3.7573099415204676
564,1630533,Ziaire Williams,1610612763,MEM,22.0,51,20.3,3.53,1.82,1.71,1.55,0.08,0.18,0.43,0.22,0.2,0.41,0.524,0.476,0.0,0.35,0.35,0.35,0.2,0.0,1.0,1.0,0.556,1610612763,Grizzlies,24,50,74,0.6891891891891891,0.8640350877192983,0.5233918128654971,0.8070175438596491,0.8099415204678363,0.5497076023391813,0.4239766081871345,3.9780701754385963
565,1629627,Zion Williamson,1610612740,NOP,23.0,63,31.2,4.06,1.71,2.35,1.81,0.02,0.92,2.06,0.65,0.3,0.95,0.683,0.317,0.14,0.49,0.63,0.6,0.44,0.225,0.775,0.974,0.718,1610612740,Pelicans,45,29,74,0.8513513513513513,0.48830409356725146,0.18421052631578946,0.672514619883041,0.5350877192982456,0.4590643274853801,0.3742690058479532,2.713450292397661
