player,pts_per_game,trb_per_game,ast_per_game,stl_per_game,blk_per_game,pts_as_percent_of_other_stats
Aaron Gordon,13.9,6.5,3.5,0.8,0.6,0.549407114624506
Aaron Holiday,6.6,1.6,1.8,0.5,0.1,0.6226415094339622
Aaron Nesmith,12.2,3.8,1.5,0.9,0.7,0.6387434554973822
Aaron Wiggins,6.9,2.4,1.1,0.7,0.2,0.6106194690265487
Al Horford,8.6,6.4,2.6,0.6,1,0.4479166666666666
Alec Burks,10.4,2.3,1.3,0.4,0.2,0.7123287671232877
Alex Caruso,10.1,3.8,3.5,1.7,1,0.5024875621890548
Alperen Sengun,21.1,9.3,5,1.2,0.7,0.5656836461126004
Amen Thompson,9.5,6.6,2.6,1.3,0.6,0.4611650485436892
Amir Coffey,6.6,2.1,1.1,0.6,0.2,0.6226415094339623
Andre Drummond,8.4,9,0.5,0.9,0.6,0.43298969072164956
Andrew Nembhard,9.2,2.1,4.1,0.9,0.1,0.5609756097560976
Andrew Wiggins,13.2,4.5,1.7,0.6,0.6,0.6407766990291262
Anthony Black,4.6,2,1.3,0.5,0.3,0.5287356321839081
Anthony Davis,24.7,12.6,3.5,1.2,2.3,0.5575620767494357
Anthony Edwards,25.9,5.4,5.1,1.3,0.5,0.6780104712041886
Ausar Thompson,8.8,6.4,1.9,1.1,0.9,0.4607329842931937
Austin Reaves,15.9,4.3,5.5,0.8,0.3,0.5932835820895522
Ayo Dosunmu,12.2,2.8,3.2,0.9,0.5,0.6224489795918368
Bam Adebayo,19.3,10.4,3.9,1.1,0.9,0.5421348314606742
Bennedict Mathurin,14.5,4,2,0.6,0.2,0.6807511737089201
Bilal Coulibaly,8.4,4.1,1.7,0.9,0.8,0.5283018867924528
Blake Wesley,4.4,1.5,2.7,0.5,0.1,0.47826086956521735
Bobby Portis,13.8,7.4,1.3,0.8,0.4,0.5822784810126582
Bogdan Bogdanović,16.9,3.4,3.1,1.2,0.3,0.678714859437751
Brandin Podziemski,9.2,5.8,3.7,0.8,0.2,0.46700507614213194
Brandon Ingram,20.8,5.1,5.7,0.8,0.6,0.6303030303030304
Brandon Miller,17.3,4.3,2.4,0.9,0.6,0.6784313725490196
Brook Lopez,12.5,5.2,1.6,0.5,2.4,0.5630630630630631
Bruce Brown,10.8,4.2,2.9,0.9,0.3,0.5654450261780106
Bryce McGowens,5.1,1.7,0.9,0.4,0.2,0.6144578313253013
Buddy Hield,12.1,3.2,2.8,0.8,0.5,0.6237113402061855
CJ McCollum,20,4.3,4.6,0.9,0.6,0.6578947368421053
Cade Cunningham,22.7,4.3,7.5,0.9,0.4,0.6340782122905029
Caleb Houstan,4.3,1.4,0.5,0.3,0.1,0.6515151515151516
Caleb Martin,10,4.4,2.2,0.7,0.5,0.5617977528089887
Cam Thomas,22.5,3.2,2.9,0.7,0.2,0.7627118644067797
Cameron Johnson,13.4,4.3,2.4,0.8,0.3,0.6320754716981133
Cameron Payne,7.4,1.5,2.6,0.5,0.1,0.6115702479338844
Caris LeVert,14,4.1,5.1,1.1,0.5,0.564516129032258
Cason Wallace,6.8,2.3,1.5,0.9,0.5,0.5666666666666667
Cedi Osman,6.8,2.5,1.7,0.5,0.2,0.5811965811965812
Chet Holmgren,16.5,7.9,2.4,0.6,2.3,0.5555555555555556
Chris Duarte,3.9,1.8,0.7,0.5,0.1,0.5571428571428572
Chris Paul,9.2,3.9,6.8,1.2,0.1,0.43396226415094336
Christian Braun,7.3,3.7,1.6,0.5,0.4,0.5407407407407407
