player,pos,age,experience,ts_percent,usg_percent,vorp,ts_rank,usg_rank,vorp_rank,empty_stats
A.J. Green,SG,24,2,0.615,15.3,0,0.15789473684210525,0.3157894736842105,0.6052631578947368,1.0789473684210527
Aaron Gordon,PF,28,10,0.585,17.5,0.9,0.48333333333333334,0.45,0.23333333333333334,1.1666666666666667
Aaron Holiday,PG,27,6,0.581,16,0,0.3559322033898305,0.288135593220339,0.7457627118644068,1.3898305084745763
Aaron Nesmith,SF,24,4,0.658,16,0.8,0.013157894736842105,0.47368421052631576,0.09210526315789473,0.5789473684210525
Aaron Wiggins,SG,25,3,0.702,14.8,0.4,0,0.27631578947368424,0.3815789473684211,0.6578947368421053
Al Horford,C,37,17,0.629,11.1,1.5,0.5,0.078125,0.125,0.703125
Alec Burks,SG,32,13,0.578,23.4,0.3,0.39473684210526316,0.7105263157894737,0.4605263157894737,1.5657894736842104
Alex Caruso,SG,29,7,0.633,15.4,1.2,0.10526315789473684,0.32894736842105265,0.09210526315789473,0.5263157894736842
Alperen Şengün,C,21,3,0.592,27.6,2.7,0.734375,0.9375,0.0625,1.734375
Amen Thompson,SF,21,1,0.537,18.9,0.3,0.7631578947368421,0.6842105263157895,0.27631578947368424,1.723684210526316
Amir Coffey,SF,26,5,0.692,11.3,0,0,0.06578947368421052,0.5131578947368421,0.5789473684210527
Andre Drummond,C,30,12,0.57,21.9,0.5,0.75,0.765625,0.515625,2.03125
Andre Jackson Jr.,SG,22,1,0.659,9.5,-0.1,0.02631578947368421,0,0.6842105263157895,0.7105263157894737
Andrew Nembhard,PG,24,2,0.556,19.5,-0.2,0.559322033898305,0.576271186440678,0.847457627118644,1.9830508474576272
Andrew Wiggins,SF,28,10,0.521,20.8,-0.7,0.8157894736842105,0.8026315789473685,0.9868421052631579,2.6052631578947367
Anfernee Simons,SG,24,6,0.575,28.3,0.5,0.4342105263157895,0.9342105263157895,0.27631578947368424,1.6447368421052633
Anthony Black,PG,20,1,0.59,11.9,-0.1,0.23728813559322035,0.03389830508474576,0.8135593220338984,1.0847457627118644
Anthony Davis,C,30,12,0.617,26.7,2.9,0.59375,0.921875,0.046875,1.5625
Anthony Edwards,SG,22,4,0.585,31.8,2,0.32894736842105265,0.9868421052631579,0.039473684210526314,1.355263157894737
Anthony Gill,PF,31,4,0.575,17.6,-0.1,0.6,0.48333333333333334,0.7333333333333333,1.8166666666666664
Ausar Thompson,SF,21,1,0.513,16.8,-0.2,0.881578947368421,0.5263157894736842,0.75,2.1578947368421053
Austin Reaves,SG,25,3,0.611,20.5,0.7,0.17105263157894737,0.618421052631579,0.19736842105263158,0.986842105263158
Ayo Dosunmu,SG,24,3,0.596,16.1,0.1,0.27631578947368424,0.35526315789473684,0.5394736842105263,1.1710526315789473
Bam Adebayo,C,26,7,0.565,26.2,1.2,0.796875,0.90625,0.203125,1.90625
Ben Sheppard,SG,22,1,0.474,13,-0.2,1,0.09210526315789473,0.7763157894736842,1.8684210526315788
Bennedict Mathurin,SF,21,2,0.566,23.1,-0.5,0.5921052631578947,0.8552631578947368,0.9473684210526315,2.394736842105263
Bilal Coulibaly,SF,19,1,0.567,13.9,-0.5,0.5657894736842105,0.3026315789473684,0.9473684210526315,1.8157894736842106
Bismack Biyombo,C,31,13,0.56,10.6,-0.2,0.84375,0.03125,0.921875,1.796875
Blake Wesley,SG,20,2,0.522,14.7,-0.2,0.8947368421052632,0.2631578947368421,0.7763157894736842,1.9342105263157894
Bobby Portis,PF,28,9,0.578,21,0,0.5666666666666667,0.7166666666666667,0.6166666666666667,1.9
Bogdan Bogdanović,SG,31,7,0.571,23.3,0.8,0.5131578947368421,0.6973684210526315,0.17105263157894737,1.381578947368421
Bojan Bogdanović,PF,34,10,0.596,24.6,-0.1,0.4,0.7833333333333333,0.7333333333333333,1.9166666666666665
Bradley Beal,SG,30,12,0.567,23,-0.2,0.5657894736842105,0.6578947368421053,0.7763157894736842,2
Brandin Podziemski,SG,20,1,0.549,16.4,0.3,0.6973684210526315,0.3684210526315789,0.4605263157894737,1.526315789473684
Brandon Ingram,SF,26,8,0.576,27.4,1.1,0.4342105263157895,0.9868421052631579,0.039473684210526314,1.4605263157894737
Brandon Miller,SF,21,1,0.54,22,-0.7,0.75,0.8289473684210527,0.9868421052631579,2.5657894736842106
Brook Lopez,C,35,16,0.604,15.8,1.3,0.640625,0.40625,0.171875,1.21875
Bruce Brown,SG,27,6,0.57,16.6,-0.1,0.5394736842105263,0.39473684210526316,0.6842105263157895,1.618421052631579
Bryce McGowens,SG,21,2,0.564,13.5,-0.6,0.6052631578947368,0.18421052631578946,0.9736842105263158,1.763157894736842
Buddy Hield,SF,31,8,0.589,18.7,0.7,0.3026315789473684,0.631578947368421,0.13157894736842105,1.0657894736842104
CJ McCollum,PG,32,11,0.603,23.6,1.7,0.1694915254237288,0.7288135593220338,0.1694915254237288,1.0677966101694913
Cade Cunningham,PG,22,3,0.544,30.2,0.1,0.6271186440677966,0.8983050847457628,0.6779661016949152,2.2033898305084745
Caleb Houstan,SF,21,2,0.57,13.1,-0.1,0.5,0.15789473684210525,0.6578947368421053,1.3157894736842106
Caleb Martin,SF,28,5,0.542,18.2,-0.1,0.7368421052631579,0.6052631578947368,0.6578947368421053,2
Cam Reddish,SF,24,5,0.519,13.5,-0.2,0.8289473684210527,0.2631578947368421,0.75,1.8421052631578947
Cam Thomas,SG,22,3,0.552,30.9,0,0.6710526315789473,0.9736842105263158,0.6052631578947368,2.25
