seas_id,season,player_id,player,pos,tm,g,mp,pg_percent,sg_percent,sf_percent,pf_percent,c_percent,position,value,ht_ft,ht_in,wt,full_in_ht,position_2
30060,2022,4336,Josh Richardson,SG,BOS,44,1087,1,82,16,0,0,wing_small_percent,98,6,5,200,77,wing
30061,2022,4336,Josh Richardson,SG,SAS,21,513,6,66,27,2,0,wing_small_percent,93,6,5,200,77,wing
30062,2022,4971,Joshua Primo,SG,SAS,50,965,2,42,51,5,0,wing_small_percent,93,6,6,190,78,wing
30063,2022,3891,Jrue Holiday,PG,MIL,67,2207,94,6,0,0,0,guard_percent,100,6,3,205,75,guard
30064,2022,4972,JT Thor,PF,CHO,33,262,0,2,16,47,35,big_percent,82,6,10,205,82,big
30066,2022,4419,Juan Hernangómez,PF,BOS,18,96,0,0,12,84,5,wing_big_percent,96,NA,NA,NA,NA,wing
30067,2022,4419,Juan Hernangómez,PF,SAS,5,51,0,0,0,64,37,big_percent,101,NA,NA,NA,NA,big
30068,2022,4419,Juan Hernangómez,PF,UTA,17,298,0,0,6,77,17,big_percent,94,NA,NA,NA,NA,big
30069,2022,4739,Juan Toscano-Anderson,SF,GSW,73,994,0,6,60,33,2,wing_big_percent,93,6,6,209,78,wing
30070,2022,4266,Julius Randle,PF,NYK,72,2544,0,0,1,92,7,big_percent,99,6,8,250,80,big
30072,2022,4337,Justin Anderson,SF,CLE,3,47,0,6,75,19,0,wing_big_percent,94,NA,NA,NA,NA,wing
30073,2022,4337,Justin Anderson,SF,IND,13,269,0,0,13,69,18,big_percent,87,NA,NA,NA,NA,big
30074,2022,4973,Justin Champagnie,SF,TOR,36,281,18,60,22,0,0,wing_small_percent,82,6,6,200,78,wing
