seas_id,season,player_id,player,pos,tm,g,mp,pg_percent,sg_percent,sf_percent,pf_percent,c_percent,position,value,ht_ft,ht_in,wt,full_in_ht,position_2
29881,2022,3932,Ed Davis,C,CLE,31,201,0,0,0,7,93,big_percent,100,6,9,218,81,big
29882,2022,4240,Elfrid Payton,PG,PHO,50,549,52,46,3,0,0,guard_percent,98,6,3,195,75,guard
29884,2022,4831,Elijah Hughes,SF,UTA,14,112,0,32,57,11,0,wing_small_percent,89,6,5,215,77,wing
29885,2022,4831,Elijah Hughes,SG,POR,22,322,1,35,59,6,0,wing_small_percent,94,6,5,215,77,wing
29886,2022,4615,Emanuel Terry,PF,PHO,3,18,0,0,0,8,93,big_percent,101,NA,NA,NA,NA,big
29887,2022,4324,Emmanuel Mudiay,PG,SAC,2,11,100,0,0,0,0,guard_percent,100,NA,NA,NA,NA,guard
29888,2022,4006,Enes Kanter,C,BOS,35,411,0,0,0,0,100,big_percent,100,NA,NA,NA,NA,big
29889,2022,3934,Eric Bledsoe,PG,LAC,54,1361,100,0,0,0,0,guard_percent,100,6,1,214,73,guard
29890,2022,3815,Eric Gordon,SG,HOU,57,1669,15,46,38,0,0,wing_small_percent,84,6,3,215,75,wing
29891,2022,4716,Eric Paschall,PF,UTA,58,736,0,0,7,78,15,big_percent,93,6,6,255,78,big
29892,2022,4930,Eugene Omoruyi,SF,DAL,4,18,0,0,0,100,0,wing_big_percent,100,NA,NA,NA,NA,wing
29892,2022,4930,Eugene Omoruyi,SF,DAL,4,18,0,0,0,100,0,big_percent,100,NA,NA,NA,NA,big
29893,2022,4086,Evan Fournier,SG,NYK,80,2358,0,72,28,0,0,wing_small_percent,100,6,7,205,79,wing
29894,2022,4931,Evan Mobley,PF,CLE,69,2331,0,0,27,42,31,big_percent,73,7,0,215,84,big
29895,2022,4832,Facundo Campazzo,PG,DEN,65,1184,100,0,0,0,0,guard_percent,100,5,10,195,70,guard
29896,2022,4932,Feron Hunt,SF,NYK,2,8,0,0,90,10,0,wing_big_percent,100,6,8,195,80,wing
29897,2022,4616,Frank Jackson,PG,DET,53,1164,45,54,1,0,0,guard_percent,99,6,3,205,75,guard
29898,2022,4325,Frank Kaminsky,C,PHO,9,181,0,0,0,0,100,big_percent,100,NA,NA,NA,NA,big
29899,2022,4500,Frank Ntilikina,PG,DAL,58,685,21,76,3,0,0,guard_percent,97,6,4,200,76,guard
29900,2022,4933,Franz Wagner,SF,ORL,79,2429,0,1,74,25,0,wing_big_percent,99,6,9,225,81,wing
29901,2022,4403,Fred VanVleet,PG,TOR,65,2462,97,3,0,0,0,guard_percent,100,6,1,197,73,guard
29902,2022,4833,Freddie Gillespie,PF,ORL,9,119,0,0,0,28,72,big_percent,100,NA,NA,NA,NA,big
29903,2022,4501,Furkan Korkmaz,SG,PHI,67,1414,1,26,67,6,0,wing_small_percent,93,6,7,202,79,wing
29904,2022,4717,Gabe Vincent,PG,MIA,68,1589,69,31,0,0,0,guard_percent,100,6,3,200,75,guard
29905,2022,4934,Gabe York,SG,IND,2,21,0,53,47,0,0,wing_small_percent,100,6,3,185,75,wing
29906,2022,4834,Gabriel Deck,PF,OKC,7,56,0,0,14,72,14,wing_big_percent,86,6,8,232,80,wing
29906,2022,4834,Gabriel Deck,PF,OKC,7,56,0,0,14,72,14,big_percent,86,6,8,232,80,big
29907,2022,4935,Gabriel Lundberg,SG,PHO,4,44,0,70,30,0,0,wing_small_percent,100,6,4,203,76,wing
29908,2022,3877,Garrett Temple,SG,NOP,59,1098,17,81,3,0,0,guard_percent,98,6,5,195,77,guard
29909,2022,4718,Garrison Mathews,SG,HOU,65,1712,0,13,84,2,0,wing_small_percent,97,6,5,215,77,wing
29910,2022,4617,Gary Clark,PF,NOP,38,378,0,0,30,67,3,wing_big_percent,97,6,6,225,78,wing
29911,2022,4245,Gary Harris,SG,ORL,61,1730,3,82,15,0,0,wing_small_percent,97,6,4,210,76,wing
29912,2022,4404,Gary Payton II,PG,GSW,71,1247,46,54,0,0,0,guard_percent,100,6,3,190,75,guard
29913,2022,4618,Gary Trent Jr.,SG,TOR,70,2448,21,78,1,0,0,guard_percent,99,6,5,209,77,guard
29914,2022,3816,George Hill,SG,MIL,54,1253,59,40,1,0,0,guard_percent,99,6,4,188,76,guard
29915,2022,4619,George King,SF,DAL,4,19,0,0,26,74,0,wing_big_percent,100,NA,NA,NA,NA,wing
29916,2022,4405,Georges Niang,PF,PHI,76,1736,0,0,35,63,2,wing_big_percent,98,6,7,230,79,wing
29918,2022,4936,Georgios Kalaitzakis,SF,MIL,9,48,0,15,68,15,2,wing_small_percent,83,6,8,192,80,wing
29918,2022,4936,Georgios Kalaitzakis,SF,MIL,9,48,0,15,68,15,2,wing_big_percent,83,6,8,192,80,wing
29919,2022,4936,Georgios Kalaitzakis,SF,OKC,4,166,0,16,38,46,0,wing_big_percent,84,6,8,192,80,wing
29920,2022,4164,Giannis Antetokounmpo,PF,MIL,67,2204,0,0,0,61,39,big_percent,100,6,11,242,83,big
29921,2022,4719,Goga Bitadze,C,IND,50,729,0,0,0,0,100,big_percent,100,6,11,250,83,big
29923,2022,3817,Goran Dragić,PG,TOR,5,90,61,39,0,0,0,guard_percent,100,6,3,190,75,guard
29924,2022,3817,Goran Dragić,PG,BRK,16,408,35,51,14,0,0,guard_percent,86,6,3,190,75,guard
29925,2022,3941,Gordon Hayward,SF,CHO,49,1564,0,3,78,18,0,wing_big_percent,96,6,7,225,79,wing
29926,2022,4167,Gorgui Dieng,C,ATL,44,371,0,0,0,0,100,big_percent,100,6,10,252,82,big
29927,2022,4720,Grant Williams,PF,BOS,77,1875,0,0,3,94,3,wing_big_percent,97,6,6,236,78,wing
29927,2022,4720,Grant Williams,PF,BOS,77,1875,0,0,3,94,3,big_percent,97,6,6,236,78,big
29928,2022,4620,Grayson Allen,SG,MIL,66,1805,6,84,11,0,0,wing_small_percent,95,6,4,198,76,wing
29929,2022,4937,Greg Brown III,SF,POR,48,640,0,0,0,91,9,big_percent,100,6,9,205,81,big
29931,2022,3942,Greg Monroe,C,MIN,4,81,0,0,0,0,100,big_percent,100,6,11,265,83,big
29932,2022,3942,Greg Monroe,C,WAS,2,18,0,0,0,0,100,big_percent,100,6,11,265,83,big
29933,2022,3942,Greg Monroe,C,MIL,5,70,0,0,0,0,100,big_percent,100,6,11,265,83,big
29934,2022,3942,Greg Monroe,C,UTA,3,26,0,0,0,0,100,big_percent,100,6,11,265,83,big
29935,2022,4621,Hamidou Diallo,SG,DET,58,1269,0,17,79,4,0,wing_small_percent,96,6,5,202,77,wing
29936,2022,4089,Harrison Barnes,PF,SAC,77,2587,0,0,50,50,1,wing_big_percent,100,6,8,225,80,wing
29937,2022,3945,Hassan Whiteside,C,UTA,65,1162,0,0,0,0,100,big_percent,100,7,0,265,84,big
29938,2022,4938,Hassani Gravett,PG,ORL,8,171,87,13,0,0,0,guard_percent,100,NA,NA,NA,NA,guard
29939,2022,4623,Haywood Highsmith,SF,MIA,19,163,0,0,21,78,1,wing_big_percent,99,6,7,220,79,wing
29940,2022,4939,Herbert Jones,PF,NOP,78,2335,0,0,23,75,2,wing_big_percent,98,6,8,210,80,wing
29941,2022,4721,Ignas Brazdeikis,SF,ORL,42,536,2,24,61,13,0,wing_small_percent,85,6,6,221,78,wing
29942,2022,4837,Immanuel Quickley,PG,NYK,78,1802,59,41,0,0,0,guard_percent,100,6,3,190,75,guard
29943,2022,4624,Isaac Bonga,SF,TOR,15,69,3,51,43,4,0,wing_small_percent,94,6,8,180,80,wing
29944,2022,4838,Isaac Okoro,SF,CLE,67,1981,1,68,31,1,0,wing_small_percent,99,6,5,225,77,wing
29945,2022,4627,Isaiah Hartenstein,C,LAC,68,1216,0,0,0,0,100,big_percent,100,7,0,250,84,big
29946,2022,4940,Isaiah Jackson,PF,IND,36,541,0,0,0,24,76,big_percent,100,6,10,206,82,big
