,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,AGE,G,MIN,CONTESTED_SHOTS,CONTESTED_SHOTS_2PT,CONTESTED_SHOTS_3PT,DEFLECTIONS,CHARGES_DRAWN,SCREEN_ASSISTS,SCREEN_AST_PTS,OFF_LOOSE_BALLS_RECOVERED,DEF_LOOSE_BALLS_RECOVERED,LOOSE_BALLS_RECOVERED,PCT_LOOSE_BALLS_RECOVERED_OFF,PCT_LOOSE_BALLS_RECOVERED_DEF,OFF_BOXOUTS,DEF_BOXOUTS,BOX_OUTS,BOX_OUT_PLAYER_TEAM_REBS,BOX_OUT_PLAYER_REBS,PCT_BOX_OUTS_OFF,PCT_BOX_OUTS_DEF,PCT_BOX_OUTS_TEAM_REB,PCT_BOX_OUTS_REB,TeamID,TeamName,WINS,LOSSES,TeamGP,G_PERCENT,CHARGES_DRAWN_pct_rank,CONTESTED_SHOTS_pct_rank,DEFLECTIONS_pct_rank,DEF_BOXOUTS_pct_rank,DEF_LOOSE_BALLS_RECOVERED_pct_rank,sum
187,1630532,Franz Wagner,1610612753,ORL,20.0,79,30.7,5.7,3.03,2.67,1.86,0.03,0.28,0.66,0.38,0.35,0.73,0.517,0.483,0.03,0.49,0.52,0.47,0.18,0.049,0.951,0.974,0.368,1610612753,Magic,21,59,80,0.9875,0.5258620689655172,0.46551724137931033,0.6379310344827587,0.3706896551724138,0.5201149425287356,2.5201149425287355
188,1627832,Fred VanVleet,1610612761,TOR,28.0,65,37.9,5.12,2.14,2.98,3.91,0.02,0.54,1.2,0.37,0.71,1.08,0.343,0.657,0.03,0.68,0.71,0.63,0.25,0.043,0.957,0.911,0.356,1610612761,Raptors,46,33,79,0.8227848101265823,0.39080459770114945,0.16379310344827586,0.9568965517241379,0.41954022988505746,0.9454022988505747,2.8764367816091956
190,1627788,Furkan Korkmaz,1610612755,PHI,24.0,64,21.5,2.91,1.61,1.3,1.14,0.03,0.16,0.38,0.2,0.33,0.53,0.382,0.618,0.0,0.2,0.2,0.14,0.06,0.0,1.0,0.818,0.364,1610612755,76ers,49,30,79,0.810126582278481,0.6379310344827587,0.16666666666666666,0.47413793103448276,0.14655172413793102,0.8390804597701149,2.264367816091954
191,1629216,Gabe Vincent,1610612748,MIA,25.0,66,23.6,4.71,1.92,2.79,1.82,0.12,0.41,1.06,0.23,0.35,0.58,0.395,0.605,0.0,0.61,0.61,0.55,0.11,0.0,1.0,0.947,0.184,1610612748,Heat,52,28,80,0.825,0.8649425287356322,0.5488505747126436,0.8103448275862069,0.5833333333333334,0.8074712643678161,3.6149425287356323
194,202066,Garrett Temple,1610612740,NOP,35.0,56,18.9,3.75,1.96,1.79,1.61,0.02,0.2,0.46,0.2,0.34,0.54,0.367,0.633,0.05,0.34,0.39,0.36,0.14,0.136,0.864,1.0,0.4,1610612740,Pelicans,35,44,79,0.7088607594936709,0.5431034482758621,0.5373563218390804,0.8879310344827587,0.4224137931034483,0.9224137931034483,3.313218390804598
195,1629726,Garrison Mathews,1610612745,HOU,25.0,63,26.3,3.78,2.06,1.71,1.43,0.4,0.16,0.37,0.17,0.19,0.37,0.478,0.522,0.0,0.56,0.56,0.46,0.14,0.0,1.0,0.935,0.29,1610612745,Rockets,20,60,80,0.7875,0.9942528735632183,0.22126436781609196,0.5086206896551724,0.5028735632183908,0.14080459770114942,2.367816091954023
197,203914,Gary Harris,1610612753,ORL,27.0,61,28.4,2.84,1.0,1.84,1.75,0.02,0.08,0.2,0.26,0.38,0.64,0.41,0.59,0.0,0.31,0.31,0.28,0.03,0.0,1.0,0.895,0.105,1610612753,Magic,21,59,80,0.7625,0.4454022988505747,0.034482758620689655,0.6580459770114943,0.19827586206896552,0.7126436781609196,2.0488505747126435
198,1627780,Gary Payton II,1610612744,GSW,29.0,68,17.4,2.9,1.46,1.44,2.56,0.0,0.5,1.31,0.19,0.34,0.53,0.361,0.639,0.16,0.26,0.43,0.38,0.26,0.379,0.621,0.963,0.667,1610612744,Warriors,50,29,79,0.8607594936708861,0.15229885057471265,0.3505747126436782,1.0,0.33045977011494254,0.9655172413793104,2.7988505747126435
199,1629018,Gary Trent Jr.,1610612761,TOR,23.0,67,34.9,2.91,1.22,1.69,3.43,0.01,0.15,0.31,0.22,0.72,0.94,0.238,0.762,0.01,0.16,0.18,0.15,0.04,0.083,0.917,1.0,0.3,1610612761,Raptors,46,33,79,0.8481012658227848,0.3132183908045977,0.014367816091954023,0.9339080459770115,0.04310344827586207,0.985632183908046,2.2902298850574714
200,201588,George Hill,1610612749,MIL,35.0,52,23.5,4.52,2.12,2.4,1.1,0.06,0.27,0.65,0.33,0.37,0.69,0.472,0.528,0.12,0.56,0.67,0.58,0.15,0.171,0.829,0.938,0.25,1610612749,Bucks,49,30,79,0.6582278481012658,0.757183908045977,0.5,0.33620689655172414,0.5431034482758621,0.8577586206896551,2.9942528735632186
