player,tm,experience,age,salary,vorp,vorp_per_million,percent_of_cap
John Collins,ATL,5,24,23000000,1.5,0.06521739130434782,0.20460085042788265
Danilo Gallinari,ATL,13,33,20475000,0.8,0.03907203907203908,0.18213923532656076
Bogdan Bogdanović,ATL,5,29,18000000,1.5,0.08333333333333334,0.16012240468269076
Clint Capela,ATL,8,27,17103448,2.1,0.12278226004487515,0.1521469567847421
Delon Wright,ATL,7,29,8526316,1.6,0.18765431635421442,0.07584745672247228
Trae Young,ATL,4,23,8326471,4.8,0.5764747153986365,0.07406969772448271
De'Andre Hunter,ATL,3,24,7775400,-0.8,-0.10288859737119635,0.06916754140943299
Onyeka Okongwu,ATL,2,21,6104280,0.7,0.11467363882390716,0.054301777358691974
Kevin Knox,ATL,4,22,5845978,-0.1,-0.01710577768168132,0.052004003060117064
Lou Williams,ATL,17,35,5000000,-0.3,-0.06,0.04447844574519188
Kevin Huerter,ATL,4,23,4253357,0.4,0.0940433638652951,0.03783654171188642
Gorgui Dieng,ATL,9,32,4000000,0.4,0.1,0.0355827565961535
Jalen Johnson,ATL,1,20,2659560,-0.1,-0.03760020454511273,0.023658619033216505
Timothé Luwawu-Cabarrot,ATL,6,26,1939350,-0.2,-0.10312733647871711,0.017251854751187574
Skylar Mays,ATL,2,24,34231,0,0,3.0450833526073263e-4
Jayson Tatum,BOS,5,23,28103550,4.8,0.17079692779026137,0.25000044478445743
Al Horford,BOS,15,35,27000000,3.2,0.11851851851851852,0.24018360702403616
Jaylen Brown,BOS,6,25,24830357,2.2,0.08860122309155685,0.22088313733164908
Derrick White,BOS,5,27,15178571,0.2,0.013176470960276828,0.13502384934260858
Marcus Smart,BOS,8,27,14339285,1.4,0.09763387783979466,0.12755782197946874
Daniel Theis,BOS,5,29,8372093,0.2,0.023888888955246917,0.07447553685484014
Robert Williams,BOS,4,24,3661976,3.4,0.9284604814449904,0.032575800167238954
Aaron Nesmith,BOS,2,22,3631200,-0.3,-0.08261731658955716,0.03230202643798815
Grant Williams,BOS,3,23,2617800,0.8,0.30560012224004895,0.023287135054352662
Payton Pritchard,BOS,2,24,2137440,1,0.46784938992439556,0.019014001814720585
Luke Kornet,BOS,5,26,606702,0.1,0.16482556510444996,0.005397032398099881
Sam Hauser,BOS,1,24,313737,0.2,0.6374766125767761,0.002790906826551853
Malik Fitts,BOS,2,24,231062,0.1,0.43278427435060723,0.002055455726155105
Jabari Parker,BOS,8,26,1068288,0.1,0.09360771627126768,0.009503157969647909
Kevin Durant,BRK,14,33,40918900,4.8,0.11730520615168051,0.3640018147205864
Kyrie Irving,BRK,11,29,34916200,1.4,0.04009600128307204,0.31060366146565377
Joe Harris,BRK,8,30,17357143,0.1,0.005761316825009738,0.15440374864340742
Seth Curry,BRK,8,31,8186047,0.4,0.04886363344847642,0.07282052947141815
Patty Mills,BRK,13,33,5890000,0.2,0.03395585738539898,0.05239560908783603
Bruce Brown,BRK,4,25,4736102,1.2,0.2533729214446817,0.04213089117013895
LaMarcus Aldridge,BRK,16,36,2641691,0.7,0.2649817862876468,0.023499661963812337
Blake Griffin,BRK,12,32,2641691,0.3,0.11356362269470577,0.023499661963812337
Andre Drummond,BRK,10,28,2401537,0.4,0.166559998867392,0.021363326631914176
Cam Thomas,BRK,1,20,2036280,-0.4,-0.1964366393619738,0.018114113900403864
Day'Ron Sharpe,BRK,1,20,2009040,-0.1,-0.049775016923505756,0.01787179532798406
Goran Dragić,BRK,14,35,728742,-0.3,-0.4116683270622525,0.006482662301848525
Jevon Carter,BRK,4,26,3650000,-0.3,-0.0821917808219178,0.032469265393990074
James Johnson,BRK,13,34,2641691,-0.1,-0.03785454089823526,0.023499661963812337
DeAndre' Bembry,BRK,6,27,1939350,0.4,0.20625467295743422,0.017251854751187574
DeMar DeRozan,CHI,13,32,26000000,3.1,0.11923076923076922,0.23128791787499778
Nikola Vučević,CHI,11,31,24000000,1.8,0.075,0.21349653957692102
Zach LaVine,CHI,8,26,19500000,2.6,0.13333333333333333,0.17346593840624833
Lonzo Ball,CHI,5,24,18604651,1.4,0.07525000065843751,0.16550119202234598
Derrick Jones Jr.,CHI,6,24,9720900,0.2,0.020574226666255184,0.08647410464888715
Alex Caruso,CHI,5,27,8604651,0.6,0.06972973104894085,0.0765443005319622
Patrick Williams,CHI,2,20,7422000,0,0,0.06602380486416283
Coby White,CHI,3,21,5837760,0,0,0.05193089828669027
Troy Brown Jr.,CHI,4,22,5170564,0.1,0.019340249922445596,0.045995730069208464
Tony Bradley,CHI,5,24,1789256,0,0,0.01591666518405181
Matt Thomas,CHI,3,27,1669178,-0.1,-0.059909728021816724,0.014848488622413579
Javonte Green,CHI,3,28,1669178,0.8,0.4792778241745338,0.014848488622413579
Tristan Thompson,CHI,11,30,1000000,0,0,0.008895689149038375
Marko Simonovic,CHI,1,22,925258,-0.1,-0.10807796311947587,0.008230807550660949
Ayo Dosunmu,CHI,1,22,925258,0,0,0.008230807550660949
Alfonzo McKinnie,CHI,5,29,1090007,-0.4,-0.36697012037537374,0.009696363442275873
Alize Johnson,CHI,4,25,705598,-0.1,-0.14172375772040172,0.00627678047218318
Gordon Hayward,CHO,12,31,29900000,0.5,0.016722408026755852,0.26598110555624743
Terry Rozier,CHO,7,27,17905263,2.3,0.1284538518088229,0.15927965377977832
Kelly Oubre Jr.,CHO,7,26,12000000,0.3,0.024999999999999998,0.10674826978846051
Montrezl Harrell,CHO,7,28,9720900,0.5,0.051435566665637956,0.08647410464888715
LaMelo Ball,CHO,2,20,8231760,3.3,0.4008863232164203,0.07322717810948814
Mason Plumlee,CHO,9,31,8137500,0.9,0.11059907834101383,0.07238867045029979
Miles Bridges,CHO,4,23,5421493,2.5,0.4611275897617132,0.04822791645168751
P.J. Washington,CHO,3,23,4215120,0.9,0.21351705289529124,0.03749639724589464
James Bouknight,CHO,1,21,4154400,-0.4,-0.09628345850182939,0.03695625100076503
Kai Jones,CHO,1,21,2770560,-0.1,-0.0360937860937861,0.024646040528759763
Cody Martin,CHO,3,26,1782621,0.7,0.3926802163780186,0.01585764228654794
Jalen McDaniels,CHO,3,24,1782621,-0.1,-0.056097173768288384,0.01585764228654794
Nick Richards,CHO,2,24,1517981,-0.1,-0.06587697737982227,0.013503487110146423
JT Thor,CHO,1,19,1250000,-0.1,-0.08,0.01111961143629797
Isaiah Thomas,CHO,11,32,276039,0,0,0.002455557137011404
Kevin Love,CLE,14,33,31300000,2.7,0.08626198083067094,0.27843507036490117
Jarrett Allen,CLE,5,23,20000000,2.7,0.135,0.17791378298076752
Caris LeVert,CLE,6,27,17500000,-0.2,-0.011428571428571429,0.15567456010817157
Lauri Markkanen,CLE,5,24,15690909,1.1,0.070104287775807,0.13958144892984858
Evan Mobley,CLE,1,20,8075160,1.5,0.18575483334076354,0.07183411318874873
Cedi Osman,CLE,5,26,8050000,0.8,0.09937888198757765,0.07161029764975893
Darius Garland,CLE,3,22,7040880,2.8,0.3976775630318937,0.06263347981568132
Isaac Okoro,CLE,2,21,6720720,0.1,0.014879358164006238,0.0597854359777252
Collin Sexton,CLE,4,23,6349671,-0.2,-0.031497694919941525,0.05648469941466366
Ed Davis,CLE,12,32,2641691,0,0,0.023499661963812337
Rajon Rondo,CLE,16,35,2641691,0.2,0.07570908179647053,0.023499661963812337
Dylan Windler,CLE,2,25,2239200,0,0,0.01991922714252673
Dean Wade,CLE,3,25,1782621,0.4,0.22438869507315354,0.01585764228654794
Lamar Stevens,CLE,2,24,1517981,-0.2,-0.13175395475964455,0.013503487110146423
Kevin Pangos,CLE,1,29,1669178,-0.2,-0.11981945604363345,0.014848488622413579
RJ Nembhard Jr.,CLE,1,22,58493,-0.1,-1.7096062776742518,5.203355453947018e-4
Tim Hardaway Jr.,DAL,9,29,21306816,0.6,0.028160002883584296,0.18953881189175725
Spencer Dinwiddie,DAL,8,28,17142857,0.8,0.04666666705555556,0.15249752699841657
Dāvis Bertāns,DAL,6,29,16000000,0.1,0.00625,0.142331026384614
Dwight Powell,DAL,8,30,11000000,1.3,0.11818181818181818,0.09785258063942213
Luka Dončić,DAL,4,22,10174391,5.9,0.5798872876027666,0.09050821961677372
Reggie Bullock,DAL,9,30,9536000,0.3,0.03145973154362416,0.08482929172522995
Maxi Kleber,DAL,5,30,8750000,0.6,0.06857142857142857,0.07783728005408579
Dorian Finney-Smith,DAL,6,28,4000000,1.9,0.475,0.0355827565961535
Boban Marjanović,DAL,7,33,3500000,-0.1,-0.02857142857142857,0.031134912021634317
Trey Burke,DAL,9,29,3333333,-0.3,-0.0900000090000009,0.029652294198231538
Sterling Brown,DAL,5,26,3000000,-0.1,-0.03333333333333333,0.026687067447115128
Josh Green,DAL,2,21,2957520,0.3,0.10143633855392355,0.02630917857206398
Jalen Brunson,DAL,4,25,1802057,1.9,1.0543506670432734,0.01603053890084865
Frank Ntilikina,DAL,5,23,1789256,0,0,0.01591666518405181
Marquese Chriss,DAL,6,24,958529,-0.2,-0.2086530506640905,0.008526776024338606
Moses Brown,DAL,3,22,1701593,-0.1,-0.058768459907862815,0.015136842386179657
Nikola Jokić,DEN,7,26,30510423,9.8,0.3212017086750977,0.2714112388136709
Aaron Gordon,DEN,8,26,16409091,0.9,0.05484764512549781,0.14597017275428328
Will Barton,DEN,10,31,15384615,0.9,0.05850000146250004,0.13685675271763303
Monte Morris,DEN,5,26,8333333,1.1,0.13200000528000022,0.07413073994342342
JaMychal Green,DEN,8,31,8292683,0,0,0.073769130179515
