player_id,player,tm,season,experience,salary,vorp,cap,percent_of_cap,vorp_per_percent_of_cap,wins_added,predicted_sal,act_minus_predict,diff_as_percent_of_cap
1204,Kareem Abdul-Jabbar,LAL,1985,16,1530000,4.8,3600000,0.425,11.294117647058824,12.96,1137951.219512195,392048.7804878049,0.10890243902439026
1204,Kareem Abdul-Jabbar,LAL,1986,17,2030000,4.9,4233000,0.4795653201039452,10.217586206896552,13.230000000000002,1365916.829268293,664083.170731707,0.15688239327467682
1204,Kareem Abdul-Jabbar,LAL,1988,19,2000000,1.2,6164000,0.3244646333549643,3.6984000000000004,3.24,487106.34146341466,1512893.6585365853,0.24544024311106186
1204,Kareem Abdul-Jabbar,LAL,1989,20,3000000,0,7232000,0.41482300884955753,0,0,0,3000000,0.41482300884955753
1259,Dan Issel,DEN,1985,15,614000,0.7,3600000,0.17055555555555554,4.1042345276872965,1.89,165951.21951219512,448048.7804878049,0.1244579945799458
1338,Artis Gilmore,BOS,1988,17,863000,-0.4,6164000,0.1400064892926671,-2.8570104287369644,-1.08,-162368.7804878049,1025368.7804878049,0.16634795270730124
1338,Artis Gilmore,SAS,1985,14,600000,2.9,3600000,0.16666666666666666,17.400000000000002,7.83,687512.1951219513,-87512.19512195128,-0.024308943089430914
1338,Artis Gilmore,SAS,1986,15,669000,1.7,4233000,0.15804394046775336,10.756502242152466,4.59,473889.51219512196,195110.48780487804,0.04609272095555824
1381,Julius Erving,PHI,1985,14,1054000,3.5,3600000,0.2927777777777778,11.954459203036052,9.450000000000001,829756.0975609757,224243.9024390243,0.06228997289972897
1381,Julius Erving,PHI,1986,15,1485000,2.6,4233000,0.35081502480510274,7.411313131313132,7.0200000000000005,724772.1951219513,760227.8048780487,0.1795955126099808
1424,Bob McAdoo,LAL,1985,13,923000,0,3600000,0.2563888888888889,0,0,0,923000,0.2563888888888889
1439,Don Buse,KCK,1985,13,130000,0.5,3600000,0.03611111111111111,13.846153846153847,1.35,118536.58536585367,11463.414634146335,0.0031842818428184263
1447,George Gervin,CHI,1986,14,806000,0,4233000,0.1904086935979211,0,0,0,806000,0.1904086935979211
1447,George Gervin,SAS,1985,13,831000,0.9,3600000,0.23083333333333333,3.898916967509025,2.43,213365.8536585366,617634.1463414634,0.1715650406504065
1448,George Johnson,NJN,1986,NA,70000,0,4233000,0.01653673517599811,0,0,0,70000,0.01653673517599811
1448,George Johnson,SEA,1986,13,70000,0.2,4233000,0.01653673517599811,12.094285714285716,0.54,55751.707317073175,14248.292682926825,0.003366003468681036
1495,Caldwell Jones,CHI,1985,12,500000,-0.1,3600000,0.1388888888888889,-0.72,-0.27,-23707.317073170732,523707.31707317074,0.14547425474254744
1495,Caldwell Jones,POR,1986,13,157500,-0.1,4233000,0.03720765414599575,-2.6876190476190476,-0.27,-27875.853658536587,185375.8536585366,0.043793019999654285
1495,Caldwell Jones,POR,1988,15,250000,0.1,6164000,0.040558079169370535,2.4656000000000002,0.27,40592.19512195123,209407.80487804877,0.033972713315712
1495,Caldwell Jones,POR,1989,16,250000,-0.3,7232000,0.03456858407079646,-8.6784,-0.81,-142876.0975609756,392876.0975609756,0.054324681631772065
1556,Bill Walton,BOS,1986,9,425000,2,4233000,0.10040160642570281,19.92,5.4,557517.0731707318,-132517.07317073178,-0.031305710647467934
1556,Bill Walton,BOS,1987,10,850000,-0.2,4945000,0.1718907987866532,-1.163529411764706,-0.54,-65129.26829268294,915129.268292683,0.18506153049397026
1556,Bill Walton,BOS,1988,NA,425000,0,6164000,0.06894873458792991,0,0,0,425000,0.06894873458792991
1556,Bill Walton,LAC,1985,8,1350000,1.7,3600000,0.375,4.533333333333333,4.59,403024.39024390245,946975.6097560975,0.2630487804878049
1558,Billy Knight,KCK,1985,11,433000,0,3600000,0.12027777777777778,0,0,0,433000,0.12027777777777778
1559,Bobby Jones,PHI,1985,11,500000,2,3600000,0.1388888888888889,14.399999999999999,5.4,474146.34146341466,25853.65853658534,0.00718157181571815
1559,Bobby Jones,PHI,1986,12,500000,0.9,4233000,0.11811953697141507,7.619400000000001,2.43,250882.6829268293,249117.3170731707,0.05885124428848824
1586,Harvey Catchings,LAC,1985,11,262000,-0.5,3600000,0.07277777777777777,-6.870229007633588,-1.35,-118536.58536585367,380536.5853658537,0.10570460704607047
1587,Jamaal Wilkes,LAC,1986,12,75000,-0.1,4233000,0.01771793054571226,-5.644000000000001,-0.27,-27875.853658536587,102875.8536585366,0.0243032963993708
1587,Jamaal Wilkes,LAL,1985,11,860000,-0.3,3600000,0.2388888888888889,-1.2558139534883719,-0.81,-71121.9512195122,931121.9512195121,0.2586449864498645
1591,John Drew,UTA,1985,11,250000,-0.1,3600000,0.06944444444444445,-1.44,-0.27,-23707.317073170732,273707.31707317074,0.07602981029810298
1602,Maurice Lucas,LAL,1986,12,475000,-0.1,4233000,0.11221356012284432,-0.8911578947368421,-0.27,-27875.853658536587,502875.85365853657,0.11879892597650285
1602,Maurice Lucas,PHO,1985,11,650000,0.1,3600000,0.18055555555555555,0.5538461538461539,0.27,23707.317073170732,626292.6829268293,0.17397018970189704
1602,Maurice Lucas,POR,1988,14,395500,-0.1,6164000,0.06416288124594419,-1.558533501896334,-0.27,-40592.19512195123,436092.1951219512,0.07074824709960273
1603,Mickey Johnson,GSW,1985,11,363000,1,3600000,0.10083333333333333,9.917355371900827,2.7,237073.17073170733,125926.82926829267,0.03497967479674796
1603,Mickey Johnson,NJN,1986,12,200000,0.3,4233000,0.04724781478856603,6.349499999999999,0.81,83627.56097560975,116372.43902439025,0.02749171722759042
1605,Moses Malone,ATL,1989,15,1500000,2.7,7232000,0.20741150442477876,13.0176,7.290000000000001,1285884.8780487806,214115.1219512194,0.029606626375998257
1605,Moses Malone,ATL,1990,16,2100000,1.6,9802000,0.21424199143032036,7.468190476190476,4.32,1032796.0975609757,1067203.9024390243,0.10887613777178375
1605,Moses Malone,ATL,1991,17,2406000,0.7,11871000,0.20267879706848624,3.453740648379052,1.89,547224.1463414634,1858775.8536585364,0.15658123609287647
1605,Moses Malone,MIL,1992,18,1600000,1.3,12500000,0.128,10.15625,3.5100000000000002,1070121.9512195124,529878.0487804876,0.042390243902439007
1605,Moses Malone,MIL,1993,19,2230000,0,14000000,0.15928571428571428,0,0,0,2230000,0.15928571428571428
1605,Moses Malone,PHI,1985,11,2125000,2.7,3600000,0.5902777777777778,4.574117647058824,7.290000000000001,640097.5609756098,1484902.4390243902,0.41247289972899726
1605,Moses Malone,PHI,1986,12,2145000,1.3,4233000,0.5067328136073707,2.5654545454545454,3.5100000000000002,362386.09756097564,1782613.9024390243,0.42112305750980966
1605,Moses Malone,PHI,1994,20,1200000,0,15175000,0.07907742998352553,0,0,0,1200000,0.07907742998352553
1605,Moses Malone,PHI,1995,NA,300000,0,15964000,0.018792282635930843,0,0,0,300000,0.018792282635930843
1605,Moses Malone,SAS,1995,21,468750,0,15964000,0.029362941618641943,0,0,0,468750,0.029362941618641943
1605,Moses Malone,WSB,1988,14,2067000,2.5,6164000,0.33533419857235564,7.45524915336236,6.75,1014804.8780487805,1052195.1219512196,0.1707000522308922
1613,Scott Wedman,BOS,1985,11,400000,0.2,3600000,0.1111111111111111,1.8000000000000003,0.54,47414.634146341465,352585.3658536585,0.09794037940379403
1613,Scott Wedman,BOS,1986,12,400000,0.2,4233000,0.09449562957713206,2.1165,0.54,55751.707317073175,344248.2926829268,0.08132489786981498
1619,Truck Robinson,NYK,1985,11,540000,0,3600000,0.15,0,0,0,540000,0.15
1624,Alvan Adams,PHO,1985,10,500000,3.2,3600000,0.1388888888888889,23.04,8.64,758634.1463414634,-258634.14634146343,-0.07184281842818428
