player,season,pos,age,experience,ts_percent,usg_percent,vorp,ts_rank,usg_rank,vorp_rank,empty_stats
John Paxson,1985,PG,24,2,0.566,16.2,0.2,0.09302325581395349,0.32558139534883723,0.7674418604651163,1.186046511627907
John Stockton,1985,PG,22,1,0.548,15.1,0.7,0.20930232558139536,0.16279069767441862,0.5581395348837209,0.9302325581395349
Johnny Davis,1985,PG,29,9,0.51,22.5,0.6,0.6046511627906976,0.8604651162790697,0.5813953488372093,2.046511627906977
Johnny Moore,1985,PG,26,5,0.513,18.7,3.9,0.5581395348837209,0.5348837209302325,0.09302325581395349,1.1860465116279069
Jon Sundvold,1985,PG,23,2,0.47,18.6,-0.7,0.9767441860465116,0.5116279069767442,1,2.488372093023256
Julius Erving,1985,SF,34,14,0.546,26,3.5,0.3333333333333333,0.803921568627451,0.0784313725490196,1.2156862745098038
Junior Bridgeman,1985,SF,31,10,0.516,23.9,0.3,0.5294117647058824,0.7254901960784313,0.5294117647058824,1.784313725490196
Kareem Abdul-Jabbar,1985,C,37,16,0.628,24.3,4.8,0.037037037037037035,0.9444444444444444,0,0.9814814814814814
Kelly Tripucka,1985,SF,25,4,0.548,24.6,1,0.3137254901960784,0.7647058823529411,0.35294117647058826,1.4313725490196079
Kelvin Ransey,1985,PG,26,5,0.505,19.8,1,0.7209302325581395,0.6511627906976745,0.5348837209302325,1.9069767441860463
Ken Bannister,1985,PF,24,1,0.481,19.7,-1.8,0.9375,0.5833333333333334,1,2.5208333333333335
Kenny Carr,1985,PF,29,8,0.572,18.9,-0.1,0.2916666666666667,0.5625,0.6666666666666666,1.5208333333333335
Kenny Fields,1985,SF,22,1,0.471,18.2,-0.3,0.8823529411764706,0.35294117647058826,0.8235294117647058,2.0588235294117645
Kent Benson,1985,C,30,8,0.545,13.9,0.8,0.5,0.25925925925925924,0.3148148148148148,1.0740740740740742
Kevin Grevey,1985,SF,31,10,0.505,18.1,0,0.6862745098039216,0.3333333333333333,0.6666666666666666,1.6862745098039214
Kevin McHale,1985,PF,27,5,0.617,21.9,3,0.041666666666666664,0.7708333333333334,0.08333333333333333,0.8958333333333334
Kevin Williams,1985,SG,23,2,0.503,20.5,-0.2,0.8260869565217391,0.391304347826087,0.8478260869565217,2.0652173913043477
Kevin Willis,1985,PF,22,1,0.497,20.2,-0.8,0.875,0.6458333333333334,0.9166666666666666,2.4375
Kiki Vandeweghe,1985,SF,26,5,0.603,23.1,1.5,0.0784313725490196,0.6666666666666666,0.27450980392156865,1.0196078431372548
Kurt Nimphius,1985,C,26,4,0.504,12.3,0.9,0.8333333333333334,0.14814814814814814,0.2962962962962963,1.2777777777777777
Kurt Rambis,1985,PF,26,4,0.577,11.7,0.8,0.2708333333333333,0,0.3958333333333333,0.6666666666666666
Kyle Macy,1985,PG,27,5,0.555,15.2,1.1,0.18604651162790697,0.20930232558139536,0.4186046511627907,0.8139534883720931
Lancaster Gordon,1985,SG,22,1,0.42,22.6,-0.7,1,0.6304347826086957,0.9782608695652174,2.608695652173913
Larry Bird,1985,SF,28,6,0.585,28.5,8.7,0.11764705882352941,0.9019607843137255,0,1.0196078431372548
Larry Drew,1985,PG,26,5,0.538,19.6,1.1,0.32558139534883723,0.627906976744186,0.4186046511627907,1.372093023255814
Larry Nance,1985,PF,25,4,0.612,20.8,3.5,0.0625,0.7083333333333334,0.020833333333333332,0.7916666666666667
Larry Smith,1985,PF,27,5,0.553,15.1,0.2,0.4375,0.25,0.5416666666666666,1.2291666666666665
Larry Spriggs,1985,PF,25,4,0.598,16.7,0.1,0.16666666666666666,0.3541666666666667,0.6041666666666666,1.125
LaSalle Thompson,1985,C,23,3,0.579,16.6,1.4,0.16666666666666666,0.5555555555555556,0.24074074074074073,0.9629629629629629
Lester Conner,1985,PG,25,3,0.508,13.3,1.3,0.627906976744186,0.046511627906976744,0.37209302325581395,1.0465116279069768
Lewis Lloyd,1985,SG,25,4,0.558,21.2,1.4,0.2608695652173913,0.4782608695652174,0.2391304347826087,0.9782608695652173
Lionel Hollins,1985,PG,31,10,0.508,15.6,0.1,0.627906976744186,0.27906976744186046,0.7906976744186046,1.697674418604651
Lonnie Shelton,1985,PF,29,9,0.462,15.2,-0.3,0.9583333333333334,0.2708333333333333,0.7916666666666666,2.0208333333333335
Louis Orr,1985,PF,26,5,0.552,17.7,1.4,0.4583333333333333,0.4375,0.20833333333333334,1.1041666666666665
M.L. Carr,1985,SF,34,10,0.479,18.5,-0.1,0.8235294117647058,0.39215686274509803,0.7254901960784313,1.941176470588235
Magic Johnson,1985,PG,25,6,0.637,20.5,6.1,0,0.7209302325581395,0.023255813953488372,0.7441860465116279
Major Jones,1985,PF,31,6,0.589,13.3,-0.1,0.1875,0.0625,0.6666666666666666,0.9166666666666666
Mark Aguirre,1985,SF,25,4,0.563,32.2,2.6,0.2549019607843137,0.9607843137254902,0.1568627450980392,1.3725490196078431
Mark Eaton,1985,C,28,3,0.502,14.1,2.3,0.8518518518518519,0.2962962962962963,0.1111111111111111,1.2592592592592593
Mark Olberding,1985,PF,28,10,0.603,15,0.6,0.125,0.20833333333333334,0.4166666666666667,0.75
Marques Johnson,1985,SF,28,8,0.489,23.1,0.4,0.7843137254901961,0.6666666666666666,0.47058823529411764,1.9215686274509802
Maurice Cheeks,1985,PG,28,7,0.619,15.1,3.8,0.023255813953488372,0.16279069767441862,0.11627906976744186,0.3023255813953488
Maurice Lucas,1985,PF,32,11,0.517,23.5,0.1,0.7291666666666666,0.8125,0.6041666666666666,2.145833333333333
Melvin Turpin,1985,C,24,1,0.541,18.3,0.2,0.5370370370370371,0.6296296296296297,0.5,1.6666666666666667
Michael Cage,1985,PF,23,1,0.582,13.7,0.2,0.20833333333333334,0.10416666666666667,0.5416666666666666,0.8541666666666666
Michael Cooper,1985,SG,28,7,0.539,14.9,1.9,0.41304347826086957,0.06521739130434782,0.13043478260869565,0.6086956521739131
Michael Holton,1985,SG,23,1,0.497,17.4,-0.7,0.9347826086956522,0.21739130434782608,0.9782608695652174,2.130434782608696
Michael Jordan,1985,SG,21,1,0.592,29.8,7.4,0.043478260869565216,1,0,1.0434782608695652
Micheal Ray Richardson,1985,PG,29,7,0.513,24,4.8,0.5581395348837209,0.9302325581395349,0.046511627906976744,1.5348837209302326
Mickey Johnson,1985,PF,32,11,0.513,24.9,1,0.7916666666666666,0.9166666666666666,0.3125,2.020833333333333
Mike Bratz,1985,PG,29,8,0.502,17.9,0.1,0.7674418604651163,0.4883720930232558,0.7906976744186046,2.046511627906977
Mike Evans,1985,SG,29,6,0.568,22.3,0.7,0.15217391304347827,0.6086956521739131,0.5434782608695652,1.3043478260869565
Mike Glenn,1985,SG,29,8,0.615,17.4,0.7,0,0.21739130434782608,0.5434782608695652,0.7608695652173912
Mike Gminski,1985,C,25,5,0.538,18.3,1.6,0.5740740740740741,0.6296296296296297,0.18518518518518517,1.3888888888888888
Mike McGee,1985,SF,25,4,0.567,26.4,0.1,0.21568627450980393,0.8431372549019608,0.6274509803921569,1.6862745098039216
Mike Mitchell,1985,SF,29,7,0.533,26,0.6,0.39215686274509803,0.803921568627451,0.43137254901960786,1.6274509803921569
Mike O'Koren,1985,SF,26,5,0.518,17.1,0.4,0.5098039215686274,0.21568627450980393,0.47058823529411764,1.196078431372549
Mike Woodson,1985,SG,26,5,0.548,26.7,1.1,0.34782608695652173,0.8913043478260869,0.391304347826087,1.6304347826086956
Mitch Kupchak,1985,PF,30,8,0.539,18.7,-0.4,0.5625,0.5416666666666666,0.8125,1.9166666666666665
Mitchell Wiggins,1985,SG,25,2,0.516,20.2,0.7,0.6956521739130435,0.3695652173913043,0.5434782608695652,1.6086956521739129
Moses Malone,1985,C,29,11,0.577,26.8,2.7,0.2222222222222222,1,0.07407407407407407,1.2962962962962963
Mychal Thompson,1985,PF,30,6,0.554,23.3,1.8,0.4166666666666667,0.7916666666666666,0.16666666666666666,1.375
Norm Nixon,1985,PG,29,8,0.507,23.2,1.1,0.6976744186046512,0.8837209302325582,0.4186046511627907,2
Orlando Woolridge,1985,SF,25,4,0.608,24.2,2.5,0.0392156862745098,0.7450980392156863,0.17647058823529413,0.9607843137254902
Othell Wilson,1985,PG,23,1,0.501,13.1,0.1,0.7906976744186046,0.023255813953488372,0.7906976744186046,1.6046511627906976
Otis Birdsong,1985,SG,29,8,0.534,26.3,1.5,0.4782608695652174,0.8695652173913043,0.21739130434782608,1.565217391304348
Otis Thorpe,1985,PF,22,1,0.62,21.3,0.5,0.020833333333333332,0.7291666666666666,0.4583333333333333,1.2083333333333333
Ozell Jones,1985,C,24,1,0.566,12.5,0.3,0.25925925925925924,0.16666666666666666,0.4444444444444444,0.8703703703703703
Pat Cummings,1985,C,28,6,0.556,21.2,0.3,0.4074074074074074,0.8518518518518519,0.4444444444444444,1.7037037037037037
Paul Mokeski,1985,C,28,6,0.511,14.5,0.1,0.7222222222222222,0.3333333333333333,0.5370370370370371,1.5925925925925926
Paul Pressey,1985,SF,26,3,0.577,19.2,4.5,0.17647058823529413,0.43137254901960786,0.0196078431372549,0.627450980392157
Pete Verhoeven,1985,PF,25,4,0.517,15,-0.2,0.7291666666666666,0.20833333333333334,0.7291666666666666,1.6666666666666665
Peter Thibeaux,1985,SF,23,1,0.515,22,-0.4,0.5686274509803921,0.6078431372549019,0.9019607843137255,2.0784313725490193
Phil Hubbard,1985,SF,28,6,0.578,21.7,1.2,0.1568627450980392,0.5882352941176471,0.29411764705882354,1.0392156862745099
Purvis Short,1985,SF,27,7,0.533,29.1,2,0.39215686274509803,0.9215686274509803,0.21568627450980393,1.5294117647058822
Quinn Buckner,1985,PG,30,9,0.419,13.4,-0.3,1,0.06976744186046512,0.9534883720930233,2.0232558139534884
Quintin Dailey,1985,SG,24,3,0.517,27.3,-0.1,0.6739130434782609,0.9130434782608695,0.8043478260869565,2.391304347826087
Ralph Sampson,1985,PF,24,2,0.533,25.9,1.8,0.6458333333333334,0.9583333333333334,0.16666666666666666,1.7708333333333335
Randy Breuer,1985,C,24,2,0.554,16.4,0.4,0.42592592592592593,0.5,0.4074074074074074,1.3333333333333333
Randy Wittman,1985,SG,25,2,0.549,15.1,0,0.32608695652173914,0.08695652173913043,0.717391304347826,1.1304347826086956
Reggie King,1985,SF,27,6,0.477,10.6,-0.4,0.8431372549019608,0,0.9019607843137255,1.7450980392156863
Reggie Theus,1985,SG,27,7,0.559,23.4,1.7,0.2391304347826087,0.7391304347826086,0.17391304347826086,1.152173913043478
Rich Kelley,1985,C,31,10,0.547,12.1,-0.2,0.48148148148148145,0.12962962962962962,0.7037037037037037,1.3148148148148149
Rick Mahorn,1985,PF,26,5,0.526,11.9,0.3,0.6875,0.020833333333333332,0.5208333333333334,1.2291666666666667
Rickey Brown,1985,C,26,5,0.439,13.8,-0.5,0.9444444444444444,0.2222222222222222,0.8518518518518519,2.018518518518518
Rickey Green,1985,PG,30,7,0.546,17.8,2.2,0.23255813953488372,0.46511627906976744,0.23255813953488372,0.9302325581395349
Ricky Pierce,1985,SG,25,3,0.599,19.6,0.7,0.021739130434782608,0.32608695652173914,0.5434782608695652,0.8913043478260869
Ricky Sobers,1985,SG,32,10,0.501,24.1,-0.6,0.8695652173913043,0.8043478260869565,0.9347826086956522,2.608695652173913
Robert Parish,1985,C,31,9,0.586,19.7,2,0.12962962962962962,0.7777777777777778,0.14814814814814814,1.0555555555555556
Robert Reid,1985,SF,29,7,0.507,18,0.3,0.6666666666666666,0.29411764705882354,0.5294117647058824,1.4901960784313726
Rod Foster,1985,PG,24,2,0.508,24.8,-0.3,0.627906976744186,0.9767441860465116,0.9534883720930233,2.558139534883721
Rod Higgins,1985,SF,25,3,0.497,15.9,0,0.7254901960784313,0.09803921568627451,0.6666666666666666,1.4901960784313726
Rodney McCray,1985,SF,23,2,0.576,15.9,3.6,0.19607843137254902,0.09803921568627451,0.0392156862745098,0.33333333333333337
Rolando Blackman,1985,SG,25,4,0.566,23.2,2,0.17391304347826086,0.6739130434782609,0.08695652173913043,0.9347826086956521
Ron Cavenall,1985,C,25,1,0.378,9.4,-0.6,1,0.037037037037037035,0.8888888888888888,1.9259259259259258
Rory Sparrow,1985,PG,26,5,0.539,15.8,1.1,0.3023255813953488,0.3023255813953488,0.4186046511627907,1.0232558139534884
Rory White,1985,PF,25,3,0.562,15.6,-0.2,0.3125,0.2916666666666667,0.7291666666666666,1.3333333333333335
Roy Hinson,1985,PF,23,2,0.551,21.6,0.9,0.4791666666666667,0.75,0.375,1.6041666666666667
Sam Bowie,1985,C,23,1,0.578,14.8,2.2,0.18518518518518517,0.35185185185185186,0.12962962962962962,0.6666666666666666
Sam Perkins,1985,PF,23,1,0.535,17.1,1.2,0.625,0.3958333333333333,0.25,1.2708333333333333
Sam Williams,1985,PF,25,4,0.427,17.6,-0.4,1,0.4166666666666667,0.8125,2.229166666666667
Scott Hastings,1985,PF,24,3,0.539,13.7,-0.1,0.5625,0.10416666666666667,0.6666666666666666,1.3333333333333333
Scott Wedman,1985,SF,32,11,0.515,19.2,0.2,0.5686274509803921,0.43137254901960786,0.6078431372549019,1.607843137254902
Sedale Threatt,1985,PG,23,2,0.489,17.1,0,0.8604651162790697,0.3953488372093023,0.8837209302325582,2.1395348837209305
Sidney Green,1985,PF,24,2,0.503,20.4,-0.6,0.8541666666666666,0.6666666666666666,0.8958333333333334,2.4166666666666665
Sidney Moncrief,1985,PG,27,6,0.565,23.6,4.7,0.11627906976744186,0.9069767441860465,0.06976744186046512,1.0930232558139534
Sleepy Floyd,1985,SG,24,3,0.514,24.6,1.1,0.717391304347826,0.8260869565217391,0.391304347826087,1.934782608695652
Steve Burtt,1985,SG,22,1,0.444,23.9,-0.6,0.9782608695652174,0.782608695652174,0.9347826086956522,2.6956521739130435
Steve Colter,1985,PG,22,1,0.52,17.5,0.4,0.5348837209302325,0.4418604651162791,0.6976744186046512,1.6744186046511627
Steve Johnson,1985,C,27,4,0.593,19.6,-0.1,0.09259259259259259,0.7592592592592593,0.6481481481481481,1.5
Steve Stipanovich,1985,C,24,2,0.544,20.7,1.6,0.5185185185185185,0.8333333333333334,0.18518518518518517,1.537037037037037
Stuart Gray,1985,C,21,1,0.453,16.5,-0.6,0.9259259259259259,0.5185185185185185,0.8888888888888888,2.333333333333333
T.R. Dunn,1985,SG,29,8,0.531,7.8,1,0.5434782608695652,0,0.45652173913043476,1
Terence Stansbury,1985,SG,23,1,0.512,18.3,-0.5,0.7391304347826086,0.2608695652173913,0.9130434782608695,1.9130434782608696
Terry Cummings,1985,PF,23,3,0.536,28.8,4.3,0.6041666666666666,1,0,1.6041666666666665
Terry Tyler,1985,SF,28,7,0.516,19.1,1,0.5294117647058824,0.4117647058823529,0.35294117647058826,1.2941176470588236
Thurl Bailey,1985,PF,23,2,0.533,20.6,1.2,0.6458333333333334,0.6875,0.25,1.5833333333333335
Tim McCormick,1985,C,22,1,0.606,18.8,0,0.05555555555555555,0.7037037037037037,0.5925925925925926,1.3518518518518519
Tom Chambers,1985,PF,25,4,0.56,26,1,0.3541666666666667,0.9791666666666666,0.3125,1.6458333333333333
Tom McMillen,1985,C,32,10,0.519,17.2,-0.6,0.7037037037037037,0.5740740740740741,0.8888888888888888,2.1666666666666665
Tony Brown,1985,SF,24,1,0.503,16.3,0.1,0.7058823529411765,0.1568627450980392,0.6274509803921569,1.4901960784313726
Tony Campbell,1985,SF,22,1,0.54,22.2,-0.5,0.37254901960784315,0.6274509803921569,0.9411764705882353,1.9411764705882353
Tree Rollins,1985,C,29,8,0.578,10.8,1.2,0.18518518518518517,0.09259259259259259,0.2777777777777778,0.5555555555555556
Trent Tucker,1985,SG,25,3,0.521,15.7,1,0.6086956521739131,0.13043478260869565,0.45652173913043476,1.1956521739130435
Vern Fleming,1985,PG,22,1,0.526,20.1,0.3,0.4418604651162791,0.6744186046511628,0.7209302325581395,1.8372093023255813
Vinnie Johnson,1985,SG,28,6,0.5,21.7,1.2,0.8913043478260869,0.5217391304347826,0.32608695652173914,1.7391304347826089
Wallace Bryant,1985,C,25,2,0.49,10.4,0.3,0.8888888888888888,0.07407407407407407,0.4444444444444444,1.4074074074074074
Wayne Cooper,1985,C,28,7,0.505,20.6,-0.2,0.7777777777777778,0.8148148148148148,0.7037037037037037,2.2962962962962963
Wes Matthews,1985,PG,25,5,0.523,15,0.3,0.4883720930232558,0.13953488372093023,0.7209302325581395,1.3488372093023255
World B. Free,1985,SG,31,10,0.529,29.4,2.8,0.5652173913043478,0.9565217391304348,0.043478260869565216,1.565217391304348
A.C. Green,1986,PF,22,1,0.564,14.7,0.2,0.27450980392156865,0.3137254901960784,0.39215686274509803,0.9803921568627452
Adrian Dantley,1986,SF,30,10,0.629,30,4.8,0,0.9583333333333334,0.041666666666666664,1
Al Wood,1986,SG,27,5,0.489,24.6,0.2,0.7954545454545454,0.8409090909090909,0.5681818181818182,2.2045454545454546
Albert King,1986,SF,26,5,0.498,24.6,-0.1,0.875,0.7708333333333334,0.8125,2.4583333333333335
Alex English,1986,SF,32,10,0.562,30.5,3.7,0.25,0.9791666666666666,0.08333333333333333,1.3124999999999998
Alfredrick Hughes,1986,SG,23,1,0.435,21.9,-0.8,0.9545454545454546,0.5227272727272727,0.9772727272727273,2.4545454545454546
Allen Leavell,1986,PG,28,7,0.553,20.2,0.7,0.35,0.575,0.675,1.6
Alton Lister,1986,C,27,5,0.573,18.9,1.4,0.2653061224489796,0.6326530612244898,0.2653061224489796,1.1632653061224492
Alvan Adams,1986,C,31,11,0.547,19.4,1.8,0.40816326530612246,0.673469387755102,0.1836734693877551,1.2653061224489797
Alvin Robertson,1986,SG,23,2,0.563,20.9,4.9,0.09090909090909091,0.45454545454545453,0,0.5454545454545454
Artis Gilmore,1986,C,36,15,0.661,18.2,1.7,0.04081632653061224,0.5714285714285714,0.20408163265306123,0.8163265306122449
Ben Poquette,1986,PF,30,9,0.518,12.6,0.2,0.6862745098039216,0.09803921568627451,0.39215686274509803,1.1764705882352942
Benoit Benjamin,1986,C,21,1,0.551,18.1,0.8,0.3469387755102041,0.5510204081632653,0.4897959183673469,1.387755102040816
Bernard Thompson,1986,SG,23,2,0.552,17.4,0,0.22727272727272727,0.25,0.6590909090909091,1.1363636363636362
Bill Garnett,1986,PF,25,4,0.548,13.8,0.2,0.4117647058823529,0.23529411764705882,0.39215686274509803,1.0392156862745097
Bill Hanzlik,1986,SF,28,6,0.537,21.1,1.2,0.4166666666666667,0.4583333333333333,0.3333333333333333,1.2083333333333333
Bill Laimbeer,1986,C,28,6,0.545,18.7,1.9,0.42857142857142855,0.5918367346938775,0.16326530612244897,1.183673469387755
Bill Martin,1986,SF,23,1,0.516,22.6,-0.2,0.5833333333333334,0.5833333333333334,0.8541666666666666,2.0208333333333335
Bill Walton,1986,C,33,9,0.606,17.3,2,0.08163265306122448,0.4489795918367347,0.12244897959183673,0.653061224489796
Bill Wennington,1986,C,22,1,0.524,14.6,-0.1,0.6530612244897959,0.2653061224489796,0.7346938775510204,1.6530612244897958
Blair Rasmussen,1986,C,23,1,0.458,24.2,-0.5,0.9183673469387755,0.8571428571428571,0.8979591836734694,2.673469387755102
Bob Hansen,1986,SG,25,3,0.517,16.2,-0.3,0.5909090909090909,0.18181818181818182,0.8863636363636364,1.6590909090909092
Bob Thornton,1986,PF,23,1,0.487,13.6,-1,0.9607843137254902,0.17647058823529413,1,2.1372549019607843
Bobby Jones,1986,PF,34,12,0.612,13,0.9,0.13725490196078433,0.11764705882352941,0.21568627450980393,0.47058823529411764
Brad Davis,1986,PG,30,9,0.634,14.7,1.8,0,0.125,0.35,0.475
Buck Williams,1986,PF,25,5,0.565,18.1,1.1,0.2549019607843137,0.5294117647058824,0.1568627450980392,0.9411764705882353
Byron Scott,1986,SG,24,3,0.55,21.7,0.9,0.25,0.4772727272727273,0.38636363636363635,1.1136363636363638
Caldwell Jones,1986,C,35,13,0.588,11.6,-0.1,0.16326530612244897,0.10204081632653061,0.7346938775510204,1
Calvin Natt,1986,PF,29,7,0.562,23.3,1.7,0.29411764705882354,0.8823529411764706,0.11764705882352941,1.2941176470588236
Carey Scurry,1986,SF,23,1,0.509,15.7,0.5,0.7083333333333334,0.08333333333333333,0.5416666666666666,1.3333333333333335
Cedric Maxwell,1986,SF,30,9,0.592,18.2,0.9,0.08333333333333333,0.1875,0.375,0.6458333333333333
Charles Barkley,1986,PF,22,2,0.619,22.4,5.3,0.058823529411764705,0.803921568627451,0,0.8627450980392157
Charles Davis,1986,SF,27,5,0.512,22.1,0.1,0.6458333333333334,0.5416666666666666,0.7083333333333334,1.8958333333333335
Charles Jones,1986,C,28,3,0.535,9.4,1,0.5102040816326531,0.04081632653061224,0.42857142857142855,0.9795918367346939
Charles Jones,1986,PF,24,2,0.483,14.2,0.2,0.9803921568627451,0.2549019607843137,0.39215686274509803,1.6274509803921569
Charles Oakley,1986,PF,22,1,0.561,19.2,0.7,0.3137254901960784,0.6078431372549019,0.2549019607843137,1.176470588235294
Charles Pittman,1986,PF,27,4,0.63,13.6,0,0.0196078431372549,0.17647058823529413,0.5490196078431373,0.7450980392156863
Chris Mullin,1986,SG,22,1,0.539,22.2,0.8,0.3409090909090909,0.5909090909090909,0.4090909090909091,1.340909090909091
Clemon Johnson,1986,C,29,8,0.505,11.2,0.1,0.7959183673469388,0.08163265306122448,0.6326530612244898,1.510204081632653
Cliff Levingston,1986,PF,25,4,0.572,16.2,1.2,0.21568627450980393,0.4117647058823529,0.13725490196078433,0.7647058823529411
Cliff Robinson,1986,SF,25,7,0.518,26.4,1.7,0.5625,0.8125,0.2708333333333333,1.6458333333333333
Clint Richardson,1986,SG,29,7,0.496,17.3,0.6,0.7272727272727273,0.22727272727272727,0.45454545454545453,1.4090909090909092
Clyde Drexler,1986,SG,23,3,0.53,24.4,4.1,0.45454545454545453,0.8181818181818182,0.022727272727272728,1.2954545454545454
Craig Hodges,1986,SG,25,4,0.591,16,1.7,0.022727272727272728,0.1590909090909091,0.22727272727272727,0.40909090909090906
Dale Ellis,1986,SF,25,3,0.502,20.4,0.3,0.8125,0.3958333333333333,0.625,1.8333333333333333
Dan Roundfield,1986,PF,32,11,0.56,18.1,0.7,0.3333333333333333,0.5294117647058824,0.2549019607843137,1.1176470588235294
Danny Ainge,1986,SG,26,5,0.562,15.2,1.8,0.11363636363636363,0.11363636363636363,0.18181818181818182,0.40909090909090906
Danny Schayes,1986,C,26,5,0.585,15.5,0,0.20408163265306123,0.3469387755102041,0.6938775510204082,1.2448979591836733
Danny Vranes,1986,SF,27,5,0.475,10,0.1,0.9583333333333334,0,0.7083333333333334,1.6666666666666667
Danny Young,1986,PG,23,2,0.573,12.9,1.9,0.225,0.05,0.3,0.575
Darrell Walker,1986,PG,24,3,0.479,22.1,1.7,0.85,0.85,0.4,2.1
Darren Daye,1986,SF,25,3,0.552,23.4,0.7,0.3333333333333333,0.6875,0.4375,1.4583333333333333
Darryl Dawkins,1986,C,29,11,0.68,23,1.2,0,0.8367346938775511,0.3673469387755102,1.2040816326530612
Darwin Cook,1986,PG,27,6,0.465,16.4,1.6,0.95,0.225,0.425,1.6
Dave Corzine,1986,C,29,8,0.539,16.6,1.1,0.4489795918367347,0.3877551020408163,0.40816326530612246,1.2448979591836735
Dave Greenwood,1986,PF,28,7,0.574,12.3,0.2,0.17647058823529413,0.0784313725490196,0.39215686274509803,0.6470588235294117
David Thirdkill,1986,PF,25,4,0.548,17.9,-0.1,0.4117647058823529,0.5098039215686274,0.5882352941176471,1.5098039215686274
Dennis Johnson,1986,PG,31,10,0.509,20.5,1.8,0.725,0.7,0.35,1.775
Derek Harper,1986,PG,24,3,0.58,18.5,2.9,0.175,0.4,0.125,0.7
Detlef Schrempf,1986,SF,23,1,0.52,19.6,-0.4,0.5416666666666666,0.3125,0.9791666666666666,1.8333333333333333
Dirk Minniefield,1986,PG,25,1,0.537,17.9,0.6,0.425,0.35,0.75,1.525
Doc Rivers,1986,PG,24,3,0.52,19,2.1,0.625,0.425,0.2,1.25
Dominique Wilkins,1986,SF,26,4,0.536,32.9,4.8,0.4583333333333333,1,0.041666666666666664,1.5
Dudley Bradley,1986,SG,28,6,0.417,13.8,0.3,1,0.045454545454545456,0.5454545454545454,1.5909090909090908
Dwayne McClain,1986,SF,22,1,0.402,21,-0.2,1,0.4375,0.8541666666666666,2.2916666666666665
Earl Cureton,1986,PF,28,6,0.523,15.7,0.2,0.6274509803921569,0.39215686274509803,0.39215686274509803,1.4117647058823528
Ed Pinckney,1986,SF,22,1,0.599,17.8,0.2,0.0625,0.14583333333333334,0.6666666666666666,0.875
Eddie Johnson,1986,SF,26,5,0.523,26.6,0.6,0.5208333333333334,0.8541666666666666,0.5,1.875
Edgar Jones,1986,PF,29,6,0.572,20.7,0.6,0.21568627450980393,0.6862745098039216,0.3137254901960784,1.215686274509804
Elston Turner,1986,SG,26,5,0.459,14,0,0.9090909090909091,0.06818181818181818,0.6590909090909091,1.6363636363636362
Ernie Grunfeld,1986,SF,30,9,0.512,13.5,0.3,0.6458333333333334,0.041666666666666664,0.625,1.3125
Fat Lever,1986,PG,25,4,0.473,19.9,2.4,0.9,0.5,0.15,1.5499999999999998
Franklin Edwards,1986,PG,26,5,0.511,21,0.1,0.675,0.725,0.85,2.25
Fred Cofield,1986,PG,24,1,0.428,21.6,-0.3,1,0.775,0.95,2.7249999999999996
Fred Roberts,1986,PF,25,3,0.526,22.3,-0.4,0.5686274509803921,0.7843137254901961,0.7843137254901961,2.1372549019607843
Gene Banks,1986,SF,26,5,0.559,17.9,1.5,0.3125,0.16666666666666666,0.2916666666666667,0.7708333333333333
Geoff Huston,1986,PG,28,7,0.55,12.9,0.3,0.375,0.05,0.8,1.225
George Gervin,1986,SG,33,14,0.534,27.6,0,0.38636363636363635,0.9545454545454546,0.6590909090909091,2
George Johnson,1986,C,37,13,0.583,7,0.2,0.24489795918367346,0,0.5918367346938775,0.8367346938775511
Georgi Glouchkov,1986,PF,26,1,0.455,17.5,-0.8,1,0.47058823529411764,0.9607843137254902,2.431372549019608
Gerald Henderson,1986,PG,30,7,0.537,19.3,2.1,0.425,0.45,0.2,1.075
Gerald Wilkins,1986,SG,22,1,0.488,24.7,-0.1,0.8181818181818182,0.8863636363636364,0.7727272727272727,2.4772727272727275
Granville Waiters,1986,C,25,3,0.324,13.2,-0.2,1,0.1836734693877551,0.7755102040816326,1.9591836734693877
Greg Ballard,1986,SF,31,9,0.529,14.9,0.4,0.4791666666666667,0.0625,0.6041666666666666,1.1458333333333335
Greg Kite,1986,C,24,3,0.384,12.4,-0.5,0.9795918367346939,0.16326530612244897,0.8979591836734694,2.0408163265306123
Gus Williams,1986,PG,32,10,0.473,23,1,0.9,0.925,0.525,2.35
Hakeem Olajuwon,1986,C,23,2,0.56,25.6,3.8,0.2857142857142857,0.8979591836734694,0.02040816326530612,1.2040816326530612
Herb Williams,1986,C,27,5,0.533,24.6,2.4,0.5510204081632653,0.8775510204081632,0.10204081632653061,1.5306122448979589
Isiah Thomas,1986,PG,24,5,0.554,24.4,4.9,0.325,0.975,0.025,1.325
Jack Sikma,1986,C,30,9,0.535,22.4,3.1,0.5102040816326531,0.8163265306122449,0.04081632653061224,1.3673469387755102
James Bailey,1986,PF,28,7,0.516,20.7,-0.4,0.7254901960784313,0.6862745098039216,0.7843137254901961,2.1960784313725488
James Edwards,1986,C,30,9,0.589,25.7,0.2,0.14285714285714285,0.9183673469387755,0.5918367346938775,1.653061224489796
James Worthy,1986,SF,24,4,0.613,22.6,3.6,0.041666666666666664,0.5833333333333334,0.10416666666666667,0.7291666666666666
Jawann Oldham,1986,C,28,6,0.533,14.3,0.1,0.5510204081632653,0.24489795918367346,0.6326530612244898,1.4285714285714286
Jay Humphries,1986,PG,23,2,0.534,15.1,0.9,0.525,0.15,0.6,1.275
