player,season,pos,age,experience,ts_percent,usg_percent,vorp,ts_rank,usg_rank,vorp_rank,empty_stats
Rich Kelley,1978,C,24,3,0.571,17.1,2.5,0.1282051282051282,0.3333333333333333,0.28205128205128205,0.7435897435897436
Richard Washington,1978,PF,22,2,0.511,20,0.4,0.35135135135135137,0.6486486486486487,0.5405405405405406,1.5405405405405406
Rick Barry,1978,SF,33,12,0.509,27.1,4.3,0.5319148936170213,0.9574468085106383,0,1.4893617021276597
Rickey Green,1978,PG,23,1,0.41,17.6,-0.3,1,0.45714285714285713,0.9428571428571428,2.4
Ricky Marsh,1978,SG,23,1,0.443,16.3,-0.2,1,0.08108108108108109,1,2.081081081081081
Ricky Sobers,1978,PG,25,3,0.514,21.8,1.3,0.4,0.8285714285714286,0.2,1.4285714285714286
Robert Parish,1978,C,24,2,0.499,24.5,0.5,0.7435897435897436,0.8461538461538461,0.6410256410256411,2.230769230769231
Robert Reid,1978,SF,22,1,0.475,15,0.3,0.7659574468085106,0.1276595744680851,0.6595744680851063,1.553191489361702
Robert Smith,1978,PG,22,1,0.562,12.9,0.1,0.05714285714285714,0.11428571428571428,0.8,0.9714285714285715
Ron Boone,1978,SG,31,10,0.504,25,0,0.5675675675675675,0.7297297297297297,0.8378378378378378,2.135135135135135
Ron Lee,1978,PG,25,2,0.478,24.5,1.6,0.8571428571428571,0.9428571428571428,0.11428571428571428,1.9142857142857141
Sam Lacey,1978,C,29,8,0.494,15.3,2.7,0.7948717948717948,0.20512820512820512,0.23076923076923078,1.2307692307692308
Scott May,1978,SF,23,2,0.516,18.7,0.2,0.46808510638297873,0.44680851063829785,0.6808510638297872,1.5957446808510638
Scott Wedman,1978,SF,25,4,0.55,18.8,2.1,0.19148936170212766,0.48936170212765956,0.19148936170212766,0.8723404255319149
Sidney Wicks,1978,PF,28,7,0.505,20.8,0.5,0.40540540540540543,0.6756756756756757,0.4594594594594595,1.5405405405405406
Sonny Parker,1978,SF,22,2,0.544,18.7,2.4,0.23404255319148937,0.44680851063829785,0.1276595744680851,0.8085106382978723
Spencer Haywood,1978,PF,28,9,0.505,22.6,0.5,0.40540540540540543,0.8108108108108109,0.4594594594594595,1.6756756756756757
Steve Green,1978,SF,24,3,0.495,14.7,-0.1,0.6595744680851063,0.0851063829787234,0.7446808510638298,1.4893617021276595
Steve Hawes,1978,PF,27,4,0.5,19,1.9,0.4864864864864865,0.6216216216216216,0.13513513513513514,1.2432432432432432
Steve Mix,1978,SF,30,8,0.576,16.4,1.4,0.0425531914893617,0.2127659574468085,0.2978723404255319,0.553191489361702
Steve Sheppard,1978,SF,23,1,0.48,19.2,-0.1,0.7446808510638298,0.5319148936170213,0.7446808510638298,2.021276595744681
Swen Nater,1978,C,28,5,0.543,19.2,1.6,0.3076923076923077,0.5641025641025641,0.358974358974359,1.2307692307692308
T.R. Dunn,1978,SG,22,1,0.448,15.4,0.5,0.972972972972973,0.02702702702702703,0.5675675675675675,1.5675675675675675
Tate Armstrong,1978,SG,22,1,0.487,19.7,-0.1,0.6756756756756757,0.21621621621621623,0.918918918918919,1.810810810810811
Terry Furlow,1978,SG,23,2,0.485,27,0.3,0.7297297297297297,0.8918918918918919,0.7027027027027027,2.324324324324324
Tim Bassett,1978,PF,26,5,0.408,12.7,-0.3,1,0.16216216216216217,0.8918918918918919,2.0540540540540544
