player,season,pts_per_game,trb_per_game,ast_per_game,stl_per_game,blk_per_game,pts_as_percent_of_other_stats
Gene Littles,1974,8.4,2.8,3.3,1.3,0.2,0.525
Geoff Petrie,1974,24.3,2.8,4.3,1.2,0.2,0.7408536585365852
George Adams,1974,7.3,4.3,1.6,0.6,0.3,0.5177304964539007
George Carter,1974,19.3,6.7,1.7,0.8,0.2,0.6724738675958188
George Irvine,1974,8.5,2.4,1,0.4,0.2,0.68
George Johnson,1974,6.1,7.9,1.1,0.5,1.9,0.34857142857142853
George Karl,1974,7.8,1.7,2.2,0.9,0.1,0.6141732283464567
George McGinnis,1974,25.9,15,3.3,2,0.5,0.5546038543897216
George Thompson,1974,19.2,3.5,5.1,1.5,0.3,0.6486486486486487
George Trapp,1974,9.3,3.8,1,0.6,0.4,0.6158940397350994
Gerald Govan,1974,7,8.8,3,0.7,0.6,0.34825870646766166
Goo Kennedy,1974,5.9,5.1,1.1,0.8,0.2,0.450381679389313
Greg Smith,1974,3.7,2.8,1.2,0.6,0.1,0.44047619047619047
Hank Finkel,1974,2.5,2.3,0.5,0.1,0.1,0.45454545454545464
Happy Hairston,1974,14.5,13.5,2.7,0.8,0.2,0.45741324921135645
Harthorne Wingo,1974,3.5,2.8,0.4,0.1,0.2,0.5
Henry Bibby,1974,7.5,2,1.4,1,0,0.6302521008403361
Herm Gilliam,1974,14.1,4.3,5.7,2.2,0.3,0.5300751879699248
Howard Porter,1974,9.4,3.9,0.4,0.3,0.5,0.6482758620689655
James Silas,1974,15.7,4.1,3.8,1.1,0.1,0.6330645161290323
Jeff Mullins,1974,16.2,3.6,4,0.9,0.3,0.648
Jerry Lucas,1974,6.2,5.1,3.2,0.4,0.3,0.40789473684210525
Jerry Sloan,1974,13.2,7.2,1.9,2.4,0.1,0.5322580645161291
Jim Barnett,1974,11.5,2.9,2.7,0.7,0.1,0.6424581005586592
Jim Brewer,1974,6.1,6.4,1.8,0.6,0.4,0.3986928104575163
Jim Chones,1974,14.8,7.8,1.4,0.7,1.6,0.5627376425855514
Jim Cleamons,1974,7,2.8,2.8,0.8,0.2,0.5147058823529411
Jim Davis,1974,4.2,3.8,1.1,0.5,0.4,0.42000000000000004
Jim Eakins,1974,14.6,9.6,2.8,0.8,1.2,0.503448275862069
Jim Fox,1974,11.3,9.2,2.9,0.7,0.3,0.4631147540983607
Jim McMillian,1974,18.6,7.4,3.1,1.6,0.3,0.6
Jim Price,1974,15.4,4.6,4.5,1.9,0.4,0.5746268656716419
Jim Washington,1974,10,10.1,2.1,0.7,1,0.41841004184100417
Jimmy Jones,1974,16.8,4.3,5.2,1.9,0.4,0.5874125874125875
Jo Jo White,1974,18.1,4.3,5.5,1.3,0.3,0.6135593220338983
Joe Caldwell,1974,14.4,5.2,4.4,2.2,0.4,0.5413533834586467
John Block,1974,8.7,4.7,1.1,0.8,0.4,0.554140127388535
John Brown,1974,9.3,5.7,1.5,0.4,0.2,0.5438596491228072
John Gianelli,1974,7.3,4.9,1.1,0.3,0.6,0.5140845070422535
John Havlicek,1974,22.6,6.4,5.9,1.3,0.4,0.6174863387978143
John Johnson,1974,16.4,7.5,4.1,1,0.4,0.5578231292517006
John Mengelt,1974,8.8,2.7,1.9,0.9,0.1,0.6111111111111112
John Tschogl,1974,2,1.2,0.5,0.3,0.3,0.46511627906976744
John Warren,1974,4.3,1.9,0.9,0.4,0.1,0.5657894736842105
John Wetzel,1974,3.6,2.4,2,1,0.3,0.3870967741935484
John Williamson,1974,14.5,2.8,3.2,1.1,0.4,0.6590909090909091
Jon McGlocklin,1974,9.2,1.8,3.1,0.5,0.1,0.6258503401360545
Julius Erving,1974,27.4,10.7,5.2,2.3,2.4,0.5708333333333334
Julius Keye,1974,4.5,8.7,1.7,0.5,1.9,0.2601156069364162
Kareem Abdul-Jabbar,1974,27,14.5,4.8,1.4,3.5,0.52734375
Keith Erickson,1974,14.6,6.3,3.1,1,0.3,0.5770750988142292
Ken Charles,1974,3.9,1.1,0.9,0.5,0.2,0.5909090909090908
Kenny McIntosh,1974,7.4,5.2,1.4,0.8,0.4,0.48684210526315785
Kevin Porter,1974,14,2.2,5.8,1.2,0.1,0.6008583690987124
Lamar Green,1974,4.1,4.9,0.6,0.4,0.5,0.3904761904761904
Larry Finch,1974,6.8,1.1,1.7,0.4,0,0.6799999999999999
Larry Jones,1974,10,2.6,3.2,1.2,0.3,0.5780346820809248
Larry Kenon,1974,15.9,11.5,1.3,0.9,0.2,0.5335570469798658
Larry Steele,1974,9.7,3.8,4,2.7,0.4,0.470873786407767
Lee Davis,1974,8,5.3,1.8,0.4,0.5,0.5
Lenny Wilkens,1974,16.4,3.7,7.1,1.3,0.2,0.5714285714285715
Leroy Ellis,1974,9.9,11,2.3,1.1,1.1,0.38976377952755903
Lloyd Neal,1974,7.6,6.2,1.1,0.6,0.9,0.4634146341463415
Lou Hudson,1974,25.4,5.4,3.3,2.5,0.4,0.6864864864864866
Louie Dampier,1974,17.8,2.4,5.6,1,0.2,0.6592592592592593
