season,player,tm,g,mp,net_plus_minus_per_100_poss,g_percent,median,npm_diff
2010,Glen Davis,BOS,54,933,-9.8,0.6585365853658537,0.55,-10.350000000000001
2011,Marquis Daniels,BOS,49,938,-5.9,0.5975609756097561,1.25,-7.15
2012,Keyon Dooling,BOS,46,662,-17.3,0.696969696969697,-0.7000000000000001,-16.6
2013,Brandon Bass,BOS,81,2239,-7.2,1,-1.1,-6.1
2014,Brandon Bass,BOS,82,2266,-7,1,-1.4500000000000002,-5.55
2015,Evan Turner,BOS,82,2260,-6.1,1,-4.3,-1.7999999999999998
2016,Tyler Zeller,BOS,60,710,-8,0.7317073170731707,2.2,-10.2
2017,Jaylen Brown,BOS,78,1341,-7.5,0.9512195121951219,-2.6,-4.9
2018,Abdel Nader,BOS,48,522,-15.8,0.5853658536585366,-2.5,-13.3
2019,Terry Rozier,BOS,79,1791,-9.5,0.9634146341463414,1.25,-10.75
2020,Semi Ojeleye,BOS,69,1011,-9.5,0.9583333333333334,0.5,-10
2021,Grant Williams,BOS,63,1138,-4.2,0.875,-0.45,-3.75
2022,Dennis Schröder,BOS,49,1433,-9.4,0.5975609756097561,-4.699999999999999,-4.700000000000001
2013,Kris Humphries,BRK,65,1191,-7.8,0.7926829268292683,-2.2,-5.6
2014,Mirza Teletović,BRK,72,1396,-3.9,0.8780487804878049,1.3,-5.2
2015,Jarrett Jack,BRK,80,2241,-10.9,0.975609756097561,2,-12.9
2016,Thomas Robinson,BRK,71,917,-9.1,0.8658536585365854,-3.5,-5.6
2017,Justin Hamilton,BRK,64,1177,-7.9,0.7804878048780488,-0.7,-7.2
2018,D'Angelo Russell,BRK,48,1234,-4.9,0.5853658536585366,0.6,-5.5
2019,Spencer Dinwiddie,BRK,68,1914,-5.5,0.8292682926829268,-0.25,-5.25
2020,Džanan Musa,BRK,40,487,-2.8,0.5555555555555556,-1,-1.7999999999999998
2021,DeAndre Jordan,BRK,57,1246,-8.9,0.7916666666666666,-1.4500000000000002,-7.45
2022,Cam Thomas,BRK,67,1176,-10.9,0.8170731707317073,-1.6,-9.3
2005,Primož Brezec,CHA,72,2276,-3.9,0.8780487804878049,-0.2,-3.6999999999999997
2006,Primož Brezec,CHA,79,2165,-9.7,0.9634146341463414,1.9,-11.6
2007,Adam Morrison,CHA,78,2326,-7.1,0.9512195121951219,1,-8.1
2008,Nazr Mohammed,CHA,61,1422,-8.1,0.7439024390243902,3.8,-11.899999999999999
2009,Adam Morrison,CHA,44,667,-8.9,0.5365853658536586,4.1,-13
2010,Tyson Chandler,CHA,51,1163,-3.9,0.6219512195121951,0.35,-4.25
2011,Kwame Brown,CHA,66,1714,-5.6,0.8048780487804879,-0.5,-5.1
2012,Reggie Williams,CHA,33,747,-4.9,0.5,0.5,-5.4
2013,Byron Mullens,CHA,53,1428,-8.6,0.6463414634146342,1.8,-10.4
2014,Cody Zeller,CHA,82,1416,-3.8,1,0.8,-4.6
1997,Matt Geiger,CHH,49,1044,-2.5,0.5975609756097561,-1.6,-0.8999999999999999
1998,Matt Geiger,CHH,78,1839,-6.2,0.9512195121951219,-0.4,-5.8
1999,Derrick Coleman,CHH,37,1178,-9.9,0.74,0.050000000000000044,-9.950000000000001
2000,Ricky Davis,CHH,48,570,-11.7,0.5853658536585366,-1.5,-10.2
2001,Hersey Hawkins,CHH,59,681,-4,0.7195121951219512,0.7,-4.7
2001,Otis Thorpe,CHH,49,647,-4,0.5975609756097561,0.7,-4.7
2002,David Wesley,CHH,67,2487,-7.6,0.8170731707317073,-0.8,-6.8
1997,Bill Wennington,CHI,61,783,-4.9,0.7439024390243902,-2.3,-2.6000000000000005
1998,Randy Brown,CHI,71,1147,-5.9,0.8658536585365854,0,-5.9
1999,Keith Booth,CHI,39,432,-9.5,0.78,-2.6500000000000004,-6.85
2000,Randy Brown,CHI,59,1625,-11.7,0.7195121951219512,-0.9999999999999999,-10.7
2001,Dragan Tarlać,CHI,43,598,-8.2,0.524390243902439,-1.5,-6.699999999999999
2002,Charles Oakley,CHI,57,1383,-5,0.6951219512195121,-0.3,-4.7
2003,Trenton Hassell,CHI,82,1999,-9.1,1,0.25,-9.35
2004,Kendall Gill,CHI,56,1411,-4.6,0.6829268292682927,0.65,-5.25
2005,Andrés Nocioni,CHI,81,1892,-9.2,0.9878048780487805,-1.7,-7.499999999999999
2006,Andrés Nocioni,CHI,82,2239,-5.5,1,-0.35,-5.15
2007,Andrés Nocioni,CHI,53,1406,-5.7,0.6463414634146342,0.8999999999999999,-6.6
2008,Ben Gordon,CHI,72,2291,-7,0.8780487804878049,0.55,-7.55
2009,Tyrus Thomas,CHI,79,2175,-8.3,0.9634146341463414,-2.45,-5.8500000000000005
2010,James Johnson,CHI,65,757,-8.9,0.7926829268292683,0.19999999999999998,-9.1
2011,Joakim Noah,CHI,48,1576,-4.4,0.5853658536585366,-0.5,-3.9000000000000004
2012,C.J. Watson,CHI,49,1159,-12.2,0.7424242424242424,-0.4,-11.799999999999999
2013,Carlos Boozer,CHI,79,2546,-8.4,0.9634146341463414,-0.6,-7.800000000000001
2014,Tony Snell,CHI,77,1231,-9.4,0.9390243902439024,2.9,-12.3
2015,Taj Gibson,CHI,62,1692,-2.8,0.7560975609756098,0.1,-2.9
2016,Bobby Portis,CHI,62,1102,-8.6,0.7560975609756098,1.4,-10
2017,Bobby Portis,CHI,64,1000,-6.5,0.7804878048780488,-0.75,-5.75
2018,Cristiano Felício,CHI,55,977,-13.3,0.6707317073170732,-0.5,-12.8
2019,Wendell Carter Jr.,CHI,44,1110,-7.2,0.5365853658536586,0.6000000000000001,-7.800000000000001
2020,Thaddeus Young,CHI,64,1591,-5.8,0.9846153846153847,-1.3,-4.5
2021,Patrick Williams,CHI,71,1983,-13,0.9861111111111112,1.25,-14.25
2022,Ayo Dosunmu,CHI,77,2110,-8.7,0.9390243902439024,-0.95,-7.749999999999999
2015,Jason Maxiell,CHO,61,878,-6.2,0.7439024390243902,-2,-4.2
2016,P.J. Hairston,CHO,48,938,-10.8,0.5853658536585366,-0.55,-10.25
2017,Brian Roberts,CHO,41,416,-7.8,0.5,-0.6,-7.2
2018,Malik Monk,CHO,63,854,-15.6,0.7682926829268293,0.7,-16.3
2019,Devonte' Graham,CHO,46,676,-6.7,0.5609756097560976,0.5,-7.2
2020,Terry Rozier,CHO,63,2164,-9.5,0.9692307692307692,-0.9,-8.6
2021,Bismack Biyombo,CHO,66,1349,-9.8,0.9166666666666666,3.5,-13.3
2022,Kelly Oubre Jr.,CHO,76,1999,-2.1,0.926829268292683,1.4,-3.5
1997,Vitaly Potapenko,CLE,80,1238,-4.3,0.975609756097561,-1.05,-3.25
1998,Bob Sura,CLE,46,942,-5.2,0.5609756097560976,-0.19999999999999996,-5
1999,Andrew DeClercq,CLE,33,844,-16.8,0.66,2.7,-19.5
2000,Andrew DeClercq,CLE,82,1831,-7,1,-0.1,-6.9
2001,Bimbo Coles,CLE,47,804,-7.8,0.573170731707317,-0.8,-7
2002,Bimbo Coles,CLE,47,693,-13.5,0.573170731707317,-0.3,-13.2
2003,Carlos Boozer,CLE,81,2049,-3.7,0.9878048780487805,-0.6,-3.1
2004,Dajuan Wagner,CLE,44,708,-6.4,0.5365853658536586,-2,-4.4
2005,Lucious Harris,CLE,73,1128,-4.4,0.8902439024390244,-0.8,-3.6000000000000005
2006,Alan Henderson,CLE,51,531,-7,0.6219512195121951,-0.35,-6.65
2007,Drew Gooden,CLE,80,2238,-8.2,0.975609756097561,0.7,-8.899999999999999
2008,Ira Newble,CLE,41,650,-13.2,0.5,0.55,-13.75
2009,J.J. Hickson,CLE,62,705,-18.8,0.7560975609756098,2.1,-20.900000000000002
2010,Jawad Williams,CLE,54,742,-10,0.6585365853658537,-0.35,-9.65
2011,J.J. Hickson,CLE,80,2256,-5.7,0.975609756097561,-1.9,-3.8000000000000003
2012,Tristan Thompson,CLE,60,1424,-6.6,0.9090909090909091,1.45,-8.049999999999999
2013,Daniel Gibson,CLE,46,919,-8.8,0.5609756097560976,0.6,-9.4
2014,Earl Clark,CLE,45,698,-8.1,0.5487804878048781,-3.7,-4.3999999999999995
2015,James Jones,CLE,57,669,-16.5,0.6951219512195121,2.5,-19
2016,Mo Williams,CLE,41,748,-13.3,0.5,0.4,-13.700000000000001
2017,Channing Frye,CLE,74,1398,-3.1,0.9024390243902439,0.45,-3.5500000000000003
2018,Jae Crowder,CLE,53,1346,-8.8,0.6463414634146342,2.3,-11.100000000000001
2019,Collin Sexton,CLE,82,2605,-7.9,1,-2.9,-5
2020,Kevin Porter Jr.,CLE,50,1162,-5.6,0.7692307692307693,-2.25,-3.3499999999999996
2021,Damyean Dotson,CLE,46,907,-4.8,0.6388888888888888,-1.9,-2.9
2022,Cedi Osman,CLE,66,1462,-6.3,0.8048780487804879,0.25,-6.55
1997,Samaki Walker,DAL,43,602,-5.9,0.524390243902439,-1.35,-4.550000000000001
1998,Samaki Walker,DAL,41,1027,-5.9,0.5,-0.8,-5.1000000000000005
1999,Samaki Walker,DAL,39,568,-13.8,0.78,-0.6,-13.200000000000001
2000,Hubert Davis,DAL,79,1817,-7.4,0.9634146341463414,3.4000000000000004,-10.8
2001,Christian Laettner,DAL,53,930,-5.4,0.6463414634146342,1.55,-6.95
2002,Danny Manning,DAL,41,552,-8.9,0.5,-0.9,-8
2003,Walt Williams,DAL,66,1161,-6.3,0.8048780487804879,-0.6,-5.7
2004,Antoine Walker,DAL,82,2840,-9.7,1,0.2,-9.899999999999999
2005,Alan Henderson,DAL,78,1203,-16.1,0.9512195121951219,0.09999999999999987,-16.200000000000003
2006,Darrell Armstrong,DAL,62,622,-6.1,0.7560975609756098,-0.5,-5.6
2007,Greg Buckner,DAL,76,1372,-8.4,0.926829268292683,-2,-6.4
2008,Brandon Bass,DAL,79,1557,-10,0.9634146341463414,0.5,-10.5
2009,Devean George,DAL,43,708,-9.4,0.524390243902439,1.2,-10.6
2010,Drew Gooden,DAL,46,1030,-10.2,0.5609756097560976,2.3,-12.5
2011,Shawn Marion,DAL,80,2253,-9.6,0.975609756097561,-3.75,-5.85
2012,Lamar Odom,DAL,50,1027,-8.3,0.7575757575757576,0.45,-8.75
2013,Chris Kaman,DAL,66,1363,-6.8,0.8048780487804879,0.3,-7.1
2014,Shawn Marion,DAL,76,2409,-9.9,0.926829268292683,-2,-7.9
2015,Charlie Villanueva,DAL,64,678,-8.1,0.7804878048780488,0.4,-8.5
2016,Charlie Villanueva,DAL,62,665,-9,0.7560975609756098,-0.44999999999999996,-8.55
2017,Justin Anderson,DAL,51,710,-7.8,0.6219512195121951,1.25,-9.05
2018,Wesley Matthews,DAL,63,2131,-10,0.7682926829268293,-0.3,-9.7
2019,Dirk Nowitzki,DAL,51,795,-4.5,0.6219512195121951,-1.2,-3.3
2020,Delon Wright,DAL,73,1570,-4.9,0.9733333333333334,1.2,-6.1000000000000005
2020,Justin Jackson,DAL,65,1045,-4.9,0.8666666666666667,1.2,-6.1000000000000005
2021,Kristaps Porziņģis,DAL,43,1327,-4.9,0.5972222222222222,1.0499999999999998,-5.95
2022,Trey Burke,DAL,42,441,-5.4,0.5121951219512195,0.05,-5.45
1997,Dale Ellis,DEN,82,2940,-6.5,1,2.5,-9
1998,Eric Washington,DEN,66,1539,-7.1,0.8048780487804879,0.04999999999999999,-7.1499999999999995
1999,Nick Van Exel,DEN,50,1802,-7.5,1,0.6,-8.1
2000,Antonio McDyess,DEN,81,2698,-5.4,0.9878048780487805,-0.2,-5.2
2001,Kevin Willis,DEN,43,1059,-7.4,0.524390243902439,0.1,-7.5
2002,Zendon Hamilton,DEN,54,848,-9.1,0.6585365853658537,-1.3,-7.8
2003,Mark Blount,DEN,54,885,-6,0.6585365853658537,-0.4,-5.6
2004,Francisco Elson,DEN,62,875,-3,0.7560975609756098,-0.6,-2.4
2005,Rodney White,DEN,42,531,-9,0.5121951219512195,-0.95,-8.05
2006,Earl Boykins,DEN,60,1542,-6.1,0.7317073170731707,1.5,-7.6
2007,Eduardo Nájera,DEN,75,1658,-1.5,0.9146341463414634,0.3,-1.8
2008,Anthony Carter,DEN,70,1960,-5,0.8536585365853658,-0.35,-4.65
2009,Linas Kleiza,DEN,82,1824,-8.5,1,0.3,-8.8
2010,Joey Graham,DEN,63,759,-9.3,0.7682926829268293,0.6,-9.9
2011,Gary Forbes,DEN,63,791,-7.9,0.7682926829268293,-1.2999999999999998,-6.6000000000000005
2012,Timofey Mozgov,DEN,44,687,-9.8,0.6666666666666666,-1.65,-8.15
2013,JaVale McGee,DEN,79,1433,-5.4,0.9634146341463414,-0.39999999999999997,-5
2014,Anthony Randolph,DEN,43,527,-9.4,0.524390243902439,-1.7000000000000002,-7.7
2015,Gary Harris,DEN,55,719,-10.5,0.6707317073170732,1.7,-12.2
2016,Joffrey Lauvergne,DEN,59,1041,-9,0.7195121951219512,0.4,-9.4
2017,Jusuf Nurkić,DEN,45,807,-11.8,0.5487804878048781,-2.6,-9.200000000000001
2018,Emmanuel Mudiay,DEN,42,752,-12.4,0.5121951219512195,0.2,-12.6
2019,Trey Lyles,DEN,64,1120,-5.4,0.7804878048780488,-0.75,-4.65
2020,Torrey Craig,DEN,58,1072,-11.3,0.7945205479452054,-0.9,-10.4
2021,Facundo Campazzo,DEN,65,1425,-2.5,0.9027777777777778,2.05,-4.55
2022,Facundo Campazzo,DEN,65,1184,-15.2,0.7926829268292683,-1.25,-13.95
1997,Lindsey Hunter,DET,82,3023,-6.3,1,-0.35,-5.95
1998,Lindsey Hunter,DET,71,2505,-6.4,0.8658536585365854,-0.55,-5.8500000000000005
1999,Jerry Stackhouse,DET,42,1188,-6.7,0.84,-0.7,-6
2000,Jerry Stackhouse,DET,82,3148,-6.7,1,-1.7000000000000002,-5
2001,Eric Montross,DET,42,568,-8.3,0.5121951219512195,-0.2,-8.100000000000001
2002,Michael Curry,DET,82,1912,-5.8,1,-0.95,-4.85
2003,Michael Curry,DET,78,1555,-10,0.9512195121951219,-0.5,-9.5
2004,Bob Sura,DET,53,707,-6.8,0.6463414634146342,0.8,-7.6
2005,Antonio McDyess,DET,77,1797,-8,0.9390243902439024,7,-15
2005,Ronald Dupree,DET,47,472,-8,0.573170731707317,7,-15
2006,Carlos Delfino,DET,68,726,-16,0.8292682926829268,0.09999999999999964,-16.1
2007,Lindsey Hunter,DET,52,745,-9.2,0.6341463414634146,-1.2,-7.999999999999999
2008,Rodney Stuckey,DET,57,1081,-6.4,0.6951219512195121,-1,-5.4
2009,Jason Maxiell,DET,78,1408,-5.7,0.9512195121951219,0.8,-6.5
2010,Will Bynum,DET,63,1667,-6.6,0.7682926829268293,-1,-5.6
2011,Jason Maxiell,DET,57,930,-4.7,0.6951219512195121,-0.6,-4.1000000000000005
2012,Austin Daye,DET,41,603,-9.2,0.6212121212121212,-0.15000000000000002,-9.049999999999999
2013,Rodney Stuckey,DET,76,2171,-6.2,0.926829268292683,-1.3,-4.9
2014,Jonas Jerebko,DET,64,741,-3,0.7804878048780488,-0.95,-2.05
2015,D.J. Augustin,DET,54,1287,-3.5,0.6585365853658537,0.2,-3.7
2015,Jodie Meeks,DET,60,1462,-3.5,0.7317073170731707,0.2,-3.7
2016,Stanley Johnson,DET,73,1687,-6.1,0.8902439024390244,-1.65,-4.449999999999999
2017,Reggie Jackson,DET,52,1424,-11.9,0.6341463414634146,-1.65,-10.25
2018,Andre Drummond,DET,78,2625,-3.1,0.9512195121951219,1.3,-4.4
2019,José Calderón,DET,49,632,-16.7,0.5975609756097561,1.2,-17.9
2020,Sekou Doumbouya,DET,38,754,-8.9,0.5757575757575758,-1.1,-7.800000000000001
2021,Sekou Doumbouya,DET,56,869,-3.3,0.7777777777777778,1.35,-4.65
2022,Saddiq Bey,DET,82,2704,-4.7,1,-0.2,-4.5
1997,Andrew DeClercq,GSW,71,1065,-6.5,0.8658536585365854,-2.5,-4
1998,Joe Smith,GSW,49,1645,-4.8,0.5975609756097561,-0.25,-4.55
1999,Tony Delk,GSW,36,630,-7.9,0.72,-0.6499999999999999,-7.25
2000,Mookie Blaylock,GSW,73,2459,-3.4,0.8902439024390244,-0.9,-2.5
2001,Vonteego Cummings,GSW,66,1495,-6.9,0.8048780487804879,-1.3,-5.6000000000000005
2002,Troy Murphy,GSW,82,1448,-3,1,-0.5,-2.5
2003,Jason Richardson,GSW,82,2698,-6.1,1,-2.75,-3.3499999999999996
2004,Mike Dunleavy,GSW,75,2336,-8.3,0.9146341463414634,0.4,-8.700000000000001
2005,Clifford Robinson,GSW,42,1090,-9.3,0.5121951219512195,-1.2,-8.100000000000001
2006,Calbert Cheaney,GSW,42,448,-11.1,0.5121951219512195,1.65,-12.75
2007,Kelenna Azubuike,GSW,41,669,-13.1,0.5,0.9,-14
2008,Kelenna Azubuike,GSW,81,1732,-3.6,0.9878048780487805,0.3,-3.9
2009,Jamal Crawford,GSW,54,2087,-2.8,0.6585365853658537,-0.7,-2.0999999999999996
2010,Monta Ellis,GSW,64,2647,-11.4,0.7804878048780488,3.75,-15.15
2011,Andris Biedriņš,GSW,59,1397,-9.3,0.7195121951219512,-0.4,-8.9
2012,Charles Jenkins,GSW,51,893,-11.4,0.7727272727272727,-2.1,-9.3
2013,Carl Landry,GSW,81,1876,-5.7,0.9878048780487805,0.35,-6.05
2014,Marreese Speights,GSW,79,982,-15.1,0.9634146341463414,-0.1,-15
2015,Leandro Barbosa,GSW,66,982,-12.9,0.8048780487804879,-5.1,-7.800000000000001
2016,Brandon Rush,GSW,72,1055,-15.1,0.8780487804878049,1.1500000000000001,-16.25
2017,Patrick McCaw,GSW,71,1074,-18.1,0.8658536585365854,1.7,-19.8
2018,Patrick McCaw,GSW,57,961,-11.5,0.6951219512195121,0.8,-12.3
2019,Quinn Cook,GSW,74,1059,-16.1,0.9024390243902439,-2.65,-13.450000000000001
2020,Eric Paschall,GSW,60,1654,-4.5,0.9230769230769231,-0.2,-4.3
2021,James Wiseman,GSW,39,836,-14.6,0.5416666666666666,-0.55,-14.049999999999999
2022,Moses Moody,GSW,52,607,-10.2,0.6341463414634146,0.5,-10.7
1997,Sam Mack,HOU,52,904,-7.7,0.6341463414634146,-4,-3.7
1998,Othella Harrington,HOU,58,903,-6.9,0.7073170731707317,-1.4,-5.5
1999,Bryce Drew,HOU,34,441,-5.9,0.68,-0.7,-5.2
2000,Carlos Rogers,HOU,53,1101,-13.8,0.6463414634146342,-1.7,-12.100000000000001
2001,Maurice Taylor,HOU,69,1972,-11,0.8414634146341463,1.1,-12.1
2002,Terence Morris,HOU,68,1110,-7.6,0.8292682926829268,1.1,-8.7
2003,Terence Morris,HOU,49,632,-6,0.5975609756097561,-1.05,-4.95
2004,Maurice Taylor,HOU,75,2081,-6.9,0.9146341463414634,0.45,-7.3500000000000005
2005,Yao Ming,HOU,80,2447,-7,0.975609756097561,-1.3,-5.7
2006,Juwan Howard,HOU,80,2537,-10.7,0.975609756097561,-1.4,-9.299999999999999
2007,Luther Head,HOU,80,2211,-9.7,0.975609756097561,3.8,-13.5
2008,Aaron Brooks,HOU,51,608,-6.5,0.6219512195121951,-0.6,-5.9
2009,Chuck Hayes,HOU,71,858,-7.3,0.8658536585365854,0.4,-7.7
2010,Luis Scola,HOU,82,2671,-3.8,1,0.95,-4.75
2011,Jordan Hill,HOU,72,1125,-11.8,0.8780487804878049,0.9,-12.700000000000001
2012,Patrick Patterson,HOU,64,1483,-2.8,0.9696969696969697,2.4,-5.199999999999999
2013,Marcus Morris,HOU,54,1154,-4.1,0.6585365853658537,-1.15,-2.9499999999999997
2014,Aaron Brooks,HOU,43,716,-7.3,0.524390243902439,-1,-6.3
2015,Kostas Papanikolaou,HOU,43,795,-7.9,0.524390243902439,-0.4,-7.5
2016,Terrence Jones,HOU,50,1044,-15.2,0.6097560975609756,-1.2,-14
2017,Sam Dekker,HOU,77,1419,-3.5,0.9390243902439024,2.2,-5.7
2018,Tarik Black,HOU,51,536,-18.3,0.6219512195121951,2.3499999999999996,-20.65
2019,Gary Clark,HOU,51,641,-4.5,0.6219512195121951,1.15,-5.65
2020,Eric Gordon,HOU,36,1016,-3.8,0.5,-0.04999999999999999,-3.75
2021,Danuel House,HOU,36,932,-5.5,0.5,2.8,-8.3
2021,Kenyon Martin Jr.,HOU,45,1068,-5.5,0.625,2.8,-8.3
2022,Jalen Green,HOU,67,2138,-6.7,0.8170731707317073,-0.8,-5.9
1997,Dale Davis,IND,80,2589,-4.2,0.975609756097561,0.4,-4.6000000000000005
1997,Derrick McKey,IND,50,1449,-4.2,0.6097560975609756,0.4,-4.6000000000000005
1998,Jalen Rose,IND,82,1706,-9.3,1,-5,-4.300000000000001
1999,Antonio Davis,IND,49,1271,-8.7,0.98,1.9000000000000001,-10.6
2000,Rik Smits,IND,79,1852,-8.7,0.9634146341463414,-0.5,-8.2
2001,Jalen Rose,IND,72,2943,-2.6,0.8780487804878049,0.4,-3
2002,Travis Best,IND,44,954,-4.5,0.5365853658536586,-1.5499999999999998,-2.95
2003,Jonathan Bender,IND,46,819,-6.1,0.5609756097560976,-1.75,-4.35
2004,Scot Pollard,IND,61,678,-14.8,0.7439024390243902,-4.3,-10.5
2005,Austin Croshere,IND,73,1827,-12.5,0.8902439024390244,-0.6499999999999999,-11.85
2006,Stephen Jackson,IND,81,2910,-6.5,0.9878048780487805,-1.75,-4.75
2007,Shawne Williams,IND,46,556,-9.9,0.5609756097560976,-0.1,-9.8
2008,Danny Granger,IND,80,2876,-5,0.975609756097561,-0.5,-4.5
2009,Brandon Rush,IND,75,1803,-6.5,0.9146341463414634,-0.1,-6.4
2010,Solomon Jones,IND,52,675,-9.1,0.6341463414634146,1.5,-10.6
2011,Brandon Rush,IND,67,1754,-8.8,0.8170731707317073,0.2,-9
2012,Dahntay Jones,IND,65,1052,-10.5,0.9848484848484849,-1.15,-9.35
2013,Ian Mahinmi,IND,80,1322,-14.8,0.9876543209876543,-5.6,-9.200000000000001
2014,Luis Scola,IND,82,1399,-6.6,1,2.6,-9.2
2015,Solomon Hill,IND,82,2381,-8.8,1,-1.1,-7.700000000000001
2016,Myles Turner,IND,60,1367,-6.6,0.7317073170731707,0.5,-7.1
2017,Kevin Séraphin,IND,49,559,-11.2,0.5975609756097561,-2.35,-8.85
2018,Joe Young,IND,53,558,-9.2,0.6463414634146342,0.29999999999999993,-9.5
2019,Darren Collison,IND,76,2143,-3.2,0.926829268292683,-0.6,-2.6
2020,Jeremy Lamb,IND,46,1291,-4,0.6301369863013698,0.65,-4.65
2021,Domantas Sabonis,IND,62,2231,-5.3,0.8611111111111112,-1.5,-3.8
2022,Duane Washington Jr.,IND,48,968,-5,0.5853658536585366,0.8,-5.8
1997,Loy Vaught,LAC,82,2838,-15.5,1,-0.65,-14.85
1998,Pooh Richardson,LAC,69,1252,-7.9,0.8414634146341463,0,-7.9
1999,Maurice Taylor,LAC,46,1505,-6.3,0.92,-0.1,-6.2
2000,Michael Olowokandi,LAC,80,2493,-4.4,0.975609756097561,-2.9,-1.5000000000000004
2001,Cherokee Parks,LAC,52,876,-8,0.6341463414634146,0.8,-8.8
2002,Corey Maggette,LAC,63,1615,-3.8,0.7682926829268293,-1.25,-2.55
2002,Jeff McInnis,LAC,81,3030,-3.8,0.9878048780487805,-1.25,-2.55
2003,Sean Rooks,LAC,70,1344,-10.7,0.8536585365853658,-2,-8.7
2004,Predrag Drobnjak,LAC,61,949,-10.4,0.7439024390243902,1.7,-12.1
2005,Quinton Ross,LAC,78,1659,-6.7,0.9512195121951219,-0.6,-6.1000000000000005
2006,Shaun Livingston,LAC,61,1525,-5.4,0.7439024390243902,2.05,-7.45
2007,Chris Kaman,LAC,75,2176,-8.1,0.9146341463414634,0.35,-8.45
2008,Josh Powell,LAC,64,1228,-8.2,0.7804878048780488,-1.9,-6.299999999999999
2009,Brian Skinner,LAC,51,843,-9.2,0.6219512195121951,-0.5,-8.7
2010,DeAndre Jordan,LAC,70,1137,-5,0.8536585365853658,3.05,-8.05
2011,Al-Farouq Aminu,LAC,81,1452,-5.8,0.9878048780487805,-2.2,-3.5999999999999996
2012,Reggie Evans,LAC,56,771,-16.5,0.8484848484848485,-0.3500000000000001,-16.15
2013,Ronny Turiaf,LAC,65,701,-5.2,0.7926829268292683,0.25,-5.45
2014,Darren Collison,LAC,80,2069,-3.6,0.975609756097561,-2.1,-1.5
2015,Glen Davis,LAC,74,904,-14.7,0.9024390243902439,-8.7,-6
2016,Austin Rivers,LAC,67,1464,-12.1,0.8170731707317073,-5.15,-6.949999999999999
2017,Brandon Bass,LAC,52,577,-20.3,0.6341463414634146,-9.15,-11.15
2018,DeAndre Jordan,LAC,77,2424,-6.9,0.9390243902439024,-0.15000000000000002,-6.75
2019,Marcin Gortat,LAC,47,751,-9.1,0.573170731707317,1.4,-10.5
2020,Rodney McGruder,LAC,56,871,-6.8,0.7777777777777778,-2.4,-4.4
2021,Luke Kennard,LAC,63,1232,-9.5,0.875,-2.1,-7.4
2022,Nicolas Batum,LAC,59,1462,-8.3,0.7195121951219512,-2.9,-5.4
1997,Sean Rooks,LAL,69,735,-3.5,0.8414634146341463,-1,-2.5
1998,Elden Campbell,LAL,81,1784,-12.8,0.9878048780487805,-1.9,-10.9
1999,Derek Harper,LAL,45,1120,-9.5,0.9,-0.6499999999999999,-8.85
2000,Brian Shaw,LAL,74,1249,-4.7,0.9024390243902439,-1.1,-3.6
2001,Devean George,LAL,59,593,-12.2,0.7195121951219512,-3.4,-8.799999999999999
2002,Samaki Walker,LAL,69,1655,-8.8,0.8414634146341463,-0.2,-8.600000000000001
2003,Brian Shaw,LAL,72,900,-10.2,0.8780487804878049,-0.30000000000000004,-9.899999999999999
2004,Stanislav Medvedenko,LAL,68,1442,-7.7,0.8292682926829268,-2,-5.7
2005,Luke Walton,LAL,61,768,-5.6,0.7439024390243902,-1.1,-4.5
2006,Chris Mihm,LAL,59,1541,-1.7,0.7195121951219512,0.25,-1.95
2007,Vladimir Radmanović,LAL,55,986,-7.8,0.6707317073170732,1.4,-9.2
2008,Ronny Turiaf,LAL,78,1458,-3.4,0.9512195121951219,-1.7,-1.7
2009,Josh Powell,LAL,60,703,-22.3,0.7317073170731707,0,-22.3
2010,Shannon Brown,LAL,82,1700,-6.5,1,3.4,-9.9
2011,Matt Barnes,LAL,53,1020,-7.4,0.6463414634146342,1.95,-9.35
2012,Josh McRoberts,LAL,50,718,-10.3,0.7575757575757576,0.4,-10.700000000000001
2013,Earl Clark,LAL,59,1363,-5.6,0.7195121951219512,0.5,-6.1
2014,Jodie Meeks,LAL,77,2556,-8.3,0.9390243902439024,0.5,-8.8
2015,Jordan Hill,LAL,70,1874,-7.3,0.8536585365853658,0.30000000000000004,-7.6
2016,Roy Hibbert,LAL,81,1878,-15.1,0.9878048780487805,-5.2,-9.899999999999999
2017,Julius Randle,LAL,74,2132,-7.4,0.9024390243902439,-0.7,-6.7
2018,Corey Brewer,LAL,54,694,-4.8,0.6585365853658537,-0.7000000000000001,-4.1
2019,Moritz Wagner,LAL,43,446,-9.7,0.524390243902439,-1.9000000000000001,-7.799999999999999
2020,Rajon Rondo,LAL,48,984,-5.5,0.676056338028169,-0.2,-5.3
2021,Kyle Kuzma,LAL,68,1954,-8.5,0.9444444444444444,-0.65,-7.85
2022,Dwight Howard,LAL,60,971,-4.1,0.7317073170731707,0.3,-4.3999999999999995
2002,Tony Massenburg,MEM,73,1247,-8.1,0.8902439024390244,1.4,-9.5
2003,Gordan Giriček,MEM,49,1187,-10,0.5975609756097561,-0.5,-9.5
2004,Jason Williams,MEM,72,2115,-6.3,0.8780487804878049,0.7,-7
2005,James Posey,MEM,50,1382,-8.1,0.6097560975609756,-1.9,-6.199999999999999
2006,Dahntay Jones,MEM,71,967,-14.8,0.8658536585365854,0.19999999999999998,-15
