season,player,tm,g,mp,net_plus_minus_per_100_poss,g_percent,median,npm_diff
2003,Derrick Coleman,PHI,64,1742,7.8,0.7804878048780488,-0.75,8.55
2004,Samuel Dalembert,PHI,82,2197,3.8,1,-0.7,4.5
2005,Allen Iverson,PHI,75,3174,4.6,0.9146341463414634,0.5,4.1
2006,Andre Iguodala,PHI,82,3086,10.5,1,-0.8,11.3
2007,Lou Williams,PHI,61,688,7.9,0.7439024390243902,-3.1,11
2008,Thaddeus Young,PHI,74,1554,11.1,0.9024390243902439,-1.65,12.75
2009,Andre Iguodala,PHI,82,3269,10.9,1,-2.3,13.2
2010,Elton Brand,PHI,76,2297,5.6,0.926829268292683,-0.4,6
2011,Thaddeus Young,PHI,82,2135,7.1,1,1.2,5.8999999999999995
2012,Thaddeus Young,PHI,63,1755,8,0.9545454545454546,1.2,6.8
2013,Thaddeus Young,PHI,76,2629,9.7,0.926829268292683,-1.1,10.799999999999999
2014,Brandon Davies,PHI,51,575,9.3,0.6219512195121951,-1.3,10.600000000000001
2015,Robert Covington,PHI,70,1956,10,0.8536585365853658,-0.4,10.4
2016,Richaun Holmes,PHI,51,702,8.1,0.6219512195121951,1.05,7.05
2017,Robert Covington,PHI,67,2119,5.5,0.8170731707317073,-1.3,6.8
2018,Robert Covington,PHI,80,2532,14.8,0.975609756097561,-0.9500000000000002,15.75
2019,Joel Embiid,PHI,64,2154,10,0.7804878048780488,-2.4,12.4
2020,Mike Scott,PHI,68,1207,6.4,0.9315068493150684,0.2,6.2
2021,Joel Embiid,PHI,51,1585,12.3,0.7083333333333334,1.7000000000000002,10.600000000000001
2022,Joel Embiid,PHI,68,2297,11.5,0.8292682926829268,-0.55,12.05
1997,Hot Rod Williams,PHO,68,2137,7.1,0.8292682926829268,2.45,4.6499999999999995
1998,Danny Manning,PHO,70,1794,4.4,0.8536585365853658,-1.4,5.800000000000001
1998,Steve Nash,PHO,76,1664,4.4,0.926829268292683,-1.4,5.800000000000001
1999,Jason Kidd,PHO,50,2060,23,1,-1.4,24.4
2000,Rodney Rogers,PHO,82,2286,10.6,1,-0.7,11.299999999999999
2001,Shawn Marion,PHO,79,2857,9.2,0.9634146341463414,-0.04999999999999999,9.25
2002,Tony Delk,PHO,41,877,5,0.5,0.5,4.5
2003,Bo Outlaw,PHO,80,1800,7.8,0.975609756097561,-0.4,8.2
2004,Jake Voskuhl,PHO,66,1606,3.6,0.8048780487804879,0.9,2.7
2005,Steve Nash,PHO,75,2573,14.9,0.9146341463414634,5.300000000000001,9.6
2006,Boris Diaw,PHO,81,2874,10.2,0.9878048780487805,3.6,6.6
2007,Steve Nash,PHO,76,2682,11.7,0.926829268292683,2.65,9.049999999999999
2008,Steve Nash,PHO,81,2780,14.5,0.9878048780487805,4.1,10.4
2009,Steve Nash,PHO,74,2484,6.9,0.9024390243902439,-0.6499999999999999,7.550000000000001
2010,Channing Frye,PHO,81,2190,5.7,0.9878048780487805,-0.3,6
2011,Steve Nash,PHO,75,2497,14.9,0.9146341463414634,0,14.9
2012,Steve Nash,PHO,62,1961,10.6,0.9393939393939394,-3.5999999999999996,14.2
2013,Jared Dudley,PHO,79,2170,7.7,0.9634146341463414,0.4,7.3
2014,Goran Dragić,PHO,76,2668,9.3,0.926829268292683,-1.2,10.5
2015,Markieff Morris,PHO,82,2581,7.6,1,1.4,6.199999999999999
2016,Ronnie Price,PHO,62,1211,6.6,0.7560975609756098,0.2,6.3999999999999995
2017,Alan Williams,PHO,47,708,5.9,0.573170731707317,2.75,3.1500000000000004
2018,Jared Dudley,PHO,48,686,10.6,0.5853658536585366,-0.8,11.4
2019,Mikal Bridges,PHO,82,2417,4.7,1,1.05,3.6500000000000004
2020,Mikal Bridges,PHO,73,2042,6.5,1,-1.1,7.6
2021,Dario Šarić,PHO,50,871,7.1,0.6944444444444444,0.8,6.3
2022,Mikal Bridges,PHO,82,2854,9.5,1,-1.5,11
1997,Rasheed Wallace,POR,62,1892,8.9,0.7560975609756098,-2.6,11.5
1998,Rasheed Wallace,POR,77,2896,11,0.9390243902439024,-1.1,12.1
1999,Rasheed Wallace,POR,49,1414,8.4,0.98,4,4.4
2000,Rasheed Wallace,POR,81,2845,7.5,0.9878048780487805,-0.5,8
2001,Rasheed Wallace,POR,77,2940,7.1,0.9390243902439024,0.7,6.3999999999999995
2002,Rasheed Wallace,POR,79,2963,11.9,0.9634146341463414,0.19999999999999996,11.700000000000001
2003,Scottie Pippen,POR,64,1911,10,0.7804878048780488,0.35,9.65
2004,Vladimir Stepania,POR,42,453,7.8,0.5121951219512195,0.45000000000000007,7.35
2005,Ruben Patterson,POR,70,1957,5.1,0.8536585365853658,0.2,4.8999999999999995
2006,Ruben Patterson,POR,45,1056,7,0.5487804878048781,0.04999999999999999,6.95
2007,LaMarcus Aldridge,POR,63,1392,4.9,0.7682926829268293,0,4.9
2008,Brandon Roy,POR,74,2792,6.5,0.9024390243902439,1.25,5.25
2009,LaMarcus Aldridge,POR,81,3004,10.2,0.9878048780487805,0.35,9.85
2010,Andre Miller,POR,82,2500,8.7,1,-1.15,9.85
2011,LaMarcus Aldridge,POR,81,3211,15,0.9878048780487805,0.65,14.35
2012,LaMarcus Aldridge,POR,55,1994,12.4,0.8333333333333334,0.6,11.8
2013,LaMarcus Aldridge,POR,74,2790,9.4,0.9024390243902439,-1.5999999999999999,11
2014,LaMarcus Aldridge,POR,69,2498,8.9,0.8414634146341463,1.1500000000000001,7.75
2015,LaMarcus Aldridge,POR,71,2512,4.6,0.8658536585365854,1.6,2.9999999999999996
2015,Wesley Matthews,POR,60,2024,4.6,0.7317073170731707,1.6,2.9999999999999996
2016,CJ McCollum,POR,80,2780,5.5,0.975609756097561,0.9,4.6
2017,Maurice Harkless,POR,77,2223,6.6,0.9390243902439024,-2.7,9.3
2018,Damian Lillard,POR,73,2670,9.5,0.8902439024390244,0.7,8.8
2019,Damian Lillard,POR,80,2838,14.5,0.975609756097561,-1.5,16
2020,Damian Lillard,POR,66,2474,8.7,0.8918918918918919,0.44999999999999996,8.25
2021,Jusuf Nurkić,POR,37,880,7.3,0.5138888888888888,-2.75,10.05
2022,Jusuf Nurkić,POR,56,1579,13.8,0.6829268292682927,-6.7,20.5
1997,Mitch Richmond,SAC,81,3125,6.8,0.9878048780487805,0.25,6.55
1998,Mitch Richmond,SAC,70,2569,9.2,0.8536585365853658,-2.2,11.399999999999999
1999,Jon Barry,SAC,43,736,8.7,0.86,-0.1499999999999999,8.85
2000,Tony Delk,SAC,46,682,11.6,0.5609756097560976,-1.4,13
2001,Scot Pollard,SAC,77,1658,6.2,0.9390243902439024,-0.4,6.6000000000000005
2002,Hedo Türkoğlu,SAC,80,1970,6,0.975609756097561,0.7,5.3
2003,Doug Christie,SAC,80,2710,9.4,0.975609756097561,-2.55,11.95
2004,Brad Miller,SAC,72,2621,12.9,0.8780487804878049,1.65,11.25
2005,Brad Miller,SAC,56,2089,5.1,0.6829268292682927,0.4,4.699999999999999
2006,Brad Miller,SAC,79,2923,8.5,0.9634146341463414,-1.6,10.1
2007,Metta World Peace,SAC,70,2641,7.6,0.8536585365853658,-1.1500000000000001,8.75
2008,Brad Miller,SAC,72,2513,10.3,0.8780487804878049,-0.7,11
2009,Jason Thompson,SAC,82,2303,6.5,1,-2,8.5
2010,Jon Brockman,SAC,52,654,5.8,0.6341463414634146,-0.9,6.7
2011,Jason Thompson,SAC,75,1748,3.1,0.9146341463414634,0.3,2.8000000000000003
2012,Isaiah Thomas,SAC,65,1656,7.7,0.9848484848484849,-1.8,9.5
2013,John Salmons,SAC,76,2278,10.6,0.926829268292683,-1.9,12.5
2014,Isaiah Thomas,SAC,72,2497,9.4,0.8780487804878049,-1.75,11.15
2015,DeMarcus Cousins,SAC,59,2013,9.6,0.7195121951219512,-2.45,12.05
2016,DeMarcus Cousins,SAC,65,2246,6.8,0.7926829268292683,0.1,6.7
2017,DeMarcus Cousins,SAC,55,1891,4.7,0.6707317073170732,-0.8,5.5
2018,Frank Mason III,SAC,52,984,7.9,0.6341463414634146,-0.8,8.700000000000001
2019,Nemanja Bjelica,SAC,77,1788,5.7,0.9390243902439024,-0.09999999999999998,5.8
2020,Richaun Holmes,SAC,44,1242,5,0.6111111111111112,-1,6
2021,Richaun Holmes,SAC,61,1782,8.4,0.8472222222222222,-2.2,10.600000000000001
2022,De'Aaron Fox,SAC,59,2083,2,0.7195121951219512,-0.6,2.6
1997,Will Perdue,SAS,65,1918,6.1,0.7926829268292683,0.10000000000000003,6
1998,Tim Duncan,SAS,82,3204,13.1,1,1.75,11.35
1999,Jaren Jackson,SAS,47,861,5.3,0.94,-0.5499999999999999,5.85
