,PLAYER_ID,PLAYER_NAME,G,MIN,CHARGES_DRAWN,CONTESTED_SHOTS_2PT,CONTESTED_SHOTS_3PT,DEFLECTIONS,DEF_BOXOUTS,DEF_LOOSE_BALLS_RECOVERED,CHARGES_DRAWN_pct_rank,CONTESTED_SHOTS_2PT_pct_rank,CONTESTED_SHOTS_3PT_pct_rank,DEFLECTIONS_pct_rank,DEF_BOXOUTS_pct_rank,DEF_LOOSE_BALLS_RECOVERED_pct_rank,sum
937,1630192,Zeke Nnaji,83,1095.0,0,139,118,53,51,9,0.07841614906832298,0.5574534161490683,0.781055900621118,0.36180124223602483,0.6428571428571429,0.19409937888198758,2.6156832298136643
938,1630193,Immanuel Quickley,142,3046.0,2,276,306,150,48,34,0.34627329192546585,0.2531055900621118,0.6350931677018633,0.37422360248447206,0.2267080745341615,0.37577639751552794,2.211180124223602
941,1630197,Alekesej Pokusevski,106,2323.0,0,367,292,108,29,18,0.07841614906832298,0.6677018633540373,0.9580745341614907,0.3307453416149068,0.15838509316770186,0.15993788819875776,2.3532608695652177
944,1630200,Tre Jones,106,1417.0,1,113,101,101,13,17,0.358695652173913,0.15993788819875776,0.13043478260869565,0.7453416149068323,0.10869565217391304,0.4611801242236025,1.9642857142857142
945,1630201,Malachi Flynn,91,1465.0,0,93,123,103,24,30,0.07841614906832298,0.062111801242236024,0.3167701863354037,0.7282608695652174,0.2391304347826087,0.9518633540372671,2.376552795031056
946,1630202,Payton Pritchard,137,2269.0,4,131,149,122,41,25,0.6040372670807453,0.03571428571428571,0.07763975155279502,0.4720496894409938,0.281055900621118,0.36024844720496896,1.8307453416149069
949,1630205,Lamar Stevens,103,1514.0,1,236,152,81,41,10,0.35248447204968947,0.6630434782608695,0.6304347826086957,0.45962732919254656,0.422360248447205,0.11335403726708075,2.641304347826087
953,1630209,Omer Yurtseven,56,706.0,2,194,69,46,45,7,0.7391304347826086,0.8586956521739131,0.5838509316770186,0.6661490683229814,0.7251552795031055,0.2717391304347826,3.84472049689441
956,1630214,Xavier Tillman Sr.,112,1786.0,0,451,197,146,163,22,0.07841614906832298,0.8307453416149069,0.8105590062111802,0.8633540372670807,0.8291925465838509,0.4798136645962733,3.892080745341615
959,1630217,Desmond Bane,144,3785.0,1,346,366,224,43,51,0.21739130434782608,0.2562111801242236,0.5667701863354038,0.5760869565217391,0.13975155279503104,0.5885093167701864,2.3447204968944098
965,1630224,Jalen Green,67,2138.0,3,156,148,87,3,21,0.5403726708074534,0.11801242236024845,0.10869565217391304,0.19099378881987578,0.046583850931677016,0.265527950310559,1.2701863354037266
968,1630228,Jonathan Kuminga,70,1185.0,1,187,139,53,44,13,0.3804347826086957,0.6661490683229814,0.889751552795031,0.2826086956521739,0.562111801242236,0.35093167701863354,3.1319875776397517
969,1630230,Naji Marshall,87,1436.0,4,127,104,90,25,15,0.7360248447204969,0.22826086956521738,0.15217391304347827,0.6288819875776398,0.265527950310559,0.3090062111801242,2.3198757763975157
970,1630231,Kenyon Martin Jr.,124,2724.0,1,311,230,90,66,32,0.2577639751552795,0.45962732919254656,0.33229813664596275,0.08229813664596274,0.38198757763975155,0.44254658385093165,1.956521739130435
976,1630240,Saben Lee,85,1385.0,6,88,124,111,8,20,0.8416149068322981,0.06521739130434782,0.4114906832298137,0.8416149068322981,0.06832298136645963,0.6692546583850931,2.8975155279503104
979,1630245,Ayo Dosunmu,77,2110.0,1,239,129,104,12,35,0.2841614906832298,0.453416149068323,0.05434782608695652,0.37577639751552794,0.06677018633540373,0.8245341614906833,2.059006211180124
980,1630249,Vit Krejci,30,690.0,0,75,77,40,8,9,0.07841614906832298,0.4114906832298137,0.8245341614906833,0.5582298136645962,0.14285714285714285,0.5388198757763976,2.554347826086957
983,1630256,Jae'Sean Tate,148,4099.0,32,515,392,268,211,87,0.9394409937888198,0.546583850931677,0.546583850931677,0.6708074534161491,0.6521739130434783,0.9627329192546584,4.318322981366459
987,1630267,Facundo Campazzo,130,2609.0,15,157,185,304,25,52,0.8913043478260869,0.043478260869565216,0.12732919254658384,0.9891304347826086,0.11801242236024845,0.9409937888198758,3.1102484472049685
991,1630273,Freddie Gillespie,29,511.0,3,157,50,42,30,12,0.8975155279503105,0.9208074534161491,0.5869565217391305,0.8664596273291926,0.7018633540372671,0.9875776397515528,4.961180124223603
998,1630314,Brandon Williams,24,640.0,0,52,85,45,8,5,0.07841614906832298,0.17236024844720496,0.9798136645962733,0.7298136645962733,0.15993788819875776,0.16459627329192547,2.284937888198758
1003,1630526,Jeremiah Robinson-Earl,49,1087.0,5,218,125,36,67,15,0.8524844720496895,0.7531055900621118,0.8695652173913043,0.08385093167701864,0.718944099378882,0.6118012422360248,3.889751552795031
1004,1630527,Brandon Boston,51,760.0,0,52,70,43,20,7,0.07841614906832298,0.08229813664596274,0.468944099378882,0.5357142857142857,0.40993788819875776,0.2360248447204969,1.811335403726708
1005,1630528,Josh Christopher,74,1334.0,1,80,76,133,7,19,0.36801242236024845,0.040372670807453416,0.03571428571428571,0.9549689440993789,0.062111801242236024,0.6506211180124224,2.111801242236025
1006,1630529,Herbert Jones,78,2335.0,8,260,275,243,71,26,0.781055900621118,0.4363354037267081,0.8959627329192547,0.9642857142857143,0.4704968944099379,0.37422360248447206,3.9223602484472053
1007,1630530,Trey Murphy III,62,864.0,1,97,80,38,11,7,0.4782608695652174,0.4472049689440994,0.47437888198757766,0.2562111801242236,0.16459627329192547,0.18322981366459629,2.00388198757764
1009,1630532,Franz Wagner,79,2429.0,2,239,211,147,39,28,0.37732919254658387,0.32919254658385094,0.36801242236024845,0.5993788819875776,0.2329192546583851,0.422360248447205,2.329192546583851
1010,1630533,Ziaire Williams,62,1346.0,0,133,154,61,14,11,0.07841614906832298,0.33229813664596275,0.8633540372670807,0.3027950310559006,0.12577639751552794,0.19099378881987578,1.8936335403726707
1011,1630535,Greg Brown III,48,640.0,5,90,101,33,21,4,0.9409937888198758,0.6118012422360248,0.9984472049689441,0.422360248447205,0.5170807453416149,0.10559006211180125,3.596273291925466
1013,1630537,Chris Duarte,55,1541.0,1,145,152,90,7,24,0.34006211180124224,0.2919254658385093,0.6024844720496895,0.5667701863354038,0.05745341614906832,0.7468944099378882,2.6055900621118013
1014,1630538,Bones Hyland,69,1310.0,0,109,127,81,11,20,0.07841614906832298,0.18633540372670807,0.5714285714285714,0.6180124223602484,0.09627329192546584,0.7236024844720497,2.2740683229813667
1018,1630543,Isaiah Jackson,36,541.0,0,184,51,41,29,3,0.07841614906832298,0.9596273291925466,0.5124223602484472,0.8074534161490683,0.6692546583850931,0.09161490683229814,3.118788819875776
1019,1630544,Tre Mann,60,1367.0,2,82,122,71,11,12,0.5559006211180124,0.04192546583850932,0.4083850931677019,0.43167701863354035,0.09316770186335403,0.21894409937888198,1.75
1025,1630553,Keon Johnson,37,696.0,1,62,57,48,12,13,0.5489130434782609,0.2329192546583851,0.2670807453416149,0.718944099378882,0.26242236024844723,0.90527950310559,2.9355590062111805
1027,1630556,Kessler Edwards,48,987.0,0,146,93,44,34,6,0.07841614906832298,0.6381987577639752,0.5108695652173914,0.2717391304347826,0.5419254658385093,0.10093167701863354,2.1420807453416155
1028,1630557,Corey Kispert,77,1801.0,0,237,116,47,23,21,0.07841614906832298,0.5791925465838509,0.06832298136645963,0.024844720496894408,0.16770186335403728,0.4332298136645963,1.3517080745341614
1029,1630558,Davion Mitchell,75,2076.0,12,160,197,110,42,25,0.8944099378881988,0.14596273291925466,0.5263975155279503,0.4503105590062112,0.3198757763975155,0.4642857142857143,2.8012422360248452
1030,1630559,Austin Reaves,61,1418.0,15,190,153,69,24,10,0.9704968944099379,0.5885093167701864,0.782608695652174,0.36490683229813664,0.2546583850931677,0.12422360248447205,3.085403726708074
1031,1630560,Cam Thomas,67,1176.0,0,106,103,54,10,17,0.07841614906832298,0.2406832298136646,0.37577639751552794,0.32142857142857145,0.09937888198757763,0.6746894409937888,1.7903726708074532
1033,1630563,Joshua Primo,50,965.0,3,129,90,44,17,9,0.7686335403726708,0.5869565217391305,0.4860248447204969,0.31211180124223603,0.2732919254658385,0.2406832298136646,2.6677018633540377
1035,1630567,Scottie Barnes,74,2617.0,4,391,274,173,91,22,0.5683229813664596,0.6413043478260869,0.7158385093167702,0.6863354037267081,0.5434782608695652,0.20186335403726707,3.357142857142857
1037,1630570,Trendon Watford,48,869.0,1,125,96,53,33,2,0.4767080745341615,0.6195652173913043,0.812111801242236,0.6071428571428571,0.5714285714285714,0.05745341614906832,3.144409937888199
1041,1630578,Alperen Sengun,72,1489.0,11,386,146,121,99,15,0.9254658385093167,0.843167701863354,0.593167701863354,0.8586956521739131,0.7360248447204969,0.2841614906832298,4.240683229813665
1042,1630579,Jericho Sims,41,555.0,0,134,35,17,64,3,0.07841614906832298,0.8059006211180124,0.06055900621118013,0.05434782608695652,0.8866459627329193,0.08850931677018634,1.9743788819875776
1044,1630581,Josh Giddey,54,1700.0,0,122,161,73,10,20,0.07841614906832298,0.11180124223602485,0.5201863354037267,0.23136645962732919,0.07142857142857142,0.4440993788819876,1.4572981366459627
1051,1630591,Jalen Suggs,48,1307.0,8,122,111,119,12,16,0.906832298136646,0.2857142857142857,0.3385093167701863,0.9192546583850931,0.11024844720496894,0.4751552795031056,3.0357142857142856
1053,1630595,Cade Cunningham,64,2088.0,2,252,188,147,45,34,0.41770186335403725,0.5108695652173914,0.4192546583850932,0.734472049689441,0.3416149068322981,0.8043478260869565,3.2282608695652173
1054,1630596,Evan Mobley,69,2331.0,0,597,252,107,100,31,0.07841614906832298,0.8400621118012422,0.7841614906832298,0.31832298136645965,0.6118012422360248,0.5714285714285714,3.204192546583851
1055,1630598,Aaron Wiggins,50,1209.0,0,153,149,65,23,16,0.07841614906832298,0.5512422360248447,0.9409937888198758,0.4704968944099379,0.2996894409937888,0.562111801242236,2.902950310559006
1061,1630613,Duane Washington Jr.,48,968.0,0,69,99,41,11,6,0.07841614906832298,0.10559006211180125,0.6630434782608695,0.2236024844720497,0.14130434782608695,0.10403726708074534,1.3159937888198758
1064,1630631,Jose Alvarado,54,834.0,2,44,78,109,15,11,0.7018633540372671,0.021739130434782608,0.4953416149068323,0.9968944099378882,0.2779503105590062,0.5574534161490683,3.051242236024845
1071,1630678,Terry Taylor,33,714.0,1,104,60,23,39,9,0.5388198757763976,0.6288819875776398,0.31832298136645965,0.07453416149068323,0.6801242236024845,0.5,2.7406832298136647
