,PLAYER_ID,PLAYER_NAME,G,MIN,CHARGES_DRAWN,CONTESTED_SHOTS_2PT,CONTESTED_SHOTS_3PT,DEFLECTIONS,DEF_BOXOUTS,DEF_LOOSE_BALLS_RECOVERED,CHARGES_DRAWN_pct_rank,CONTESTED_SHOTS_2PT_pct_rank,CONTESTED_SHOTS_3PT_pct_rank,DEFLECTIONS_pct_rank,DEF_BOXOUTS_pct_rank,DEF_LOOSE_BALLS_RECOVERED_pct_rank,sum
752,1629067,Isaac Bonga,143,1871.0,13,276,225,134,79,30,0.9177018633540373,0.6350931677018633,0.9192546583850931,0.7515527950310559,0.6071428571428571,0.7857142857142857,4.616459627329193
759,1629103,Kelan Martin,96,1268.0,0,164,104,71,39,11,0.07841614906832298,0.5652173913043478,0.2717391304347826,0.5217391304347826,0.47360248447204967,0.21428571428571427,2.125
760,1629109,Gary Clark,170,2239.0,4,316,215,115,161,30,0.6086956521739131,0.6149068322981367,0.5527950310559007,0.4192546583850932,0.7531055900621118,0.5822981366459627,3.531055900621118
769,1629130,Duncan Robinson,239,6632.0,33,640,682,238,205,72,0.8726708074534162,0.31521739130434784,0.6754658385093167,0.11801242236024845,0.4751552795031056,0.3385093167701863,2.795031055900621
771,1629134,Kendrick Nunn,123,3612.0,1,275,413,191,95,43,0.2204968944099379,0.13664596273291926,0.8618012422360248,0.44875776397515527,0.4083850931677019,0.4518633540372671,2.527950310559006
773,1629140,Johnathan Williams,39,552.0,2,105,55,27,75,6,0.8012422360248447,0.734472049689441,0.6133540372670807,0.36801242236024845,0.9425465838509317,0.3408385093167702,3.8004658385093166
779,1629162,Jordan McLaughlin,143,2430.0,4,271,211,272,31,48,0.5854037267080745,0.4394409937888199,0.36645962732919257,0.9813664596273292,0.16614906832298137,0.9347826086956522,3.4736024844720497
780,1629164,Brandon Goodwin,133,1609.0,1,121,132,90,34,25,0.33540372670807456,0.13043478260869565,0.2732919254658385,0.5186335403726708,0.33695652173913043,0.7437888198757764,2.3385093167701863
784,1629216,Gabe Vincent,127,2327.0,21,163,285,188,61,41,0.953416149068323,0.09782608695652174,0.9347826086956522,0.8509316770186336,0.40683229813664595,0.8695652173913043,4.113354037267081
785,1629234,Drew Eubanks,170,2385.0,8,590,234,118,186,21,0.7748447204968945,0.8167701863354038,0.59472049689441,0.37888198757763975,0.7795031055900621,0.2220496894409938,3.566770186335404
787,1629308,Juan Toscano-Anderson,139,2374.0,3,351,208,203,146,37,0.5015527950310559,0.6366459627329193,0.37888198757763975,0.8913043478260869,0.717391304347826,0.7484472049689441,3.8742236024844723
795,1629599,Amir Coffey,131,2121.0,4,165,123,97,32,20,0.6304347826086957,0.15372670807453417,0.03881987577639751,0.3136645962732919,0.20652173913043478,0.2468944099378882,1.5900621118012424
799,1629604,CJ Elleby,88,1366.0,4,129,124,72,17,18,0.7562111801242236,0.296583850931677,0.4301242236024845,0.4409937888198758,0.15683229813664595,0.5543478260869565,2.6350931677018634
804,1629610,DaQuan Jeffries,47,643.0,2,80,84,43,36,11,0.7701863354037267,0.5357142857142857,0.9736024844720497,0.6972049689440993,0.687888198757764,0.84472049689441,4.509316770186335
805,1629611,Terance Mann,189,3942.0,2,355,252,201,71,41,0.2996894409937888,0.2375776397515528,0.06677018633540373,0.40993788819875776,0.2795031055900621,0.30434782608695654,1.5978260869565217
810,1629622,Max Strus,109,2100.0,19,190,241,80,59,23,0.9549689440993789,0.24922360248447206,0.8664596273291926,0.14285714285714285,0.4394409937888199,0.3447204968944099,2.997670807453416
814,1629627,Zion Williamson,85,2694.0,2,306,335,145,74,41,0.36645962732919257,0.45652173913043476,0.9487577639751553,0.4751552795031056,0.4332298136645963,0.7204968944099379,3.4006211180124226
815,1629628,RJ Barrett,198,6632.0,4,615,712,247,92,94,0.33229813664596275,0.27639751552795033,0.7763975155279503,0.13043478260869565,0.18633540372670807,0.639751552795031,2.341614906832298
816,1629629,Cam Reddish,133,3313.0,1,305,351,317,52,72,0.22981366459627328,0.2670807453416149,0.7406832298136646,0.9347826086956522,0.2220496894409938,0.967391304347826,3.361801242236025
817,1629630,Ja Morant,187,6016.0,6,356,419,294,92,91,0.4301242236024845,0.037267080745341616,0.11490683229813664,0.36645962732919257,0.2096273291925466,0.7127329192546584,1.8711180124223605
