seas_id,season,player_id,player,pos,tm,g,mp,pg_percent,sg_percent,sf_percent,pf_percent,c_percent,position,value,ht_ft,ht_in,wt,full_in_ht,position_2,ows,dws,ws,ws_48,obpm,dbpm,bpm,vorp,leader
30947,2023,4992,Moses Moody,SG,GSW,63,817,0,47,51,2,0,wing_small_percent,98,6,6,205,78,wing,0.7,0.6,1.3,0.076,-1.7,-0.9,-2.6,-0.1,FALSE
30949,2023,4350,Myles Turner,C,IND,62,1825,0,0,0,0,100,big_percent,100,6,11,250,83,big,3.4,2,5.4,0.142,1.4,0.7,2.1,1.9,TRUE
30950,2023,4865,Naji Marshall,SF,NOP,77,1792,0,22,65,13,0,wing_small_percent,87,6,7,220,79,wing,0.5,2,2.5,0.068,-1.9,0,-1.9,0.1,FALSE
30951,2023,4770,Nassir Little,SF,POR,54,976,1,21,56,22,0,wing_big_percent,78,6,5,220,77,wing,0.2,0.4,0.7,0.032,-1.6,-1.5,-3,-0.3,FALSE
30953,2023,4771,Naz Reid,C,MIN,68,1251,0,0,0,16,84,big_percent,100,6,9,264,81,big,1.1,1.9,3,0.114,0.3,0.8,1,1,FALSE
30957,2023,4278,Nerlens Noel,C,BRK,3,43,0,0,0,0,100,big_percent,100,NA,NA,NA,NA,big,-0.2,0.1,-0.1,-0.112,-11.3,1,-10.3,-0.1,FALSE
30958,2023,4772,Nic Claxton,C,BRK,76,2271,0,0,0,0,100,big_percent,100,6,11,215,83,big,5.2,4,9.2,0.195,0.9,2.2,3.1,2.9,FALSE
30959,2023,4869,Nick Richards,C,CHO,65,1217,0,0,0,0,100,big_percent,100,7,0,245,84,big,2.7,1.5,4.2,0.165,-1,-0.2,-1.3,0.2,FALSE
30961,2023,4773,Nickeil Alexander-Walker,SG,UTA,36,528,0,28,62,10,0,wing_small_percent,90,6,6,205,78,wing,0.3,0.5,0.8,0.074,-0.6,1.1,0.5,0.3,TRUE
30962,2023,4773,Nickeil Alexander-Walker,SG,MIN,23,356,5,48,42,5,0,wing_small_percent,90,6,6,205,78,wing,0,0.3,0.3,0.044,-2.4,-0.6,-3,-0.1,FALSE
30963,2023,3841,Nicolas Batum,PF,LAC,78,1709,0,0,0,60,41,big_percent,101,6,8,230,80,big,1.7,1.9,3.6,0.101,-0.8,1.2,0.5,1,TRUE
30964,2023,4352,Nikola Jokić,C,DEN,69,2323,0,0,0,0,100,big_percent,100,6,11,284,83,big,11.2,3.8,14.9,0.308,8.5,4.5,13,8.8,TRUE
30965,2023,5085,Nikola Jović,PF,MIA,15,204,0,0,0,54,46,big_percent,100,6,10,209,82,big,0,0.2,0.2,0.053,-3.4,0,-3.4,-0.1,FALSE
30966,2023,4047,Nikola Vučević,C,CHI,82,2746,0,0,0,1,100,big_percent,101,6,10,260,82,big,3.9,4.4,8.3,0.145,1.9,0.7,2.7,3.2,TRUE
30968,2023,4353,Norman Powell,SG,LAC,60,1567,25,67,7,0,0,guard_percent,92,6,3,215,75,guard,2.1,1.4,3.5,0.107,1,-0.7,0.3,0.9,TRUE
30969,2023,4871,Obi Toppin,PF,NYK,67,1050,0,0,0,100,0,wing_big_percent,100,6,9,220,81,wing,1.1,1,2.1,0.095,0.3,-0.8,-0.5,0.4,FALSE
30969,2023,4871,Obi Toppin,PF,NYK,67,1050,0,0,0,100,0,big_percent,100,6,9,220,81,big,1.1,1,2.1,0.095,0.3,-0.8,-0.5,0.4,FALSE
30970,2023,5086,Ochai Agbaji,SG,UTA,59,1209,38,40,20,3,0,guard_percent,78,6,5,215,77,guard,0.9,0.4,1.3,0.053,-1.7,-1.4,-3,-0.3,FALSE
30971,2023,4555,OG Anunoby,SF,TOR,67,2386,2,50,48,1,0,wing_small_percent,98,6,7,232,79,wing,1.8,2.9,4.7,0.094,-0.3,0.7,0.4,1.5,FALSE
30972,2023,4996,Olivier Sarr,C,OKC,9,114,0,0,0,0,100,big_percent,100,7,0,237,84,big,0.1,0.1,0.2,0.094,-4.2,-0.7,-4.9,-0.1,FALSE
30974,2023,4872,Onyeka Okongwu,C,ATL,80,1849,0,0,0,1,100,big_percent,101,6,8,235,80,big,4.7,2.4,7.1,0.185,0,0.8,0.8,1.3,FALSE
