player,pos,age,experience,ts_percent,usg_percent,vorp,ts_rank,usg_rank,vorp_rank,empty_stats
Aaron Gordon,PF,27,9,0.641,21.4,1.8,0.09722222222222222,0.8472222222222222,0.06944444444444445,1.0138888888888888
Aaron Holiday,PG,26,5,0.527,13.4,-0.1,0.734375,0.109375,0.75,1.59375
Aaron Nesmith,SF,23,3,0.557,16.7,-0.4,0.5862068965517241,0.46551724137931033,0.8275862068965517,1.8793103448275863
Aaron Wiggins,SG,24,2,0.601,13.8,-0.1,0.2261904761904762,0.11904761904761904,0.6547619047619048,1
AJ Griffin,SF,19,1,0.58,17.6,0.4,0.3793103448275862,0.5344827586206896,0.29310344827586204,1.206896551724138
Al Horford,C,36,16,0.618,11.7,1.6,0.546875,0.109375,0.203125,0.859375
Alec Burks,SG,31,12,0.605,22.5,0.8,0.20238095238095238,0.6666666666666666,0.20238095238095238,1.0714285714285714
Aleksej Pokusevski,PF,21,3,0.53,18.4,0.4,0.8333333333333334,0.6666666666666666,0.3888888888888889,1.8888888888888888
Alex Caruso,PG,28,6,0.577,11,1,0.25,0.015625,0.375,0.640625
Alperen Şengün,C,20,2,0.601,21.8,1.4,0.703125,0.796875,0.265625,1.765625
Amir Coffey,SG,25,4,0.502,13.6,-0.4,0.9285714285714286,0.09523809523809523,0.9285714285714286,1.9523809523809523
Andre Drummond,C,29,11,0.619,21.4,0.3,0.53125,0.734375,0.625,1.890625
Andrew Nembhard,SG,23,1,0.511,14.7,-0.5,0.9047619047619048,0.2261904761904762,0.9761904761904762,2.107142857142857
Andrew Wiggins,SF,27,9,0.564,21.5,0.4,0.46551724137931033,0.8103448275862069,0.29310344827586204,1.5689655172413792
Anfernee Simons,SG,23,5,0.587,25,0.6,0.3333333333333333,0.7619047619047619,0.27380952380952384,1.369047619047619
Anthony Davis,C,29,11,0.627,28.7,2.6,0.484375,0.984375,0.0625,1.53125
Anthony Edwards,SG,21,3,0.565,29.6,1.7,0.5714285714285714,0.9642857142857143,0.07142857142857142,1.607142857142857
Anthony Gill,PF,30,3,0.664,11.3,0,0.027777777777777776,0.08333333333333333,0.6805555555555556,0.7916666666666667
Anthony Lamb,SF,25,3,0.628,13.8,0.3,0.06896551724137931,0.22413793103448276,0.39655172413793105,0.6896551724137931
Austin Reaves,SG,24,2,0.663,14.4,0.4,0.023809523809523808,0.17857142857142858,0.35714285714285715,0.5595238095238095
Austin Rivers,SG,30,11,0.574,10.4,-0.2,0.4642857142857143,0.023809523809523808,0.7619047619047619,1.25
Ayo Dosunmu,SG,23,2,0.572,14.9,-0.2,0.4880952380952381,0.27380952380952384,0.7619047619047619,1.5238095238095237
Bam Adebayo,C,25,6,0.587,26,2,0.828125,0.90625,0.125,1.859375
Ben Simmons,PG,26,5,0.559,14.4,0.6,0.390625,0.15625,0.5,1.046875
Bennedict Mathurin,SF,20,1,0.561,25.4,-0.6,0.5344827586206896,0.8793103448275862,0.9655172413793104,2.3793103448275863
Bismack Biyombo,C,30,12,0.542,13.5,0,0.984375,0.1875,0.84375,2.015625
Bobby Portis,PF,27,8,0.571,21.8,1.1,0.5833333333333334,0.875,0.20833333333333334,1.6666666666666667
Bogdan Bogdanović,SG,30,6,0.572,20.3,0.5,0.4880952380952381,0.5476190476190477,0.2976190476190476,1.3333333333333335
Bojan Bogdanović,PF,33,9,0.624,25.7,1.2,0.18055555555555555,0.9027777777777778,0.16666666666666666,1.25
Bol Bol,PF,23,4,0.632,18.3,0.5,0.125,0.6388888888888888,0.3472222222222222,1.1111111111111112
Bones Hyland,PG,22,2,0.539,28.3,0.3,0.671875,0.828125,0.59375,2.09375
Bradley Beal,SG,29,11,0.606,28.8,1.5,0.19047619047619047,0.9404761904761905,0.09523809523809523,1.2261904761904763
Brandon Clarke,PF,26,4,0.686,17.5,1.3,0,0.5277777777777778,0.125,0.6527777777777778
Brook Lopez,C,34,15,0.612,18.5,1.7,0.578125,0.609375,0.1875,1.375
Bruce Brown,SG,26,5,0.577,17.1,0.7,0.4166666666666667,0.36904761904761907,0.23809523809523808,1.023809523809524
Bruno Fernando,C,24,4,0.563,15.4,0,0.921875,0.328125,0.84375,2.09375
Buddy Hield,SF,30,7,0.613,20.9,1.9,0.1724137931034483,0.7931034482758621,0.06896551724137931,1.0344827586206897
Caleb Houstan,SF,20,1,0.564,11,-0.2,0.46551724137931033,0.034482758620689655,0.7241379310344828,1.2241379310344827
Caleb Martin,PF,27,4,0.56,14.8,0.3,0.6527777777777778,0.3333333333333333,0.4722222222222222,1.4583333333333335
Cam Thomas,SG,21,2,0.576,27.7,0,0.44047619047619047,0.8928571428571429,0.6071428571428571,1.9404761904761907
Caris LeVert,SG,28,7,0.517,19.2,0.3,0.8928571428571429,0.4880952380952381,0.40476190476190477,1.7857142857142856
Cedi Osman,SF,27,6,0.569,18.2,0.4,0.4482758620689655,0.603448275862069,0.29310344827586204,1.3448275862068966
Chimezie Metu,C,25,5,0.652,17,0.2,0.34375,0.484375,0.6875,1.515625
Chris Boucher,PF,30,6,0.588,18,0.6,0.4444444444444444,0.5833333333333334,0.3055555555555556,1.3333333333333333
Chris Duarte,SF,25,2,0.489,19.3,-0.5,0.9655172413793104,0.6896551724137931,0.9310344827586207,2.586206896551724
Chris Paul,PG,37,18,0.546,19.6,1.6,0.546875,0.484375,0.234375,1.265625
Christian Braun,SG,21,1,0.575,12.3,-0.1,0.4523809523809524,0.07142857142857142,0.6547619047619048,1.1785714285714286
Christian Koloko,C,22,1,0.529,10.7,-0.4,1,0.046875,1,2.046875
Christian Wood,C,27,7,0.627,26.4,1.3,0.484375,0.921875,0.3125,1.71875
CJ McCollum,SG,31,10,0.538,26.8,1.4,0.7261904761904762,0.8690476190476191,0.10714285714285714,1.7023809523809526
Clint Capela,C,28,9,0.631,16.3,1.2,0.453125,0.421875,0.34375,1.21875
Coby White,SG,22,4,0.553,17.3,0.2,0.6666666666666666,0.38095238095238093,0.4880952380952381,1.5357142857142856
Cole Anthony,PG,22,3,0.553,21.2,0.8,0.46875,0.625,0.40625,1.5
Collin Sexton,SG,24,5,0.62,23.2,0.2,0.08333333333333333,0.6904761904761905,0.4880952380952381,1.2619047619047619
Corey Kispert,SF,23,2,0.635,13,0.1,0.034482758620689655,0.13793103448275862,0.4827586206896552,0.6551724137931034
Cory Joseph,PG,31,12,0.495,14.6,-0.2,0.890625,0.171875,0.78125,1.84375
D'Angelo Russell,PG,26,8,0.601,22.7,1.5,0.15625,0.65625,0.25,1.0625
Daishen Nix,PG,20,2,0.484,15.1,-0.5,0.9375,0.203125,0.921875,2.0625
Damian Lillard,PG,32,11,0.651,33.5,4.1,0.015625,0.96875,0.03125,1.015625
Damion Lee,SG,30,6,0.608,16.2,0.1,0.15476190476190477,0.34523809523809523,0.5476190476190477,1.0476190476190477
Daniel Gafford,C,24,4,0.746,15.3,1,0.015625,0.296875,0.359375,0.671875
Danuel House Jr.,SF,29,7,0.589,12.5,-0.2,0.3275862068965517,0.1206896551724138,0.7241379310344828,1.1724137931034484
Dario Šarić,PF,28,6,0.571,19.1,0.1,0.5833333333333334,0.7361111111111112,0.625,1.9444444444444446
Darius Bazley,PF,22,4,0.525,15.7,0.1,0.875,0.4166666666666667,0.625,1.9166666666666667
Darius Garland,PG,23,4,0.599,27,2.6,0.171875,0.78125,0.125,1.078125
David Roddy,PF,21,1,0.51,16.6,-0.5,0.9166666666666666,0.4722222222222222,0.9583333333333334,2.3472222222222223
Davion Mitchell,PG,24,2,0.545,14.3,-0.2,0.578125,0.125,0.78125,1.484375
Dāvis Bertāns,PF,30,7,0.606,15.8,-0.1,0.3055555555555556,0.4305555555555556,0.75,1.4861111111111112
Davon Reed,SG,27,4,0.465,14.7,-0.3,0.9761904761904762,0.2261904761904762,0.8809523809523809,2.083333333333333
Day'Ron Sharpe,C,21,2,0.575,18.5,-0.2,0.875,0.609375,0.96875,2.453125
De'Aaron Fox,PG,25,6,0.603,29.8,2,0.140625,0.90625,0.1875,1.234375
De'Andre Hunter,SF,25,4,0.572,19.7,-0.4,0.41379310344827586,0.7068965517241379,0.8275862068965517,1.9482758620689653
De'Anthony Melton,PG,24,5,0.563,16.7,1.2,0.375,0.3125,0.328125,1.015625
Dean Wade,PF,26,4,0.578,10.5,0.4,0.5555555555555556,0.05555555555555555,0.3888888888888889,1
Deandre Ayton,C,24,5,0.617,24,1.4,0.5625,0.890625,0.265625,1.71875
DeAndre Jordan,C,34,15,0.732,13.6,0,0.0625,0.203125,0.84375,1.109375
Dejounte Murray,SG,26,6,0.546,24.8,1.9,0.7023809523809523,0.7380952380952381,0.011904761904761904,1.4523809523809523
Delon Wright,PG,30,8,0.593,12.7,1.1,0.203125,0.078125,0.359375,0.640625
DeMar DeRozan,SF,33,14,0.595,28.2,1.9,0.25862068965517243,0.9827586206896551,0.06896551724137931,1.3103448275862069
Deni Avdija,SF,22,3,0.534,16.3,0,0.7758620689655172,0.41379310344827586,0.5689655172413793,1.7586206896551726
Dennis Schröder,PG,29,10,0.556,17.6,-0.4,0.40625,0.375,0.90625,1.6875
Dennis Smith Jr.,PG,25,6,0.487,16.9,-0.2,0.921875,0.328125,0.78125,2.03125
Derrick Jones Jr.,SF,25,7,0.608,13.9,0.3,0.1896551724137931,0.2413793103448276,0.39655172413793105,0.8275862068965517
Derrick White,SG,28,6,0.597,17.5,1.8,0.27380952380952384,0.39285714285714285,0.03571428571428571,0.7023809523809524
Desmond Bane,SG,24,3,0.598,26.1,1.8,0.2619047619047619,0.8333333333333334,0.03571428571428571,1.1309523809523812
Devin Booker,SG,26,8,0.578,31.8,1.6,0.40476190476190477,0.9880952380952381,0.08333333333333333,1.476190476190476
Devonte' Graham,PG,27,5,0.535,16.1,0.5,0.703125,0.28125,0.5625,1.546875
Dillon Brooks,SF,27,6,0.483,22.3,-1,0.9827586206896551,0.8448275862068966,1,2.8275862068965516
Domantas Sabonis,C,26,7,0.674,21,3.8,0.234375,0.703125,0.03125,0.96875
Donovan Mitchell,SG,26,6,0.615,31.4,4,0.10714285714285714,0.9761904761904762,0,1.0833333333333333
Donte DiVincenzo,SG,26,5,0.608,15.1,1,0.15476190476190477,0.2857142857142857,0.14285714285714285,0.5833333333333333
Dorian Finney-Smith,PF,29,7,0.538,12.8,0,0.7777777777777778,0.16666666666666666,0.6805555555555556,1.625
Doug McDermott,SF,31,9,0.591,18.8,-0.4,0.29310344827586204,0.6551724137931034,0.8275862068965517,1.7758620689655173
Draymond Green,PF,32,11,0.593,12.6,1.4,0.375,0.1388888888888889,0.09722222222222222,0.611111111111111
Drew Eubanks,C,25,5,0.696,11.3,0.7,0.109375,0.078125,0.4375,0.625
Duane Washington Jr.,SG,22,2,0.458,32.5,-0.3,1,1,0.8809523809523809,2.880952380952381
Duncan Robinson,SF,28,5,0.513,17.6,-0.4,0.896551724137931,0.5344827586206896,0.8275862068965517,2.258620689655172
Dwight Powell,C,31,9,0.737,12.7,0.2,0.03125,0.140625,0.6875,0.859375
Dyson Daniels,PG,19,1,0.525,11.5,0.1,0.75,0.046875,0.65625,1.453125
Edmond Sumner,SG,27,5,0.594,22.1,0,0.32142857142857145,0.6428571428571429,0.6071428571428571,1.5714285714285716
Eric Gordon,SG,34,15,0.568,17.8,-0.2,0.5357142857142857,0.42857142857142855,0.7619047619047619,1.726190476190476
Evan Mobley,PF,21,2,0.592,20.4,1.6,0.4027777777777778,0.8194444444444444,0.08333333333333333,1.3055555555555556
Frank Ntilikina,PG,24,6,0.432,13,-0.6,1,0.09375,0.953125,2.046875
Franz Wagner,SF,21,2,0.591,23.5,1,0.29310344827586204,0.8620689655172413,0.15517241379310345,1.3103448275862069
Fred VanVleet,PG,28,7,0.536,23,2,0.6875,0.671875,0.1875,1.546875
Gabe Vincent,PG,26,4,0.531,17.9,-0.5,0.71875,0.40625,0.921875,2.046875
Garrison Mathews,SG,26,4,0.569,14.2,-0.1,0.5238095238095238,0.15476190476190477,0.6547619047619048,1.3333333333333335
Gary Harris,SG,28,9,0.642,12.8,0.3,0.03571428571428571,0.08333333333333333,0.40476190476190477,0.5238095238095238
Gary Trent Jr.,SG,24,5,0.564,21.9,1,0.5833333333333334,0.6190476190476191,0.14285714285714285,1.3452380952380953
George Hill,PG,36,15,0.575,11.1,0,0.28125,0.03125,0.71875,1.03125
Georges Niang,PF,29,7,0.61,17.6,0.3,0.2638888888888889,0.5416666666666666,0.4722222222222222,1.2777777777777777
Giannis Antetokounmpo,PF,28,10,0.594,39.2,4,0.3611111111111111,1,0,1.3611111111111112
Goran Dragić,PG,36,15,0.514,20.8,-0.3,0.828125,0.5625,0.875,2.265625
Gordon Hayward,SF,32,13,0.562,19.9,0.1,0.5172413793103449,0.7241379310344828,0.4827586206896552,1.7241379310344829
Grant Williams,PF,24,4,0.614,12.8,0.4,0.20833333333333334,0.16666666666666666,0.3888888888888889,0.7638888888888888
Grayson Allen,SG,27,5,0.613,14.7,0.8,0.11904761904761904,0.2261904761904762,0.20238095238095238,0.5476190476190477
Hamidou Diallo,SG,24,5,0.601,21.4,0.2,0.2261904761904762,0.5833333333333334,0.4880952380952381,1.2976190476190477
Harrison Barnes,PF,30,11,0.631,17,0.6,0.1388888888888889,0.5,0.3055555555555556,0.9444444444444444
Haywood Highsmith,SF,26,3,0.521,12.2,-0.2,0.8620689655172413,0.05172413793103448,0.7241379310344828,1.6379310344827585
Herbert Jones,SF,24,2,0.536,14.9,0.4,0.7413793103448276,0.27586206896551724,0.29310344827586204,1.3103448275862069
Immanuel Quickley,PG,23,3,0.569,19.2,1.3,0.328125,0.453125,0.296875,1.078125
Isaac Okoro,SF,22,3,0.607,12.2,0.6,0.20689655172413793,0.05172413793103448,0.1724137931034483,0.4310344827586207
Isaiah Hartenstein,C,24,5,0.563,11.6,0.3,0.921875,0.09375,0.625,1.640625
Isaiah Jackson,C,21,2,0.607,17.7,0.4,0.65625,0.546875,0.578125,1.78125
Isaiah Joe,SG,23,3,0.682,17.6,1.1,0,0.40476190476190477,0.13095238095238096,0.5357142857142857
Isaiah Livers,PF,24,2,0.571,10.9,-0.1,0.5833333333333334,0.06944444444444445,0.75,1.4027777777777777
Isaiah Roby,PF,24,4,0.497,17.8,-0.3,0.9583333333333334,0.5555555555555556,0.8888888888888888,2.4027777777777777
