player,pts_per_game,trb_per_game,ast_per_game,stl_per_game,blk_per_game,pts_as_percent_of_other_stats
Aaron Gordon,16.3,6.6,3,0.8,0.8,0.5927272727272728
Aaron Holiday,3.9,1.2,1.4,0.6,0.2,0.5342465753424658
Aaron Nesmith,10.1,3.8,1.3,0.8,0.5,0.6121212121212121
Aaron Wiggins,6.8,3,1.1,0.6,0.2,0.5811965811965812
AJ Griffin,8.9,2.1,1,0.6,0.2,0.6953125000000001
Al Horford,9.8,6.2,3,0.5,1,0.4780487804878049
Alex Caruso,5.6,2.9,2.9,1.5,0.7,0.4117647058823529
Alperen Şengün,14.8,9,3.9,0.9,0.9,0.5016949152542374
Andre Drummond,6,6.6,0.5,0.7,0.4,0.4225352112676057
Andrew Nembhard,9.5,2.7,4.5,0.9,0.2,0.5337078651685394
Anfernee Simons,21.1,2.6,4.1,0.7,0.2,0.735191637630662
Anthony Edwards,24.6,5.8,4.4,1.6,0.7,0.6630727762803234
Anthony Gill,3.3,1.7,0.6,0.1,0.2,0.5593220338983051
Anthony Lamb,6.7,3.5,1.5,0.5,0.3,0.536
Austin Reaves,13,3,3.4,0.5,0.3,0.6435643564356436
Ayo Dosunmu,8.6,2.8,2.6,0.8,0.3,0.5695364238410596
Bam Adebayo,20.4,9.2,3.2,1.2,0.8,0.5862068965517242
Bennedict Mathurin,16.7,4.1,1.5,0.6,0.2,0.722943722943723
Bismack Biyombo,4.3,4.3,0.9,0.3,1.4,0.3839285714285714
Bobby Portis,14.1,9.6,1.5,0.4,0.2,0.5465116279069768
Bojan Bogdanović,21.6,3.8,2.6,0.6,0.1,0.7526132404181184
Bol Bol,9.1,5.8,1,0.4,1.2,0.5200000000000001
Brook Lopez,15.9,6.7,1.3,0.5,2.5,0.5910780669144982
Bruce Brown,11.5,4.1,3.4,1.1,0.6,0.5555555555555555
Buddy Hield,16.8,5,2.8,1.2,0.3,0.6436781609195402
Caleb Martin,9.6,4.8,1.6,1,0.4,0.5517241379310345
Caris LeVert,12.1,3.8,3.9,1,0.3,0.5734597156398105
Cedi Osman,8.7,2.3,1.5,0.5,0.1,0.6641221374045801
Chimezie Metu,4.9,3,0.6,0.3,0.3,0.5384615384615384
Chris Boucher,9.4,5.5,0.4,0.6,0.8,0.562874251497006
Chris Paul,13.9,4.3,8.9,1.5,0.4,0.4793103448275862
Christian Braun,4.7,2.4,0.8,0.5,0.2,0.5465116279069769
Christian Koloko,3.1,2.9,0.5,0.4,1,0.3924050632911392
Christian Wood,16.6,7.3,1.8,0.4,1.1,0.6102941176470588
CJ McCollum,20.9,4.4,5.7,0.9,0.5,0.6450617283950618
Clint Capela,12,11,0.9,0.7,1.2,0.4651162790697675
Coby White,9.7,2.9,2.8,0.7,0.1,0.5987654320987654
Cole Anthony,13,4.8,3.9,0.6,0.5,0.5701754385964912
Corey Kispert,11.1,2.8,1.2,0.4,0.1,0.7115384615384616
Cory Joseph,6.9,1.7,3.5,0.5,0.1,0.5433070866141733
D'Angelo Russell,17.8,3,6.2,1,0.4,0.6267605633802817
Damian Lillard,32.2,4.8,7.3,0.9,0.3,0.7076923076923078
Damion Lee,8.2,3,1.3,0.4,0.1,0.6307692307692307
Daniel Gafford,9,5.6,1.1,0.4,1.3,0.5172413793103449
Darius Garland,21.6,2.7,7.8,1.2,0.1,0.6467065868263472
David Roddy,6.7,2.8,0.8,0.4,0.3,0.609090909090909
Davion Mitchell,5.6,1.3,2.3,0.6,0.2,0.56
De'Aaron Fox,25,4.2,6.1,1.1,0.3,0.6811989100817439
De'Andre Hunter,15.4,4.2,1.4,0.5,0.3,0.7064220183486238
De'Anthony Melton,10.1,4.1,2.6,1.6,0.5,0.5343915343915343
Deandre Ayton,18,10,1.7,0.6,0.8,0.5787781350482315
Dejounte Murray,20.5,5.3,6.1,1.5,0.3,0.6083086053412464
DeMar DeRozan,24.5,4.6,5.1,1.1,0.5,0.6843575418994413
