player,tm,experience,age,salary,vorp,vorp_per_million,percent_of_cap
Trae Young,ATL,5,24,37096500,3.2,0.08626150715027024,0.3
John Collins,ATL,6,25,23500000,0.2,0.00851063829787234,0.1900448829404391
Clint Capela,ATL,9,28,18706896,1.7,0.09087557871706776,0.15128297278719016
Bogdan Bogdanović,ATL,6,30,18000000,0.8,0.044444444444444446,0.14556629331608104
Dejounte Murray,ATL,6,26,16571120,2,0.12069190253887487,0.1340109174719987
De'Andre Hunter,ATL,4,25,9835881,-0.7,-0.07116800213422672,0.0795429299260038
Onyeka Okongwu,ATL,3,22,6395160,1.3,0.20327872953921403,0.05171776313129271
AJ Griffin,ATL,1,19,3536160,0.5,0.14139631690873716,0.02859698354292184
Saddiq Bey,ATL,3,23,2959080,0.2,0.0675885748273112,0.023930128179208282
Jalen Johnson,ATL,2,21,2792640,0.4,0.1432336427180016,0.022584125187012253
Bruno Fernando,ATL,4,24,2717391,0,0,0.021975585297804374
Garrison Mathews,ATL,4,26,2000000,0,0,0.01617403259067567
Aaron Holiday,ATL,5,26,1836090,0,0,0.014848489749706846
Vit Krejci,ATL,2,22,1563518,0,0,0.012644195544054021
Tyrese Martin,ATL,1,23,1017781,-0.1,-0.09825296404629287,0.008230811532085236
Jayson Tatum,BOS,6,24,30351780,5.1,0.16802968392628043,0.245455339452509
Jaylen Brown,BOS,7,26,28741071,2,0.0695868292451593,0.2324295095224617
Al Horford,BOS,16,36,26500000,2.4,0.09056603773584905,0.21430593182645263
Malcolm Brogdon,BOS,7,30,22600000,2,0.08849557522123894,0.18276656827463508
Marcus Smart,BOS,9,28,17207142,0.5,0.029057701738034125,0.13915443775019207
Derrick White,BOS,6,28,16892857,2.4,0.1420718828082189,0.13661280983381183
Robert Williams,BOS,5,25,10937502,1,0.09142855471020714,0.08845175690429016
Grant Williams,BOS,4,24,4306281,0.5,0.11610946893618879,0.034824964619303705
Mike Muscala,BOS,10,31,3500000,0,0,0.028304557033682422
Payton Pritchard,BOS,3,25,2239200,-0.3,-0.13397642015005357,0.01810844688852048
Luke Kornet,BOS,6,27,2133278,0.6,0.28125729511109193,0.017251853948485708
Blake Griffin,BOS,13,33,1836090,0.2,0.10892712230881929,0.014848489749706846
Sam Hauser,BOS,2,25,1637966,0.8,0.48841062634999755,0.013246257733209333
Ben Simmons,BRK,5,26,35448672,0.7,0.019746861038969242,0.28667398811208605
Mikal Bridges,BRK,5,26,20100000,1.4,0.06965174129353234,0.1625490275362905
Spencer Dinwiddie,BRK,9,29,19500000,0.4,0.020512820512820513,0.15769681775908778
Joe Harris,BRK,9,31,18642857,0.3,0.0160919541462985,0.15076508835065303
Dorian Finney-Smith,BRK,7,29,12939848,-0.4,-0.03091226419352067,0.10464476163519469
Royce O'Neale,BRK,6,29,9200000,0.5,0.05434782608695652,0.07440054991710808
Nic Claxton,BRK,4,23,8500000,2.7,0.31764705882352945,0.0687396385103716
Seth Curry,BRK,9,32,8496653,-0.1,-0.011769340233148278,0.0687125712668311
Patty Mills,BRK,14,34,6479000,0,0,0.052395778577493834
Cameron Johnson,BRK,4,26,5887899,0.6,0.10190392192529117,0.04761553515830334
Cam Thomas,BRK,2,21,2138160,-0.2,-0.09353836943914394,0.017291334762039545
Day'Ron Sharpe,BRK,2,21,2109480,-0.1,-0.047405047689477973,0.017059399134689256
Edmond Sumner,BRK,5,27,1968175,-0.1,-0.050808490098695494,0.015916663297076545
Yuta Watanabe,BRK,5,28,1836090,0.3,0.16339068346322894,0.014848489749706846
Zach LaVine,CHI,9,27,37096500,2.5,0.06739180246114862,0.3
DeMar DeRozan,CHI,14,33,27300000,2.7,0.09890109890109891,0.2207755448627229
Nikola Vučević,CHI,12,32,22000000,3,0.13636363636363638,0.17791435849743237
Alex Caruso,CHI,6,28,9030000,1.2,0.13289036544850497,0.073025757146900655
Patrick Williams,CHI,3,21,7775400,0.3,0.03858322401419862,0.0628797865027698
Coby White,CHI,4,22,7413955,0.5,0.06744038775525343,0.05995677489790142
Andre Drummond,CHI,11,29,3200000,0.3,0.09375,0.025878452145081072
Derrick Jones Jr.,CHI,7,25,3200000,0.3,0.09375,0.025878452145081072
Dalen Terry,CHI,1,20,3191400,0.1,0.03133421069123268,0.025808903804941167
Javonte Green,CHI,4,29,1815677,0.4,0.22030350111831565,0.014683409486070114
Ayo Dosunmu,CHI,2,23,1563518,-0.2,-0.1279166597378476,0.012644195544054021
Marko Simonovic,CHI,2,23,1563518,0,0,0.012644195544054021
Patrick Beverley,CHI,11,34,506508,0.2,0.3948604957868385,0.0040961384497189765
Carlik Jones,CHI,2,25,357717,-0.1,-0.27955059446433916,0.0028928632081193645
Tony Bradley,CHI,6,25,2036318,0.1,0.04910824340795495,0.01646773684848975
Goran Dragić,CHI,15,36,1836090,-0.3,-0.16339068346322894,0.014848489749706846
Gordon Hayward,CHO,13,32,30075000,0.2,0.006650041562759768,0.24321701508228538
Terry Rozier,CHO,8,28,21486316,0.8,0.03723299983114835,0.17376018761877804
Kelly Oubre Jr.,CHO,8,27,12600000,0.3,0.02380952380952381,0.10189640532125673
LaMelo Ball,CHO,3,21,8623920,1.4,0.16233916826686703,0.06974178156968987
Cody Martin,CHO,4,27,7000000,-0.1,-0.014285714285714285,0.056609114067364845
P.J. Washington,CHO,4,24,5808435,0.4,0.06886536562774655,0.046972908495410616
James Bouknight,CHO,2,22,4362240,-0.4,-0.09169600938967136,0.03527750596417452
Mark Williams,CHO,1,21,3722040,0.4,0.10746794768460308,0.030100198131899236
Kai Jones,CHO,2,22,2909040,-0.2,-0.06875120314605505,0.023525453883789574
Svi Mykhailiuk,CHO,5,25,1836090,0,0,0.014848489749706846
Dennis Smith Jr.,CHO,6,25,1836090,-0.1,-0.054463561154409645,0.014848489749706846
Nick Richards,CHO,3,25,1782621,0.1,0.056097173768288384,0.014416085075411427
JT Thor,CHO,2,20,1563518,-0.5,-0.319791649344619,0.012644195544054021
Bryce McGowens,CHO,1,20,1075000,-0.8,-0.7441860465116279,0.008693542517488172
Donovan Mitchell,CLE,6,26,30913750,4.8,0.1552707128704864,0.25
Jarrett Allen,CLE,6,24,20000000,2.4,0.12,0.16174032590675672
Caris LeVert,CLE,7,28,18796296,0.9,0.04788177415380137,0.15200595204399336
Darius Garland,CLE,4,23,8920795,2.7,0.30266360789593305,0.07214261453236828
Evan Mobley,CLE,2,21,8478720,2.4,0.28306159420289856,0.06856754680360681
Cedi Osman,CLE,6,27,7426088,0.5,0.06733020131191551,0.060054894666612756
Isaac Okoro,CLE,3,22,7040880,0.7,0.09941939075797343,0.056939711293518255
Ricky Rubio,CLE,12,32,5853659,0,0,0.04733863572035098
Dylan Windler,CLE,3,26,4037278,0,0,0.032649532974808944
Danny Green,CLE,14,35,2000000,0,0,0.01617403259067567
Dean Wade,CLE,4,26,1930681,0.3,0.1553855867437448,0.015613448708099147
Raul Neto,CLE,8,30,1836090,0.3,0.16339068346322894,0.014848489749706846
Robin Lopez,CLE,15,34,1836090,-0.1,-0.054463561154409645,0.014848489749706846
Lamar Stevens,CLE,3,25,1782621,-0.2,-0.11219434753657677,0.014416085075411427
Sam Merrill,CLE,3,26,850000,0,0,0.0068739638510371594
Kevin Love,CLE,15,34,28942830,0.7,0.02418561004573499,0.23406113784319274
Kyrie Irving,DAL,12,30,38917057,1.1,0.02826524112550443,0.31472287412559136
Luka Dončić,DAL,5,23,37096500,6.4,0.17252301430054048,0.3
Tim Hardaway Jr.,DAL,10,30,19602273,0,0,0.15852390117666088
Dāvis Bertāns,DAL,7,30,16000000,0.1,0.00625,0.12939226072540536
Christian Wood,DAL,7,27,14317459,1.5,0.10476719367591694,0.11578552424083134
Dwight Powell,DAL,9,31,11080125,0.3,0.02707550681964328,0.08960515142938014
Reggie Bullock,DAL,10,31,10012800,-0.3,-0.029961649089165866,0.08097367676195867
Maxi Kleber,DAL,6,31,9000000,0,0,0.07278314665804052
JaVale McGee,DAL,15,35,5461219,-0.2,-0.036621860430793934,0.0441649670454086
Josh Green,DAL,3,22,3098400,-0.2,-0.06454944487477408,0.025056811289474748
Frank Ntilikina,DAL,6,24,2036318,-0.6,-0.29464946044772966,0.01646773684848975
Markieff Morris,DAL,12,33,1836090,0,0,0.014848489749706846
Theo Pinson,DAL,5,27,1836090,-0.1,-0.054463561154409645,0.014848489749706846
Jaden Hardy,DAL,1,20,1017781,0,0,0.008230811532085236
Justin Holiday,DAL,10,33,569821,-0.1,-0.1754937076731114,0.0046081517124257005
Kemba Walker,DAL,12,32,684712,0.1,0.14604680508009207,0.005537277101613359
Nikola Jokić,DEN,8,27,33047803,8.8,0.2662809385543723,0.2672581213861146
Jamal Murray,DEN,6,25,31650600,1.7,0.053711462025996345,0.2559589179572197
Michael Porter Jr.,DEN,4,24,30913750,0.9,0.029113258663216207,0.25
Aaron Gordon,DEN,9,27,19690909,2.1,0.10664819993835735,0.15924070195301443
Kentavious Caldwell-Pope,DEN,10,29,14004703,0.6,0.0428427507530863,0.11325626137236666
Bruce Brown,DEN,5,26,6479000,0.7,0.10804136440808766,0.052395778577493834
Ish Smith,DEN,13,34,4725000,-0.4,-0.08465608465608465,0.038211151995471274
Jeff Green,DEN,15,36,4500000,-0.4,-0.08888888888888889,0.03639157332902026
Christian Braun,DEN,1,21,2808600,-0.1,-0.03560492772199673,0.022713193967085845
Zeke Nnaji,DEN,3,22,2617800,-0.2,-0.07640003056001224,0.021170191257935386
Vlatko Čančar,DEN,4,25,2234359,0,0,0.01806929764263475
Peyton Watson,DEN,1,20,2193960,0,0,0.017742590271319397
Thomas Bryant,DEN,6,25,1836090,-0.3,-0.16339068346322894,0.014848489749706846
DeAndre Jordan,DEN,15,34,1836090,0,0,0.014848489749706846
Reggie Jackson,DEN,12,32,580373,-0.3,-0.5169089533799814,0.004693485908374105
Bojan Bogdanović,DET,9,33,19550000,1.4,0.07161125319693094,0.15810116857385467
Marvin Bagley III,DET,5,23,12500000,0.3,0.024,0.10108770369172294
