,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,AGE,G,MIN,CONTESTED_SHOTS,CONTESTED_SHOTS_2PT,CONTESTED_SHOTS_3PT,DEFLECTIONS,CHARGES_DRAWN,SCREEN_ASSISTS,SCREEN_AST_PTS,OFF_LOOSE_BALLS_RECOVERED,DEF_LOOSE_BALLS_RECOVERED,LOOSE_BALLS_RECOVERED,PCT_LOOSE_BALLS_RECOVERED_OFF,PCT_LOOSE_BALLS_RECOVERED_DEF,OFF_BOXOUTS,DEF_BOXOUTS,BOX_OUTS,BOX_OUT_PLAYER_TEAM_REBS,BOX_OUT_PLAYER_REBS,PCT_BOX_OUTS_OFF,PCT_BOX_OUTS_DEF,PCT_BOX_OUTS_TEAM_REB,PCT_BOX_OUTS_REB,TeamID,TeamName,WINS,LOSSES,TeamGP,G_PERCENT,CHARGES_DRAWN_pct_rank,CONTESTED_SHOTS_2PT_pct_rank,CONTESTED_SHOTS_3PT_pct_rank,DEFLECTIONS_pct_rank,DEF_BOXOUTS_pct_rank,DEF_LOOSE_BALLS_RECOVERED_pct_rank,sum
2,1631100,AJ Griffin,1610612737,ATL,19.0,72,19.5,2.89,1.42,1.47,0.88,0.0,0.17,0.39,0.19,0.22,0.42,0.467,0.533,0.0,0.08,0.08,0.08,0.03,0.0,1.0,1.0,0.333,1610612737,Hawks,41,41,82,0.8780487804878049,0.17191977077363896,0.3209169054441261,0.5558739255014327,0.332378223495702,0.10315186246418338,0.7392550143266475,2.2234957020057307
3,203932,Aaron Gordon,1610612743,DEN,27.0,68,30.2,5.5,3.94,1.56,1.16,0.01,0.87,2.12,0.38,0.34,0.72,0.531,0.469,0.18,0.25,0.43,0.41,0.31,0.414,0.586,0.966,0.724,1610612743,Nuggets,53,29,82,0.8292682926829268,0.38108882521489973,0.6962750716332379,0.12893982808022922,0.17765042979942694,0.2693409742120344,0.7335243553008596,2.3868194842406876
4,1628988,Aaron Holiday,1610612737,ATL,26.0,63,13.4,1.86,0.94,0.92,1.11,0.0,0.03,0.06,0.13,0.16,0.29,0.444,0.556,0.0,0.14,0.14,0.14,0.03,0.0,1.0,1.0,0.222,1610612737,Hawks,41,41,82,0.7682926829268293,0.17191977077363896,0.3008595988538682,0.44126074498567336,0.8595988538681948,0.3753581661891118,0.8022922636103151,2.951289398280802
5,1630174,Aaron Nesmith,1610612754,IND,23.0,73,24.9,5.41,3.36,2.05,1.48,0.16,0.4,0.97,0.16,0.3,0.47,0.353,0.647,0.07,0.51,0.58,0.4,0.18,0.119,0.881,0.906,0.406,1610612754,Pacers,35,47,82,0.8902439024390244,0.9140401146131805,0.7106017191977078,0.673352435530086,0.6246418338108882,0.664756446991404,0.8080229226361032,4.39541547277937
6,1630598,Aaron Wiggins,1610612760,OKC,24.0,70,18.5,4.71,2.86,1.86,1.24,0.01,0.57,1.31,0.29,0.19,0.47,0.606,0.394,0.04,0.37,0.41,0.39,0.17,0.103,0.897,0.931,0.414,1610612760,Thunder,40,42,82,0.8536585365853658,0.4269340974212034,0.7621776504297995,0.9140401146131805,0.7220630372492837,0.6561604584527221,0.6418338108882522,4.123209169054441
8,201143,Al Horford,1610612738,BOS,36.0,63,30.5,10.1,6.46,3.63,1.19,0.0,1.86,4.44,0.3,0.16,0.46,0.655,0.345,0.24,1.17,1.41,1.3,0.6,0.169,0.831,0.953,0.442,1610612738,Celtics,57,25,82,0.7682926829268293,0.17191977077363896,0.8424068767908309,0.9828080229226361,0.19197707736389685,0.8252148997134671,0.1174785100286533,3.1318051575931234
9,202692,Alec Burks,1610612765,DET,31.0,51,22.0,3.0,1.37,1.63,1.2,0.06,0.18,0.39,0.25,0.29,0.55,0.464,0.536,0.0,0.16,0.16,0.16,0.1,0.0,1.0,1.0,0.625,1610612765,Pistons,17,65,82,0.6219512195121951,0.7564469914040115,0.19197707736389685,0.5472779369627507,0.5071633237822349,0.23782234957020057,0.8739255014326648,3.11461318051576
11,1627936,Alex Caruso,1610612741,CHI,29.0,67,23.5,5.28,2.43,2.85,3.37,0.21,0.84,1.9,0.21,0.36,0.57,0.368,0.632,0.0,0.31,0.31,0.25,0.06,0.0,1.0,1.0,0.235,1610612741,Bulls,40,42,82,0.8170731707317073,0.9570200573065902,0.5787965616045845,0.9885386819484241,0.997134670487106,0.47564469914040114,0.9455587392550143,4.9426934097421205
15,1630578,Alperen Sengun,1610612745,HOU,20.0,75,28.9,8.39,6.67,1.72,1.77,0.12,3.37,7.73,0.33,0.23,0.56,0.595,0.405,0.48,1.36,1.84,1.75,1.07,0.261,0.739,0.992,0.606,1610612745,Rockets,22,60,82,0.9146341463414634,0.833810888252149,0.8710601719197708,0.27793696275071633,0.664756446991404,0.9083094555873925,0.3438395415472779,3.899713467048711
16,1629599,Amir Coffey,1610612746,LAC,25.0,50,12.5,1.54,0.86,0.68,0.46,0.06,0.04,0.08,0.08,0.04,0.12,0.667,0.333,0.02,0.16,0.18,0.14,0.02,0.111,0.889,1.0,0.143,1610612746,Clippers,44,38,82,0.6097560975609756,0.8567335243553008,0.27793696275071633,0.16332378223495703,0.14613180515759314,0.4584527220630373,0.03151862464183381,1.934097421203438
